pxd,cohort,manuscript_fields,manuscript_values,pride_fields,pride_values,combined_fields,combined_values
PXD009950,abstract_only,5,5,9,11,14,16
PXD010093,abstract_only,11,12,23,26,27,31
PXD010154,with_methods,22,36,17,60,26,75
PXD010286,abstract_only,12,12,24,29,21,25
PXD010469,abstract_only,11,12,14,16,23,25
PXD010630,abstract_only,10,17,14,20,14,24
PXD010821,with_methods,27,39,20,34,22,29
PXD011075,abstract_only,9,10,18,20,16,19
PXD011242,abstract_only,12,12,20,26,20,25
PXD011609,abstract_only,13,18,20,26,21,25
PXD013923,with_methods,27,36,23,28,28,35
PXD020164,abstract_only,9,11,17,22,21,26
PXD025899,with_methods,24,26,25,27,27,31
PXD036023,abstract_only,10,13,17,20,18,21
PXD046405,abstract_only,8,10,16,26,19,31
PXD046462,abstract_only,11,11,26,40,30,40
PXD046550,with_methods,24,28,23,31,27,36
PXD046676,abstract_only,11,11,24,36,28,42
PXD046754,abstract_only,11,12,16,23,16,25
PXD046846,with_methods,23,24,22,27,23,31
PXD046988,abstract_only,2,2,16,23,20,22
PXD047040,with_methods,20,23,11,11,27,33
PXD047111,abstract_only,11,11,26,30,27,37
PXD047228,abstract_only,10,10,13,14,15,18
PXD047367,with_methods,26,28,18,23,27,31
PXD047507,with_methods,15,17,18,30,23,34
PXD047613,abstract_only,14,17,24,35,25,36
PXD047823,with_methods,25,33,25,35,28,35
PXD047914,abstract_only,1,1,9,9,9,9
PXD048018,abstract_only,8,9,22,34,30,40
PXD048102,abstract_only,1,1,7,8,8,8
PXD048361,with_methods,19,19,20,22,19,28
PXD048511,abstract_only,8,8,13,15,14,17
PXD048603,with_methods,25,30,26,37,26,39
PXD048682,abstract_only,10,11,18,19,21,25
PXD048840,with_methods,16,17,24,27,23,27
PXD048934,with_methods,25,31,19,26,25,37
PXD049067,with_methods,27,39,21,29,27,34
PXD049249,abstract_only,10,11,16,24,17,27
PXD049339,abstract_only,5,6,21,28,20,33
PXD049793,abstract_only,2,2,16,16,13,13
PXD050085,with_methods,16,17,17,17,16,17
PXD050260,abstract_only,10,12,26,36,25,34
PXD050402,abstract_only,7,7,19,30,21,34
PXD050548,abstract_only,2,2,17,25,16,25
PXD050625,abstract_only,6,7,24,35,25,34
PXD050844,abstract_only,9,11,18,22,23,26
PXD050935,abstract_only,1,1,17,22,17,18
PXD051016,abstract_only,9,9,20,24,21,25
PXD051174,abstract_only,6,7,16,20,16,21
PXD051393,abstract_only,5,5,14,16,17,18
PXD051592,abstract_only,2,2,25,33,21,29
PXD051706,abstract_only,8,9,23,34,19,24
PXD051803,abstract_only,9,9,25,41,22,32
PXD051962,abstract_only,2,2,22,26,21,25
PXD052083,with_methods,24,29,24,26,25,32
PXD052305,with_methods,27,34,26,39,28,61
PXD052666,with_methods,21,28,21,29,31,42
PXD052809,with_methods,21,21,21,23,23,26
PXD053039,abstract_only,4,4,22,27,21,24
PXD053228,with_methods,29,37,21,23,30,46
PXD053362,abstract_only,12,18,18,24,27,37
PXD053579,with_methods,20,21,17,23,18,29
PXD053865,abstract_only,2,2,13,13,15,15
PXD054002,abstract_only,11,11,15,21,18,22
PXD054119,abstract_only,8,12,23,30,22,33
PXD054298,abstract_only,11,12,24,30,27,38
PXD054388,abstract_only,7,8,22,23,21,26
PXD054667,abstract_only,1,2,17,24,23,31
PXD054722,abstract_only,18,18,22,23,18,18
PXD055168,abstract_only,2,2,16,22,18,21
PXD055375,abstract_only,7,10,13,14,13,16
PXD055631,abstract_only,0,0,21,25,20,26
PXD055898,abstract_only,5,5,17,17,19,22
PXD055984,abstract_only,8,8,23,27,23,27
PXD056079,with_methods,11,11,11,12,13,14
PXD056153,with_methods,9,9,21,22,26,29
PXD056183,abstract_only,1,1,21,29,19,36
PXD056206,with_methods,24,41,22,26,25,29
PXD056300,with_methods,26,35,19,32,25,37
PXD056432,abstract_only,9,9,26,33,28,31
PXD056514,with_methods,28,37,20,40,28,55
PXD056690,with_methods,16,27,12,15,17,26
PXD056788,abstract_only,6,7,21,26,21,28
PXD056940,abstract_only,5,6,19,26,17,24
PXD057024,abstract_only,2,2,22,24,21,23
PXD057177,abstract_only,3,3,17,21,17,26
PXD057319,abstract_only,11,14,20,23,22,28
PXD057426,abstract_only,6,6,18,19,17,17
PXD057527,abstract_only,13,13,16,22,22,27
PXD057672,with_methods,15,16,12,18,16,19
PXD057760,abstract_only,9,9,23,35,23,31
PXD057848,with_methods,29,33,23,31,30,34
PXD058014,abstract_only,11,13,13,18,16,18
PXD058156,with_methods,12,16,15,15,18,20
PXD058292,abstract_only,12,13,22,26,20,27
PXD058373,with_methods,18,21,17,23,22,28
PXD058471,abstract_only,4,4,19,30,19,28
PXD058544,with_methods,7,9,13,14,14,17
PXD058618,with_methods,21,25,13,13,25,30
PXD058709,abstract_only,9,9,24,32,24,29
PXD058785,with_methods,9,10,18,21,18,22
PXD058882,with_methods,23,29,15,20,22,29
PXD059003,abstract_only,0,0,25,36,25,40
PXD059236,abstract_only,2,2,18,20,19,22
PXD059419,with_methods,28,61,21,29,27,53
PXD059552,abstract_only,4,4,21,21,20,22
PXD059661,abstract_only,9,9,25,35,28,36
PXD059828,abstract_only,8,8,13,15,16,18
PXD059964,with_methods,22,23,25,28,25,28
PXD060034,with_methods,29,31,27,33,28,37
PXD060126,with_methods,15,17,15,22,23,27
PXD060307,with_methods,26,34,16,22,24,33
PXD060429,abstract_only,1,1,14,17,16,19
PXD060653,abstract_only,13,15,16,21,21,26
PXD060786,with_methods,24,36,16,21,24,32
PXD060844,abstract_only,7,7,25,30,24,25
PXD060898,with_methods,24,27,21,27,23,29
PXD060976,abstract_only,8,8,18,20,19,21
PXD061059,abstract_only,7,7,14,15,19,21
PXD061161,abstract_only,14,21,21,26,24,27
PXD061276,with_methods,26,37,25,32,29,38
PXD061404,with_methods,28,46,22,33,27,46
PXD061565,abstract_only,12,12,16,18,12,20
PXD061609,abstract_only,8,17,16,20,20,24
PXD061694,abstract_only,12,14,24,41,22,33
PXD061797,abstract_only,13,13,19,24,24,30
PXD061865,abstract_only,9,12,20,30,21,29
PXD061981,abstract_only,10,12,17,24,24,34
PXD062211,abstract_only,7,7,16,19,15,20
PXD062343,abstract_only,5,5,11,11,15,15
PXD062441,abstract_only,3,3,20,22,21,22
PXD062628,abstract_only,8,14,12,29,11,22
PXD062777,abstract_only,0,0,20,27,18,25
PXD062870,abstract_only,8,8,15,24,22,32
PXD063024,abstract_only,7,7,25,37,24,31
PXD063283,abstract_only,8,8,19,21,21,31
PXD063466,abstract_only,2,2,19,24,17,20
PXD063553,abstract_only,7,7,22,30,28,36
PXD063819,abstract_only,0,0,20,28,21,27
PXD063955,with_methods,20,40,16,16,19,32
PXD064007,abstract_only,13,13,20,29,21,30
PXD064125,with_methods,14,14,16,19,19,24
PXD064265,abstract_only,9,9,13,15,14,18
PXD064523,with_methods,25,34,17,23,25,35
PXD064671,with_methods,22,32,13,15,23,34
PXD064844,abstract_only,11,18,22,23,24,25
PXD065024,abstract_only,13,14,19,29,21,33
PXD065424,abstract_only,7,7,19,20,29,30
PXD065571,abstract_only,2,2,21,37,21,36
PXD065993,with_methods,28,37,20,25,29,34
PXD066206,abstract_only,2,2,28,40,24,30
PXD066557,abstract_only,6,6,15,24,17,24
PXD066888,abstract_only,11,12,22,26,22,29
PXD067193,with_methods,28,37,25,35,28,36
PXD067324,abstract_only,3,3,7,8,11,14
PXD067624,abstract_only,7,8,22,35,24,35
PXD067974,abstract_only,7,9,17,20,19,26
PXD068388,with_methods,25,34,18,28,28,45
PXD068581,abstract_only,9,10,21,27,23,32
PXD068982,abstract_only,9,9,16,20,17,23
PXD069399,abstract_only,2,2,17,36,17,31
PXD070339,abstract_only,12,12,24,24,28,33
PXD071367,abstract_only,1,1,22,24,22,29
PXD000013,abstract_only,0,0,11,19,12,20
PXD000529,abstract_only,8,10,11,12,17,20
PXD001327,abstract_only,9,15,21,25,21,26
PXD001420,abstract_only,8,8,26,28,26,28
PXD001574,abstract_only,13,13,19,30,15,26
PXD002014,with_methods,15,16,24,33,21,28
PXD002436,abstract_only,4,4,16,16,16,18
PXD002825,with_methods,23,25,24,28,25,30
PXD003086,abstract_only,11,11,19,25,19,22
PXD003295,with_methods,28,37,15,15,31,36
PXD003409,abstract_only,15,17,24,32,21,30
PXD003417,abstract_only,16,19,27,30,29,36
PXD003657,with_methods,22,24,13,17,21,26
PXD003977,with_methods,23,29,15,18,20,32
PXD004355,abstract_only,3,3,18,23,15,19
PXD004682,with_methods,27,36,24,33,22,33
PXD005055,with_methods,15,16,10,13,18,22
PXD005323,with_methods,26,31,26,29,24,26
PXD005554,with_methods,29,43,16,25,28,37
PXD005755,with_methods,28,46,15,24,28,52
PXD006178,abstract_only,11,11,23,32,22,29
PXD006335,with_methods,15,26,15,16,16,22
PXD006465,abstract_only,13,15,23,28,20,27
PXD006572,abstract_only,13,18,23,31,29,35
PXD006672,abstract_only,14,14,22,29,23,33
PXD006776,with_methods,27,30,21,30,25,29
PXD006911,with_methods,19,20,16,24,22,33
PXD007153,abstract_only,8,8,23,26,23,25
PXD007271,with_methods,24,43,24,24,23,30
PXD007662,abstract_only,9,9,17,19,20,21
PXD007740,abstract_only,6,6,29,36,26,36
PXD007846,abstract_only,8,8,16,25,21,30
PXD007975,with_methods,25,32,16,22,24,27
PXD008079,abstract_only,11,14,26,40,24,36
PXD008197,abstract_only,9,12,20,20,18,19
PXD008338,abstract_only,11,12,20,24,23,30
PXD008493,with_methods,24,32,18,29,25,37
PXD008584,with_methods,13,13,26,30,24,29
PXD008722,with_methods,27,29,21,23,27,34
PXD008925,with_methods,29,34,28,33,30,35
PXD008992,abstract_only,13,16,16,26,17,25
PXD009110,abstract_only,7,7,18,24,20,26
PXD009174,abstract_only,9,12,27,31,27,33
PXD009254,with_methods,24,28,17,23,19,21
PXD009302,abstract_only,9,9,18,23,17,28
PXD009360,with_methods,17,29,12,14,19,31
PXD009442,abstract_only,8,8,19,26,22,30
PXD009515,abstract_only,7,9,12,26,13,24
PXD009592,with_methods,6,7,23,34,19,30
PXD009709,with_methods,24,29,25,33,25,36
PXD009781,abstract_only,10,11,18,21,21,30
PXD009861,with_methods,14,18,13,19,17,23
PXD009916,abstract_only,11,13,19,25,20,26
PXD009996,abstract_only,10,10,22,28,21,27
PXD010103,with_methods,26,45,20,27,25,48
PXD010155,abstract_only,9,10,22,34,25,37
PXD010296,abstract_only,7,11,21,36,15,25
PXD010516,abstract_only,4,4,10,11,14,15
PXD010634,with_methods,30,43,18,22,31,40
PXD010870,with_methods,17,23,16,19,17,19
PXD011124,abstract_only,2,3,16,45,14,41
PXD011256,with_methods,15,18,16,17,16,21
PXD011618,abstract_only,9,9,23,29,22,30
PXD015957,with_methods,18,22,22,24,23,30
PXD020187,with_methods,28,29,24,25,26,29
PXD028393,with_methods,22,34,27,38,29,38
PXD036633,abstract_only,9,9,11,11,12,12
PXD046412,abstract_only,5,5,15,25,20,26
PXD046463,abstract_only,4,4,15,21,16,22
PXD046571,abstract_only,9,10,21,25,23,31
PXD046709,abstract_only,10,14,12,13,10,12
PXD046760,with_methods,23,38,15,26,21,31
PXD046852,abstract_only,1,1,18,19,18,25
PXD046995,abstract_only,7,7,26,31,23,31
PXD047043,abstract_only,10,13,23,28,23,26
PXD047133,abstract_only,9,9,14,23,16,27
PXD047241,with_methods,22,25,18,22,19,27
PXD047386,abstract_only,15,15,24,28,25,33
PXD047527,with_methods,18,18,15,17,15,17
PXD047674,abstract_only,10,12,12,15,11,14
PXD047828,abstract_only,6,6,12,16,14,16
PXD047930,abstract_only,10,12,19,25,20,32
PXD048034,abstract_only,12,14,20,20,19,20
PXD048170,abstract_only,8,8,12,13,15,15
PXD048380,with_methods,23,28,15,19,20,34
PXD048529,abstract_only,3,4,28,48,26,38
PXD048606,abstract_only,9,11,19,25,21,30
PXD048691,abstract_only,1,1,24,24,19,19
PXD048849,abstract_only,12,12,24,33,24,28
PXD048938,with_methods,27,44,23,25,25,34
PXD049082,abstract_only,9,9,15,19,15,18
PXD049261,abstract_only,12,12,17,20,23,28
PXD049366,with_methods,22,25,13,16,19,28
PXD049795,abstract_only,15,16,19,24,21,26
PXD050090,abstract_only,9,9,11,11,16,18
PXD050279,abstract_only,11,12,16,21,19,20
PXD050410,with_methods,10,12,21,26,22,28
PXD050555,abstract_only,11,11,22,24,23,26
PXD050628,abstract_only,9,9,24,28,25,33
PXD050871,abstract_only,7,7,15,18,16,19
PXD050950,with_methods,25,32,22,30,24,27
PXD051056,abstract_only,1,1,17,20,17,20
PXD051182,abstract_only,10,10,20,24,19,23
PXD051400,abstract_only,1,1,23,32,23,32
PXD051602,with_methods,27,30,20,22,27,31
PXD051710,abstract_only,0,0,20,20,17,18
PXD051840,abstract_only,3,3,18,18,18,20
PXD051967,abstract_only,8,8,24,24,23,23
PXD052143,abstract_only,12,15,21,32,24,38
PXD052306,with_methods,25,41,21,28,24,25
PXD052718,abstract_only,4,4,15,17,14,15
PXD052831,abstract_only,10,10,16,18,17,18
PXD053043,abstract_only,9,12,17,23,20,33
PXD053264,with_methods,15,30,14,22,14,29
PXD053405,abstract_only,8,10,20,31,20,33
PXD053582,with_methods,18,19,17,23,19,33
PXD053866,abstract_only,11,11,21,26,22,32
PXD054016,abstract_only,0,0,26,35,23,28
PXD054144,abstract_only,0,0,24,27,22,25
PXD054300,abstract_only,11,12,23,30,23,36
PXD054390,abstract_only,7,8,13,18,19,29
PXD054671,abstract_only,12,12,15,20,24,32
PXD054783,abstract_only,8,13,10,11,16,24
PXD055192,with_methods,24,44,27,35,26,52
PXD055466,abstract_only,7,8,22,28,21,26
PXD055633,abstract_only,3,3,17,23,19,28
PXD055923,abstract_only,5,5,19,23,23,25
PXD056026,abstract_only,8,11,17,20,20,30
PXD056087,abstract_only,2,2,22,36,20,31
PXD056156,abstract_only,3,3,20,32,21,33
PXD056187,abstract_only,2,2,16,19,20,25
PXD056212,abstract_only,8,8,18,23,19,25
PXD056314,abstract_only,1,1,21,32,21,36
PXD056446,with_methods,13,15,18,19,18,19
PXD056535,abstract_only,4,4,24,30,18,30
PXD056695,with_methods,22,30,20,30,22,35
PXD056789,with_methods,27,32,15,21,29,42
PXD056941,abstract_only,7,9,23,28,18,24
PXD057028,abstract_only,0,0,24,30,26,34
PXD057192,abstract_only,10,11,16,18,22,26
PXD057347,abstract_only,8,9,10,27,16,33
PXD057431,abstract_only,2,2,22,36,21,35
PXD057576,abstract_only,11,14,20,25,26,33
PXD057674,abstract_only,4,4,19,26,19,28
PXD057778,with_methods,26,33,26,33,26,34
PXD057859,with_methods,18,26,15,21,18,33
PXD058024,with_methods,29,36,17,18,26,27
PXD058160,abstract_only,17,21,18,24,21,26
PXD058308,abstract_only,10,12,17,22,15,21
PXD058384,abstract_only,7,8,19,25,21,30
PXD058481,abstract_only,10,14,19,32,19,26
PXD058567,with_methods,27,61,22,22,26,65
PXD058621,abstract_only,9,10,22,26,22,26
PXD058716,abstract_only,15,15,24,33,30,30
PXD058802,abstract_only,2,2,13,14,18,18
PXD058913,with_methods,27,30,19,24,26,32
PXD059044,abstract_only,6,6,10,12,10,12
PXD059271,abstract_only,1,1,14,15,15,15
PXD059428,with_methods,31,56,17,22,30,56
PXD059565,abstract_only,3,3,16,20,19,24
PXD059671,with_methods,23,36,18,24,25,39
PXD059881,abstract_only,4,4,22,24,23,30
PXD059966,abstract_only,7,8,10,12,11,13
PXD060045,with_methods,22,27,20,30,22,28
PXD060138,abstract_only,1,1,15,19,13,15
PXD060317,abstract_only,1,1,22,32,23,28
PXD060457,abstract_only,4,4,16,22,19,22
PXD060675,with_methods,23,32,21,31,25,34
PXD060795,abstract_only,7,7,17,20,18,20
PXD060852,with_methods,31,40,24,37,31,36
PXD060912,with_methods,25,38,21,26,29,41
PXD060980,with_methods,29,38,28,43,27,34
PXD061073,with_methods,26,44,16,30,27,48
PXD061173,with_methods,27,34,13,15,22,27
PXD061285,with_methods,18,20,17,19,15,16
PXD061408,abstract_only,1,1,17,20,20,27
PXD061570,with_methods,22,23,22,23,23,25
PXD061620,abstract_only,13,18,19,22,23,28
PXD061696,with_methods,28,40,16,26,26,38
PXD061806,abstract_only,9,11,23,31,23,35
PXD061876,abstract_only,0,0,22,24,25,29
PXD062000,abstract_only,5,5,19,27,20,24
PXD062254,abstract_only,8,10,17,26,17,27
PXD062353,abstract_only,9,9,18,24,23,30
PXD062452,abstract_only,11,11,23,35,25,34
PXD062630,abstract_only,14,14,14,21,16,23
PXD062785,with_methods,26,38,16,24,25,31
PXD062943,abstract_only,5,5,19,23,20,22
PXD063058,with_methods,23,31,17,20,24,32
PXD063325,abstract_only,8,9,16,25,22,30
PXD063479,with_methods,25,53,26,37,30,63
PXD063563,abstract_only,5,5,19,22,22,27
PXD063822,abstract_only,1,1,18,25,21,30
PXD063964,abstract_only,11,11,16,18,28,50
PXD064016,with_methods,14,15,15,17,14,17
PXD064146,abstract_only,11,11,23,29,22,31
PXD064288,abstract_only,1,1,20,27,18,20
PXD064560,with_methods,15,15,17,19,18,20
PXD064727,abstract_only,8,8,15,20,18,29
PXD064850,with_methods,21,27,21,22,21,23
PXD065042,with_methods,16,22,15,15,27,34
PXD065453,with_methods,20,25,14,20,16,29
PXD065702,with_methods,30,37,21,25,29,43
PXD066010,with_methods,22,30,13,18,26,43
PXD066215,abstract_only,11,11,21,31,24,32
PXD066614,abstract_only,9,11,22,31,23,32
PXD066952,with_methods,24,39,15,20,27,45
PXD067200,abstract_only,11,11,14,20,16,24
PXD067414,abstract_only,2,2,18,21,20,25
PXD067649,abstract_only,6,6,15,19,16,20
PXD068004,with_methods,19,20,22,32,21,25
PXD068392,with_methods,26,34,16,28,27,41
PXD068664,with_methods,18,25,18,20,14,14
PXD069058,abstract_only,8,15,17,26,15,16
PXD069538,abstract_only,2,2,23,34,27,37
PXD070409,abstract_only,11,13,18,21,19,25
PXD000072,abstract_only,11,12,9,12,17,21
PXD000533,abstract_only,12,14,12,13,16,19
PXD001068,abstract_only,11,13,22,33,14,19
PXD001357,with_methods,20,31,14,21,20,32
PXD001421,abstract_only,12,12,23,26,19,21
PXD001609,abstract_only,2,2,14,17,16,21
PXD002057,with_methods,24,25,19,25,24,26
PXD002437,with_methods,19,19,18,19,20,25
PXD002842,abstract_only,13,15,18,27,17,21
PXD003120,with_methods,12,12,14,14,16,16
PXD003296,with_methods,30,34,15,15,30,30
PXD003410,abstract_only,16,17,25,30,28,35
PXD003498,with_methods,24,30,9,10,29,38
PXD003660,abstract_only,5,5,21,24,18,30
PXD004001,abstract_only,10,11,20,21,26,29
PXD004363,abstract_only,8,9,26,30,27,30
PXD004683,with_methods,31,37,27,33,26,32
PXD005154,with_methods,29,31,22,25,23,25
PXD005354,with_methods,28,43,17,24,26,33
PXD005590,with_methods,24,26,18,22,27,31
PXD005914,abstract_only,0,0,19,27,19,24
PXD006179,abstract_only,3,3,17,19,18,21
PXD006371,with_methods,18,19,18,19,27,34
PXD006476,abstract_only,1,1,20,23,17,18
PXD006576,abstract_only,9,11,24,29,28,35
PXD006675,with_methods,27,45,15,16,26,36
PXD006788,with_methods,21,23,19,21,18,21
PXD007049,abstract_only,8,11,18,24,19,20
PXD007160,with_methods,30,44,24,36,26,36
PXD007515,abstract_only,9,10,19,25,24,32
PXD007671,with_methods,29,40,19,20,24,46
PXD007744,abstract_only,6,7,22,25,24,33
PXD007873,abstract_only,10,11,16,23,19,28
PXD007990,abstract_only,0,0,14,20,14,20
PXD008115,with_methods,29,51,9,9,25,42
PXD008205,with_methods,16,16,22,29,20,26
PXD008381,with_methods,16,20,17,24,16,20
PXD008497,abstract_only,1,1,13,15,13,15
PXD008601,with_methods,27,39,15,18,27,42
PXD008723,with_methods,29,41,20,24,28,36
PXD008933,abstract_only,4,4,12,14,13,15
PXD008996,with_methods,15,15,21,24,22,25
PXD009112,with_methods,18,29,14,16,21,32
PXD009181,with_methods,17,28,12,14,19,31
PXD009265,with_methods,18,35,9,15,21,47
PXD009310,abstract_only,14,15,21,23,21,24
PXD009366,abstract_only,4,4,20,23,22,25
PXD009444,abstract_only,9,15,24,39,24,46
PXD009553,with_methods,28,35,20,23,27,42
PXD009596,with_methods,18,23,18,19,18,19
PXD009716,abstract_only,8,8,19,21,19,23
PXD009784,abstract_only,12,14,23,30,24,26
PXD009868,abstract_only,12,12,19,24,23,28
PXD009917,abstract_only,10,12,22,22,23,27
PXD010005,abstract_only,4,4,14,16,12,20
PXD010122,abstract_only,4,4,15,16,14,14
PXD010202,with_methods,25,34,16,19,21,26
PXD010361,with_methods,27,33,28,37,27,36
PXD010520,abstract_only,4,4,11,15,8,12
PXD010690,abstract_only,18,21,24,31,26,30
PXD010941,with_methods,27,31,23,35,26,37
PXD011146,abstract_only,8,11,13,16,18,18
PXD011301,with_methods,19,22,17,23,21,28
PXD011839,with_methods,22,29,12,15,25,36
PXD016199,with_methods,27,29,24,26,27,29
PXD020192,abstract_only,10,19,22,35,22,40
PXD029400,with_methods,26,39,23,34,24,42
PXD037340,abstract_only,10,11,24,31,21,25
PXD046413,abstract_only,4,4,18,25,17,19
PXD046497,with_methods,28,38,22,25,26,36
PXD046582,abstract_only,12,13,21,27,24,33
PXD046711,abstract_only,12,13,20,22,21,26
PXD046786,with_methods,8,12,17,23,24,46
PXD046855,abstract_only,6,6,11,18,11,13
PXD046996,with_methods,22,25,15,16,23,28
PXD047057,abstract_only,7,9,19,31,19,25
PXD047134,with_methods,23,32,21,39,22,34
PXD047261,abstract_only,10,10,28,48,25,48
PXD047412,abstract_only,7,7,24,32,24,32
PXD047528,abstract_only,8,9,11,12,14,18
PXD047716,abstract_only,7,7,18,27,18,26
PXD047844,abstract_only,5,5,11,11,12,13
PXD047936,with_methods,18,18,12,12,22,25
PXD048041,abstract_only,4,8,27,41,21,31
PXD048180,abstract_only,2,2,13,15,14,21
PXD048393,abstract_only,6,8,22,26,24,27
PXD048532,abstract_only,9,9,26,48,24,46
PXD048618,abstract_only,8,8,23,35,26,39
PXD048696,abstract_only,4,5,20,29,23,34
PXD048853,abstract_only,7,7,21,27,22,24
PXD048963,abstract_only,1,1,19,27,16,22
PXD049087,abstract_only,8,8,15,16,18,19
PXD049284,abstract_only,13,13,24,34,27,39
PXD049377,abstract_only,15,16,22,32,22,28
PXD049957,abstract_only,14,19,27,36,25,35
PXD050113,abstract_only,10,12,18,26,20,24
PXD050287,abstract_only,4,4,20,22,21,30
PXD050416,with_methods,22,26,20,32,24,35
PXD050557,abstract_only,1,1,11,13,11,11
PXD050688,abstract_only,2,2,25,29,26,29
PXD050884,abstract_only,5,5,12,14,13,15
PXD050985,abstract_only,3,3,21,27,20,23
PXD051062,abstract_only,11,12,18,27,18,27
PXD051187,abstract_only,8,8,17,19,16,17
PXD051404,abstract_only,8,8,15,19,14,17
PXD051640,abstract_only,3,3,18,19,27,32
PXD051715,abstract_only,7,7,24,33,24,35
PXD051849,abstract_only,8,10,20,25,20,25
PXD051981,abstract_only,10,10,17,18,20,21
PXD052176,abstract_only,1,1,22,23,19,19
PXD052317,abstract_only,0,0,15,24,13,18
PXD052720,abstract_only,11,13,22,29,22,25
PXD052854,with_methods,29,46,18,32,27,45
PXD053100,abstract_only,3,3,19,27,20,30
PXD053278,abstract_only,0,0,25,29,23,25
PXD053450,with_methods,32,40,22,39,32,53
PXD053613,abstract_only,8,8,20,25,23,28
PXD053880,abstract_only,10,10,11,12,15,15
PXD054028,abstract_only,4,4,20,27,20,25
PXD054149,abstract_only,1,1,16,22,19,24
PXD054301,abstract_only,14,14,14,19,20,29
PXD054405,abstract_only,9,9,19,19,23,23
PXD054675,with_methods,27,35,24,33,27,38
PXD054857,abstract_only,8,8,9,13,15,21
PXD055223,with_methods,26,31,21,34,21,32
PXD055473,abstract_only,12,16,21,31,24,28
PXD055737,abstract_only,9,9,25,32,26,31
PXD055943,abstract_only,16,27,27,31,26,33
PXD056040,abstract_only,6,7,14,19,14,19
PXD056092,abstract_only,12,12,15,21,15,19
PXD056160,abstract_only,2,2,6,6,10,10
PXD056189,abstract_only,5,5,18,30,17,22
PXD056248,abstract_only,7,7,21,21,22,22
PXD056331,abstract_only,13,13,14,18,18,20
PXD056463,with_methods,29,36,24,28,22,35
PXD056539,abstract_only,1,1,18,24,19,25
PXD056701,abstract_only,9,9,9,10,11,12
PXD056865,abstract_only,11,15,23,33,23,32
PXD056946,abstract_only,1,2,23,29,22,27
PXD057067,with_methods,22,29,19,25,20,27
PXD057196,with_methods,21,24,15,18,24,27
PXD057348,with_methods,27,42,16,26,27,38
PXD057448,abstract_only,8,8,18,22,17,22
PXD057588,abstract_only,10,11,18,26,20,30
PXD057677,abstract_only,13,14,17,21,24,29
PXD057789,abstract_only,2,2,24,27,22,28
PXD057890,with_methods,12,14,20,29,22,32
PXD058027,abstract_only,9,9,22,28,23,25
PXD058173,abstract_only,3,3,14,16,15,16
PXD058312,with_methods,21,29,17,21,23,31
PXD058407,abstract_only,1,1,16,21,12,18
PXD058491,abstract_only,6,7,19,28,17,30
PXD058569,abstract_only,8,8,24,37,27,42
