pxd	run	sample_base	fraction_id	pattern_type	group_size
PXD001068	OR5110722_EDG_smallSCX_3d_fr12_2	OR5110722_EDG_smallSCX_3d	12	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr13_2	OR5110722_EDG_smallSCX_3d	13	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr13	OR5110722_EDG_smallSCX_3d	13	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr14_2	OR5110722_EDG_smallSCX_3d	14	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr14	OR5110722_EDG_smallSCX_3d	14	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr16	OR5110722_EDG_smallSCX_3d	16	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr17	OR5110722_EDG_smallSCX_3d	17	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr19_2	OR5110722_EDG_smallSCX_3d	19	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr19	OR5110722_EDG_smallSCX_3d	19	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr20	OR5110722_EDG_smallSCX_3d	20	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr20_2	OR5110722_EDG_smallSCX_3d	20	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr21	OR5110722_EDG_smallSCX_3d	21	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr21_2	OR5110722_EDG_smallSCX_3d	21	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr22	OR5110722_EDG_smallSCX_3d	22	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr23	OR5110722_EDG_smallSCX_3d	23	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr24	OR5110722_EDG_smallSCX_3d	24	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr25	OR5110722_EDG_smallSCX_3d	25	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr6	OR5110722_EDG_smallSCX_3d	6	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr7_2	OR5110722_EDG_smallSCX_3d	7	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr8_2	OR5110722_EDG_smallSCX_3d	8	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr8	OR5110722_EDG_smallSCX_3d	8	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr9_2	OR5110722_EDG_smallSCX_3d	9	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_3d_fr9	OR5110722_EDG_smallSCX_3d	9	explicit_f	27
PXD001068	OR5110722_EDG_smallSCX_9d_fr12_3	OR5110722_EDG_smallSCX_9d	12	explicit_f	3
PXD001068	OR5110722_EDG_smallSCX_9d_fr21	OR5110722_EDG_smallSCX_9d	21	explicit_f	3
PXD001068	OR5110722_EDG_smallSCX_9d_fr24	OR5110722_EDG_smallSCX_9d	24	explicit_f	3
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr10	OR5110722_MA_EDG_smallSCX_9d	10	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr10_2	OR5110722_MA_EDG_smallSCX_9d	10	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr11	OR5110722_MA_EDG_smallSCX_9d	11	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr11_2	OR5110722_MA_EDG_smallSCX_9d	11	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr12_2	OR5110722_MA_EDG_smallSCX_9d	12	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr12	OR5110722_MA_EDG_smallSCX_9d	12	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr13	OR5110722_MA_EDG_smallSCX_9d	13	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr13_2	OR5110722_MA_EDG_smallSCX_9d	13	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr14	OR5110722_MA_EDG_smallSCX_9d	14	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr14_2	OR5110722_MA_EDG_smallSCX_9d	14	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr15_2	OR5110722_MA_EDG_smallSCX_9d	15	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr15	OR5110722_MA_EDG_smallSCX_9d	15	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr16	OR5110722_MA_EDG_smallSCX_9d	16	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr17	OR5110722_MA_EDG_smallSCX_9d	17	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr18	OR5110722_MA_EDG_smallSCX_9d	18	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr19	OR5110722_MA_EDG_smallSCX_9d	19	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr22	OR5110722_MA_EDG_smallSCX_9d	22	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr22_2	OR5110722_MA_EDG_smallSCX_9d	22	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr23_2	OR5110722_MA_EDG_smallSCX_9d	23	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr24	OR5110722_MA_EDG_smallSCX_9d	24	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr25	OR5110722_MA_EDG_smallSCX_9d	25	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr26	OR5110722_MA_EDG_smallSCX_9d	26	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr7	OR5110722_MA_EDG_smallSCX_9d	7	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr8	OR5110722_MA_EDG_smallSCX_9d	8	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr8_2	OR5110722_MA_EDG_smallSCX_9d	8	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr9_2	OR5110722_MA_EDG_smallSCX_9d	9	explicit_f	27
PXD001068	OR5110722_MA_EDG_smallSCX_9d_fr9	OR5110722_MA_EDG_smallSCX_9d	9	explicit_f	27
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr19	OR5_110317_EDG_11EDEG004_9d_sSCX	19	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr20	OR5_110317_EDG_11EDEG004_9d_sSCX	20	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr21	OR5_110317_EDG_11EDEG004_9d_sSCX	21	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr22	OR5_110317_EDG_11EDEG004_9d_sSCX	22	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr23	OR5_110317_EDG_11EDEG004_9d_sSCX	23	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr25	OR5_110317_EDG_11EDEG004_9d_sSCX	25	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr26	OR5_110317_EDG_11EDEG004_9d_sSCX	26	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr27	OR5_110317_EDG_11EDEG004_9d_sSCX	27	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr28	OR5_110317_EDG_11EDEG004_9d_sSCX	28	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr29	OR5_110317_EDG_11EDEG004_9d_sSCX	29	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr30	OR5_110317_EDG_11EDEG004_9d_sSCX	30	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr31	OR5_110317_EDG_11EDEG004_9d_sSCX	31	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr32	OR5_110317_EDG_11EDEG004_9d_sSCX	32	explicit_f	14
PXD001068	OR5_110317_EDG_11EDEG004_9d_sSCX_fr33	OR5_110317_EDG_11EDEG004_9d_sSCX	33	explicit_f	14
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr15	OR5_111013_EDG_11EDEG010_sSCX	15	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr16_2	OR5_111013_EDG_11EDEG010_sSCX	16	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr16	OR5_111013_EDG_11EDEG010_sSCX	16	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr17_2	OR5_111013_EDG_11EDEG010_sSCX	17	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr17	OR5_111013_EDG_11EDEG010_sSCX	17	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr18	OR5_111013_EDG_11EDEG010_sSCX	18	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr18_2	OR5_111013_EDG_11EDEG010_sSCX	18	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr18_3	OR5_111013_EDG_11EDEG010_sSCX	18	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr19_2	OR5_111013_EDG_11EDEG010_sSCX	19	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr19	OR5_111013_EDG_11EDEG010_sSCX	19	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr20	OR5_111013_EDG_11EDEG010_sSCX	20	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr20_2	OR5_111013_EDG_11EDEG010_sSCX	20	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr21	OR5_111013_EDG_11EDEG010_sSCX	21	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr22	OR5_111013_EDG_11EDEG010_sSCX	22	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr23	OR5_111013_EDG_11EDEG010_sSCX	23	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr24	OR5_111013_EDG_11EDEG010_sSCX	24	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr25	OR5_111013_EDG_11EDEG010_sSCX	25	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr26	OR5_111013_EDG_11EDEG010_sSCX	26	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr27	OR5_111013_EDG_11EDEG010_sSCX	27	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr28	OR5_111013_EDG_11EDEG010_sSCX	28	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr29	OR5_111013_EDG_11EDEG010_sSCX	29	explicit_f	22
PXD001068	OR5_111013_EDG_11EDEG010_sSCX_fr29_2	OR5_111013_EDG_11EDEG010_sSCX	29	explicit_f	22
PXD001279	Replicate1_fraction10	Replicate1	10	explicit_f	22
PXD001279	Replicate1_fraction11	Replicate1	11	explicit_f	22
PXD001279	Replicate1_fraction12	Replicate1	12	explicit_f	22
PXD001279	Replicate1_fraction13	Replicate1	13	explicit_f	22
PXD001279	Replicate1_fraction14	Replicate1	14	explicit_f	22
PXD001279	Replicate1_fraction15	Replicate1	15	explicit_f	22
PXD001279	Replicate1_fraction16	Replicate1	16	explicit_f	22
PXD001279	Replicate1_fraction17	Replicate1	17	explicit_f	22
PXD001279	Replicate1_fraction18	Replicate1	18	explicit_f	22
PXD001279	Replicate1_fraction19	Replicate1	19	explicit_f	22
PXD001279	Replicate1_fraction2	Replicate1	2	explicit_f	22
PXD001279	Replicate1_fraction20	Replicate1	20	explicit_f	22
PXD001279	Replicate1_fraction21	Replicate1	21	explicit_f	22
PXD001279	Replicate1_fraction22	Replicate1	22	explicit_f	22
PXD001279	Replicate1_fraction23	Replicate1	23	explicit_f	22
PXD001279	Replicate1_fraction24	Replicate1	24	explicit_f	22
PXD001279	Replicate1_fraction3	Replicate1	3	explicit_f	22
PXD001279	Replicate1_fraction5	Replicate1	5	explicit_f	22
PXD001279	Replicate1_fraction6	Replicate1	6	explicit_f	22
PXD001279	Replicate1_fraction7	Replicate1	7	explicit_f	22
PXD001279	Replicate1_fraction8	Replicate1	8	explicit_f	22
PXD001279	Replicate1_fraction9	Replicate1	9	explicit_f	22
PXD001279	Replicate2_fraction1	Replicate2	1	explicit_f	24
PXD001279	Replicate2_fraction10	Replicate2	10	explicit_f	24
PXD001279	Replicate2_fraction11	Replicate2	11	explicit_f	24
PXD001279	Replicate2_fraction12	Replicate2	12	explicit_f	24
PXD001279	Replicate2_fraction13	Replicate2	13	explicit_f	24
PXD001279	Replicate2_fraction14	Replicate2	14	explicit_f	24
PXD001279	Replicate2_fraction15	Replicate2	15	explicit_f	24
PXD001279	Replicate2_fraction16	Replicate2	16	explicit_f	24
PXD001279	Replicate2_fraction17	Replicate2	17	explicit_f	24
PXD001279	Replicate2_fraction18	Replicate2	18	explicit_f	24
PXD001279	Replicate2_fraction19	Replicate2	19	explicit_f	24
PXD001279	Replicate2_fraction2	Replicate2	2	explicit_f	24
PXD001279	Replicate2_fraction20	Replicate2	20	explicit_f	24
PXD001279	Replicate2_fraction21	Replicate2	21	explicit_f	24
PXD001279	Replicate2_fraction22	Replicate2	22	explicit_f	24
PXD001279	Replicate2_fraction23	Replicate2	23	explicit_f	24
PXD001279	Replicate2_fraction24	Replicate2	24	explicit_f	24
PXD001279	Replicate2_fraction3	Replicate2	3	explicit_f	24
PXD001279	Replicate2_fraction4	Replicate2	4	explicit_f	24
PXD001279	Replicate2_fraction5	Replicate2	5	explicit_f	24
PXD001279	Replicate2_fraction6	Replicate2	6	explicit_f	24
PXD001279	Replicate2_fraction7	Replicate2	7	explicit_f	24
PXD001279	Replicate2_fraction8	Replicate2	8	explicit_f	24
PXD001279	Replicate2_fraction9	Replicate2	9	explicit_f	24
PXD001674	OR6_20140217_PW_Neutrophil_subpop_rep1_fr7	OR6_20140217_PW_Neutrophil_subpop_rep1	7	explicit_f	3
PXD001674	OR6_20140217_PW_Neutrophil_subpop_rep1_fr8	OR6_20140217_PW_Neutrophil_subpop_rep1	8	explicit_f	3
PXD001674	OR6_20140217_PW_Neutrophil_subpop_rep1_fr9	OR6_20140217_PW_Neutrophil_subpop_rep1	9	explicit_f	3
PXD001674	OR6_20140218_PW_Neutrophil_subpop_rep2_fr7	OR6_20140218_PW_Neutrophil_subpop_rep2	7	explicit_f	3
PXD001674	OR6_20140218_PW_Neutrophil_subpop_rep2_fr8	OR6_20140218_PW_Neutrophil_subpop_rep2	8	explicit_f	3
PXD001674	OR6_20140218_PW_Neutrophil_subpop_rep2_fr9	OR6_20140218_PW_Neutrophil_subpop_rep2	9	explicit_f	3
PXD001674	OR6_20140220_PW_Neutrophil_subpop_rep3_fr7	OR6_20140220_PW_Neutrophil_subpop_rep3	7	explicit_f	2
PXD001674	OR6_20140220_PW_Neutrophil_subpop_rep3_fr9	OR6_20140220_PW_Neutrophil_subpop_rep3	9	explicit_f	2
PXD002990	QE0198_Corinne100414_HILICIMAC_F2	QE0198_Corinne100414_HILICIMAC	2	explicit_f	4
PXD002990	QE0198_Corinne100414_HILICIMAC_F4	QE0198_Corinne100414_HILICIMAC	4	explicit_f	4
PXD002990	QE0198_Corinne100414_HILICIMAC_F5	QE0198_Corinne100414_HILICIMAC	5	explicit_f	4
PXD002990	QE0198_Corinne100414_HILICIMAC_F6	QE0198_Corinne100414_HILICIMAC	6	explicit_f	4
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4_frac1	20150602_QEp3_NiGr_SA_saliva3_4	1	explicit_f	8
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4_frac2	20150602_QEp3_NiGr_SA_saliva3_4	2	explicit_f	8
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4_frac3	20150602_QEp3_NiGr_SA_saliva3_4	3	explicit_f	8
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4_frac4	20150602_QEp3_NiGr_SA_saliva3_4	4	explicit_f	8
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4_frac5	20150602_QEp3_NiGr_SA_saliva3_4	5	explicit_f	8
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4_frac6	20150602_QEp3_NiGr_SA_saliva3_4	6	explicit_f	8
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4_frac7	20150602_QEp3_NiGr_SA_saliva3_4	7	explicit_f	8
PXD003028	20150602_QEp3_NiGr_SA_saliva3_4_frac8	20150602_QEp3_NiGr_SA_saliva3_4	8	explicit_f	8
PXD004363	CVF_pool1_F10	CVF_pool1	10	explicit_f	14
PXD004363	CVF_pool1_F11	CVF_pool1	11	explicit_f	14
PXD004363	CVF_pool1_F12	CVF_pool1	12	explicit_f	14
PXD004363	CVF_pool1_F13	CVF_pool1	13	explicit_f	14
PXD004363	CVF_pool1_F14	CVF_pool1	14	explicit_f	14
PXD004363	CVF_pool1_F15	CVF_pool1	15	explicit_f	14
PXD004363	CVF_pool1_F16	CVF_pool1	16	explicit_f	14
PXD004363	CVF_pool1_F17	CVF_pool1	17	explicit_f	14
PXD004363	CVF_pool1_F18	CVF_pool1	18	explicit_f	14
PXD004363	CVF_pool1_F19	CVF_pool1	19	explicit_f	14
PXD004363	CVF_pool1_F20	CVF_pool1	20	explicit_f	14
PXD004363	CVF_pool1_F7	CVF_pool1	7	explicit_f	14
PXD004363	CVF_pool1_F8	CVF_pool1	8	explicit_f	14
PXD004363	CVF_pool1_F9	CVF_pool1	9	explicit_f	14
PXD004363	CVF_pool2_F10	CVF_pool2	10	explicit_f	9
PXD004363	CVF_pool2_F11	CVF_pool2	11	explicit_f	9
PXD004363	CVF_pool2_F12	CVF_pool2	12	explicit_f	9
PXD004363	CVF_pool2_F13	CVF_pool2	13	explicit_f	9
PXD004363	CVF_pool2_F14	CVF_pool2	14	explicit_f	9
PXD004363	CVF_pool2_F15	CVF_pool2	15	explicit_f	9
PXD004363	CVF_pool2_F16	CVF_pool2	16	explicit_f	9
PXD004363	CVF_pool2_F8	CVF_pool2	8	explicit_f	9
PXD004363	CVF_pool2_F9	CVF_pool2	9	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F01	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	01	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F02	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	02	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F03	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	03	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F04	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	04	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F05	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	05	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F06	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	06	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F07	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	07	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F08	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	08	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9_F10	20150407_QE2_nlc1_BTW_SA_mm_clone8_E2_acK_pH9	10	explicit_f	9
PXD005252	20150407_QE2_nlc1_BTW_SA_mm_clone8_E3_acK_pH5-5_a_F02	20150407_QE2_nlc1_BTW_SA_mm_clone8_E3_acK_pH5-5_a	02	explicit_f	5
