HAMLET (Agent),MLMarker,Run Count,Tier,1D Graph Dist,1D Graph Sim,2D Spatial Dist,2D Spatial Sim,Lin Sim (IC),Lin Dist (1-S),WuPalmer Sim (Depth),Jaccard IC Sim,Jaccard Anc Sim,Resnik Norm Sim,MICA Label,SciBERT Cosine Sim
breast,Ovary,2,Disagreement,1.6678,0.3748,1.7159,0.3682,0.1961,0.8039,0.5333,0.0157,0.0471,0.1781,primordium,0.9160532
cerebellum,Brain,2,Distant-Agreement,0.7042,0.5868,0.321,0.757,0.6089,0.3911,0.8,0.2009,0.2979,0.4377,brain,0.8787758
parietal lobe,Brain,2,Distant-Agreement,0.8879,0.5297,0.7588,0.5686,0.5014,0.4986,0.4211,0.16,0.2059,0.3345,brain,0.80418783
stomach,Small intestine,1,Near-Agreement,0.785,0.5602,0.4325,0.6981,0.7717,0.2283,0.8571,0.4927,0.7826,0.7717,alimentary part of gastrointestinal system,0.85929555
tonsil,Tonsil,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,tonsil,0.9999999
peritoneal dialysis fluid,Prostate,1,Disagreement,,0.0,,0.0,0.0,1.0,,,,,,0.7187138
skin,Esophagus,1,Disagreement,1.5647,0.3899,1.1556,0.4639,0.1821,0.8179,0.5333,0.0318,0.0833,0.124,organ component layer,0.80615175
seminal plasma,Salivary gland,1,Distant-Agreement,0.8986,0.5267,0.4567,0.6865,0.5446,0.4554,0.9231,0.1591,0.3448,0.5006,secretion of exocrine gland,0.80675864
B cells,Monocytes,1,Distant-Agreement,1.5003,0.4,0.9227,0.5201,0.6509,0.3491,0.6957,0.1904,0.2404,0.6413,hematopoietic lineage restricted progenitor cell,0.80535716
peritoneal dialysis fluid,Ovary,1,Disagreement,,0.0,,0.0,0.0,1.0,,,,,,0.73220104
blood plasma,Brain,1,Disagreement,1.4422,0.4095,0.655,0.6042,0.1343,0.8657,0.5714,0.0079,0.034,0.0964,anatomical system,0.8071523
ovary,Testis,1,Near-Agreement,0.785,0.5602,0.177,0.8496,0.8688,0.1312,1.0,0.4836,0.6923,0.8034,indifferent gonad,0.9166274
blood plasma,Ovary,1,Disagreement,1.7533,0.3632,1.8688,0.3486,0.2327,0.7673,0.5,0.0146,0.0526,0.2182,primordium,0.81884253
lung,Salivary gland,1,Distant-Agreement,1.2757,0.4394,1.4502,0.4081,0.4825,0.5175,0.6957,0.1321,0.367,0.4335,presumptive gut,0.80992377
epithelial cell,Salivary gland,1,Disagreement,0.9632,0.5094,0.6268,0.6147,0.2162,0.7838,0.7619,0.0485,0.1311,0.1212,basement membrane of epithelium,0.79189897
breast,Heart,1,Distant-Agreement,1.3138,0.4322,0.6131,0.6199,0.4034,0.5966,1.0,0.5654,0.6923,0.2527,cardiovascular system endothelium,0.89919215
brain,Ovary,1,Disagreement,1.6222,0.3814,1.2524,0.444,0.1222,0.8778,0.8,0.0243,0.125,0.0844,anatomical system,0.8807182
bone marrow,Heart,1,Distant-Agreement,1.4457,0.4089,0.8847,0.5306,0.5108,0.4892,0.8235,0.1335,0.2482,0.3501,hemolymphoid system,0.6705166
blood plasma,Salivary gland,1,Disagreement,1.6624,0.3756,2.0609,0.3267,0.2448,0.7552,0.6957,0.0759,0.2284,0.2254,anatomical cavity,0.7844023
colon,Small intestine,1,Near-Agreement,0.785,0.5602,0.3835,0.7228,0.814,0.186,0.8571,0.4715,0.7037,0.8029,intestine,0.80764574
