,Adipose tissue,Adrenal gland,B-cells,Bone marrow,Brain,Colon,Duodenum,Endometrium,Esophagus,Heart,Kidney,Liver,Lung,Monocytes,Nasal polyps,Ovary,Oviduct,Pituitary gland,Placenta,Prostate,Salivary gland,Skeletal muscle,Small intestine,Stomach,Testis,Thyroid,Tonsil,Urinary bladder
Kidney,0.7097828,0.7679658,0.58342975,0.7178959,0.8064367,0.8337682,0.74391526,0.75992084,0.90367204,0.8044447,1.0,0.8686107,0.84384155,0.71136147,0.6952185,0.7960597,0.662807,0.7451429,0.9054216,0.77536535,0.71301967,0.74444616,0.74015504,0.7929112,0.7996648,0.81241673,0.7121406,0.72902715
Liver,0.80505145,0.8597261,0.65391785,0.74561894,0.88374275,0.89554137,0.8341464,0.8654545,0.8365199,0.9074754,0.8686107,0.9999996,0.907145,0.8151362,0.7562273,0.9074026,0.71705663,0.8364037,0.88257354,0.8787285,0.8092596,0.81612366,0.84142244,0.91304266,0.8758035,0.9084456,0.7650484,0.8070595
Lung,0.7656848,0.84105015,0.6297731,0.785382,0.9020045,0.8985211,0.83356696,0.8316233,0.847778,0.8796545,0.84384155,0.907145,0.99999994,0.73644006,0.78049594,0.87357676,0.7170881,0.81464255,0.8483223,0.8555329,0.8099235,0.7863263,0.8288481,0.8848325,0.8774395,0.91144186,0.7964871,0.7876023
Monocytes,0.76423347,0.6992929,0.7599336,0.6333153,0.71783817,0.75431114,0.69286597,0.77879405,0.69669867,0.7317662,0.71136147,0.8151362,0.73644006,1.0,0.67981297,0.76886684,0.6445835,0.7178801,0.7537131,0.75650585,0.6752939,0.7146654,0.7269277,0.7630743,0.76203674,0.7491543,0.6385425,0.6546008
Nasal polyps,0.7192299,0.7810507,0.6082027,0.71407676,0.74971867,0.74764794,0.8177368,0.7875228,0.7613329,0.7114238,0.6952185,0.7562273,0.78049594,0.67981297,0.99999976,0.7528522,0.71172804,0.7884712,0.7210244,0.76954734,0.82472277,0.69557446,0.7992805,0.77293724,0.73467296,0.8071069,0.7616559,0.8056976
Ovary,0.78316635,0.8650887,0.6543546,0.7165838,0.8807183,0.8757649,0.86024827,0.8842452,0.81501144,0.8681089,0.7960597,0.9074026,0.87357676,0.76886684,0.7528522,0.9999999,0.7997249,0.87301826,0.85897326,0.8943332,0.8391286,0.78694516,0.8561034,0.9234605,0.91662776,0.88228506,0.79187137,0.81126404
Oviduct,0.7377233,0.765959,0.5871186,0.6705576,0.719577,0.74009407,0.7928454,0.8368959,0.70870864,0.6650661,0.662807,0.71705663,0.7170881,0.6445835,0.71172804,0.7997249,1.0,0.78224826,0.72509325,0.73893887,0.7822218,0.7020684,0.7825789,0.74483085,0.74951446,0.74196374,0.7414603,0.7316067
Pituitary gland,0.78489417,0.9428395,0.6690852,0.73370504,0.84826046,0.7859795,0.8704796,0.8590398,0.7614549,0.8068936,0.7451429,0.8364037,0.81464255,0.7178801,0.7884712,0.87301826,0.78224826,1.0,0.79298234,0.8525946,0.9020306,0.78057194,0.8540959,0.847116,0.8309737,0.8790004,0.76010406,0.83157355
Placenta,0.7546571,0.8034384,0.5988902,0.70169884,0.8226836,0.89108604,0.7986825,0.8357979,0.9042818,0.80752313,0.9054216,0.88257354,0.8483223,0.7537131,0.7210244,0.85897326,0.72509325,0.79298234,1.0,0.8223382,0.761554,0.756064,0.77174425,0.854581,0.84655803,0.8502823,0.72702616,0.7538021
Prostate,0.763893,0.84767836,0.607427,0.7036141,0.8554936,0.8314832,0.8012212,0.84596974,0.79340464,0.83915865,0.77536535,0.8787285,0.8555329,0.75650585,0.76954734,0.8943332,0.73893887,0.8525946,0.8223382,1.0,0.8475498,0.75803965,0.8150586,0.8761514,0.901634,0.8859304,0.7735589,0.82343
Salivary gland,0.7704796,0.9018609,0.6130978,0.75024474,0.8185302,0.7687324,0.8696083,0.8452709,0.75958794,0.77579725,0.71301967,0.8092596,0.8099235,0.6752939,0.82472277,0.8391286,0.7822218,0.9020306,0.761554,0.8475498,1.0,0.77568495,0.8745139,0.8320827,0.80243003,0.862191,0.78472626,0.87475747
Skeletal muscle,0.8300542,0.7975656,0.6294018,0.75916374,0.75300926,0.7693775,0.7500549,0.7739719,0.7276302,0.7596046,0.74444616,0.81612366,0.7863263,0.7146654,0.69557446,0.78694516,0.7020684,0.78057194,0.756064,0.75803965,0.77568495,1.0,0.8116952,0.7762489,0.77021855,0.7775215,0.6758555,0.77378076
Small intestine,0.7668226,0.86677194,0.6496397,0.7465962,0.8173297,0.8076458,0.9050036,0.8706689,0.77924275,0.7893426,0.74015504,0.84142244,0.8288481,0.7269277,0.7992805,0.8561034,0.7825789,0.8540959,0.77174425,0.8150586,0.8745139,0.8116952,1.0,0.85929555,0.807086,0.8296381,0.80634236,0.84298986
Stomach,0.7541728,0.84335077,0.6289817,0.68712854,0.86209655,0.89590275,0.86721957,0.8729379,0.8555979,0.89451694,0.7929112,0.91304266,0.8848325,0.7630743,0.77293724,0.9234605,0.74483085,0.847116,0.854581,0.8761514,0.8320827,0.7762489,0.85929555,0.99999964,0.8893367,0.89688575,0.7836754,0.8156346
Testis,0.767535,0.8175893,0.6317392,0.71868694,0.8708052,0.86057544,0.7942324,0.8284782,0.8100853,0.84575784,0.7996648,0.8758035,0.8774395,0.76203674,0.73467296,0.91662776,0.74951446,0.8309737,0.84655803,0.901634,0.80243003,0.77021855,0.807086,0.8893367,0.9999999,0.8749043,0.75740397,0.76487464
Thyroid,0.77110845,0.8851201,0.6486847,0.7424019,0.88571286,0.86362094,0.84216714,0.8528466,0.83635,0.87507457,0.81241673,0.9084456,0.91144186,0.7491543,0.8071069,0.88228506,0.74196374,0.8790004,0.8502823,0.8859304,0.862191,0.7775215,0.8296381,0.89688575,0.8749043,0.9999998,0.76375484,0.8100414
Tonsil,0.6769309,0.7478652,0.5884696,0.71705997,0.7941135,0.78561926,0.85436445,0.78954744,0.7321728,0.75815916,0.7121406,0.7650484,0.7964871,0.6385425,0.7616559,0.79187137,0.7414603,0.76010406,0.72702616,0.7735589,0.78472626,0.6758555,0.80634236,0.7836754,0.75740397,0.76375484,0.99999976,0.7351038
Urinary bladder,0.7241437,0.8629831,0.58139837,0.7234719,0.76761526,0.76402456,0.8219477,0.8221625,0.7614819,0.75436777,0.72902715,0.8070595,0.7876023,0.6546008,0.8056976,0.81126404,0.7316067,0.83157355,0.7538021,0.82343,0.87475747,0.77378076,0.84298986,0.8156346,0.76487464,0.8100414,0.7351038,0.9999999
