pxd	run	tissue_llm	tissue_mlm	confidence_mlm
PXD005200	20160309_QEp7_JRW_SA_T_O81	blood	Testis	0.0567
PXD005200	20160309_QEp7_JRW_SA_T_O82	blood	Rectum	0.0479
PXD005200	20160309_QEp7_JRW_SA_T_O84	blood	Placenta	0.053
PXD005200	20160309_QEp7_JRW_SA_T_O85	blood	Testis	0.0597
PXD005200	20160309_QEp7_JRW_SA_T_O87	blood	Testis	0.0764
PXD005200	20160309_QEp7_JRW_SA_T_O88	blood	Salivary gland	0.0448
PXD005200	20160309_QEp7_JRW_SA_T_O99	blood	Placenta	0.0441
PXD005200	20160309_QEp7_JRW_SA_T_Q28	blood	Bone marrow	0.113
PXD005200	20160309_QEp7_JRW_SA_T_Q29	blood	Bone marrow	0.1033
PXD005200	20160309_QEp7_JRW_SA_T_Q30	blood	Bone marrow	0.1301
PXD005200	20160309_QEp7_JRW_SA_T_Q31	blood	Bone marrow	0.1406
PXD005200	20160309_QEp7_JRW_SA_T_Q32	blood	Bone marrow	0.1282
PXD005200	20160309_QEp7_JRW_SA_T_Q33	blood	Bone marrow	0.1226
PXD005200	20160309_QEp7_JRW_SA_T_Q34	blood	Bone marrow	0.1287
PXD005200	20160309_QEp7_JRW_SA_T_Q35	blood	Bone marrow	0.1282
PXD005200	20160309_QEp7_JRW_SA_T_Q36	blood	Testis	0.052
PXD005200	20160309_QEp7_JRW_SA_T_Q37	blood	Testis	0.0464
PXD005200	20160309_QEp7_JRW_SA_T_Q38	blood	Bone marrow	0.1313
PXD005200	20160309_QEp7_JRW_SA_T_Q39	blood	Testis	0.0624
PXD005200	20160309_QEp7_JRW_SA_T_Q40	blood	Bone marrow	0.1453
PXD005200	20160309_QEp7_JRW_SA_T_Q41	blood	Bone marrow	0.1278
PXD005200	20160309_QEp7_JRW_SA_T_Q42	blood	Bone marrow	0.1409
PXD005200	20160309_QEp7_JRW_SA_T_Q43	blood	Bone marrow	0.1244
PXD005200	20160309_QEp7_JRW_SA_T_Q44	blood	Bone marrow	0.1269
PXD005200	20160309_QEp7_JRW_SA_T_Q45	blood	Bone marrow	0.1384
PXD007921	Experiment1_TMT_10plex_BRP_IMAC	blood	Bone marrow	0.2267
PXD007921	Experiment1_TMT_10plex_pY	blood	Bone marrow	0.1778
PXD007921	Experiment2_TMT_10plex_BRP_IMAC	blood	Bone marrow	0.1707
PXD007921	Experiment2_TMT_10plex_pY	blood	Lymph node	0.1079
PXD007921	Experiment3_TMT_10plex_BRP_IMAC	blood	Testis	0.1835
PXD007921	Experiment3_TMT_10plex_pY	blood	Lymph node	0.1065
PXD008217	2007-10a_z225	dental plaque	Salivary gland	0.2862
PXD008217	2007-14_Z584	dental plaque	Salivary gland	0.1036
PXD008217	2007-18_Z578	dental plaque	Ovary	0.1457
PXD008217	2007-22c_z222	dental plaque	Salivary gland	0.1113
PXD008217	2007-24-1_z221	dental plaque	Salivary gland	0.1171
PXD008217	2007-24-2_z220	dental plaque	Salivary gland	0.0974
PXD008217	2007-24-3_z226	dental plaque	Salivary gland	0.0953
PXD008217	2007-25_Z579	dental plaque	Salivary gland	0.0949
PXD008217	2007-27_Z583	dental plaque	Salivary gland	0.1806
PXD008217	20171208_10_autoQC01_Injection_Blank	dental plaque	Salivary gland	0.116
PXD008217	20171208_12_autoQC01	dental plaque	Tonsil	0.0395
PXD008217	20171208_18_autoQC01_Injection_Blank	dental plaque	Testis	0.0451
PXD009603	20160229_07_Z90	dental plaque; dental calculus	Salivary gland	0.1188
PXD009603	20160229_10_Z100	dental plaque; dental calculus	Salivary gland	0.1835
PXD009603	20160321_02_Z84	dental plaque; dental calculus	Salivary gland	0.1143
PXD009603	20160321_04_Z85	dental plaque; dental calculus	Salivary gland	0.3143
PXD009603	20160321_07_Z86	dental plaque; dental calculus	Salivary gland	0.2139
PXD009603	20160321_13_Z82	dental plaque; dental calculus	Salivary gland	0.1402
PXD009603	20160321_16_Z83	dental plaque; dental calculus	Esophagus	0.1031
PXD009603	20160321_19_Z87	dental plaque; dental calculus	Esophagus	0.1173
PXD009603	20160321_22_Z88	dental plaque; dental calculus	Salivary gland	0.1517
PXD009603	20160321_48_Z94	dental plaque; dental calculus	Salivary gland	0.2735
PXD009603	QE0096CSpeller_CS19	dental plaque; dental calculus	Bone marrow	0.0895
PXD009603	QE0096CSpeller_CS22	dental plaque; dental calculus	Monocytes	0.0871
PXD009603	QE558_JHendy_101215_SP2182c_2	dental plaque; dental calculus	Monocytes	0.0733
PXD009603	QE558_JHendy_101215_SP2295c_5	dental plaque; dental calculus	Salivary gland	0.0929
PXD009603	QE558_JHendy_101215_SP2300c_7	dental plaque; dental calculus	Salivary gland	0.0983
PXD009603	QE558_JHendy_101215_SP2301c_8	dental plaque; dental calculus	Monocytes	0.0816
PXD009603	QE558_JHendy_101215_SP2369c_11	dental plaque; dental calculus	Bone marrow	0.0894
PXD009603	QE558_JHendy_101215_SP2468c_9	dental plaque; dental calculus	Monocytes	0.062
PXD009603	QE558_JHendy_101215_SP2477c_4	dental plaque; dental calculus	Salivary gland	0.11
PXD009603	QE558_JHendy_101215_SP2484c_6	dental plaque; dental calculus	Monocytes	0.0622
PXD009603	QE558_JHendy_101215_SP2647c_3	dental plaque; dental calculus	Monocytes	0.0769
PXD009603	QE558_JHendy_101215_SP2748c_12	dental plaque; dental calculus	Bone marrow	0.0794
PXD009603	QE558_JHendy_101215_SP2860c_10	dental plaque; dental calculus	Nasal Polyps	0.0673
PXD009603	QE594c_MSQ523_1_JHendy_FW192	dental plaque; dental calculus	Ovary	0.102
PXD009603	QE594c_MSQ523_1_JHendy_FW268	dental plaque; dental calculus	Oviduct	0.1064
PXD009603	QE594c_MSQ523_1_JHendy_FW303	dental plaque; dental calculus	Ovary	0.1303
PXD009603	QE594c_MSQ523_1_JHendy_FW331	dental plaque; dental calculus	Ovary	0.0809
PXD009603	QE594c_MSQ523_1_JHendy_FW450	dental plaque; dental calculus	Salivary gland	0.1391
PXD009603	QE594c_MSQ523_1_JHendy_FW68	dental plaque; dental calculus	Salivary gland	0.1435
PXD009603	QE594c_MSQ523_1_JHendy_FW88	dental plaque; dental calculus	Salivary gland	0.0891
PXD009603	QE594c_MSQ523_1_JHendy_FW98	dental plaque; dental calculus	Salivary gland	0.1331
PXD009603	QE613_MSQ592_JHerdy_20160413_STB21	dental plaque; dental calculus	Salivary gland	0.0747
PXD009603	QE665_MSQ686_IrinaVelsko_CS40	dental plaque; dental calculus	Monocytes	0.0821
PXD009603	QE665_MSQ686_IrineVelsko_20160818_CS18	dental plaque; dental calculus	Salivary gland	0.1443
PXD009603	QE665_MSQ686_IrineVelsko_20160818_CS21	dental plaque; dental calculus	Monocytes	0.0802
PXD009603	QE665_MSQ686_IrineVelsko_20160818_CS31	dental plaque; dental calculus	Monocytes	0.0858
PXD009603	QE665_MSQ686_IrineVelsko_20160818_CS46	dental plaque; dental calculus	Salivary gland	0.113
PXD009603	QE665_MSQ686_IrineVelsko_20160818_CS6	dental plaque; dental calculus	Salivary gland	0.0927
PXD009603	QE665_MSQ686_IrineVelsko_20160818_CSPN2	dental plaque; dental calculus	Ovary	0.1042
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_1	dental plaque; dental calculus	Salivary gland	0.0823
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_10	dental plaque; dental calculus	Salivary gland	0.0905
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_11	dental plaque; dental calculus	Salivary gland	0.1094
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_12	dental plaque; dental calculus	Salivary gland	0.0807
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_13	dental plaque; dental calculus	Salivary gland	0.0974
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_14	dental plaque; dental calculus	Salivary gland	0.1149
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_15	dental plaque; dental calculus	Monocytes	0.0746
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_16	dental plaque; dental calculus	Monocytes	0.0916
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_17	dental plaque; dental calculus	Salivary gland	0.1089
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_18	dental plaque; dental calculus	Nasal Polyps	0.0663
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_2	dental plaque; dental calculus	Salivary gland	0.1551
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_3	dental plaque; dental calculus	Salivary gland	0.121
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_4	dental plaque; dental calculus	Bone marrow	0.0563
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_5	dental plaque; dental calculus	Monocytes	0.1054
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_6	dental plaque; dental calculus	Liver	0.1067
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_7	dental plaque; dental calculus	Salivary gland	0.0801
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_8	dental plaque; dental calculus	Salivary gland	0.1098
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_9	dental plaque; dental calculus	Salivary gland	0.0812
PXD009603	QE689_MSQ819_KristaMGrath_20161019_FAO_BL	dental plaque; dental calculus	Testis	0.0648
PXD009603	QE689_MSQ819_KristaMGrath_20161019_RLH_103	dental plaque; dental calculus	Salivary gland	0.1144
PXD009603	QE689_MSQ819_KristaMGrath_20161019_RLH_135	dental plaque; dental calculus	Bone marrow	0.0813
PXD009603	QE689_MSQ819_KristaMGrath_20161019_RLH_365	dental plaque; dental calculus	Bone marrow	0.0924
PXD009603	QE689_MSQ819_KristaMGrath_20161019_RLH_386	dental plaque; dental calculus	Monocytes	0.1024
