pxd	run	source_parquet	coverage	scoring_mode	tissue	confidence	tissue_2	confidence_2	tissue_3	confidence_3	tissue_4	confidence_4	tissue_5	confidence_5
PXD000561	PXD000561-Sample 62	sample_nsaf_matrix.parquet	0.4631	predict_proba	Prostate	0.4766	Endometrium	0.0487	Urinary bladder	0.0458	Colon	0.0424	Smooth muscle	0.0421
PXD000561	PXD000561-Sample 63	sample_nsaf_matrix.parquet	0.417	predict_proba	Colon	0.4493	Rectum	0.0678	Stomach	0.0542	Lung	0.0469	Appendix	0.0439
PXD000561	PXD000561-Sample 66	sample_nsaf_matrix.parquet	0.4608	predict_proba	Brain	0.6023	Oviduct	0.0602	Endometrium	0.0298	Lung	0.0281	Stomach	0.0269
PXD000561	PXD000561-Sample 67	sample_nsaf_matrix.parquet	0.3872	predict_proba	Brain	0.4315	Testis	0.045	Lung	0.0416	Endometrium	0.0369	Colon	0.0342
PXD000561	PXD000561-Sample 68	sample_nsaf_matrix.parquet	0.6282	predict_proba	Testis	0.8817	Kidney	0.02	Parotid gland	0.0158	Placenta	0.0157	Pituitary gland	0.0112
PXD000561	PXD000561-Sample 7	sample_nsaf_matrix.parquet	0.2066	predict_proba	Heart	0.5419	Endometrium	0.0837	Skeletal muscle	0.0319	Urinary bladder	0.0283	Lung	0.0235
PXD000561	PXD000561-Sample 73	sample_nsaf_matrix.parquet	0.4104	predict_proba	Heart	0.5405	Esophagus	0.036	Urinary bladder	0.0303	Lung	0.0277	Endometrium	0.0258
PXD000561	PXD000561-Sample 79	sample_nsaf_matrix.parquet	0.3925	predict_proba	Placenta	0.5523	Lung	0.0551	Kidney	0.0334	Endometrium	0.0322	Urinary bladder	0.0303
PXD000561	PXD000561-Sample 8	sample_nsaf_matrix.parquet	0.292	predict_proba	Kidney	0.6064	Liver	0.0401	Lung	0.0352	Adipose tissue	0.0309	Colon	0.0297
PXD000561	PXD000561-Sample 80	sample_nsaf_matrix.parquet	0.4399	predict_proba	Brain	0.8767	Bone marrow	0.0131	Monocytes	0.0097	Stomach	0.0095	Lung	0.008
PXD000561	PXD000561-Sample 81	sample_nsaf_matrix.parquet	0.3213	predict_proba	Heart	0.7053	Skeletal muscle	0.0262	Prostate	0.0232	Stomach	0.0212	Colon	0.0208
PXD000561	PXD000561-Sample 82	sample_nsaf_matrix.parquet	0.5349	predict_proba	Liver	0.9687	Kidney	0.0159	Colon	0.0083	Appendix	0.0024	Stomach	0.0006
PXD000561	PXD000561-Sample 83	sample_nsaf_matrix.parquet	0.3618	predict_proba	Liver	0.8615	Kidney	0.0256	Lung	0.0117	Colon	0.0092	Ovary	0.0079
PXD000561	PXD000561-Sample 84	sample_nsaf_matrix.parquet	0.4661	predict_proba	Colon	0.5111	Rectum	0.0833	Duodenum	0.0467	Appendix	0.0424	Kidney	0.0393
PXD000561	PXD000561-Sample 85	sample_nsaf_matrix.parquet	0.4745	predict_proba	Brain	0.9268	Kidney	0.0164	Tonsil	0.0108	Adipose tissue	0.0088	Stomach	0.0068
PXD000561	PXD000561-Sample 9	sample_nsaf_matrix.parquet	0.2771	predict_proba	Kidney	0.601	Lung	0.0601	Liver	0.0432	Placenta	0.0259	Heart	0.0219
PXD001417	PBMC_3_con_sn1a	sample_nsaf_matrix.parquet	0.1358	predict_proba	Monocytes	0.3237	Spleen	0.0943	Bone marrow	0.0794	Kidney	0.0445	Lung	0.0442
PXD001417	PBMC_3_con_sn1b	sample_nsaf_matrix.parquet	0.1373	predict_proba	Monocytes	0.3741	Bone marrow	0.0782	Spleen	0.0747	Ovary	0.0502	Lung	0.0436
PXD001418	PBMC_1_stim_ne1a	sample_nsaf_matrix.parquet	0.2039	predict_proba	B-cells	0.4477	Monocytes	0.0821	Bone marrow	0.07	Spleen	0.057	Testis	0.0547
PXD001418	PBMC_1_stim_ne1b	sample_nsaf_matrix.parquet	0.202	predict_proba	B-cells	0.4269	Monocytes	0.0902	Bone marrow	0.0704	Spleen	0.0565	Testis	0.053
PXD001418	PBMC_2_stim_ne1a	sample_nsaf_matrix.parquet	0.1584	predict_proba	B-cells	0.3352	Bone marrow	0.1074	Spleen	0.0755	Testis	0.0716	Monocytes	0.0584
PXD001418	PBMC_2_stim_ne1b	sample_nsaf_matrix.parquet	0.1631	predict_proba	B-cells	0.3465	Bone marrow	0.0969	Testis	0.0718	Spleen	0.0714	Monocytes	0.0682
PXD001418	PBMC_3_stim_ne1a	sample_nsaf_matrix.parquet	0.1428	predict_proba	B-cells	0.3124	Bone marrow	0.1293	Testis	0.0771	Lymph node	0.0589	Monocytes	0.0551
PXD001418	PBMC_3_stim_ne1b	sample_nsaf_matrix.parquet	0.1443	predict_proba	B-cells	0.3118	Bone marrow	0.1184	Testis	0.0724	Lymph node	0.0579	Monocytes	0.0545
PXD001420	PBMC_3_stim_sn1a	sample_nsaf_matrix.parquet	0.1507	predict_proba	Monocytes	0.3964	Spleen	0.1131	Bone marrow	0.0914	Testis	0.0387	Kidney	0.0371
PXD001420	PBMC_3_stim_sn1b	sample_nsaf_matrix.parquet	0.1555	predict_proba	Monocytes	0.3548	Spleen	0.1186	Bone marrow	0.0854	Kidney	0.0399	Testis	0.0354
PXD001423	PBMC_3_stim_dex_sn1a	sample_nsaf_matrix.parquet	0.1355	predict_proba	Monocytes	0.3716	Spleen	0.1235	Bone marrow	0.0924	Lung	0.0341	Testis	0.0307
PXD001423	PBMC_3_stim_dex_sn1b	sample_nsaf_matrix.parquet	0.135	predict_proba	Monocytes	0.4068	Spleen	0.1088	Bone marrow	0.0847	Testis	0.0361	Ovary	0.0359
PXD002145	00799_E05_P006409_S00_N37_R1	sample_nsaf_matrix.parquet	0.0112	shap_penalty1	Prostate	0.328	Salivary gland	0.138	Pituitary gland	0.0636	Nasal Polyps	0.0566	Tonsil	0.0394
PXD002145	00917_C04_P008028_B00_N27_R1	sample_nsaf_matrix.parquet	0.0013	shap_penalty1	Prostate	0.3915	Salivary gland	0.0803	Skeletal muscle	0.0384	Tonsil	0.0375	B-cells	0.0347
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated5	sample_nsaf_matrix.parquet	0.2494	predict_proba	Salivary gland	0.3006	Esophagus	0.2219	Ovary	0.1342	Tonsil	0.1321	Lung	0.0367
PXD003534	DYO-HS_EXP9_A1	sample_nsaf_matrix.parquet	0.1219	predict_proba	Monocytes	0.6396	Bone marrow	0.0723	Lung	0.0357	Spleen	0.0232	Lymph node	0.0205
PXD003534	DYO-HS_EXP9_A2	sample_nsaf_matrix.parquet	0.0517	shap_penalty1	Monocytes	0.3351	Skeletal muscle	0.0376	Pituitary gland	0.0337	Small intestine	0.0325	Salivary gland	0.0322
PXD003534	DYO-HS_EXP9_A3	sample_nsaf_matrix.parquet	0.0572	shap_penalty1	Monocytes	0.3365	Skeletal muscle	0.0385	Prostate	0.0376	Small intestine	0.0332	Tonsil	0.0322
PXD003534	DYO-HS_EXP9_A4	sample_nsaf_matrix.parquet	0.0587	shap_penalty1	Monocytes	0.3758	Skeletal muscle	0.0364	Prostate	0.0354	Small intestine	0.0323	Salivary gland	0.0308
PXD003534	DYO-HS_EXP9_A5	sample_nsaf_matrix.parquet	0.0627	shap_penalty1	Monocytes	0.4108	Skeletal muscle	0.0383	Prostate	0.0363	Small intestine	0.0324	Tonsil	0.0295
PXD003534	DYO-HS_EXP9_A6	sample_nsaf_matrix.parquet	0.1174	predict_proba	Monocytes	0.7282	Bone marrow	0.0611	Lung	0.0267	Spleen	0.0172	Appendix	0.0127
PXD003534	DYO-HS_EXP9_A7	sample_nsaf_matrix.parquet	0.1087	predict_proba	Monocytes	0.7155	Bone marrow	0.067	Lung	0.0264	Testis	0.024	Spleen	0.0152
PXD003534	DYO-HS_EXP9_N1	sample_nsaf_matrix.parquet	0.0763	shap_penalty1	Monocytes	0.3811	Placenta	0.038	Tonsil	0.0373	Skeletal muscle	0.0352	Salivary gland	0.0332
PXD003534	DYO-HS_EXP9_N2	sample_nsaf_matrix.parquet	0.0552	shap_penalty1	Monocytes	0.3822	Prostate	0.0371	Skeletal muscle	0.0364	Small intestine	0.0325	Salivary gland	0.0306
PXD003534	DYO-HS_EXP9_N3	sample_nsaf_matrix.parquet	0.0535	shap_penalty1	Monocytes	0.3891	Skeletal muscle	0.0362	Prostate	0.0341	Small intestine	0.0337	Tonsil	0.031
PXD003534	DY_HS_AD1	sample_nsaf_matrix.parquet	0.1636	predict_proba	Monocytes	0.5364	Bone marrow	0.0926	Lung	0.0375	Appendix	0.0326	Tonsil	0.0281
PXD003534	DY_HS_AD2	sample_nsaf_matrix.parquet	0.0928	shap_penalty1	Monocytes	0.4747	Tonsil	0.0383	Skeletal muscle	0.0369	Small intestine	0.0309	Placenta	0.0303
PXD003534	DY_HS_AD3	sample_nsaf_matrix.parquet	0.0923	shap_penalty1	Monocytes	0.4779	Skeletal muscle	0.0379	Small intestine	0.0364	Tonsil	0.031	Placenta	0.0296
PXD003534	DY_HS_AD4	sample_nsaf_matrix.parquet	0.091	shap_penalty1	Monocytes	0.4773	Tonsil	0.0425	Nasal Polyps	0.0402	Placenta	0.0397	Skeletal muscle	0.0367
PXD003534	DY_HS_AD5	sample_nsaf_matrix.parquet	0.0975	shap_penalty1	Monocytes	0.5191	Skeletal muscle	0.0363	Prostate	0.0327	Nasal Polyps	0.0322	Small intestine	0.0314
PXD003534	DY_HS_AD6	sample_nsaf_matrix.parquet	0.142	predict_proba	Monocytes	0.6402	Bone marrow	0.0659	Lung	0.034	Testis	0.0328	Spleen	0.0192
PXD003534	DY_HS_AD7	sample_nsaf_matrix.parquet	0.0901	shap_penalty1	Monocytes	0.4865	Skeletal muscle	0.0382	B-cells	0.0348	Nasal Polyps	0.0323	Small intestine	0.0307
PXD003534	DY_HS_EXP15_A1	sample_nsaf_matrix.parquet	0.0781	shap_penalty1	Monocytes	0.4491	Tonsil	0.0482	Skeletal muscle	0.0351	Esophagus	0.0349	Small intestine	0.0331
PXD003534	DY_HS_EXP15_A4	sample_nsaf_matrix.parquet	0.0507	shap_penalty1	Monocytes	0.3161	Skeletal muscle	0.038	Placenta	0.0357	B-cells	0.0322	Small intestine	0.0315
PXD003534	DY_HS_EXP15_N1	sample_nsaf_matrix.parquet	0.0532	shap_penalty1	Monocytes	0.4277	Skeletal muscle	0.0371	Small intestine	0.0351	Nasal Polyps	0.0331	B-cells	0.0304
PXD003534	DY_HS_EXP15_N5	sample_nsaf_matrix.parquet	0.049	shap_penalty1	Monocytes	0.3292	Thyroid	0.0518	Skeletal muscle	0.0367	Tonsil	0.0329	Small intestine	0.0318
PXD003534	DY_HS_EXP15_N6	sample_nsaf_matrix.parquet	0.0646	shap_penalty1	Monocytes	0.4068	Skeletal muscle	0.0369	Small intestine	0.0327	B-cells	0.0318	Duodenum	0.0288
PXD003534	DY_HS_EXP6_A1	sample_nsaf_matrix.parquet	0.102	predict_proba	Monocytes	0.5892	Bone marrow	0.0899	Lung	0.0366	Testis	0.024	Spleen	0.0233
PXD003534	DY_HS_EXP6_A2	sample_nsaf_matrix.parquet	0.0654	shap_penalty1	Monocytes	0.3916	Skeletal muscle	0.0369	Tonsil	0.0328	Pituitary gland	0.0325	Small intestine	0.0323
PXD003534	DY_HS_EXP6_N5	sample_nsaf_matrix.parquet	0.047	shap_penalty1	Monocytes	0.3351	Skeletal muscle	0.0371	Small intestine	0.0337	Tonsil	0.0335	B-cells	0.0287
PXD003534	DY_HS_EXP6_N6	sample_nsaf_matrix.parquet	0.0729	shap_penalty1	Monocytes	0.4418	B-cells	0.0408	Tonsil	0.0365	Skeletal muscle	0.0358	Small intestine	0.0331
PXD003534	DY_HS_EXP6_N7	sample_nsaf_matrix.parquet	0.0853	shap_penalty1	Monocytes	0.5219	Skeletal muscle	0.034	Small intestine	0.0331	B-cells	0.0326	Tonsil	0.0315
PXD003534	DY_HS_Exp16-2_A1	sample_nsaf_matrix.parquet	0.0972	shap_penalty1	Monocytes	0.4799	B-cells	0.0413	Skeletal muscle	0.0367	Small intestine	0.0316	Tonsil	0.0304
PXD003534	DY_HS_Exp16-2_A2	sample_nsaf_matrix.parquet	0.0724	shap_penalty1	Monocytes	0.3995	Salivary gland	0.0405	Skeletal muscle	0.0365	Small intestine	0.0325	B-cells	0.0309
PXD003534	DY_HS_Exp16-2_A3	sample_nsaf_matrix.parquet	0.0734	shap_penalty1	Monocytes	0.3961	B-cells	0.0463	Skeletal muscle	0.0365	Spleen	0.0335	Small intestine	0.0325
PXD003534	DY_HS_Exp16-2_A4	sample_nsaf_matrix.parquet	0.0617	shap_penalty1	Monocytes	0.3624	Spleen	0.0469	Skeletal muscle	0.0371	Prostate	0.033	Small intestine	0.0329
PXD003534	DY_HS_Exp16-2_A5	sample_nsaf_matrix.parquet	0.0858	shap_penalty1	Monocytes	0.5253	Spleen	0.0408	Skeletal muscle	0.0374	B-cells	0.0325	Small intestine	0.032
PXD003534	DY_HS_Exp16-2_A6	sample_nsaf_matrix.parquet	0.1019	predict_proba	Monocytes	0.7042	Bone marrow	0.0664	Lung	0.0329	Spleen	0.0219	Testis	0.0181
PXD003534	DY_HS_Exp16-2_A7	sample_nsaf_matrix.parquet	0.084	shap_penalty1	Monocytes	0.497	Tonsil	0.0413	Skeletal muscle	0.0368	Small intestine	0.0334	Heart	0.0311
PXD003534	DY_HS_Exp16-2_A8	sample_nsaf_matrix.parquet	0.0953	shap_penalty1	Monocytes	0.5537	Skeletal muscle	0.0366	Small intestine	0.0322	B-cells	0.0287	Duodenum	0.0272
PXD003534	DY_HS_Exp16-2_N1	sample_nsaf_matrix.parquet	0.085	shap_penalty1	Monocytes	0.4616	Skeletal muscle	0.0361	B-cells	0.0328	Small intestine	0.0314	Salivary gland	0.0312
PXD003534	DY_HS_Exp16-2_N4	sample_nsaf_matrix.parquet	0.0505	shap_penalty1	Monocytes	0.3553	Skeletal muscle	0.0355	Nasal Polyps	0.0343	Small intestine	0.0333	Placenta	0.0307
PXD003534	DY_HS_Exp16-2_N5	sample_nsaf_matrix.parquet	0.0768	shap_penalty1	Monocytes	0.4492	Liver	0.0424	Skeletal muscle	0.0373	Small intestine	0.0328	Pituitary gland	0.0308
PXD003534	DY_HS_Exp7-Ad1	sample_nsaf_matrix.parquet	0.1373	predict_proba	Monocytes	0.6292	Bone marrow	0.0711	Appendix	0.0261	Lung	0.0261	Testis	0.0247
PXD003534	DY_HS_Exp7-Ad2	sample_nsaf_matrix.parquet	0.0729	shap_penalty1	Monocytes	0.4563	Skeletal muscle	0.0367	B-cells	0.0336	Small intestine	0.0327	Tonsil	0.0323
PXD003534	DY_HS_Exp7-Ad3	sample_nsaf_matrix.parquet	0.0803	shap_penalty1	Monocytes	0.4128	Tonsil	0.049	Skeletal muscle	0.0374	Small intestine	0.0326	Prostate	0.0325
PXD003534	DY_HS_Exp7-Ad4	sample_nsaf_matrix.parquet	0.086	shap_penalty1	Monocytes	0.4414	Tonsil	0.0462	Skeletal muscle	0.0354	Small intestine	0.0346	B-cells	0.0306
PXD003534	DY_HS_Exp7-Ad5	sample_nsaf_matrix.parquet	0.1261	predict_proba	Monocytes	0.5776	Bone marrow	0.08	Testis	0.0396	Lung	0.0358	Lymph node	0.0269
PXD003534	DY_HS_Exp7-N1	sample_nsaf_matrix.parquet	0.1097	predict_proba	Monocytes	0.5671	Bone marrow	0.0792	Lung	0.046	Testis	0.0443	Tonsil	0.0218
PXD003534	DY_HS_Exp7-N2	sample_nsaf_matrix.parquet	0.0605	shap_penalty1	Monocytes	0.3285	Brain	0.0496	Tonsil	0.0425	Pituitary gland	0.042	Nasal Polyps	0.0371
PXD003534	DY_HS_Exp7-N3	sample_nsaf_matrix.parquet	0.0559	shap_penalty1	Monocytes	0.3824	Skeletal muscle	0.0375	Tonsil	0.0347	Small intestine	0.0347	Nasal Polyps	0.0314
PXD003534	DY_HS_Exp7-N4	sample_nsaf_matrix.parquet	0.0495	shap_penalty1	Monocytes	0.3443	Tonsil	0.0387	Skeletal muscle	0.0363	Small intestine	0.0337	Prostate	0.0328
PXD003534	DY_HS_Exp7-N5-1	sample_nsaf_matrix.parquet	0.0482	shap_penalty1	Monocytes	0.3675	Skeletal muscle	0.0371	Small intestine	0.0339	Tonsil	0.0335	Salivary gland	0.0314
PXD003534	DY_HS_Exp7-N6	sample_nsaf_matrix.parquet	0.1142	predict_proba	Monocytes	0.6156	Bone marrow	0.0815	Lung	0.039	Appendix	0.0209	Testis	0.0197
PXD003534	DY_HS_Exp7-N7	sample_nsaf_matrix.parquet	0.104	predict_proba	Monocytes	0.588	Bone marrow	0.0815	Lung	0.0346	Appendix	0.0262	Spleen	0.0257
PXD003534	DY_HS_Exp8_N1_1	sample_nsaf_matrix.parquet	0.0978	shap_penalty1	Monocytes	0.5809	Skeletal muscle	0.0368	Small intestine	0.0327	Duodenum	0.0303	Salivary gland	0.0286
PXD003534	DY_HS_Exp8_N1_2	sample_nsaf_matrix.parquet	0.0662	shap_penalty1	Monocytes	0.4549	Skeletal muscle	0.0378	Tonsil	0.0369	Prostate	0.0354	Small intestine	0.0322
PXD003534	DY_HS_Exp8_N1_3	sample_nsaf_matrix.parquet	0.0657	shap_penalty1	Monocytes	0.3483	Prostate	0.058	Thyroid	0.0431	Skeletal muscle	0.0379	Pituitary gland	0.0358
PXD003534	DY_HS_Exp8_N1_4	sample_nsaf_matrix.parquet	0.098	shap_penalty1	Monocytes	0.4996	Tonsil	0.0348	Skeletal muscle	0.0348	Nasal Polyps	0.0341	Small intestine	0.0338
PXD003534	DY_HS_Exp8_N1_5	sample_nsaf_matrix.parquet	0.0799	shap_penalty1	Monocytes	0.4825	Prostate	0.0401	Skeletal muscle	0.0372	Small intestine	0.0325	Tonsil	0.0322
PXD003534	DY_HS_Exp8_N1_6	sample_nsaf_matrix.parquet	0.0993	shap_penalty1	Monocytes	0.5666	Skeletal muscle	0.035	Small intestine	0.034	Salivary gland	0.0292	Nasal Polyps	0.0291
PXD003534	DY_HS_Exp8_N1_7	sample_nsaf_matrix.parquet	0.1131	predict_proba	Monocytes	0.6508	Bone marrow	0.089	Testis	0.0353	Lung	0.0293	Spleen	0.0205
PXD003534	DY_HS_Exp8_N2D_1	sample_nsaf_matrix.parquet	0.1025	predict_proba	Monocytes	0.7061	Bone marrow	0.0537	Lung	0.0352	Testis	0.0264	Kidney	0.0131
PXD003534	DY_HS_Exp8_N2D_2	sample_nsaf_matrix.parquet	0.0592	shap_penalty1	Monocytes	0.3963	Skeletal muscle	0.0375	Small intestine	0.0329	Placenta	0.0326	Tonsil	0.0306
PXD003534	DY_HS_Exp8_N2D_3	sample_nsaf_matrix.parquet	0.0589	shap_penalty1	Monocytes	0.3553	Skeletal muscle	0.0378	Spleen	0.0359	Small intestine	0.0333	Salivary gland	0.0299
PXD003534	DY_HS_Exp8_N2D_4	sample_nsaf_matrix.parquet	0.0714	shap_penalty1	Monocytes	0.3759	Skeletal muscle	0.036	Small intestine	0.0342	Tonsil	0.0338	Nasal Polyps	0.032
PXD003534	DY_HS_Exp8_N2D_5	sample_nsaf_matrix.parquet	0.0789	shap_penalty1	Monocytes	0.4733	Skeletal muscle	0.0367	Small intestine	0.0326	Tonsil	0.0315	Salivary gland	0.0298
PXD003534	DY_HS_Exp8_N2D_6	sample_nsaf_matrix.parquet	0.0988	shap_penalty1	Monocytes	0.6102	Skeletal muscle	0.0322	Small intestine	0.0321	Duodenum	0.0298	Salivary gland	0.0292
PXD003534	DY_HS_Exp8_N2D_7	sample_nsaf_matrix.parquet	0.0888	shap_penalty1	Monocytes	0.5476	Skeletal muscle	0.0354	Small intestine	0.0328	Salivary gland	0.0295	Tonsil	0.0292
PXD003534	DY_HS_IN1	sample_nsaf_matrix.parquet	0.1094	predict_proba	Monocytes	0.5834	Bone marrow	0.069	Lung	0.0352	Thyroid	0.0351	Spleen	0.033
PXD003534	DY_HS_IN2_121102163803	sample_nsaf_matrix.parquet	0.0977	shap_penalty1	Monocytes	0.4539	Tonsil	0.0481	Skeletal muscle	0.0373	Nasal Polyps	0.0347	Small intestine	0.0312
PXD003534	DY_HS_IN3_121102210504	sample_nsaf_matrix.parquet	0.0799	shap_penalty1	Monocytes	0.37	Brain	0.0535	Tonsil	0.0474	Pituitary gland	0.04	Skeletal muscle	0.037
PXD003534	DY_HS_IN5_121103055900	sample_nsaf_matrix.parquet	0.0826	shap_penalty1	Monocytes	0.3648	Skeletal muscle	0.0376	Nasal Polyps	0.0325	Tonsil	0.0316	Salivary gland	0.0314
PXD003534	DY_HS_IN6	sample_nsaf_matrix.parquet	0.1219	predict_proba	Monocytes	0.6267	Bone marrow	0.0914	Lung	0.0375	Spleen	0.0326	Appendix	0.0322
PXD003534	DY_HS_IN7	sample_nsaf_matrix.parquet	0.084	shap_penalty1	Monocytes	0.4712	Skeletal muscle	0.0379	Tonsil	0.033	Small intestine	0.0325	Nasal Polyps	0.0303
PXD003534	DY_HS_IN8	sample_nsaf_matrix.parquet	0.1198	predict_proba	Monocytes	0.5456	Bone marrow	0.0911	Spleen	0.0548	Lung	0.0391	Testis	0.0379
PXD004355	150729_Long_polyWAX_BrainSol_sol_1uL_0_4ulmin_1200min	sample_nsaf_matrix.parquet	0.1898	predict_proba	Brain	0.7275	Bone marrow	0.0413	Pituitary gland	0.0393	Testis	0.0303	Liver	0.0163
PXD004355	150729_Long_polyWAX_BrainSol_sol_1uL_0_4ulmin_600min	sample_nsaf_matrix.parquet	0.1666	predict_proba	Brain	0.8244	Pituitary gland	0.0241	Bone marrow	0.024	Lung	0.0144	Liver	0.0096
PXD004355	150729_Long_polyWAX_Brain_sol_1uL_0_4ulmin_280min	sample_nsaf_matrix.parquet	0.1353	predict_proba	Brain	0.6744	Testis	0.0339	Bone marrow	0.0277	Ovary	0.0252	Kidney	0.0236
PXD004540	20150311_CSF_TMT_SPEG_MM_12	sample_nsaf_matrix.parquet	0.01	shap_penalty1	Brain	0.3033	Skeletal muscle	0.0389	Tonsil	0.0378	Monocytes	0.037	B-cells	0.0342
PXD004540	20150311_CSF_TMT_SPEG_MM_12_Rerun	sample_nsaf_matrix.parquet	0.007	shap_penalty1	Brain	0.3007	Pituitary gland	0.0763	Tonsil	0.0405	Skeletal muscle	0.0389	Adrenal gland	0.0351
PXD004540	20150311_CSF_TMT_SPEG_MM_8	sample_nsaf_matrix.parquet	0.014	shap_penalty1	Brain	0.316	Thyroid	0.0574	Tonsil	0.0394	Skeletal muscle	0.0384	B-cells	0.0343
