accession,title,pubmed_id,doi,license,submission_date,publication_date,organisms,organism_parts,diseases,instruments,experiment_types,quantification_methods,identified_ptms,raw_file_count,total_file_count
PXD002088,"CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 9",25043054,10.6019/PXD002088,EBI terms of use,2015-04-20,2015-07-03,Homo sapiens (human),Rectal cancer cell; Colonic cancer cell,Rectum adenocarcinoma; Colon adenocarcinoma,LTQ Orbitrap Velos,Shotgun proteomics,,Gln->pyro-Glu; Glu->pyro-Glu; Deamidated; Carbamidomethyl; Oxidation,150,751
PXD002222,Rice-xoo interaction phosphoproteome LC-MSMS,26112675,,EBI terms of use,2015-05-23,2015-06-29,Oryza sativa (rice),Leaf; Plant cell,,Q Exactive,Affinity purification coupled with mass spectrometry proteomics,TIC,monohydroxylated residue,6,18
PXD002266,Phosphoproteomics reveals malaria parasite Protein Kinase G as a signalling hub regulating egress and invasion,26149123,10.6019/PXD002266,EBI terms of use,2015-05-29,2017-09-22,Plasmodium falciparum,Blood,,LTQ Orbitrap Velos,Shotgun proteomics,,Phospho; TMT6plex; Carbamidomethyl; Oxidation,36,44
PXD002395,11 human cell lines -  Comparative proteomic analysis of eleven common cell lines reveals ubiquitous but varying expression of most proteins,22278370,,EBI terms of use,2015-06-19,2015-07-21,Homo sapiens (human),Epithelial cell; Jurkat cell; T cell; Cell culture; Hepatocyte,Cervix carcinoma; Acute leukemia; Brain cancer; Glioblastoma,LTQ Orbitrap Velos,Shotgun proteomics,,iodoacetamide derivatized residue,198,200
PXD002619,Proteomic maps of breast cancer subtypes,26725330,,EBI terms of use,2015-07-29,2016-01-05,Homo sapiens (human),Breast cancer cell,Breast cancer,Q Exactive,Shotgun proteomics,SILAC,No PTMs are included in the dataset,261,266
PXD002870,Protein Turnover Rates in Normal and Hypertrophy Mouse Hearts,26977904,,EBI terms of use,2015-09-07,2015-09-22,Mus musculus (mouse),Heart; Cardiocyte,Cardiovascular system disease,LTQ Orbitrap Elite,Shotgun proteomics,Spectrum counting,iodoacetamide derivatized residue,1477,1479
PXD003028,Ultra-deep and quantitative saliva proteome reveals dynamics of the oral microbiome,27102203,,EBI terms of use,2015-10-09,2016-03-18,Homo sapiens (human),Saliva,,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method,No PTMs are included in the dataset,89,94
PXD003209,Proteomics of Extracellular Vesicles Harvested with ExtraPEG,27068479,10.6019/PXD003209,EBI terms of use,2016-02-17,2016-04-18,Homo sapiens (human),Epithelial cell; Permanent cell line cell; Cell culture,,LTQ Orbitrap Velos,Shotgun proteomics,Spectrum counting,Ammonia-loss; Phospho; Dehydrated; Carbamidomethyl; Oxidation; Acetyl,3,19
PXD003531,Proteomics of Primary cells derived from Ovarian Cancer,28355574,,EBI terms of use,2016-01-27,2017-04-03,Homo sapiens (human),Primary cell,Malignant neoplasm of ovary,Q Exactive,Shotgun proteomics,Label free,phosphorylated residue,59,62
PXD003539,NCI60 proteome by PCT-SWATH -  Quantitative Proteome Landscape of the NCI-60 Cancer Cell Lines,31733513,,EBI terms of use,2016-01-28,2020-06-01,Homo sapiens (human),Renal cortical epithelial cell; Epithelial cell of prostate; Mammary gland epithelial cell; Lung endothelial cell; Melanocyte of skin; Whole body; Blood cell; Colon epithelial cell; Follicle cell; Cerebral cortex glial cell,Breast cancer; Malignant neoplasm of ovary; Colon cancer; Renal cell carcinoma; Acute leukemia; Skin amelanotic melanoma; Brain cancer; Prostate adenocarcinoma; Lung mixed small cell and squamous cell carcinoma,TripleTOF 5600,SWATH MS,Label free,No PTMs are included in the dataset,0,363
PXD003668,Integrative proteomic profiling of ovarian cancer cell lines reveals precursor-cell associated proteins and functional status,27561551,,EBI terms of use,2016-02-22,2016-08-24,Homo sapiens (human),Epithelial cell; Cell culture,Malignant neoplasm of ovary,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method,No PTMs are included in the dataset,101,103
PXD003977,Expanding proteome coverage with CHarge Ordered Parallel Ion aNalysis (CHOPIN) combined with broad specificity proteolysis,28164708,,EBI terms of use,2016-04-15,2017-02-07,Homo sapiens (human),Epithelial cell; Cell culture,Breast adenocarcinoma,Orbitrap Fusion ETD,Shotgun proteomics,Spectrum counting,monohydroxylated residue,120,324
PXD004143,Allele-Specific Protein Abundance in Human Brain,28691493,,EBI terms of use,2016-05-13,2017-07-31,Homo sapiens (human),Brain,,Q Exactive,Top-down proteomics,,monohydroxylated residue; iodoacetamide derivatized residue; deamidated residue,4,10
PXD004242,Plasma Proteome Profiling Reveals the Effects of Weight Loss on the Apolipoprotein Family and Systemic Inflammation Status,28007936,,EBI terms of use,2016-05-31,2016-12-24,Homo sapiens (human),Blood plasma,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset,1290,1293
PXD004613,Repo-Man/PP1 regulates heterochromatin formation in interphase,28091603,,EBI terms of use,2016-07-20,2016-12-07,Homo sapiens (human),Cell culture,,Q Exactive,Shotgun proteomics,,acetylated residue; iodoacetamide derivatized residue; monomethylated residue,8,16
PXD004682,Comparison of Lung Cancer Proteome Profiles 1: Label Free Quantification,28195392,10.6019/PXD004682,EBI terms of use,2016-07-29,2017-02-16,Homo sapiens (human),Epithelial cell; Lung,Non-small cell lung carcinoma,Q Exactive,Shotgun proteomics,TIC,No PTMs are included in the dataset,192,1153
PXD004683,Comparison of Lung Cancer Proteome Profiles 2: TMT,28195392,10.6019/PXD004683,EBI terms of use,2016-07-29,2017-02-16,Homo sapiens (human),Epithelial cell; Lung,Non-small cell lung carcinoma,Q Exactive,SWATH MS,TMT,No PTMs are included in the dataset,48,289
PXD004684,Comparison of Lung Cancer Proteome Profiles 3: DIA,28195392,10.6019/PXD004684,EBI terms of use,2016-07-29,2017-02-16,Homo sapiens (human),Epithelial cell; Lung,Lung cancer,Q Exactive,SWATH MS,TIC,No PTMs are included in the dataset,16,97
PXD004705,A phosphoproteomic analysis of ABA induced protein phosphorylation revealed that Serine 71 is a major phosphosite for bZIP72 in SAPK10-mediated ABA signaling,28439285,,EBI terms of use,2016-08-02,2018-10-26,Oryza sativa (rice),Leaf,,Q Exactive,Affinity purification coupled with mass spectrometry proteomics,,phosphorylated residue,9,36
PXD004732,ProteomeTools -  Building ProteomeTools based on a complete synthetic human proteome,28135259,,EBI terms of use,2017-02-09,2017-02-09,Homo sapiens (human),,,Orbitrap Fusion ETD,Shotgun proteomics,,No PTMs are included in the dataset,985,2921
PXD004939,A comprehensive proteomic survey of ABA-induced protein phosphorylation in rice (Oryza sativa L.),28054942,,EBI terms of use,2016-09-12,2017-01-17,Oryza sativa (rice),Leaf,,Q Exactive,Affinity purification coupled with mass spectrometry proteomics,,phosphorylated residue,9,36
PXD004987,Proteomic characterization of neuromelanin granules isolated from human substantia nigra by laser-microdissection,27841354,10.6019/PXD004987,EBI terms of use,2016-09-16,2016-12-22,Homo sapiens (human),Brain,,LTQ Orbitrap,Shotgun proteomics,Spectrum counting,Carbamidomethyl; Oxidation,9,55
PXD005207,PfCDPK1 mediated signaling in erythrocytic stages of Plasmodium falciparum,28680058,,EBI terms of use,2016-10-24,2017-05-02,Plasmodium falciparum,Cell,Disease free,Orbitrap Fusion,Shotgun proteomics,iTRAQ,monohydroxylated residue; phosphorylated residue; iodoacetamide derivatized residue; iTRAQ4plex-116 reporter+balance reagent acylated residue,130,142
PXD005354,Pharmacoproteomic characterisation of human colon and rectal cancer - CRC65 Full Proteomes,29101300,,EBI terms of use,2017-12-12,2017-12-12,Homo sapiens (human),Colon; Rectal cancer cell line; Rectum; Colonic cancer cell line,Rectum cancer; Colon cancer,LTQ Orbitrap Velos,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue,1560,1562
PXD005355,Pharmacoproteomic characterisation of human colon and rectal cancer - CRC65 Kinobeads,29101300,,EBI terms of use,2017-12-12,2017-12-12,Homo sapiens (human),Colon; Rectal cancer cell line; Rectum; Colonic cancer cell line,Rectum cancer; Colon cancer,LTQ Orbitrap Velos,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue,195,197
PXD005445,CEGS Proteomics -  A multiregional proteomic survey of the postnatal human brain,29184206,,EBI terms of use,2018-01-09,2018-01-09,Homo sapiens (human),Brain,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue,196,199
PXD005463,"Draft of the mitochondrial landscape, OM/IM",28819139,,EBI terms of use,2016-11-30,2017-08-24,Saccharomyces cerevisiae (baker's yeast),Cell culture,,Q Exactive,Shotgun proteomics,SILAC,6x(13)C; 6x(13)C,3,7
PXD005539,Human melanoma-derived extracellular vesicles reprogram dendritic cells potentially enabling lymph node metastases,28424693,10.6019/PXD005539,EBI terms of use,2016-12-09,2018-10-26,Homo sapiens (human),Cell culture; Melanocyte,,LTQ Orbitrap Elite; Q Exactive,Gel-based experiment,Peptide counting,Ammonia-loss; Dehydrated; Carbamidomethyl; Oxidation; Acetyl,27,39
PXD005554,Analysis of ECM-enriched samples using different methods,28675934,10.6019/PXD005554,EBI terms of use,2016-12-13,2017-07-11,Homo sapiens (human),Mammary gland; Epithelial ovarian cancer cell,Breast cancer; Ovarian cancer,Q Exactive,Shotgun proteomics,Spectrum counting,Gln->pyro-Glu; Phospho; Carbamyl; Deamidated; Carbamidomethyl; Oxidation,142,709
PXD005780,Relating human gut metagenome and metaproteome,28709472,,EBI terms of use,2017-01-25,2017-07-19,Human gut metagenome,Feces,,LTQ Orbitrap Velos,Shotgun proteomics,Spectrum counting,iodoacetamide derivatized residue,15,32
PXD005982,A quantitative acetylomic analysis of early seed development in rice (Oryza sativa L.),28654018,,EBI terms of use,2017-02-27,2017-07-04,Oryza sativa (rice),Seed; Plant cell,,Q Exactive,Affinity purification coupled with mass spectrometry proteomics,MaxQuant percentage threshold for valid modification location,acetylated residue,9,10
PXD006003,Proteomics of melanoma response to immunotherapy reveals dependence on mitochondrial function,31495571,,Creative Commons Public Domain (CC0),2019-04-09,2019-07-29,Homo sapiens (human),Skin; Melanocyte,Melanoma,Q Exactive Plus; Q Exactive HF,Shotgun proteomics,SILAC,No PTMs are included in the dataset,842,849
PXD006195,"Super-SILAC reveals intricate crosstalk between lipopolysaccharide, phospholipid and fatty acid metabolism in Escherichia coli",30692974,,Creative Commons Public Domain (CC0),2018-07-02,2019-11-12,Escherichia coli,Cell culture,,LTQ Orbitrap Elite,Shotgun proteomics; Gel-based experiment,SILAC,monohydroxylated residue; 6x(13)C labeled residue,36,39
PXD006233,uDPMs in AD+CVD -  Brain ureido degenerative protein modifications are associated with neuroinflammation and proteinopathy in Alzheimer's disease with cerebrovascular disease,28865468,,EBI terms of use,2017-04-03,2017-09-11,Homo sapiens (human),Brain,Dementia,LTQ Orbitrap Elite,Shotgun proteomics,Protein Abundance Index - PAI; Spectrum counting; Peptide counting,deaminated residue; carbamoylated residue,378,380
PXD006401,Reproducible proteomics sample preparation for single FFPE tissue slices using acid-labile surfactant and direct trypsinization,29527141,,EBI terms of use,2017-04-28,2018-08-15,Homo sapiens (human); Mus musculus (mouse),Tonsil; Kidney,,Q Exactive,Shotgun proteomics,Label free,iodoacetamide derivatized residue,28,31
PXD006675,Region and cell-type resolved quantitative proteomic map of the human heart and its application to atrial fibrillation,29133944,,EBI terms of use,2017-06-21,2017-11-14,Homo sapiens (human),Heart,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset,610,613
PXD006847,"Nanodroplet processing platform for deep, quantitative proteome profiling of 10-100 mammalian cells",29491378,10.6019/PXD006847,EBI terms of use,2017-10-05,2018-01-24,Homo sapiens (human),Pancreatic islet,,Orbitrap Fusion Lumos,Shotgun proteomics,,Carbamidomethyl; Oxidation,48,204
PXD006877,Haloferax volcanii SILAC study of Oxidative stress,29194950,,EBI terms of use,2017-07-06,2018-01-09,Haloferax volcanii ds2,,,Q Exactive Plus,Shotgun proteomics,SILAC,monohydroxylated residue; acetylated residue; 6x(13)C; 6x(13)C labeled L-arginine; methylthiolated residue; 5x(13)C labeled L-proline,0,11
PXD007073,Proteomic analysis of meningioma of different grades identifies potential therapeutic targets and biomarkers,30594554,,EBI terms of use,2017-07-18,2019-01-02,Homo sapiens (human),Brain,Brain meningioma,LTQ Orbitrap Velos,Shotgun proteomics; Gel-based experiment,MS1 intensity based label-free quantification method,monohydroxylated residue; deaminated residue; acetylated residue,136,138
PXD007160,Global quantitative analysis of the human brain proteome in Alzheimer’s and Parkinson’s Disease,29533394,,EBI terms of use,2017-07-31,2018-02-07,Homo sapiens (human),Brain,Parkinson's disease; Alzheimer's disease,Orbitrap Fusion,Shotgun proteomics,TMT,monohydroxylated residue; iodoacetamide derivatized residue; deamidated residue,211,244
PXD007555,Protein variability in cerebrospinal fluid and its possible implications for neurological protein biomarker research,30496192,,EBI terms of use,2017-10-13,2019-11-12,Homo sapiens (human),Cerebrospinal fluid,,Q Exactive,Shotgun proteomics,,iodoacetamide derivatized residue,36,38
PXD008012,In vivo phosphoproteomics reveals kinase activity profiles that predict treatment  outcome in triple-negative breast cancer,30158526,,Creative Commons Public Domain (CC0),2018-07-23,2018-07-23,Homo sapiens (human),Cell culture; Breast; Breast,Breast cancer,LTQ Orbitrap Elite,Shotgun proteomics,MS1 intensity based label-free quantification method,phosphorylated residue,143,147
PXD008440,The response to neoadjuvant chemoradiotherapy to 5-fluorouracil in locally advanced colorectal cancer patients: a predictive proteomic signature.,29681787,,EBI terms of use,2017-12-13,2018-06-25,Homo sapiens (human),Colon; Colon,Colon cancer,Q Exactive,Gel-based experiment,APEX - Absolute Protein Expression,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue,200,202
PXD008722,Quantitative proteomics of human heart samples collected in vivo reveal the remodeled protein landscape of dilated left atrium without atrial fibrillation.,32291283,,Creative Commons Public Domain (CC0),2020-06-15,2020-06-15,Homo sapiens (human),Heart,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset,252,254
PXD008840,A proteomic landscape of diffuse-type gastric cancer,29520031,,EBI terms of use,2018-02-02,2018-02-09,Homo sapiens (human),Stomach,Stomach cancer,LTQ Orbitrap; Q Exactive,Shotgun proteomics,Label free,No PTMs are included in the dataset,999,2033
PXD008934,Characterization of proteomic changes in human heart failure,29892068,,EBI terms of use,2018-02-12,2018-06-06,Homo sapiens (human),Heart,Cardiovascular system disease,Q Exactive,Shotgun proteomics,Normalized Spectral Abundance Factor - NSAF; Peptide counting,No PTMs are included in the dataset,34,40
PXD009157,Phosphodiesterase beta controls cAMP signalling during malaria parasite erythrocyte invasion,30794532,,EBI terms of use,2018-03-09,2019-02-27,Plasmodium falciparum mad71/papua new guinea; Homo sapiens (human),,,Orbitrap Fusion Lumos,Shotgun proteomics,TMT,TMT6plex-126 reporter+balance reagent acylated residue; phosphorylated residue; iodoacetamide derivatized residue,11,12
PXD009602,Mapping the HLA ligandome of Colorectal Cancer Reveals an Imprint of Malignant Cell Transformation,29789417,,Creative Commons Public Domain (CC0),2019-02-20,2019-03-12,Homo sapiens (human),Epithelial cell; Colon,Colon cancer,LTQ Orbitrap,Affinity purification coupled with mass spectrometry proteomics,,No PTMs are included in the dataset,528,1057
PXD009630,Malignant Melanoma -  Improved survival prognostication of node-positive malignant melanoma patients utilizing shotgun proteomics guided by histopathological characterization and genomic data,30914758,,EBI terms of use,2018-04-30,2019-03-29,Homo sapiens (human),Lymph node; Melanocyte,Skin melanoma,Q Exactive,Shotgun proteomics,TIC,iodoacetamide derivatized residue,111,114
PXD009815,Proline: an efficient and user-friendly software suite for large-scale proteomics,32096818,10.6019/PXD009815,Creative Commons Public Domain (CC0),2019-04-12,2020-03-03,Saccharomyces cerevisiae (baker's yeast),,,Q Exactive Plus,Shotgun proteomics,MS1 intensity based label-free quantification method,No PTMs are included in the dataset,40,50
PXD010154,A deep proteome and transcriptome abundance atlas of 29 healthy human tissues,30777892,,Creative Commons Public Domain (CC0),2019-07-10,2019-07-10,Homo sapiens (human),Bone marrow; Adipose tissue; Heart; Salivary gland; Oviduct; Ovary; Vermiform appendix; Urinary bladder; Lung; Small intestine; Placenta; Hypophysis; Thyroid gland; Gall bladder; Spleen; Rectum; Colon; Tonsil; Duodenum; Prostate gland; Lymph node; Uterine endometrium; Pancreas; Liver; Adrenal gland; Smooth muscle; Stomach; Kidney; Brain; Esophagus; Testis,,Orbitrap Fusion Lumos; Q Exactive Plus; Q Exactive HF,Shotgun proteomics,MS1 intensity based label-free quantification method,acetylated residue; L-methionine sulfoxide; iodoacetamide derivatized residue,1809,1938
PXD010357,Proteogenomic Landscape of Squamous Cell Lung Cancer 1: Digestion QC with DIA LC-MS/MS,31395880,10.6019/PXD010357,Creative Commons Public Domain (CC0),2018-07-10,2019-05-24,Homo sapiens (human),Lung,Non-small cell lung carcinoma,Q Exactive,Shotgun proteomics,TIC,Carbamidomethyl; Oxidation,136,952
PXD010429,Proteogenomic Landscape of Squamous Cell Lung Cancer 2: Tandem Mass Tag Datasets,31395880,10.6019/PXD010429,Creative Commons Public Domain (CC0),2018-07-13,2019-05-24,Homo sapiens (human),Lung,Lung squamous cell carcinoma,Q Exactive,Shotgun proteomics,TMT,TMT6plex; Carbamidomethyl; Oxidation,395,4871
PXD010603,Proteomic Atlas of the Human Brain in Alzheimer’s Disease,30735395,,Creative Commons Public Domain (CC0),2018-07-30,2019-02-13,Homo sapiens (human),Brain,,Orbitrap Fusion Lumos,Shotgun proteomics,,No PTMs are included in the dataset,312,315
PXD011050,Mass spectrometric analysis of proteolytic cleavage related to ArtA and PssA from Haloferax volcanii,32561711,,Creative Commons Public Domain (CC0),2018-09-10,2020-05-11,Haloferax volcanii (halobacterium volcanii),,,Q Exactive,Shotgun proteomics,,iodoacetamide derivatized residue,16,20
PXD011153,Proteome characterization of Spleen during Schistosoma mansoni infection,30728824,,Creative Commons Public Domain (CC0),2018-09-20,2019-02-13,Mus musculus (mouse),Spleen,Schistosomiasis,Q Exactive,Shotgun proteomics,Normalized Spectral Abundance Factor - NSAF,monohydroxylated residue; iodoacetamide derivatized residue,6,39
PXD011175,AUTOMATED PHOSPHOPEPTIDE ENRICHMENT FROM MINUTE QUANTITIES OF FROZEN MALIGNANT MELANOMA TISSUE,30532160,,Creative Commons Public Domain (CC0),2018-09-24,2018-11-23,Homo sapiens (human),Lymph node,Melanoma,Q Exactive,Shotgun proteomics,Label free,phosphorylated residue,28,30
PXD011799,B cells sustain inflammation in human melanoma,31519915,,Creative Commons Public Domain (CC0),2019-10-09,2019-10-09,Homo sapiens (human),B cell,,Orbitrap Fusion Lumos,Shotgun proteomics,TMT,No PTMs are included in the dataset,48,204
PXD011839,Plasma proteome profiling discovers novel proteins associated with non-alcoholic fatty liver disease,30824564,,Creative Commons Public Domain (CC0),2018-11-27,2019-03-04,Homo sapiens (human),Blood plasma,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset,0,3
