run,truth_raw,pxd,truth_class,source,in_training
PXD020192-Sample 4,parietal,PXD020192,Brain,SDRF,True
PXD020192-Sample 40,trachea,PXD020192,,SDRF,True
PXD020192-Sample 41,kidney,PXD020192,Kidney,SDRF,True
PXD020192-Sample 42,kidney,PXD020192,Kidney,SDRF,True
PXD020192-Sample 43,cervix,PXD020192,,SDRF,True
PXD020192-Sample 44,cervix,PXD020192,,SDRF,True
PXD020192-Sample 45,bladder,PXD020192,Urinary bladder,SDRF,True
PXD020192-Sample 46,bladder,PXD020192,Urinary bladder,SDRF,True
PXD020192-Sample 47,breast,PXD020192,,SDRF,True
PXD020192-Sample 48,breast,PXD020192,,SDRF,True
PXD020192-Sample 49,spleen,PXD020192,Spleen,SDRF,True
PXD020192-Sample 5,temporal lobe,PXD020192,Brain,SDRF,True
PXD020192-Sample 50,spleen,PXD020192,Spleen,SDRF,True
PXD020192-Sample 51,duodenum,PXD020192,Duodenum,SDRF,True
PXD020192-Sample 52,duodenum,PXD020192,Duodenum,SDRF,True
PXD020192-Sample 53,uterus,PXD020192,,SDRF,True
PXD020192-Sample 54,uterus,PXD020192,,SDRF,True
PXD020192-Sample 55,gallbladder,PXD020192,,SDRF,True
PXD020192-Sample 56,gallbladder,PXD020192,,SDRF,True
PXD020192-Sample 57,ureter,PXD020192,,SDRF,True
PXD020192-Sample 58,ureter,PXD020192,,SDRF,True
PXD020192-Sample 59,thyroid,PXD020192,Thyroid,SDRF,True
PXD020192-Sample 6,temporal lobe,PXD020192,Brain,SDRF,True
PXD020192-Sample 60,thyroid,PXD020192,Thyroid,SDRF,True
PXD020192-Sample 61,pancreas,PXD020192,,SDRF,True
PXD020192-Sample 62,pancreas,PXD020192,,SDRF,True
PXD020192-Sample 63,adipose,PXD020192,Adipose tissue,SDRF,True
PXD020192-Sample 64,adipose,PXD020192,Adipose tissue,SDRF,True
PXD020192-Sample 65,lymph node,PXD020192,Lymph node,SDRF,True
PXD020192-Sample 66,lymph node,PXD020192,Lymph node,SDRF,True
PXD020192-Sample 67,salivary gland,PXD020192,Salivary gland,SDRF,True
PXD020192-Sample 68,salivary gland,PXD020192,Salivary gland,SDRF,True
PXD020192-Sample 69,skeletal muscle,PXD020192,Skeletal muscle,SDRF,True
PXD020192-Sample 7,occipital cortex,PXD020192,Brain,SDRF,True
PXD020192-Sample 70,skeletal muscle,PXD020192,Skeletal muscle,SDRF,True
PXD020192-Sample 71,prostate,PXD020192,Prostate,SDRF,True
PXD020192-Sample 72,prostate,PXD020192,Prostate,SDRF,True
PXD020192-Sample 73,Seminal Vesicle,PXD020192,,SDRF,True
PXD020192-Sample 74,Seminal Vesicle,PXD020192,,SDRF,True
PXD020192-Sample 75,testis,PXD020192,Testis,SDRF,True
PXD020192-Sample 76,testis,PXD020192,Testis,SDRF,True
PXD020192-Sample 77,epidymis,PXD020192,,SDRF,True
PXD020192-Sample 78,epidymis,PXD020192,,SDRF,True
PXD020192-Sample 79,anus,PXD020192,,SDRF,True
PXD020192-Sample 8,occipital cortex,PXD020192,Brain,SDRF,True
PXD020192-Sample 80,anus,PXD020192,,SDRF,True
PXD020192-Sample 81,bone marrow,PXD020192,Bone marrow,SDRF,True
PXD020192-Sample 82,bone marrow,PXD020192,Bone marrow,SDRF,True
PXD020192-Sample 83,fallopian tube,PXD020192,Oviduct,SDRF,True
PXD020192-Sample 84,fallopian tube,PXD020192,Oviduct,SDRF,True
PXD020192-Sample 85,parathyroid gland,PXD020192,,SDRF,True
PXD020192-Sample 86,parathyroid gland,PXD020192,,SDRF,True
PXD020192-Sample 87,tonsil,PXD020192,Tonsil,SDRF,True
PXD020192-Sample 88,tonsil,PXD020192,Tonsil,SDRF,True
PXD020192-Sample 89,ovary,PXD020192,Ovary,SDRF,True
PXD020192-Sample 9,cerebellum,PXD020192,Brain,SDRF,True
PXD020192-Sample 90,ovary,PXD020192,Ovary,SDRF,True
PXD020192-Sample 91,skin,PXD020192,,SDRF,True
PXD020192-Sample 92,skin,PXD020192,,SDRF,True
PXD010154-V102,brain,PXD010154,Brain,SDRF,True
PXD010154-V122,adrenal gland,PXD010154,Adrenal gland,SDRF,True
PXD010154-V128,prostate,PXD010154,Prostate,SDRF,True
PXD010154-V133,lung,PXD010154,Lung,SDRF,True
PXD010154-V134,testis,PXD010154,Testis,SDRF,True
PXD010154-V145,duodenum,PXD010154,Duodenum,SDRF,True
PXD010154-V151,small intestine,PXD010154,Small intestine,SDRF,True
PXD010154-V154,appendix/vermiform appendix,PXD010154,Appendix,SDRF,True
PXD010154-V176,urinary bladder,PXD010154,Urinary bladder,SDRF,True
PXD010154-V179,gallbladder,PXD010154,,SDRF,True
PXD010154-V184,esophagus,PXD010154,Esophagus,SDRF,True
PXD010154-V191,heart,PXD010154,Heart,SDRF,True
PXD010154-V193,lymph node,PXD010154,Lymph node,SDRF,True
PXD010154-V196,thyroid,PXD010154,Thyroid,SDRF,True
PXD010154-V200,endometrium/uterine endometrium,PXD010154,Endometrium,SDRF,True
PXD010154-V223,placenta,PXD010154,Placenta,SDRF,True
PXD010154-V229,pancreas,PXD010154,,SDRF,True
PXD010154-V233,ovary,PXD010154,Ovary,SDRF,True
PXD010154-V240,salivary gland,PXD010154,Salivary gland,SDRF,True
PXD010154-V262,placenta,PXD010154,Placenta,SDRF,True
PXD010154-V266,smooth muscle,PXD010154,Smooth muscle,SDRF,True
PXD010154-V269,colon,PXD010154,Colon,SDRF,True
PXD010154-V277,fallopian tube/oviduct,PXD010154,Oviduct,SDRF,True
PXD010154-V287,tonsil,PXD010154,Tonsil,SDRF,
PXD010154-V289,liver,PXD010154,Liver,SDRF,True
PXD010154-V290,liver,PXD010154,Liver,SDRF,True
PXD010154-V291,colon,PXD010154,Colon,SDRF,True
PXD010154-V293,tonsil,PXD010154,Tonsil,SDRF,True
PXD010154-V296,stomach,PXD010154,Stomach,SDRF,True
PXD010154-V299,lung,PXD010154,Lung,SDRF,True
PXD010154-V301,tonsil,PXD010154,Tonsil,SDRF,True
PXD010154-V315,fat/adipose tissue,PXD010154,Adipose tissue,SDRF,True
PXD010154-V321,rectum,PXD010154,Rectum,SDRF,True
PXD010154-V358,liver,PXD010154,Liver,SDRF,True
PXD010154-V359,kidney,PXD010154,Kidney,SDRF,True
PXD010154-V362,liver,PXD010154,Liver,SDRF,True
PXD010154-V364,bone marrow,PXD010154,Bone marrow,SDRF,True
PXD010154-V500,pituitary/hypophysis,PXD010154,Pituitary gland,SDRF,True
PXD010154-V501,pituitary/hypophysis,PXD010154,Pituitary gland,SDRF,True
PXD010154-V82,spleen,PXD010154,Spleen,SDRF,True
PXD010154-V90,stomach,PXD010154,Stomach,SDRF,True
2,breast,PXD048734,,sample map (Type.xlsx),False
5,breast,PXD048734,,sample map (Type.xlsx),False
6,breast,PXD048734,,sample map (Type.xlsx),False
7,breast,PXD048734,,sample map (Type.xlsx),False
8,breast,PXD048734,,sample map (Type.xlsx),False
9,breast,PXD048734,,sample map (Type.xlsx),False
10,breast,PXD048734,,sample map (Type.xlsx),False
11,breast,PXD048734,,sample map (Type.xlsx),False
12,breast,PXD048734,,sample map (Type.xlsx),False
16,breast,PXD048734,,sample map (Type.xlsx),False
17,lung,PXD048734,Lung,sample map (Type.xlsx),False
18,lung,PXD048734,Lung,sample map (Type.xlsx),False
19,lung,PXD048734,Lung,sample map (Type.xlsx),False
20,lung,PXD048734,Lung,sample map (Type.xlsx),False
21,lung,PXD048734,Lung,sample map (Type.xlsx),False
22,lung,PXD048734,Lung,sample map (Type.xlsx),False
23,lung,PXD048734,Lung,sample map (Type.xlsx),False
24,lung,PXD048734,Lung,sample map (Type.xlsx),False
25,lung,PXD048734,Lung,sample map (Type.xlsx),False
26,lung,PXD048734,Lung,sample map (Type.xlsx),False
27,lung,PXD048734,Lung,sample map (Type.xlsx),False
28,lung,PXD048734,Lung,sample map (Type.xlsx),False
29,lung,PXD048734,Lung,sample map (Type.xlsx),False
30,liver,PXD048734,Liver,sample map (Type.xlsx),False
31,liver,PXD048734,Liver,sample map (Type.xlsx),False
32,liver,PXD048734,Liver,sample map (Type.xlsx),False
33,liver,PXD048734,Liver,sample map (Type.xlsx),False
34,liver,PXD048734,Liver,sample map (Type.xlsx),False
35,liver,PXD048734,Liver,sample map (Type.xlsx),False
36,liver,PXD048734,Liver,sample map (Type.xlsx),False
37,liver,PXD048734,Liver,sample map (Type.xlsx),False
38,liver,PXD048734,Liver,sample map (Type.xlsx),False
39,liver,PXD048734,Liver,sample map (Type.xlsx),False
40,colon,PXD048734,Colon,sample map (Type.xlsx),False
41,colon,PXD048734,Colon,sample map (Type.xlsx),False
42,colon,PXD048734,Colon,sample map (Type.xlsx),False
43,colon,PXD048734,Colon,sample map (Type.xlsx),False
44,colon,PXD048734,Colon,sample map (Type.xlsx),False
45,colon,PXD048734,Colon,sample map (Type.xlsx),False
46,colon,PXD048734,Colon,sample map (Type.xlsx),False
47,kidney,PXD048734,Kidney,sample map (Type.xlsx),False
48,kidney,PXD048734,Kidney,sample map (Type.xlsx),False
49,kidney,PXD048734,Kidney,sample map (Type.xlsx),False
50,kidney,PXD048734,Kidney,sample map (Type.xlsx),False
51,kidney,PXD048734,Kidney,sample map (Type.xlsx),False
52,kidney,PXD048734,Kidney,sample map (Type.xlsx),False
53,kidney,PXD048734,Kidney,sample map (Type.xlsx),False
54,esophagus,PXD048734,Esophagus,sample map (Type.xlsx),False
55,esophagus,PXD048734,Esophagus,sample map (Type.xlsx),False
56,esophagus,PXD048734,Esophagus,sample map (Type.xlsx),False
57,esophagus,PXD048734,Esophagus,sample map (Type.xlsx),False
58,stomach,PXD048734,Stomach,sample map (Type.xlsx),False
59,stomach,PXD048734,Stomach,sample map (Type.xlsx),False
60,stomach,PXD048734,Stomach,sample map (Type.xlsx),False
61,stomach,PXD048734,Stomach,sample map (Type.xlsx),False
62,ovary,PXD048734,Ovary,sample map (Type.xlsx),False
63,ovary,PXD048734,Ovary,sample map (Type.xlsx),False
64,ovary,PXD048734,Ovary,sample map (Type.xlsx),False
15_unstained2_1,tonsil,PXD006401,Tonsil,SDRF,False
9_HE2_1,tonsil,PXD006401,Tonsil,SDRF,False
13_hemalaun2_1,tonsil,PXD006401,Tonsil,SDRF,False
4_hematoxylin1_2,tonsil,PXD006401,Tonsil,SDRF,False
3_hematoxylin1_1,tonsil,PXD006401,Tonsil,SDRF,False
1_HE1_1,tonsil,PXD006401,Tonsil,SDRF,False
5_hemalaun1_1,tonsil,PXD006401,Tonsil,SDRF,False
2_HE1_2,tonsil,PXD006401,Tonsil,SDRF,False
11_hematoxylin2_1,tonsil,PXD006401,Tonsil,SDRF,False
16_unstained2_2,tonsil,PXD006401,Tonsil,SDRF,False
12_hematoxylin2_2,tonsil,PXD006401,Tonsil,SDRF,False
14_hemalaun2_2,tonsil,PXD006401,Tonsil,SDRF,False
6_hemalaun1_2,tonsil,PXD006401,Tonsil,SDRF,False
10_HE2_2,tonsil,PXD006401,Tonsil,SDRF,False
