label,category,annotator_a,annotator_b,pair_category,n_shared_docs,kappa
NumberOfSamples,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.5714285714285714
NumberOfTechnicalReplicates,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.625
Organism,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.3720930232558141
OrganismPart,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.34782608695652173
PooledSample,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.9078498293515357
PrecursorMassTolerance,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.7272727272727272
ReductionReagent,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.5871559633027522
SampleTreatment,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.2894736842105259
SamplingTime,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.5263157894736844
Separation,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.4705882352941182
Sex,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.6639004149377592
Staining,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,1.0
Strain,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.8235294117647058
SupplementaryFile,technical,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.31549295774647873
Time,experimental_design,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,1.0
Treatment,biological,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,27,0.19801980198019783
AcquisitionMethod,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,1.0
Age,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,1.0
AlkylationReagent,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.7692307692307692
CellLine,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.7272727272727271
CellType,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-3.3306690738754706e-16
Chromatography,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-0.24137931034482754
CleavageAgent,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.608695652173913
CollisionEnergy,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.0
Compound,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-3.3306690738754706e-16
Disease,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.7272727272727271
EnrichmentMethod,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.7272727272727271
FactorValue,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-0.2857142857142858
FractionIdentifier,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.0
FractionationFraction,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-0.125
FractionationMethod,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.769230769230769
FragmentMassTolerance,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,1.0
FragmentationMethod,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.7272727272727272
GradientTime,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.0
Instrument,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,
IonizationType,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.769230769230769
Label,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,1.0
MS2MassAnalyzer,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.27027027027027023
Modification,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.7692307692307692
NumberOfBiologicalReplicates,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,
NumberOfFractions,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.27027027027027023
NumberOfMissedCleavages,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.769230769230769
NumberOfSamples,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.3720930232558139
NumberOfTechnicalReplicates,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-0.125
Organism,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-0.2162162162162162
OrganismPart,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.05263157894736842
PooledSample,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,
PrecursorMassTolerance,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,1.0
ReductionReagent,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.7804878048780487
SampleTreatment,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-0.17391304347826084
SamplingTime,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,
Separation,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-0.22727272727272738
Sex,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.608695652173913
Staining,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.27027027027027023
Strain,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.0
SupplementaryFile,technical,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.18181818181818157
Time,experimental_design,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,0.0
Treatment,biological,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,9,-0.20000000000000037
AcquisitionMethod,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.7924528301886792
Age,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,
AlkylationReagent,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.4210526315789474
CellLine,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.23255813953488386
CellType,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.5416666666666669
Chromatography,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,
CleavageAgent,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,
CollisionEnergy,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.7441860465116279
Compound,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.0
Disease,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,1.0
EnrichmentMethod,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.6451612903225807
FactorValue,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.56
FractionIdentifier,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.0
FractionationFraction,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,-0.09999999999999892
FractionationMethod,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.6206896551724139
FragmentMassTolerance,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.12698412698412698
FragmentationMethod,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.6206896551724135
GradientTime,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.29032258064516137
Instrument,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,
IonizationType,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,1.0
Label,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.8196721311475409
MS2MassAnalyzer,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.49230769230769234
Modification,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.7441860465116279
NumberOfBiologicalReplicates,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.23255813953488386
NumberOfFractions,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,1.0
NumberOfMissedCleavages,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.6206896551724139
NumberOfSamples,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.26666666666666683
NumberOfTechnicalReplicates,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.37735849056603776
Organism,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.0
OrganismPart,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.2903225806451612
PooledSample,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,6.106226635438359e-16
PrecursorMassTolerance,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.6206896551724135
ReductionReagent,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.6333333333333334
SampleTreatment,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,
SamplingTime,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.0
Separation,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.0
Sex,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,-0.09999999999999892
Staining,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,6.106226635438359e-16
Strain,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.7441860465116279
SupplementaryFile,technical,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.7441860465116279
Time,experimental_design,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,0.0
Treatment,biological,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,11,
AcquisitionMethod,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.1666666666666666
Age,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,1.0
AlkylationReagent,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.3478260869565216
CellLine,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
CellType,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.09090909090909075
Chromatography,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,
CleavageAgent,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.41176470588235303
CollisionEnergy,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.3478260869565216
Compound,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
Disease,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.2857142857142856
EnrichmentMethod,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.7368421052631581
FactorValue,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
FractionIdentifier,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,1.0
FractionationFraction,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,-0.11111111111111124
FractionationMethod,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.1935483870967742
FragmentMassTolerance,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.3999999999999999
FragmentationMethod,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.19999999999999996
GradientTime,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,-0.08695652173913052
Instrument,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
IonizationType,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.5833333333333334
Label,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,1.0
MS2MassAnalyzer,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.13793103448275856
Modification,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.5454545454545456
NumberOfBiologicalReplicates,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,-0.11111111111111124
NumberOfFractions,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.3478260869565216
NumberOfMissedCleavages,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.523809523809524
NumberOfSamples,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.1666666666666666
NumberOfTechnicalReplicates,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
Organism,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.782608695652174
OrganismPart,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.5833333333333334
PooledSample,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
PrecursorMassTolerance,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.523809523809524
ReductionReagent,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.782608695652174
SampleTreatment,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
SamplingTime,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.6153846153846153
Separation,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
Sex,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.2105263157894738
Staining,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
Strain,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.6153846153846153
SupplementaryFile,technical,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
Time,experimental_design,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,3.0839528461809905e-17
Treatment,biological,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,10,0.0
AcquisitionMethod,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.39999999999999986
Age,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
AlkylationReagent,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
CellLine,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,1.0
CellType,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-3.3306690738754706e-16
Chromatography,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
CleavageAgent,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
CollisionEnergy,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-0.5000000000000001
Compound,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
Disease,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,1.0
EnrichmentMethod,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-8.326672684688674e-17
FactorValue,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-3.3306690738754706e-16
FractionIdentifier,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-3.3306690738754706e-16
FractionationFraction,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.39999999999999986
FractionationMethod,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-3.3306690738754706e-16
FragmentMassTolerance,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-0.5000000000000001
FragmentationMethod,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
GradientTime,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
Instrument,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
IonizationType,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.39999999999999986
Label,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,1.0
MS2MassAnalyzer,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
Modification,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-0.5000000000000001
NumberOfBiologicalReplicates,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
NumberOfFractions,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
NumberOfMissedCleavages,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,1.0
NumberOfSamples,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
NumberOfTechnicalReplicates,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
Organism,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
OrganismPart,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
PooledSample,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-8.326672684688674e-17
PrecursorMassTolerance,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-0.5000000000000001
ReductionReagent,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
SampleTreatment,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
SamplingTime,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-3.3306690738754706e-16
Separation,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
Sex,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
Staining,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-3.3306690738754706e-16
Strain,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,-3.3306690738754706e-16
SupplementaryFile,technical,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
Time,experimental_design,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,0.0
Treatment,biological,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,3,
AcquisitionMethod,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.7272727272727271
Age,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.608695652173913
AlkylationReagent,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.7272727272727272
CellLine,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,
CellType,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,-3.3306690738754706e-16
Chromatography,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
CleavageAgent,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.608695652173913
CollisionEnergy,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
Compound,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.18181818181818157
Disease,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.7692307692307692
EnrichmentMethod,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,-3.3306690738754706e-16
FactorValue,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,-0.15384615384615383
FractionIdentifier,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
FractionationFraction,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
FractionationMethod,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.18181818181818157
FragmentMassTolerance,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
FragmentationMethod,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,-8.326672684688674e-17
GradientTime,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.3414634146341463
Instrument,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
IonizationType,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.18181818181818157
Label,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.7804878048780487
MS2MassAnalyzer,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
Modification,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,1.0
NumberOfBiologicalReplicates,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.3999999999999998
NumberOfFractions,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.5263157894736842
NumberOfMissedCleavages,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
NumberOfSamples,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.5263157894736842
NumberOfTechnicalReplicates,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,
Organism,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.7272727272727272
OrganismPart,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.3076923076923075
PooledSample,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.3999999999999998
PrecursorMassTolerance,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
ReductionReagent,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.5
SampleTreatment,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,
SamplingTime,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
Separation,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.0
Sex,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.608695652173913
Staining,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.769230769230769
Strain,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,0.35714285714285715
SupplementaryFile,technical,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,
Time,experimental_design,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,-6.245004513516506e-17
Treatment,biological,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,9,-0.125
AcquisitionMethod,technical,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,1.0
Age,biological,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,
AlkylationReagent,technical,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,0.3478260869565216
CellLine,biological,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,0.8
CellType,biological,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,-0.2500000000000007
Chromatography,technical,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,-7.930164461608261e-17
CleavageAgent,technical,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,1.0
CollisionEnergy,technical,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,0.13793103448275856
Compound,biological,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,0.0
Disease,biological,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,0.782608695652174
EnrichmentMethod,technical,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,0.2857142857142855
FactorValue,experimental_design,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,0.2105263157894738
FractionIdentifier,experimental_design,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,10,0.0
