category,n_labels,annotator_a,annotator_b,pair_category,n_items,string_kappa,sapbert_kappa,shift
biological,12,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,132,0.4756322061815717,0.5381026438569209,0.062470437675349155
biological,12,HarmonizedHuman,Qwen,model vs. any human annotator,324,0.26201322556943424,0.31735203547907065,0.05533880990963641
biological,12,HarmonizedHuman,Gemma,model vs. any human annotator,324,0.2986224346359292,0.3830921553693831,0.08446972073345393
biological,12,HarmonizedHuman,GLM,model vs. any human annotator,324,0.22206393161845925,0.26643865311431175,0.044374721495852504
biological,12,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,24,0.3302325581395348,0.43925233644859807,0.10901977830906329
biological,12,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,24,0.3333333333333334,0.42400000000000004,0.09066666666666662
biological,12,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,48,0.05555555555555566,0.11008111239860938,0.05452555684305372
biological,12,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,48,0.6293436293436294,0.6741028128031037,0.04475918345947427
biological,12,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,48,0.392405063291139,0.45839210155148086,0.06598703826034186
biological,12,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,36,0.4449339207048459,0.5221238938053099,0.077189973100464
biological,12,Annotator1,Qwen,model vs. any human annotator,108,0.34576757532281205,0.37851662404092073,0.032749048718108686
biological,12,Annotator1,Gemma,model vs. any human annotator,108,0.3149432069626788,0.3765541740674954,0.061610967104816616
biological,12,Annotator1,GLM,model vs. any human annotator,108,0.3541394131937956,0.35244519392917384,-0.0016942192646217658
biological,12,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,24,0.5492957746478874,0.5471698113207548,-0.0021259633271325518
biological,12,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,12,0.238095238095238,0.41935483870967744,0.18125960061443944
biological,12,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,24,0.1794871794871794,0.37931034482758624,0.19982316534040684
biological,12,Annotator2,Annotator6,MultiHuman annotator vs. MultiHuman annotator,48,0.7166469893742622,0.7139451728247914,-0.00270181654947077
biological,12,Annotator2,Annotator7,MultiHuman annotator vs. MultiHuman annotator,48,0.3316455696202532,0.39086294416243633,0.05921737454218312
biological,12,Annotator2,Annotator8,MultiHuman annotator vs. MultiHuman annotator,60,0.40594059405940597,0.47890818858560813,0.07296759452620216
biological,12,Annotator2,Qwen,model vs. any human annotator,132,0.2354392362973292,0.2758175559380378,0.04037831964070859
biological,12,Annotator2,Gemma,model vs. any human annotator,132,0.22573076547072043,0.24896998234255438,0.023239216871833945
biological,12,Annotator2,GLM,model vs. any human annotator,132,0.17093596059113295,0.18417799752781194,0.013242036936678997
biological,12,Annotator3,Annotator4,MultiHuman annotator vs. MultiHuman annotator,12,0.2,0.4545454545454547,0.2545454545454547
biological,12,Annotator3,Annotator5,MultiHuman annotator vs. MultiHuman annotator,48,0.292962356792144,0.4064303380049464,0.11346798121280238
biological,12,Annotator3,Annotator6,MultiHuman annotator vs. MultiHuman annotator,48,0.5317073170731708,0.6474908200734394,0.11578350300026863
biological,12,Annotator3,Annotator7,MultiHuman annotator vs. MultiHuman annotator,24,0.37662337662337664,0.37254901960784303,-0.004074357015533603
biological,12,Annotator3,Annotator8,MultiHuman annotator vs. MultiHuman annotator,60,0.17557251908396942,0.17494270435446893,-0.0006298147295004941
biological,12,Annotator3,Qwen,model vs. any human annotator,120,0.211582917629882,0.22391702257474072,0.012334104944858731
biological,12,Annotator3,Gemma,model vs. any human annotator,120,0.1734588451383309,0.22616305849838783,0.05270421336005693
biological,12,Annotator3,GLM,model vs. any human annotator,120,0.19372900335946236,0.223956136651202,0.03022713329173965
biological,12,Annotator4,Annotator5,MultiHuman annotator vs. MultiHuman annotator,24,0.4827586206896551,0.6869565217391305,0.20419790104947538
biological,12,Annotator4,Annotator6,MultiHuman annotator vs. MultiHuman annotator,12,0.5471698113207548,0.7692307692307692,0.22206095791001434
biological,12,Annotator4,Annotator7,MultiHuman annotator vs. MultiHuman annotator,24,0.5862068965517242,0.6883116883116883,0.10210479175996412
biological,12,Annotator4,Annotator8,MultiHuman annotator vs. MultiHuman annotator,12,0.49295774647887325,0.49295774647887325,0.0
biological,12,Annotator4,Qwen,model vs. any human annotator,36,0.30460624071322434,0.35714285714285704,0.0525366164296327
biological,12,Annotator4,Gemma,model vs. any human annotator,36,0.18940397350993377,0.28286852589641437,0.0934645523864806
biological,12,Annotator4,GLM,model vs. any human annotator,36,0.30210016155088854,0.3592233009708739,0.05712313941998537
biological,12,Annotator5,Annotator6,MultiHuman annotator vs. MultiHuman annotator,24,0.26153846153846144,0.3814432989690721,0.11990483743061064
biological,12,Annotator5,Annotator7,MultiHuman annotator vs. MultiHuman annotator,24,0.38853503184713384,0.5384615384615385,0.1499265066144047
biological,12,Annotator5,Annotator8,MultiHuman annotator vs. MultiHuman annotator,24,0.377777777777778,0.46468401486988853,0.08690623709211054
biological,12,Annotator5,Qwen,model vs. any human annotator,108,0.20441988950276238,0.2638454984379438,0.05942560893518142
biological,12,Annotator5,Gemma,model vs. any human annotator,108,0.24587082046461656,0.3450134770889488,0.09914265662433225
biological,12,Annotator5,GLM,model vs. any human annotator,108,0.17802779616148254,0.24751161247511624,0.0694838163136337
biological,12,Annotator6,Annotator7,MultiHuman annotator vs. MultiHuman annotator,24,0.11926605504587118,0.11926605504587118,0.0
biological,12,Annotator6,Annotator8,MultiHuman annotator vs. MultiHuman annotator,24,0.28624535315985133,0.288888888888889,0.0026435357290376382
biological,12,Annotator6,Qwen,model vs. any human annotator,120,0.4264829912847905,0.45839210155148075,0.031909110266690244
biological,12,Annotator6,Gemma,model vs. any human annotator,120,0.29264398870195246,0.3488716241213466,0.05622763541939413
biological,12,Annotator6,GLM,model vs. any human annotator,120,0.3325917686318133,0.38775510204081626,0.05516333340900298
biological,12,Annotator7,Annotator8,MultiHuman annotator vs. MultiHuman annotator,24,0.6160000000000001,0.8064516129032258,0.19045161290322565
biological,12,Annotator7,Qwen,model vs. any human annotator,108,0.1940298507462686,0.2330405531676322,0.03901070242136359
biological,12,Annotator7,Gemma,model vs. any human annotator,108,0.14312916534433523,0.19261969142675356,0.04949052608241833
biological,12,Annotator7,GLM,model vs. any human annotator,108,0.2049079754601227,0.2031153924984628,-0.0017925829616599054
biological,12,Annotator8,Qwen,model vs. any human annotator,132,0.2154155881507046,0.27674709218494675,0.061331504034242146
biological,12,Annotator8,Gemma,model vs. any human annotator,132,0.17784591797623606,0.23919308357348698,0.061347165597250924
biological,12,Annotator8,GLM,model vs. any human annotator,132,0.17368540860459844,0.20200752823086582,0.028322119626267378
biological,12,Qwen,Gemma,model vs. model,324,0.41992335021120664,0.48653651969034,0.06661316947913337
biological,12,Qwen,GLM,model vs. model,324,0.39745362643650745,0.43731179197935083,0.03985816554284338
biological,12,Gemma,GLM,model vs. model,324,0.34164183148198324,0.4081968450449091,0.06655501356292587
technical,20,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,540,0.6087507798820616,0.7327856504755732,0.12403487059351159
technical,20,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,180,0.4867070281653066,0.6272434422457432,0.14053641408043666
technical,20,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,220,0.5345370615247758,0.683039406632694,0.14850234510791827
technical,20,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,200,0.41604922767801084,0.572606085275262,0.1565568575972512
technical,20,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,60,0.06911142454160792,0.15052160953800298,0.08141018499639506
technical,20,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,180,0.3471101990168472,0.42731277533039647,0.08020257631354927
technical,20,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,200,0.34712368009060324,0.5249574588769144,0.17783377878631113
technical,20,SingleHuman,Annotator7,SingleHuman vs. MultiHuman annotator,180,0.3150105708245244,0.37358016337184013,0.05856959254731575
technical,20,SingleHuman,Annotator8,SingleHuman vs. MultiHuman annotator,220,0.4840715659666412,0.5995107659925478,0.11543920002590663
technical,20,SingleHuman,Qwen,model vs. any human annotator,540,0.393057061309379,0.5177090470902347,0.12465198578085568
technical,20,SingleHuman,Gemma,model vs. any human annotator,540,0.37719267471232104,0.540585384655157,0.163392709942836
technical,20,SingleHuman,GLM,model vs. any human annotator,540,0.3676489512289281,0.5437462486726072,0.17609729744367913
technical,20,HarmonizedHuman,Annotator1,HarmonizedHuman vs. any human annotator,180,0.6486335750139429,0.7516930022573363,0.10305942724339334
technical,20,HarmonizedHuman,Annotator2,HarmonizedHuman vs. any human annotator,220,0.5813036681242495,0.7491773119477626,0.1678736438235131
technical,20,HarmonizedHuman,Annotator3,HarmonizedHuman vs. any human annotator,200,0.4502224615297418,0.6225481096466803,0.17232564811693846
technical,20,HarmonizedHuman,Annotator4,HarmonizedHuman vs. any human annotator,60,0.15466499686912963,0.24901185770750986,0.09434686083838023
technical,20,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,180,0.4182337139019476,0.5193798449612403,0.10114613105929277
technical,20,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,200,0.3736279818527733,0.5512577423840223,0.17762976053124896
technical,20,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,180,0.2749771613653351,0.34687953555878087,0.07190237419344575
technical,20,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,220,0.4704354250577945,0.6062256809338522,0.1357902558760577
technical,20,HarmonizedHuman,Qwen,model vs. any human annotator,540,0.3929703384155869,0.5089664337987776,0.11599609538319072
technical,20,HarmonizedHuman,Gemma,model vs. any human annotator,540,0.3702687434428214,0.5331942055307667,0.16292546208794528
technical,20,HarmonizedHuman,GLM,model vs. any human annotator,540,0.36822752722917074,0.5488721804511278,0.1806446532219571
technical,20,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,40,0.6414017929910351,0.7168141592920355,0.07541236630100046
technical,20,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,40,0.3738489871086556,0.4676806083650191,0.09383162125636352
technical,20,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,80,0.46858566288402975,0.5487873660462493,0.08020170316221958
technical,20,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,80,0.41789958767887464,0.5348837209302326,0.11698413325135798
technical,20,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,80,0.08280254777070069,0.12904258725584355,0.04624003948514287
technical,20,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,60,0.532080822403403,0.6353968856817318,0.10331606327832876
technical,20,Annotator1,Qwen,model vs. any human annotator,180,0.387645478961504,0.4885172590487725,0.10087178008726855
technical,20,Annotator1,Gemma,model vs. any human annotator,180,0.4066815144766147,0.5325542570951586,0.12587274261854386
technical,20,Annotator1,GLM,model vs. any human annotator,180,0.38417565285176036,0.5413178012377139,0.15714214838595353
technical,20,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,40,0.4087213599408721,0.6075224856909239,0.19880112575005182
technical,20,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,20,0.09604519774011298,0.32515337423312884,0.22910817649301585
technical,20,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,40,0.29393706830391403,0.3866020984665053,0.09266503016259126
technical,20,Annotator2,Annotator6,MultiHuman annotator vs. MultiHuman annotator,80,0.2123351291101617,0.3967801100468718,0.1844449809367101
technical,20,Annotator2,Annotator7,MultiHuman annotator vs. MultiHuman annotator,80,0.4627594627594628,0.5203426124197001,0.057583149660237365
technical,20,Annotator2,Annotator8,MultiHuman annotator vs. MultiHuman annotator,100,0.4575936883629192,0.5787471123793994,0.12115342401648016
technical,20,Annotator2,Qwen,model vs. any human annotator,220,0.4394700444056198,0.5932366890859884,0.15376664468036855
technical,20,Annotator2,Gemma,model vs. any human annotator,220,0.4340529884117902,0.6707642971672902,0.23671130875550006
technical,20,Annotator2,GLM,model vs. any human annotator,220,0.3992467043314501,0.650442243525237,0.25119553919378695
technical,20,Annotator3,Annotator4,MultiHuman annotator vs. MultiHuman annotator,20,0.15857605177993528,0.2666666666666667,0.10809061488673144
technical,20,Annotator3,Annotator5,MultiHuman annotator vs. MultiHuman annotator,80,0.4146801982534813,0.47610962891098707,0.06142943065750578
technical,20,Annotator3,Annotator6,MultiHuman annotator vs. MultiHuman annotator,80,0.2526215443279313,0.37895812053115424,0.12633657620322292
technical,20,Annotator3,Annotator7,MultiHuman annotator vs. MultiHuman annotator,40,0.16429249762583092,0.3378773125608568,0.17358481493502587
technical,20,Annotator3,Annotator8,MultiHuman annotator vs. MultiHuman annotator,100,0.4058871185525251,0.5583416441088473,0.15245452555632227
technical,20,Annotator3,Qwen,model vs. any human annotator,200,0.34463780103712655,0.4238850481225429,0.07924724708541636
technical,20,Annotator3,Gemma,model vs. any human annotator,200,0.33490800596718057,0.4809515887539511,0.14604358278677054
technical,20,Annotator3,GLM,model vs. any human annotator,200,0.32139719470447453,0.4786405552478086,0.15724336054333404
technical,20,Annotator4,Annotator5,MultiHuman annotator vs. MultiHuman annotator,40,0.11911911911911915,0.17695473251028812,0.057835613391168966
technical,20,Annotator4,Annotator6,MultiHuman annotator vs. MultiHuman annotator,20,0.015151515151515083,0.1439688715953307,0.12881735644381562
technical,20,Annotator4,Annotator7,MultiHuman annotator vs. MultiHuman annotator,40,-0.04380242311276791,-0.04146576663452263,0.002336656478245283
technical,20,Annotator4,Annotator8,MultiHuman annotator vs. MultiHuman annotator,20,0.12408759124087593,0.23371647509578544,0.10962888385490951
technical,20,Annotator4,Qwen,model vs. any human annotator,60,0.1252336448598131,0.20312500000000006,0.07789135514018697
technical,20,Annotator4,Gemma,model vs. any human annotator,60,0.05613156953879159,0.182437547312642,0.12630597777385041
technical,20,Annotator4,GLM,model vs. any human annotator,60,0.08660351826792966,0.21108742004264394,0.12448390177471429
technical,20,Annotator5,Annotator6,MultiHuman annotator vs. MultiHuman annotator,40,0.4210526315789473,0.6261682242990653,0.20511559272011798
technical,20,Annotator5,Annotator7,MultiHuman annotator vs. MultiHuman annotator,40,0.35632183908045983,0.39393939393939403,0.0376175548589342
technical,20,Annotator5,Annotator8,MultiHuman annotator vs. MultiHuman annotator,40,0.27480916030534347,0.3307086614173227,0.05589950111197922
technical,20,Annotator5,Qwen,model vs. any human annotator,180,0.3677649154051647,0.4267226126080583,0.05895769720289362
technical,20,Annotator5,Gemma,model vs. any human annotator,180,0.28798842257597673,0.3601579856825475,0.07216956310657074
technical,20,Annotator5,GLM,model vs. any human annotator,180,0.2914698527368713,0.37713310580204773,0.08566325306517641
technical,20,Annotator6,Annotator7,MultiHuman annotator vs. MultiHuman annotator,40,0.23890063424947147,0.3442622950819672,0.10536166083249573
technical,20,Annotator6,Annotator8,MultiHuman annotator vs. MultiHuman annotator,40,0.34014139827179884,0.4635373009220452,0.12339590265024636
technical,20,Annotator6,Qwen,model vs. any human annotator,200,0.2541694002278927,0.35803910125474175,0.10386970102684906
technical,20,Annotator6,Gemma,model vs. any human annotator,200,0.24977630945006538,0.3717812922312721,0.12200498278120672
technical,20,Annotator6,GLM,model vs. any human annotator,200,0.22645776656068697,0.38243447138496095,0.15597670482427398
technical,20,Annotator7,Annotator8,MultiHuman annotator vs. MultiHuman annotator,40,0.35483870967741943,0.4761459307764266,0.12130722109900716
technical,20,Annotator7,Qwen,model vs. any human annotator,180,0.22218872475128126,0.2491502729426306,0.026961548191349327
technical,20,Annotator7,Gemma,model vs. any human annotator,180,0.24197384066587396,0.30459536396909304,0.06262152330321907
technical,20,Annotator7,GLM,model vs. any human annotator,180,0.18985270049099837,0.25328610049408035,0.06343340000308198
technical,20,Annotator8,Qwen,model vs. any human annotator,220,0.3408196764023867,0.47774116069932415,0.13692148429693746
technical,20,Annotator8,Gemma,model vs. any human annotator,220,0.3201308233112719,0.4697473404255318,0.14961651711425988
technical,20,Annotator8,GLM,model vs. any human annotator,220,0.3143638989535562,0.504953212041382,0.19058931308782578
technical,20,Qwen,Gemma,model vs. model,540,0.48299356079835415,0.6083116439817383,0.12531808318338417
technical,20,Qwen,GLM,model vs. model,540,0.48342884971605976,0.6262142462266036,0.14278539651054384
technical,20,Gemma,GLM,model vs. model,540,0.4875842703898759,0.6304909680193448,0.1429066976294689
experimental_design,10,SingleHuman,HarmonizedHuman,HarmonizedHuman vs. any human annotator,270,0.567951318458418,0.6258982668733267,0.05794694841490877
experimental_design,10,SingleHuman,Annotator1,SingleHuman vs. MultiHuman annotator,90,0.1146540027137043,0.10708176530961347,-0.007572237404090826
experimental_design,10,SingleHuman,Annotator2,SingleHuman vs. MultiHuman annotator,110,0.3631578947368421,0.4031470428648944,0.039989148128052265
experimental_design,10,SingleHuman,Annotator3,SingleHuman vs. MultiHuman annotator,100,0.22941435490973133,0.26062846580406657,0.031214110894335234
experimental_design,10,SingleHuman,Annotator4,SingleHuman vs. MultiHuman annotator,30,0.10326086956521725,0.16666666666666663,0.06340579710144938
experimental_design,10,SingleHuman,Annotator5,SingleHuman vs. MultiHuman annotator,90,0.20207887496178525,0.21860465116279068,0.016525776201005427
experimental_design,10,SingleHuman,Annotator6,SingleHuman vs. MultiHuman annotator,100,0.08835904628330983,0.10398490921952352,0.015625862936213694
experimental_design,10,SingleHuman,Annotator7,SingleHuman vs. MultiHuman annotator,90,0.3198213672277566,0.39015691868758906,0.07033555145983245
experimental_design,10,SingleHuman,Annotator8,SingleHuman vs. MultiHuman annotator,110,0.28698752228163993,0.35736938741445495,0.07038186513281502
experimental_design,10,SingleHuman,Qwen,model vs. any human annotator,270,0.22349383301707776,0.3567251461988304,0.13323131318175263
experimental_design,10,SingleHuman,Gemma,model vs. any human annotator,270,0.170262300170728,0.35232908684236136,0.18206678667163337
experimental_design,10,SingleHuman,GLM,model vs. any human annotator,270,0.19282511210762346,0.29930028579875817,0.10647517369113471
experimental_design,10,HarmonizedHuman,Annotator1,HarmonizedHuman vs. any human annotator,90,0.3371909521304575,0.35646186440677957,0.01927091227632205
experimental_design,10,HarmonizedHuman,Annotator2,HarmonizedHuman vs. any human annotator,110,0.479543556916226,0.5113913168075654,0.03184775989133942
experimental_design,10,HarmonizedHuman,Annotator3,HarmonizedHuman vs. any human annotator,100,0.33057060886196993,0.3373094764744864,0.006738867612516464
experimental_design,10,HarmonizedHuman,Annotator4,HarmonizedHuman vs. any human annotator,30,0.04850746268656719,0.08918406072106262,0.04067659803449543
experimental_design,10,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,90,0.4290892614408699,0.4630564479118862,0.03396718647101632
experimental_design,10,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,100,0.1697416974169742,0.18200408997955017,0.012262392562575969
experimental_design,10,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,90,0.2581143740340032,0.2862807295796986,0.028166355545695354
experimental_design,10,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,110,0.3486096807415036,0.47542720890184137,0.12681752816033776
experimental_design,10,HarmonizedHuman,Qwen,model vs. any human annotator,270,0.16444213460584445,0.2704315998919157,0.10598946528607123
experimental_design,10,HarmonizedHuman,Gemma,model vs. any human annotator,270,0.12094853977355556,0.2701412222418716,0.14919268246831602
experimental_design,10,HarmonizedHuman,GLM,model vs. any human annotator,270,0.14782394279373687,0.23910835787549511,0.09128441508175825
experimental_design,10,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,20,0.1489361702127661,0.3548387096774194,0.20590253946465328
experimental_design,10,Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,20,0.13043478260869593,0.12280701754386009,-0.00762776506483584
experimental_design,10,Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,40,0.21311475409836025,0.21311475409836025,0.0
experimental_design,10,Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,40,0.05013192612137236,0.05013192612137236,0.0
experimental_design,10,Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,40,0.0909090909090907,0.08496732026143783,-0.005941770647652875
experimental_design,10,Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,30,0.39759036144578314,0.3951612903225805,-0.0024290711232026196
experimental_design,10,Annotator1,Qwen,model vs. any human annotator,90,0.07884761182714153,0.07003444316877125,-0.008813168658370285
experimental_design,10,Annotator1,Gemma,model vs. any human annotator,90,-0.005586592178770835,0.025129982668977667,0.030716574847748503
experimental_design,10,Annotator1,GLM,model vs. any human annotator,90,0.005524861878452798,-0.001390820584145002,-0.0069156824625978
experimental_design,10,Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,20,0.41747572815533973,0.4974874371859297,0.08001170903058996
experimental_design,10,Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,10,0.0,0.0,0.0
experimental_design,10,Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,20,0.5721925133689841,0.5675675675675678,-0.004624945801416369
experimental_design,10,Annotator2,Annotator6,MultiHuman annotator vs. MultiHuman annotator,40,0.1034482758620692,0.09090909090909113,-0.012539184952978066
experimental_design,10,Annotator2,Annotator7,MultiHuman annotator vs. MultiHuman annotator,40,0.5447154471544715,0.5294117647058824,-0.015303682448589151
experimental_design,10,Annotator2,Annotator8,MultiHuman annotator vs. MultiHuman annotator,50,0.35677530017152653,0.4750656167979003,0.11829031662637379
experimental_design,10,Annotator2,Qwen,model vs. any human annotator,110,0.12000000000000005,0.15759774284562678,0.037597742845626725
experimental_design,10,Annotator2,Gemma,model vs. any human annotator,110,0.04675534058847249,0.12716642305282952,0.08041108246435702
experimental_design,10,Annotator2,GLM,model vs. any human annotator,110,0.13402457757296485,0.14948453608247453,0.01545995850950968
experimental_design,10,Annotator3,Annotator4,MultiHuman annotator vs. MultiHuman annotator,10,0.28571428571428564,0.6153846153846153,0.32967032967032966
experimental_design,10,Annotator3,Annotator5,MultiHuman annotator vs. MultiHuman annotator,40,0.2550143266475646,0.30232558139534865,0.047311254747784026
experimental_design,10,Annotator3,Annotator6,MultiHuman annotator vs. MultiHuman annotator,40,-3.700743415417189e-16,-0.0020876826722341472,-0.0020876826722337773
experimental_design,10,Annotator3,Annotator7,MultiHuman annotator vs. MultiHuman annotator,20,0.6825396825396826,0.8319327731092435,0.14939309056956096
experimental_design,10,Annotator3,Annotator8,MultiHuman annotator vs. MultiHuman annotator,50,0.23599320882852287,0.3478260869565216,0.11183287812799875
experimental_design,10,Annotator3,Qwen,model vs. any human annotator,100,0.15642323451434095,0.16897506925207767,0.012551834737736717
experimental_design,10,Annotator3,Gemma,model vs. any human annotator,100,0.14089347079037803,0.23116350589441298,0.09027003510403495
experimental_design,10,Annotator3,GLM,model vs. any human annotator,100,0.2590700051098619,0.3405433922447901,0.08147338713492819
experimental_design,10,Annotator4,Annotator5,MultiHuman annotator vs. MultiHuman annotator,20,0.16666666666666682,0.3617021276595743,0.1950354609929075
experimental_design,10,Annotator4,Annotator6,MultiHuman annotator vs. MultiHuman annotator,10,-0.05263157894736848,-0.05263157894736848,0.0
experimental_design,10,Annotator4,Annotator7,MultiHuman annotator vs. MultiHuman annotator,20,-0.0389610389610387,-0.0389610389610387,0.0
experimental_design,10,Annotator4,Annotator8,MultiHuman annotator vs. MultiHuman annotator,10,-0.11111111111111166,-0.07142857142857191,0.03968253968253975
experimental_design,10,Annotator4,Qwen,model vs. any human annotator,30,0.11242603550295842,0.09909909909909899,-0.01332693640385943
experimental_design,10,Annotator4,Gemma,model vs. any human annotator,30,0.049295774647887286,0.1366906474820142,0.08739487283412692
experimental_design,10,Annotator4,GLM,model vs. any human annotator,30,0.12790697674418627,0.29411764705882365,0.16621067031463738
experimental_design,10,Annotator5,Annotator6,MultiHuman annotator vs. MultiHuman annotator,20,0.21052631578947334,0.21052631578947334,0.0
experimental_design,10,Annotator5,Annotator7,MultiHuman annotator vs. MultiHuman annotator,20,0.6491228070175438,0.6491228070175438,0.0
experimental_design,10,Annotator5,Annotator8,MultiHuman annotator vs. MultiHuman annotator,20,0.49367088607594933,0.4904458598726115,-0.0032250262033378108
experimental_design,10,Annotator5,Qwen,model vs. any human annotator,90,0.051522248243559506,0.08847184986595165,0.03694960162239214
experimental_design,10,Annotator5,Gemma,model vs. any human annotator,90,0.05851585485452763,0.1622340425531915,0.10371818769866387
experimental_design,10,Annotator5,GLM,model vs. any human annotator,90,0.05810176831468781,0.11281489594742578,0.054713127632737966
experimental_design,10,Annotator6,Annotator7,MultiHuman annotator vs. MultiHuman annotator,20,-0.08108108108108093,-0.08108108108108093,0.0
experimental_design,10,Annotator6,Annotator8,MultiHuman annotator vs. MultiHuman annotator,20,0.10714285714285687,0.10714285714285687,0.0
experimental_design,10,Annotator6,Qwen,model vs. any human annotator,100,-0.049868766404199454,-0.02581072137657228,0.024058045027627175
experimental_design,10,Annotator6,Gemma,model vs. any human annotator,100,-0.052295918367346844,-0.028938906752411606,0.02335701161493524
