pxd,cohort,field,kind,score,category,old_values,new_values
PXD004626,abstract_only,experimental_design,exact,0.0,disagree,"[""case vs control""]","[""cross-sectional""]"
PXD004626,abstract_only,factor_value,lin,0.4438142474091553,disagree,"[""cancer""]","[""metastatic melanoma vs healthy""]"
PXD004626,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD005045,abstract_only,experimental_design,exact,1.0,agree,"[""case vs control""]","[""case vs control""]"
PXD005045,abstract_only,factor_value,lin,,,"[""bewo vs htr8/svneo""]","[""bewo vs htr8/svneo""]"
PXD005045,abstract_only,number_of_samples,numeric,4.0,disagree,"[""2""]","[""6""]"
PXD005045,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""label-free quantitative ms"", ""shotgun proteomics""]"
PXD005301,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD005301,abstract_only,factor_value,lin,,,"[""wild type, phosphodead, phosphomimetic""]","[""wild type, phosphodead, phosphomimetic mutants""]"
PXD005301,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""targeted proteomics""]","[""shotgun proteomics""]"
PXD005544,abstract_only,experimental_design,exact,1.0,agree,"[""case vs control""]","[""case vs control""]"
PXD005544,abstract_only,factor_value,lin,0.0,disagree,"[""recurrence versus recurrence-free""]","[""recurrence vs recurrence-free""]"
PXD005544,abstract_only,number_of_samples,numeric,0.0,agree,"[""34""]","[""34""]"
PXD005544,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD005753,with_methods,technology_type,lin,0.9831816498091566,partial,"[""affinity purification coupled with mass spectrometry proteomics"", ""targeted proteomics""]","[""shotgun proteomics""]"
PXD006114,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""5""]","[""5""]"
PXD006114,with_methods,technology_type,lin,0.9663632996183132,partial,"[""targeted proteomics""]","[""shotgun proteomics"", ""tmt6plex-126 reporter+balance reagent acylated residue""]"
PXD006299,abstract_only,technology_type,lin,1.0,agree,"[""affinity purification coupled with mass spectrometry proteomics""]","[""shotgun proteomics""]"
PXD006447,with_methods,technical_replicate,numeric,0.0,agree,"[""12""]","[""12""]"
PXD006447,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""dose response"", ""treated vs control""]"
PXD006447,with_methods,factor_value,lin,1.0,agree,"[""ups1 concentrations""]","[""concentrations of 0, 0.25, 0.74, 2.2, 3.3, 6.6, and 20 fmol/ul"", ""ups1 concentrations""]"
PXD006447,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""12""]","[""12""]"
PXD006447,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD006571,abstract_only,technology_type,lin,1.0,agree,"[""mass spectrometric proteomics""]","[""shotgun proteomics""]"
PXD006770,abstract_only,experimental_design,exact,0.0,disagree,"[""treated vs control""]","[""case vs control""]"
PXD006770,abstract_only,factor_value,lin,0.0,disagree,"[""treatment""]","[""copd vs elastase model""]"
PXD006897,abstract_only,technology_type,lin,0.9130020666102265,partial,"[""mass spectrometry-based methodology""]","[""shotgun proteomics""]"
PXD007149,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""quantitative chemoproteomics""]","[""shotgun proteomics""]"
PXD007270,with_methods,experimental_design,exact,1.0,agree,"[""case vs control"", ""treated vs control""]","[""treated vs control""]"
PXD007270,with_methods,factor_value,lin,0.5412153520052992,partial,"[""csde1 kd vs control"", ""hescs vs npcs""]","[""csde1 kd vs control""]"
PXD007270,with_methods,technology_type,lin,0.48441089665621334,disagree,"[""label-free proteomics"", ""tmt proteomics""]","[""shotgun proteomics""]"
PXD007643,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""targeted proteomics""]","[""shotgun proteomics""]"
PXD007738,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD007738,with_methods,technology_type,lin,1.0,agree,"[""label-free quantitative (lfq) proteomics"", ""tandem mass tag (tmt) proteomics""]","[""label-free quantitative proteomics"", ""shotgun proteomics"", ""tandem mass tag (tmt) proteomics""]"
PXD007842,abstract_only,experimental_design,exact,0.0,disagree,"[""case vs control""]","[""treated vs control""]"
PXD007842,abstract_only,number_of_samples,numeric,30.0,disagree,"[""10""]","[""40""]"
PXD007842,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD007959,with_methods,experimental_design,exact,0.0,disagree,"[""treated vs control""]","[""case vs control""]"
PXD007959,with_methods,factor_value,lin,,,"[""cd vs uc vs non-ibd controls""]","[""ibd diagnosis""]"
PXD007959,with_methods,number_of_samples,numeric,0.0,agree,"[""71""]","[""71""]"
PXD007959,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD008076,abstract_only,experimental_design,exact,1.0,agree,"[""case vs control""]","[""case vs control""]"
PXD008076,abstract_only,factor_value,lin,,,"[""fm vs non-pain controls""]","[""fm vs non-pain controls""]"
PXD008076,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD008178,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD008178,with_methods,factor_value,lin,1.4627150416106068e-05,disagree,"[""sirna""]","[""sec61a1 sirna vs control"", ""trap sirna vs control""]"
PXD008178,with_methods,technology_type,lin,1.0,agree,"[""bottom-up proteomics""]","[""bottom-up proteomics"", ""shotgun proteomics""]"
PXD008333,abstract_only,experimental_design,exact,1.0,agree,"[""case vs control""]","[""case vs control""]"
PXD008333,abstract_only,factor_value,lin,,,"[""rs35033974 g99v""]","[""homozygous rs35033974""]"
PXD008333,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""proteomics""]","[""shotgun proteomics""]"
PXD008468,abstract_only,experimental_design,exact,1.0,agree,"[""time course""]","[""time course"", ""treated vs control""]"
PXD008468,abstract_only,factor_value,lin,,,"[""time after heparin administration""]","[""heparin time course"", ""heparin treated vs untreated""]"
PXD008468,abstract_only,number_of_biological_replicates,numeric,0.0,agree,"[""9""]","[""9""]"
PXD008468,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""targeted proteomics""]","[""affinity purification coupled with mass spectrometry proteomics"", ""tmt6plex-126 reporter+balance reagent acylated residue""]"
PXD008719,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD008719,abstract_only,factor_value,lin,0.30032107067354535,disagree,"[""curcumin treatment"", ""single cell type vs co-culture""]","[""treatment""]"
PXD008719,abstract_only,technology_type,lin,0.8134582674224006,partial,"[""high-resolution mass spectrometry""]","[""shotgun proteomics""]"
PXD008918,with_methods,biological_replicate,numeric,0.0,agree,"[""3""]","[""3""]"
PXD008918,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD008918,with_methods,factor_value,lin,,,"[""vehicle vs diclofenac""]","[""diclofenac vs vehicle""]"
PXD008918,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""3""]","[""3""]"
PXD008918,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD008980,with_methods,biological_replicate,numeric,0.0,agree,"[""2""]","[""2""]"
PXD008980,with_methods,technical_replicate,numeric,0.0,agree,"[""1""]","[""1""]"
PXD008980,with_methods,experimental_design,exact,1.0,agree,"[""time course""]","[""time course"", ""treated vs control""]"
PXD008980,with_methods,factor_value,lin,1.0,agree,"[""mock infected vs ad2 infected"", ""time course""]","[""infection status"", ""time point""]"
PXD008980,with_methods,number_of_fractions,numeric,0.0,agree,"[""10""]","[""10""]"
PXD008980,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""1""]","[""1""]"
PXD008980,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD008980,with_methods,number_of_samples,numeric,38.0,disagree,"[""2""]","[""40""]"
PXD008980,with_methods,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics"", ""silac""]"
PXD009095,with_methods,technical_replicate,numeric,0.0,agree,"[""3""]","[""3""]"
PXD009095,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD009095,with_methods,factor_value,lin,,,"[""different tlk2 constructs""]","[""different tlk2 constructs""]"
PXD009095,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""3""]","[""3""]"
PXD009095,with_methods,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD009161,abstract_only,technology_type,lin,1.0,agree,"[""affinity purification coupled with mass spectrometry proteomics""]","[""shotgun proteomics""]"
PXD009241,with_methods,biological_replicate,numeric,2.0,disagree,"[""2""]","[""4""]"
PXD009241,with_methods,technical_replicate,numeric,0.0,agree,"[""2""]","[""2""]"
PXD009241,with_methods,experimental_design,exact,0.0,disagree,"[""case vs control""]","[""treated vs control""]"
PXD009241,with_methods,factor_value,lin,0.6156713347913662,partial,"[""cell line type"", ""hnscc cell lines vs immortalized normal oral keratinocytes""]","[""hnscc vs normal""]"
PXD009241,with_methods,number_of_fractions,numeric,0.0,agree,"[""25""]","[""25""]"
PXD009241,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD009241,with_methods,number_of_biological_replicates,numeric,2.0,disagree,"[""2""]","[""4""]"
PXD009241,with_methods,number_of_samples,numeric,4.0,disagree,"[""8""]","[""4""]"
PXD009241,with_methods,technology_type,lin,0.9130020666102265,partial,"[""itraq-based quantitative mass spectrometry analysis""]","[""shotgun proteomics""]"
PXD009300,with_methods,experimental_design,exact,0.0,disagree,"[""treated vs control""]","[""case vs control""]"
PXD009300,with_methods,factor_value,lin,1.0,agree,"[""tumor vs non-tumor""]","[""tumor vs non-tumor""]"
PXD009300,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""12""]","[""12""]"
PXD009300,with_methods,number_of_samples,numeric,0.0,agree,"[""12""]","[""12""]"
PXD009300,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD009350,with_methods,technical_replicate,numeric,0.0,agree,"[""2""]","[""2""]"
PXD009350,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD009350,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD009350,with_methods,number_of_samples,numeric,854.0,disagree,"[""1431""]","[""577""]"
PXD009350,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD009426,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD009500,with_methods,biological_replicate,numeric,0.0,agree,"[""3""]","[""3""]"
PXD009500,with_methods,technical_replicate,numeric,0.0,agree,"[""2""]","[""2""]"
PXD009500,with_methods,experimental_design,exact,0.0,disagree,"[""time course""]","[""treated vs control""]"
PXD009500,with_methods,factor_value,lin,,,"[""light vs heavy silac""]","[""silac heavy/light"", ""time course""]"
PXD009500,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD009500,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""3""]","[""3""]"
PXD009500,with_methods,number_of_samples,numeric,0.0,agree,"[""3""]","[""3""]"
PXD009500,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""bottom-up proteomics"", ""shotgun proteomics"", ""silac""]"
PXD009578,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD009578,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""2""]","[""2""]"
PXD009578,with_methods,number_of_samples,numeric,0.0,agree,"[""3""]","[""3""]"
PXD009578,with_methods,technology_type,lin,1.0,agree,"[""affinity purification coupled with mass spectrometry proteomics""]","[""affinity purification coupled with mass spectrometry proteomics"", ""shotgun proteomics""]"
PXD009646,abstract_only,number_of_samples,numeric,0.0,agree,"[""1""]","[""1""]"
PXD009646,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD009839,abstract_only,experimental_design,exact,1.0,agree,"[""time course""]","[""time course""]"
PXD009839,abstract_only,technology_type,lin,1.0,agree,"[""affinity purification coupled with mass spectrometry proteomics""]","[""shotgun proteomics""]"
PXD009900,with_methods,biological_replicate,numeric,0.0,agree,"[""3""]","[""3""]"
PXD009900,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD009900,with_methods,factor_value,lin,0.14080988988419382,disagree,"[""treatment""]","[""cip2a depletion vs control"", ""pme-1 depletion vs control"", ""ppp2r1a depletion vs control"", ""trametinib treatment vs control""]"
PXD009900,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""3""]","[""3""]"
PXD009900,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""label-free quantitative phosphoproteomics"", ""shotgun proteomics""]"
PXD009950,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD009950,abstract_only,factor_value,lin,0.0,disagree,"[""presence or absence of glygly""]","[""presence or absence of peptide acceptors""]"
PXD009950,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD010093,abstract_only,experimental_design,exact,0.0,disagree,"[""cross-sectional""]","[""time course""]"
PXD010093,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD010154,with_methods,experimental_design,exact,1.0,agree,"[""cross-sectional""]","[""cross-sectional""]"
PXD010154,with_methods,factor_value,lin,1.0,agree,"[""tissue type""]","[""tissue type""]"
PXD010154,with_methods,number_of_samples,numeric,0.0,agree,"[""29""]","[""29""]"
PXD010154,with_methods,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD010286,abstract_only,biological_replicate,numeric,0.0,agree,"[""3""]","[""3""]"
PXD010286,abstract_only,number_of_biological_replicates,numeric,0.0,agree,"[""3""]","[""3""]"
PXD010286,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""proteomics""]","[""shotgun proteomics""]"
PXD010469,abstract_only,experimental_design,exact,1.0,agree,"[""case vs control""]","[""case vs control""]"
PXD010469,abstract_only,factor_value,lin,0.0,disagree,"[""vur vs control""]","[""vur patients with recurrent utis and renal scarring vs age-matched controls""]"
PXD010469,abstract_only,number_of_biological_replicates,numeric,22.0,disagree,"[""44""]","[""22""]"
PXD010469,abstract_only,number_of_samples,numeric,0.0,agree,"[""44""]","[""44""]"
PXD010469,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD010630,abstract_only,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD010821,with_methods,technical_replicate,numeric,0.0,agree,"[""3""]","[""3""]"
PXD010821,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD010821,with_methods,factor_value,lin,,,"[""rp11vs vs cas9-corrected""]","[""rp11vs vs cas9-corrected""]"
PXD010821,with_methods,number_of_fractions,numeric,0.0,agree,"[""20""]","[""20""]"
PXD010821,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""3""]","[""3""]"
PXD010821,with_methods,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD011075,abstract_only,number_of_fractions,numeric,0.0,agree,"[""48""]","[""48""]"
PXD011075,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""gel-based experiment"", ""shotgun proteomics""]"
PXD011242,abstract_only,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD011242,abstract_only,factor_value,lin,,,"[""x-ray irradiation and/or tgf-\u03b21""]","[""irradiation vs tgf-\u03b21""]"
PXD011242,abstract_only,technology_type,lin,0.0003382729301403422,disagree,"[""shotgun proteomics""]","[""itraq lc-ms/ms""]"
PXD011609,abstract_only,biological_replicate,numeric,0.0,agree,"[""10"", ""4""]","[""10""]"
PXD011609,abstract_only,factor_value,lin,,,"[""normal epidermis, ak, bd, cscc""]","[""disease state""]"
PXD011609,abstract_only,number_of_biological_replicates,numeric,0.0,agree,"[""10"", ""4""]","[""10""]"
PXD011609,abstract_only,number_of_samples,numeric,3.0,disagree,"[""34""]","[""31""]"
PXD011609,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD013923,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD013923,with_methods,factor_value,lin,0.042180228342304796,disagree,"[""treatment""]","[""dabrafenib, trametinib, sch772984""]"
PXD013923,with_methods,number_of_fractions,numeric,0.0,agree,"[""32""]","[""32""]"
PXD013923,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""3""]","[""3""]"
PXD013923,with_methods,number_of_samples,numeric,8.0,disagree,"[""12""]","[""4""]"
PXD013923,with_methods,technology_type,lin,0.9663632996183132,partial,"[""bottom-up proteomics""]","[""shotgun proteomics""]"
PXD020164,abstract_only,experimental_design,exact,1.0,agree,"[""time course""]","[""time course""]"
PXD020164,abstract_only,number_of_biological_replicates,numeric,0.0,agree,"[""13""]","[""13""]"
PXD025899,with_methods,experimental_design,exact,0.0,disagree,"[""case vs control""]","[""cross-sectional""]"
PXD025899,with_methods,factor_value,lin,0.9349158164193165,partial,"[""gender""]","[""male versus female""]"
PXD025899,with_methods,number_of_biological_replicates,numeric,15.0,disagree,"[""15""]","[""30""]"
PXD025899,with_methods,number_of_samples,numeric,0.0,agree,"[""30""]","[""30""]"
PXD025899,with_methods,technology_type,lin,1.0,agree,"[""shotgun proteomics""]","[""shotgun proteomics""]"
PXD036023,abstract_only,technology_type,lin,0.8139930037051607,partial,"[""data-independent acquisition tandem mass spectrometry""]","[""shotgun proteomics""]"
PXD046405,abstract_only,technology_type,lin,1.0,agree,"[""proteomics""]","[""bottom-up proteomics""]"
PXD046462,abstract_only,experimental_design,exact,1.0,agree,"[""time course""]","[""time course""]"
PXD046462,abstract_only,factor_value,lin,,,"[""serum or lpa treatment""]","[""serum vs lpa vs dmso""]"
PXD046462,abstract_only,technology_type,lin,0.9349158164193165,partial,"[""label-free phosphoproteomics""]","[""bottom-up proteomics""]"
PXD046550,with_methods,biological_replicate,numeric,,,"[""2 kidney transplant recipients and 2 healthy controls""]","[""4""]"
PXD046550,with_methods,experimental_design,exact,0.0,disagree,"[""time course""]","[""longitudinal""]"
PXD046550,with_methods,factor_value,lin,,,"[""patient vs healthy control and pre/post-transplant""]","[""timepoint""]"
PXD046550,with_methods,number_of_fractions,numeric,30.0,disagree,"[""96""]","[""66""]"
PXD046550,with_methods,number_of_biological_replicates,numeric,0.0,agree,"[""4""]","[""4""]"
PXD046550,with_methods,number_of_samples,numeric,5.0,disagree,"[""19""]","[""14""]"
PXD046550,with_methods,technology_type,lin,0.9663632996183132,partial,"[""shotgun proteomics""]","[""bottom-up proteomics"", ""data-independent acquisition""]"
PXD046676,abstract_only,biological_replicate,numeric,0.0,agree,"[""10""]","[""10""]"
PXD046676,abstract_only,experimental_design,exact,1.0,agree,"[""time course""]","[""time course""]"
PXD046676,abstract_only,factor_value,lin,1.0,agree,"[""time""]","[""time""]"
PXD046676,abstract_only,number_of_biological_replicates,numeric,0.0,agree,"[""10""]","[""10""]"
PXD046676,abstract_only,number_of_samples,numeric,0.0,agree,"[""20""]","[""20""]"
PXD046676,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""proteomics""]","[""shotgun proteomics""]"
PXD046754,abstract_only,experimental_design,exact,0.0,disagree,"[""treated vs control""]","[""time course""]"
PXD046754,abstract_only,factor_value,lin,0.038743841515480285,disagree,"[""lps stimulation""]","[""time"", ""uv irradiation""]"
PXD046754,abstract_only,technology_type,lin,0.9663632996183132,partial,"[""lc-ms proteomics""]","[""bottom-up proteomics""]"
PXD046846,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD046846,with_methods,factor_value,lin,,,"[""cd99 silencing""]","[""cd99neg vs cd99pos""]"
PXD046846,with_methods,technology_type,lin,0.9349158164193165,partial,"[""label-free quantification""]","[""bottom-up proteomics""]"
PXD046988,abstract_only,technology_type,lin,1.0,agree,"[""proteomics""]","[""bottom-up proteomics""]"
PXD047040,with_methods,technical_replicate,numeric,0.0,agree,"[""3"", ""6""]","[""3"", ""6""]"
PXD047040,with_methods,number_of_technical_replicates,numeric,0.0,agree,"[""3"", ""6""]","[""3"", ""6""]"
PXD047040,with_methods,number_of_samples,numeric,0.0,agree,"[""19""]","[""19""]"
PXD047040,with_methods,technology_type,lin,1.0,agree,"[""targeted proteomics""]","[""targeted proteomics""]"
PXD047111,abstract_only,factor_value,lin,,,"[""wild type slc6a8 vs selected variants""]","[""slc6a8 wt, slc6a8 variants (k4r, n331k, p397l, a404p and l412m) and gfp negative"", ""wild type slc6a8 and five selected variants""]"
PXD047111,abstract_only,number_of_samples,numeric,1.0,partial,"[""6""]","[""7""]"
PXD047111,abstract_only,technology_type,lin,0.9130020666102265,partial,"[""mass-spectrometry""]","[""affinity purification coupled with mass spectrometry proteomics"", ""bottom-up proteomics""]"
PXD047228,abstract_only,technology_type,lin,1.0,agree,"[""affinity purification coupled with mass spectrometry proteomics""]","[""affinity purification coupled with mass spectrometry proteomics"", ""bottom-up proteomics"", ""data-dependent acquisition""]"
PXD047367,with_methods,biological_replicate,numeric,0.0,agree,"[""3""]","[""3""]"
PXD047367,with_methods,experimental_design,exact,1.0,agree,"[""treated vs control""]","[""treated vs control""]"
PXD047367,with_methods,factor_value,lin,,,"[""normal vs burned""]","[""control vs naoh""]"
