pxd,cohort,agent,field,old_values,new_values,lin,string_identical
PXD009900,with_methods,BiologicalAgent,disease_state,"[""lung adenocarcinoma""]","[""lung cancer""]",0.911482668784568,False
PXD009900,with_methods,BiologicalAgent,cell_line,"[""a549""]","[""a549"", ""h2122"", ""h358"", ""h441"", ""h460""]",1.0,False
PXD010093,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD010093,abstract_only,BiologicalAgent,tissue,"[""testis""]","[""testis""]",1.0,True
PXD010093,abstract_only,BiologicalAgent,cell_type,"[""testis cells""]","[""diploid cell""]",0.7013393056540438,False
PXD010093,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD010154,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD010154,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""normal""]",1.0,True
PXD010286,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD010286,abstract_only,BiologicalAgent,tissue,"[""lung""]","[""lung""]",1.0,True
PXD010286,abstract_only,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]",1.0,True
PXD010286,abstract_only,BiologicalAgent,disease_state,"[""lung adenocarcinoma""]","[""lung adenocarcinoma""]",1.0,True
PXD010286,abstract_only,BiologicalAgent,cell_line,"[""a549""]","[""a549""]",1.0,True
PXD010469,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD010469,abstract_only,BiologicalAgent,tissue,"[""kidney""]","[""urine""]",0.054834547801397224,False
PXD010469,abstract_only,BiologicalAgent,disease_state,"[""urinary tract infections"", ""vesicoureteral reflux""]","[""normal"", ""urinary tract infection"", ""vesicoureteral reflux""]",0.9804072897613431,False
PXD010630,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD010630,abstract_only,BiologicalAgent,tissue,"[""blood"", ""cervix"", ""placenta""]","[""blood"", ""cervix"", ""placenta""]",1.0,True
PXD010630,abstract_only,BiologicalAgent,cell_type,"[""epithelial cell"", ""myeloid cell""]","[""epithelial cell"", ""myeloid cell""]",1.0,True
PXD010630,abstract_only,BiologicalAgent,cell_line,"[""hela"", ""k562""]","[""hela"", ""k562""]",1.0,True
PXD010821,with_methods,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens""]",0.5,False
PXD010821,with_methods,BiologicalAgent,tissue,"[""retina""]","[""retina""]",1.0,True
PXD010821,with_methods,BiologicalAgent,cell_type,"[""retinal organoid"", ""retinal pigment epithelium""]","[""retinal organoids"", ""retinal pigment epithelium""]",0.540431639051575,False
PXD010821,with_methods,BiologicalAgent,disease_state,"[""retinitis pigmentosa""]","[""retinitis pigmentosa""]",1.0,True
PXD011075,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD011075,abstract_only,BiologicalAgent,tissue,"[""eye""]","[""tear""]",0.054202265775476495,False
PXD011242,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD011242,abstract_only,BiologicalAgent,tissue,"[""liver""]","[""liver""]",1.0,True
PXD011242,abstract_only,BiologicalAgent,cell_type,"[""hepatic stellate cells""]","[""hepatic stellate cell""]",1.0,False
PXD011242,abstract_only,BiologicalAgent,cell_line,"[""lx2""]","[""lx2""]",,True
PXD011609,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD011609,abstract_only,BiologicalAgent,tissue,"[""skin""]","[""skin""]",1.0,True
PXD011609,abstract_only,BiologicalAgent,cell_type,"[""epidermal cells""]","[""keratinocyte""]",0.7741222388382313,False
PXD011609,abstract_only,BiologicalAgent,disease_state,"[""actinic keratosis"", ""bowen's disease"", ""cutaneous squamous cell carcinoma"", ""normal""]","[""actinic keratosis"", ""skin cancer"", ""squamous cell carcinoma""]",0.653460388289148,False
PXD013923,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD013923,with_methods,BiologicalAgent,tissue,"[""kidney"", ""skin""]","[""skin""]",0.6100706338283863,False
PXD013923,with_methods,BiologicalAgent,cell_type,"[""embryonic kidney cell"", ""epithelial cell"", ""melanoma cell""]","[""fibroblast"", ""melanoma cells""]",0.7583166687529358,False
PXD013923,with_methods,BiologicalAgent,disease_state,"[""melanoma""]","[""skin cancer""]",0.4045490209186808,False
PXD013923,with_methods,BiologicalAgent,cell_line,"[""a375"", ""hek293"", ""hek293t""]","[""a375"", ""hek293""]",0.906767569115134,False
PXD020164,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD020164,abstract_only,BiologicalAgent,tissue,"[""blood"", ""saliva"", ""urine""]","[""saliva""]",0.699497994408179,False
PXD025899,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD025899,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""disease free"", ""normal""]",1.0,False
PXD036023,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]",1.0,True
PXD036023,abstract_only,BiologicalAgent,cell_type,"[""spermatozoa""]","[""spermatozoa""]",1.0,True
