model,arm,agent,field,n_replicates,unknown_rate_mean,unknown_rate_sd
qwen3_8_27b,S1,ExperimentalDesignAgent,biological_replicate,3,0.8666666666666667,0.0
qwen3_8_27b,S1,ExperimentalDesignAgent,experimental_design,3,0.45555555555555555,0.03849001794597504
qwen3_8_27b,S1,ExperimentalDesignAgent,factor_value,3,0.7111111111111111,0.050917507721731606
qwen3_8_27b,S1,ExperimentalDesignAgent,number_of_biological_replicates,3,0.3888888888888889,0.019245008972987553
qwen3_8_27b,S1,ExperimentalDesignAgent,number_of_fractions,3,0.6777777777777777,0.05091750772173154
qwen3_8_27b,S1,ExperimentalDesignAgent,number_of_samples,3,0.6777777777777777,0.01924500897298752
qwen3_8_27b,S1,ExperimentalDesignAgent,number_of_technical_replicates,3,0.711111111111111,0.01924500897298752
qwen3_8_27b,S1,ExperimentalDesignAgent,technical_replicate,3,0.8444444444444444,0.05091750772173154
qwen3_8_27b,S1,ExperimentalDesignAgent,technology_type,3,0.03333333333333333,0.0
qwen3_8_27b,S1,TechnicalAgent,acquisition_method,3,0.3,0.033333333333333326
qwen3_8_27b,S1,TechnicalAgent,alkylation_concentration,3,0.4888888888888889,0.01924500897298752
qwen3_8_27b,S1,TechnicalAgent,alkylation_reagent,3,0.3333333333333333,0.0
qwen3_8_27b,S1,TechnicalAgent,cleavage_agent,3,0.1,0.0
qwen3_8_27b,S1,TechnicalAgent,collision_energy,3,0.4,0.0
qwen3_8_27b,S1,TechnicalAgent,enrichment_method,3,0.7555555555555555,0.06938886664887114
qwen3_8_27b,S1,TechnicalAgent,fractionation_method,3,0.5555555555555556,0.05091750772173154
qwen3_8_27b,S1,TechnicalAgent,fragmentation_method,3,0.28888888888888886,0.01924500897298752
qwen3_8_27b,S1,TechnicalAgent,instrument,3,0.06666666666666667,0.0
qwen3_8_27b,S1,TechnicalAgent,ionization_type,3,0.4888888888888889,0.05091750772173154
qwen3_8_27b,S1,TechnicalAgent,labeling,3,0.6777777777777777,0.05091750772173154
qwen3_8_27b,S1,TechnicalAgent,mass_analyzer,3,0.16666666666666666,0.06666666666666667
qwen3_8_27b,S1,TechnicalAgent,ptm,3,0.3333333333333333,0.08819171036881969
qwen3_8_27b,S1,TechnicalAgent,reduction_concentration,3,0.4222222222222222,0.03849001794597504
qwen3_8_27b,S1,TechnicalAgent,reduction_reagent,3,0.3222222222222222,0.01924500897298752
qwen3_8_27b,S2,BiologicalAgent,BMI,3,0.9777777777777777,0.01924500897298752
qwen3_8_27b,S2,BiologicalAgent,age,3,0.711111111111111,0.01924500897298752
qwen3_8_27b,S2,BiologicalAgent,anatomic_site_tumor,3,0.9666666666666667,0.0
qwen3_8_27b,S2,BiologicalAgent,cell_line,3,0.6222222222222222,0.01924500897298752
qwen3_8_27b,S2,BiologicalAgent,cell_type,3,0.3333333333333333,0.033333333333333326
qwen3_8_27b,S2,BiologicalAgent,developmental_stage,3,0.611111111111111,0.03849001794597504
qwen3_8_27b,S2,BiologicalAgent,disease_state,3,0.06666666666666667,0.06666666666666667
qwen3_8_27b,S2,BiologicalAgent,ethnicity,3,1.0,0.0
qwen3_8_27b,S2,BiologicalAgent,material_type,3,0.0,0.0
qwen3_8_27b,S2,BiologicalAgent,sample_source,3,0.0,0.0
qwen3_8_27b,S2,BiologicalAgent,sex,3,0.6666666666666666,0.033333333333333326
qwen3_8_27b,S2,BiologicalAgent,species,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S2,BiologicalAgent,strain,3,0.4666666666666667,0.0
qwen3_8_27b,S2,BiologicalAgent,tissue,3,0.24444444444444444,0.03849001794597504
qwen3_8_27b,S2,ExperimentalDesignAgent,biological_replicate,3,0.4222222222222222,0.08388704928078612
qwen3_8_27b,S2,ExperimentalDesignAgent,experimental_design,3,0.06666666666666667,0.03333333333333334
qwen3_8_27b,S2,ExperimentalDesignAgent,factor_value,3,0.03333333333333333,0.03333333333333333
qwen3_8_27b,S2,ExperimentalDesignAgent,number_of_biological_replicates,3,0.06666666666666667,0.03333333333333334
qwen3_8_27b,S2,ExperimentalDesignAgent,number_of_fractions,3,0.03333333333333333,0.0
qwen3_8_27b,S2,ExperimentalDesignAgent,number_of_samples,3,0.15555555555555556,0.03849001794597506
qwen3_8_27b,S2,ExperimentalDesignAgent,number_of_technical_replicates,3,0.16666666666666666,0.08819171036881968
qwen3_8_27b,S2,ExperimentalDesignAgent,technical_replicate,3,0.4444444444444445,0.03849001794597504
qwen3_8_27b,S2,ExperimentalDesignAgent,technology_type,3,0.03333333333333333,0.0
qwen3_8_27b,S2,TechnicalAgent,acquisition_method,3,0.2777777777777778,0.03849001794597504
qwen3_8_27b,S2,TechnicalAgent,alkylation_concentration,3,0.4666666666666667,0.0
qwen3_8_27b,S2,TechnicalAgent,alkylation_reagent,3,0.35555555555555557,0.03849001794597508
qwen3_8_27b,S2,TechnicalAgent,cleavage_agent,3,0.08888888888888889,0.01924500897298753
qwen3_8_27b,S2,TechnicalAgent,collision_energy,3,0.4,0.0
qwen3_8_27b,S2,TechnicalAgent,enrichment_method,3,0.7555555555555555,0.019245008972987584
qwen3_8_27b,S2,TechnicalAgent,fractionation_method,3,0.6555555555555556,0.03849001794597504
qwen3_8_27b,S2,TechnicalAgent,fragmentation_method,3,0.3111111111111111,0.03849001794597504
qwen3_8_27b,S2,TechnicalAgent,instrument,3,0.06666666666666667,0.0
qwen3_8_27b,S2,TechnicalAgent,ionization_type,3,0.36666666666666664,0.06666666666666668
qwen3_8_27b,S2,TechnicalAgent,labeling,3,0.022222222222222223,0.019245008972987525
qwen3_8_27b,S2,TechnicalAgent,mass_analyzer,3,0.07777777777777778,0.01924500897298753
qwen3_8_27b,S2,TechnicalAgent,ptm,3,0.23333333333333334,0.033333333333333326
qwen3_8_27b,S2,TechnicalAgent,reduction_concentration,3,0.4,0.033333333333333354
qwen3_8_27b,S2,TechnicalAgent,reduction_reagent,3,0.3222222222222222,0.01924500897298752
qwen3_8_27b,S3,BiologicalAgent,BMI,3,0.9777777777777777,0.01924500897298752
qwen3_8_27b,S3,BiologicalAgent,age,3,0.711111111111111,0.01924500897298752
qwen3_8_27b,S3,BiologicalAgent,anatomic_site_tumor,3,0.9666666666666667,0.033333333333333326
qwen3_8_27b,S3,BiologicalAgent,cell_line,3,0.6444444444444444,0.03849001794597504
qwen3_8_27b,S3,BiologicalAgent,cell_type,3,0.34444444444444444,0.05091750772173158
qwen3_8_27b,S3,BiologicalAgent,developmental_stage,3,0.7333333333333333,0.03333333333333338
qwen3_8_27b,S3,BiologicalAgent,disease_state,3,0.14444444444444446,0.05091750772173156
qwen3_8_27b,S3,BiologicalAgent,ethnicity,3,1.0,0.0
qwen3_8_27b,S3,BiologicalAgent,material_type,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S3,BiologicalAgent,sample_source,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S3,BiologicalAgent,sex,3,0.6666666666666666,0.0
qwen3_8_27b,S3,BiologicalAgent,species,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S3,BiologicalAgent,strain,3,0.4777777777777778,0.03849001794597504
qwen3_8_27b,S3,BiologicalAgent,tissue,3,0.28888888888888886,0.01924500897298752
qwen3_8_27b,S3,ExperimentalDesignAgent,biological_replicate,3,0.37777777777777777,0.08388704928078612
qwen3_8_27b,S3,ExperimentalDesignAgent,experimental_design,3,0.0,0.0
qwen3_8_27b,S3,ExperimentalDesignAgent,factor_value,3,0.0,0.0
qwen3_8_27b,S3,ExperimentalDesignAgent,number_of_biological_replicates,3,0.07777777777777778,0.01924500897298753
qwen3_8_27b,S3,ExperimentalDesignAgent,number_of_fractions,3,0.022222222222222223,0.019245008972987525
qwen3_8_27b,S3,ExperimentalDesignAgent,number_of_samples,3,0.15555555555555556,0.05091750772173156
qwen3_8_27b,S3,ExperimentalDesignAgent,number_of_technical_replicates,3,0.24444444444444444,0.03849001794597504
qwen3_8_27b,S3,ExperimentalDesignAgent,technical_replicate,3,0.4888888888888889,0.01924500897298752
qwen3_8_27b,S3,ExperimentalDesignAgent,technology_type,3,0.022222222222222223,0.019245008972987525
qwen3_8_27b,S3,TechnicalAgent,acquisition_method,3,0.26666666666666666,0.0
qwen3_8_27b,S3,TechnicalAgent,alkylation_concentration,3,0.4888888888888889,0.01924500897298752
qwen3_8_27b,S3,TechnicalAgent,alkylation_reagent,3,0.37777777777777777,0.019245008972987553
qwen3_8_27b,S3,TechnicalAgent,cleavage_agent,3,0.1,0.0
qwen3_8_27b,S3,TechnicalAgent,collision_energy,3,0.4,0.0
qwen3_8_27b,S3,TechnicalAgent,enrichment_method,3,0.7333333333333333,0.06666666666666671
qwen3_8_27b,S3,TechnicalAgent,fractionation_method,3,0.6555555555555556,0.03849001794597504
qwen3_8_27b,S3,TechnicalAgent,fragmentation_method,3,0.3333333333333333,0.033333333333333326
qwen3_8_27b,S3,TechnicalAgent,instrument,3,0.06666666666666667,0.0
qwen3_8_27b,S3,TechnicalAgent,ionization_type,3,0.3111111111111111,0.05091750772173154
qwen3_8_27b,S3,TechnicalAgent,labeling,3,0.0,0.0
qwen3_8_27b,S3,TechnicalAgent,mass_analyzer,3,0.08888888888888889,0.01924500897298753
qwen3_8_27b,S3,TechnicalAgent,ptm,3,0.24444444444444444,0.03849001794597504
qwen3_8_27b,S3,TechnicalAgent,reduction_concentration,3,0.41111111111111115,0.01924500897298752
qwen3_8_27b,S3,TechnicalAgent,reduction_reagent,3,0.34444444444444444,0.01924500897298752
qwen3_8_27b,S4,BiologicalAgent,BMI,3,0.9666666666666667,0.0
qwen3_8_27b,S4,BiologicalAgent,age,3,0.711111111111111,0.01924500897298752
qwen3_8_27b,S4,BiologicalAgent,anatomic_site_tumor,3,0.9555555555555556,0.01924500897298752
qwen3_8_27b,S4,BiologicalAgent,cell_line,3,0.6444444444444444,0.01924500897298752
qwen3_8_27b,S4,BiologicalAgent,cell_type,3,0.3,0.033333333333333326
qwen3_8_27b,S4,BiologicalAgent,developmental_stage,3,0.6555555555555556,0.01924500897298752
qwen3_8_27b,S4,BiologicalAgent,disease_state,3,0.044444444444444446,0.019245008972987525
qwen3_8_27b,S4,BiologicalAgent,ethnicity,3,1.0,0.0
qwen3_8_27b,S4,BiologicalAgent,material_type,3,0.0,0.0
qwen3_8_27b,S4,BiologicalAgent,sample_source,3,0.0,0.0
qwen3_8_27b,S4,BiologicalAgent,sex,3,0.6444444444444444,0.01924500897298752
qwen3_8_27b,S4,BiologicalAgent,species,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S4,BiologicalAgent,strain,3,0.4888888888888889,0.01924500897298752
qwen3_8_27b,S4,BiologicalAgent,tissue,3,0.26666666666666666,0.0
qwen3_8_27b,S4,ExperimentalDesignAgent,biological_replicate,3,0.3555555555555555,0.01924500897298752
qwen3_8_27b,S4,ExperimentalDesignAgent,experimental_design,3,0.044444444444444446,0.019245008972987525
qwen3_8_27b,S4,ExperimentalDesignAgent,factor_value,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S4,ExperimentalDesignAgent,number_of_biological_replicates,3,0.06666666666666667,0.03333333333333334
qwen3_8_27b,S4,ExperimentalDesignAgent,number_of_fractions,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S4,ExperimentalDesignAgent,number_of_samples,3,0.14444444444444443,0.01924500897298752
qwen3_8_27b,S4,ExperimentalDesignAgent,number_of_technical_replicates,3,0.26666666666666666,0.05773502691896256
qwen3_8_27b,S4,ExperimentalDesignAgent,technical_replicate,3,0.45555555555555555,0.08388704928078612
qwen3_8_27b,S4,ExperimentalDesignAgent,technology_type,3,0.022222222222222223,0.019245008972987525
qwen3_8_27b,S4,TechnicalAgent,acquisition_method,3,0.25555555555555554,0.01924500897298752
qwen3_8_27b,S4,TechnicalAgent,alkylation_concentration,3,0.5,0.0
qwen3_8_27b,S4,TechnicalAgent,alkylation_reagent,3,0.4,0.0
qwen3_8_27b,S4,TechnicalAgent,cleavage_agent,3,0.1,0.0
qwen3_8_27b,S4,TechnicalAgent,collision_energy,3,0.4,0.0
qwen3_8_27b,S4,TechnicalAgent,enrichment_method,3,0.7444444444444445,0.019245008972987584
qwen3_8_27b,S4,TechnicalAgent,fractionation_method,3,0.6666666666666666,0.033333333333333326
qwen3_8_27b,S4,TechnicalAgent,fragmentation_method,3,0.3333333333333333,0.0
qwen3_8_27b,S4,TechnicalAgent,instrument,3,0.06666666666666667,0.0
qwen3_8_27b,S4,TechnicalAgent,ionization_type,3,0.35555555555555557,0.03849001794597508
qwen3_8_27b,S4,TechnicalAgent,labeling,3,0.022222222222222223,0.03849001794597505
qwen3_8_27b,S4,TechnicalAgent,mass_analyzer,3,0.07777777777777778,0.01924500897298753
qwen3_8_27b,S4,TechnicalAgent,ptm,3,0.2,0.0
qwen3_8_27b,S4,TechnicalAgent,reduction_concentration,3,0.4,0.033333333333333354
qwen3_8_27b,S4,TechnicalAgent,reduction_reagent,3,0.3333333333333333,0.0
qwen3_8_27b,S5,BiologicalAgent,BMI,3,0.9777777777777777,0.01924500897298752
qwen3_8_27b,S5,BiologicalAgent,age,3,0.7222222222222222,0.01924500897298752
qwen3_8_27b,S5,BiologicalAgent,anatomic_site_tumor,3,0.9777777777777777,0.01924500897298752
qwen3_8_27b,S5,BiologicalAgent,cell_line,3,0.6333333333333333,0.0
qwen3_8_27b,S5,BiologicalAgent,cell_type,3,0.3,0.05773502691896256
qwen3_8_27b,S5,BiologicalAgent,developmental_stage,3,0.6888888888888889,0.10715167512214396
qwen3_8_27b,S5,BiologicalAgent,disease_state,3,0.08888888888888889,0.03849001794597505
qwen3_8_27b,S5,BiologicalAgent,ethnicity,3,1.0,0.0
qwen3_8_27b,S5,BiologicalAgent,material_type,3,0.0,0.0
qwen3_8_27b,S5,BiologicalAgent,sample_source,3,0.0,0.0
qwen3_8_27b,S5,BiologicalAgent,sex,3,0.6888888888888889,0.01924500897298752
qwen3_8_27b,S5,BiologicalAgent,species,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S5,BiologicalAgent,strain,3,0.4666666666666667,0.0
qwen3_8_27b,S5,BiologicalAgent,tissue,3,0.28888888888888886,0.01924500897298752
qwen3_8_27b,S5,ExperimentalDesignAgent,biological_replicate,3,0.4,0.033333333333333354
qwen3_8_27b,S5,ExperimentalDesignAgent,experimental_design,3,0.022222222222222223,0.019245008972987525
qwen3_8_27b,S5,ExperimentalDesignAgent,factor_value,3,0.022222222222222223,0.03849001794597505
qwen3_8_27b,S5,ExperimentalDesignAgent,number_of_biological_replicates,3,0.07777777777777778,0.01924500897298753
qwen3_8_27b,S5,ExperimentalDesignAgent,number_of_fractions,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S5,ExperimentalDesignAgent,number_of_samples,3,0.15555555555555556,0.05091750772173156
qwen3_8_27b,S5,ExperimentalDesignAgent,number_of_technical_replicates,3,0.26666666666666666,0.06666666666666665
qwen3_8_27b,S5,ExperimentalDesignAgent,technical_replicate,3,0.5222222222222223,0.0838870492807861
qwen3_8_27b,S5,ExperimentalDesignAgent,technology_type,3,0.03333333333333333,0.0
qwen3_8_27b,S5,TechnicalAgent,acquisition_method,3,0.25555555555555554,0.01924500897298752
qwen3_8_27b,S5,TechnicalAgent,alkylation_concentration,3,0.5,0.0
qwen3_8_27b,S5,TechnicalAgent,alkylation_reagent,3,0.36666666666666664,0.033333333333333354
qwen3_8_27b,S5,TechnicalAgent,cleavage_agent,3,0.1,0.0
qwen3_8_27b,S5,TechnicalAgent,collision_energy,3,0.4,0.0
qwen3_8_27b,S5,TechnicalAgent,enrichment_method,3,0.711111111111111,0.01924500897298752
qwen3_8_27b,S5,TechnicalAgent,fractionation_method,3,0.6333333333333333,0.0
qwen3_8_27b,S5,TechnicalAgent,fragmentation_method,3,0.3,0.033333333333333326
qwen3_8_27b,S5,TechnicalAgent,instrument,3,0.06666666666666667,0.0
qwen3_8_27b,S5,TechnicalAgent,ionization_type,3,0.36666666666666664,0.06666666666666668
qwen3_8_27b,S5,TechnicalAgent,labeling,3,0.011111111111111112,0.019245008972987525
qwen3_8_27b,S5,TechnicalAgent,mass_analyzer,3,0.06666666666666667,0.0
qwen3_8_27b,S5,TechnicalAgent,ptm,3,0.2,0.03333333333333334
qwen3_8_27b,S5,TechnicalAgent,reduction_concentration,3,0.41111111111111115,0.01924500897298752
qwen3_8_27b,S5,TechnicalAgent,reduction_reagent,3,0.3333333333333333,0.05773502691896256
gemma4_31b,S0,BiologicalAgent,BMI,3,0.9666666666666667,0.0
gemma4_31b,S0,BiologicalAgent,age,3,0.7333333333333333,0.0
gemma4_31b,S0,BiologicalAgent,anatomic_site_tumor,3,1.0,0.0
gemma4_31b,S0,BiologicalAgent,cell_line,3,0.6666666666666666,0.05773502691896256
gemma4_31b,S0,BiologicalAgent,cell_type,3,0.7888888888888889,0.050917507721731606
gemma4_31b,S0,BiologicalAgent,developmental_stage,3,0.9666666666666667,0.0
gemma4_31b,S0,BiologicalAgent,disease_state,3,0.711111111111111,0.03849001794597504
gemma4_31b,S0,BiologicalAgent,ethnicity,3,1.0,0.0
gemma4_31b,S0,BiologicalAgent,material_type,3,0.8333333333333334,0.05773502691896256
gemma4_31b,S0,BiologicalAgent,sample_source,3,1.0,0.0
gemma4_31b,S0,BiologicalAgent,sex,3,0.8,0.0
gemma4_31b,S0,BiologicalAgent,species,3,0.03333333333333333,0.03333333333333333
gemma4_31b,S0,BiologicalAgent,strain,3,0.5222222222222223,0.01924500897298752
gemma4_31b,S0,BiologicalAgent,tissue,3,0.4,0.033333333333333354
gemma4_31b,S0,ExperimentalDesignAgent,biological_replicate,3,0.7888888888888889,0.050917507721731606
gemma4_31b,S0,ExperimentalDesignAgent,experimental_design,3,0.9111111111111111,0.03849001794597504
gemma4_31b,S0,ExperimentalDesignAgent,factor_value,3,0.9888888888888889,0.01924500897298752
gemma4_31b,S0,ExperimentalDesignAgent,number_of_biological_replicates,3,0.7666666666666667,0.06666666666666671
gemma4_31b,S0,ExperimentalDesignAgent,number_of_fractions,3,0.8444444444444444,0.01924500897298752
gemma4_31b,S0,ExperimentalDesignAgent,number_of_samples,3,0.9111111111111111,0.01924500897298752
gemma4_31b,S0,ExperimentalDesignAgent,number_of_technical_replicates,3,0.888888888888889,0.01924500897298752
gemma4_31b,S0,ExperimentalDesignAgent,technical_replicate,3,0.9666666666666667,0.0
gemma4_31b,S0,ExperimentalDesignAgent,technology_type,3,1.0,0.0
gemma4_31b,S0,TechnicalAgent,acquisition_method,3,0.8222222222222222,0.08388704928078615
gemma4_31b,S0,TechnicalAgent,alkylation_concentration,3,1.0,0.0
gemma4_31b,S0,TechnicalAgent,alkylation_reagent,3,0.5444444444444444,0.03849001794597504
gemma4_31b,S0,TechnicalAgent,cleavage_agent,3,0.06666666666666667,0.0
gemma4_31b,S0,TechnicalAgent,collision_energy,3,0.4,0.0
gemma4_31b,S0,TechnicalAgent,enrichment_method,3,0.7444444444444445,0.06938886664887114
gemma4_31b,S0,TechnicalAgent,fractionation_method,3,0.8666666666666667,0.033333333333333326
gemma4_31b,S0,TechnicalAgent,fragmentation_method,3,0.45555555555555555,0.03849001794597504
gemma4_31b,S0,TechnicalAgent,instrument,3,0.0,0.0
gemma4_31b,S0,TechnicalAgent,ionization_type,3,0.611111111111111,0.05091750772173154
gemma4_31b,S0,TechnicalAgent,labeling,3,0.8444444444444444,0.03849001794597504
gemma4_31b,S0,TechnicalAgent,mass_analyzer,3,0.8,0.033333333333333326
gemma4_31b,S0,TechnicalAgent,ptm,3,0.37777777777777777,0.019245008972987553
gemma4_31b,S0,TechnicalAgent,reduction_concentration,3,1.0,0.0
gemma4_31b,S0,TechnicalAgent,reduction_reagent,3,0.6,0.05773502691896256
gemma4_31b,S1,BiologicalAgent,BMI,3,0.9666666666666667,0.0
gemma4_31b,S1,BiologicalAgent,age,3,0.6888888888888889,0.01924500897298752
gemma4_31b,S1,BiologicalAgent,anatomic_site_tumor,3,0.9,0.0
gemma4_31b,S1,BiologicalAgent,cell_line,3,0.6,0.0
gemma4_31b,S1,BiologicalAgent,cell_type,3,0.5444444444444444,0.05091750772173154
gemma4_31b,S1,BiologicalAgent,developmental_stage,3,0.8333333333333334,0.0
gemma4_31b,S1,BiologicalAgent,disease_state,3,0.6,0.0
gemma4_31b,S1,BiologicalAgent,ethnicity,3,1.0,0.0
gemma4_31b,S1,BiologicalAgent,material_type,3,0.06666666666666667,0.03333333333333334
gemma4_31b,S1,BiologicalAgent,sample_source,3,0.1111111111111111,0.05091750772173155
gemma4_31b,S1,BiologicalAgent,sex,3,0.7,0.0
gemma4_31b,S1,BiologicalAgent,species,3,0.0,0.0
gemma4_31b,S1,BiologicalAgent,strain,3,0.43333333333333335,0.0
gemma4_31b,S1,BiologicalAgent,tissue,3,0.34444444444444444,0.01924500897298752
gemma4_31b,S1,ExperimentalDesignAgent,biological_replicate,3,0.5444444444444444,0.01924500897298752
gemma4_31b,S1,ExperimentalDesignAgent,experimental_design,3,0.5333333333333333,0.05773502691896256
gemma4_31b,S1,ExperimentalDesignAgent,factor_value,3,0.34444444444444444,0.01924500897298752
gemma4_31b,S1,ExperimentalDesignAgent,number_of_biological_replicates,3,0.4222222222222222,0.01924500897298752
gemma4_31b,S1,ExperimentalDesignAgent,number_of_fractions,3,0.6666666666666666,0.0
gemma4_31b,S1,ExperimentalDesignAgent,number_of_samples,3,0.6888888888888889,0.01924500897298752
gemma4_31b,S1,ExperimentalDesignAgent,number_of_technical_replicates,3,0.7555555555555555,0.019245008972987584
gemma4_31b,S1,ExperimentalDesignAgent,technical_replicate,3,0.711111111111111,0.01924500897298752
gemma4_31b,S1,ExperimentalDesignAgent,technology_type,3,0.0,0.0
gemma4_31b,S1,TechnicalAgent,acquisition_method,3,0.39999999999999997,0.057735026918962595
gemma4_31b,S1,TechnicalAgent,alkylation_concentration,3,0.5,0.0
gemma4_31b,S1,TechnicalAgent,alkylation_reagent,3,0.2777777777777778,0.01924500897298752
gemma4_31b,S1,TechnicalAgent,cleavage_agent,3,0.13333333333333333,0.0
gemma4_31b,S1,TechnicalAgent,collision_energy,3,0.4,0.0
gemma4_31b,S1,TechnicalAgent,enrichment_method,3,0.4666666666666667,0.0
gemma4_31b,S1,TechnicalAgent,fractionation_method,3,0.4222222222222222,0.01924500897298752
gemma4_31b,S1,TechnicalAgent,fragmentation_method,3,0.4222222222222222,0.01924500897298752
gemma4_31b,S1,TechnicalAgent,instrument,3,0.06666666666666667,0.0
gemma4_31b,S1,TechnicalAgent,ionization_type,3,0.4888888888888889,0.01924500897298752
gemma4_31b,S1,TechnicalAgent,labeling,3,0.43333333333333335,0.0
gemma4_31b,S1,TechnicalAgent,mass_analyzer,3,0.28888888888888886,0.01924500897298752
gemma4_31b,S1,TechnicalAgent,ptm,3,0.17777777777777778,0.01924500897298754
