field	raw_value	normalized_to	similarity	count	status
cell_line	PC3	PC-3	1.000	5	exact_match
cell_line	MIA PaCa-2	MiaPaCa-2	1.000	5	exact_match
cell_line	HUVEC	HUVEC	1.000	5	exact_match
cell_line	HT29	HT-29	1.000	4	exact_match
cell_line	Hep3B	Hep3B	1.000	4	exact_match
cell_line	OVCAR3	OVCAR3	1.000	4	exact_match
cell_line	MCF-10A	MCF-10A	1.000	4	exact_match
cell_line	COV318	COV318	1.000	4	exact_match
cell_line	HCT-116	HCT-116	1.000	4	exact_match
cell_line	T47D	T-47D	1.000	4	exact_match
cell_line	143B	143-B	1.000	4	exact_match
cell_line	Aspc-1	AsPC-1	1.000	4	exact_match
cell_line	DLD-1	DLD-1	1.000	3	exact_match
cell_line	HCC38	HCC38	1.000	3	exact_match
cell_line	HCC1937	HCC1937	1.000	3	exact_match
cell_line	HCC1143	HCC1143	1.000	3	exact_match
cell_line	DLD1	DLD-1	1.000	3	exact_match
cell_line	CAL 27	CAL-27	1.000	3	exact_match
cell_line	PC-3	PC-3	1.000	3	exact_match
cell_line	PANC-1	PANC-1	1.000	3	exact_match
cell_line	SK-N-BE2	SK-N-BE(2)	1.000	3	exact_match
cell_line	U-2 OS	U2-OS	1.000	3	exact_match
cell_line	HPAC	HPAC	1.000	3	exact_match
cell_line	HaCaT	HaCaT	1.000	2	exact_match
cell_line	ES2	ES-2	1.000	2	exact_match
cell_line	OVISE	OVISE	1.000	2	exact_match
cell_line	THP1	THP-1	1.000	2	exact_match
cell_line	SKOV-3	SKOV3	1.000	2	exact_match
cell_line	CAOV3	CAOV3	1.000	2	exact_match
cell_line	DOV13	DOV13	1.000	2	exact_match
cell_line	IGROV1	IGROV1	1.000	2	exact_match
cell_line	KURAMOCHI	KURAMOCHI	1.000	2	exact_match
cell_line	OVKATE	OVKATE	1.000	2	exact_match
cell_line	OVSAHO	OVSAHO	1.000	2	exact_match
cell_line	COLO205	Colo-205	1.000	2	exact_match
cell_line	HCC827	HCC-827	1.000	2	exact_match
cell_line	NCI-H1299	NCI-H1299	1.000	2	exact_match
cell_line	U87MG	U-87MG	1.000	2	exact_match
cell_line	RPMI 8226	RPMI-8226	1.000	2	exact_match
cell_line	SHSY5Y	SH-SY5Y	1.000	2	exact_match
cell_line	PANC1	PANC-1	1.000	2	exact_match
cell_line	SKOV3ip1	SKOV3IP1	1.000	2	exact_match
cell_line	MDA-MB231	MDA-MB-231	1.000	2	exact_match
cell_line	Huh-7	HuH-7	1.000	2	exact_match
cell_line	K-562	K-562	1.000	2	exact_match
cell_line	IMR5	IMR-5	1.000	2	exact_match
cell_line	HL60	HL-60	1.000	2	exact_match
cell_line	LnCap	LNCaP	1.000	2	exact_match
cell_line	MOLM-16	MOLM-16	1.000	2	exact_match
cell_line	HT-29	HT-29	1.000	2	exact_match
cell_line	COLO-205	Colo-205	1.000	2	exact_match
cell_line	SK-N-BE(2)	SK-N-BE(2)	1.000	2	exact_match
cell_line	SK-OV-3	SKOV3	1.000	2	exact_match
cell_line	MDA-MB 231	MDA-MB-231	1.000	1	exact_match
cell_line	MDA-MB157	MDA-MB-157	1.000	1	exact_match
cell_line	Colo205	Colo-205	1.000	1	exact_match
cell_line	CAL27	CAL-27	1.000	1	exact_match
cell_line	A2780CP70	A2780CP70	1.000	1	exact_match
cell_line	HEYA8	HEYA8	1.000	1	exact_match
cell_line	IGROV1CP	IGROV1CP	1.000	1	exact_match
cell_line	IOSE397	IOSE397	1.000	1	exact_match
cell_line	IOSE7576	IOSE7576	1.000	1	exact_match
cell_line	JHOS2	JHOS2	1.000	1	exact_match
cell_line	JHOS4	JHOS4	1.000	1	exact_match
cell_line	ME180	ME180	1.000	1	exact_match
cell_line	ME180C13	ME180C13	1.000	1	exact_match
cell_line	OVCA433	OVCA433	1.000	1	exact_match
cell_line	PEO1	PEO1	1.000	1	exact_match
cell_line	PEO4	PEO4	1.000	1	exact_match
cell_line	SKOV3IP1	SKOV3IP1	1.000	1	exact_match
cell_line	SNU119	SNU119	1.000	1	exact_match
cell_line	SNU120	SNU120	1.000	1	exact_match
cell_line	SNU121	SNU121	1.000	1	exact_match
cell_line	TOV112D	TOV112D	1.000	1	exact_match
cell_line	TOV112DR	TOV112DR	1.000	1	exact_match
cell_line	TOV113DR	TOV113DR	1.000	1	exact_match
cell_line	TOV114DR	TOV114DR	1.000	1	exact_match
cell_line	TYKNU	TYKNU	1.000	1	exact_match
cell_line	TYKNUCP	TYKNUCP	1.000	1	exact_match
cell_line	HuH-7	HuH-7	1.000	1	exact_match
cell_line	SK-Mel24	SK-MEL-24	1.000	1	exact_match
cell_line	SK-Mel28	SK-MEL-28	1.000	1	exact_match
cell_line	Panc-1	PANC-1	1.000	1	exact_match
cell_line	U2-OS	U2-OS	1.000	1	exact_match
cell_line	HEK 293F	HEK293F	1.000	1	exact_match
cell_line	Hep-2	HEp-2	1.000	1	exact_match
cell_line	SK MEL-28	SK-MEL-28	1.000	1	exact_match
cell_line	BT483	BT483	1.000	1	exact_match
cell_line	Hs578T	Hs578T	1.000	1	exact_match
cell_line	MDA-MB-157	MDA-MB-157	1.000	1	exact_match
cell_line	MDA-MB-415	MDA-MB-415	1.000	1	exact_match
cell_line	BT474	BT-474	1.000	1	exact_match
cell_line	HS578T	Hs578T	1.000	1	exact_match
cell_line	MDAMB157	MDA-MB-157	1.000	1	exact_match
cell_line	MDAMB231	MDA-MB-231	1.000	1	exact_match
cell_line	MDAMB468	MDA-MB-468	1.000	1	exact_match
cell_line	T-47D	T-47D	1.000	1	exact_match
cell_line	IMR-90	IMR-90	1.000	1	exact_match
cell_line	Hep2	HEp-2	1.000	1	exact_match
cell_line	K 562	K-562	1.000	1	exact_match
cell_line	SK N BE(2)	SK-N-BE(2)	1.000	1	exact_match
cell_line	COLO 205	Colo-205	1.000	1	exact_match
cell_line	SK-MEL	SK-MEL	1.000	1	exact_match
cell_line	MCF10a	MCF-10A	1.000	1	exact_match
cell_line	RPMI8226	RPMI-8226	1.000	1	exact_match
cell_line	MIA-Pa-Ca-2	MiaPaCa-2	1.000	1	exact_match
cell_line	LnCaP	LNCaP	1.000	1	exact_match
cell_line	IMR90	IMR-90	1.000	1	exact_match
cell_line	HEp-2	HEp-2	1.000	1	exact_match
cell_line	Hs578t	Hs578T	1.000	1	exact_match
cell_line	108T	108T	1.000	1	exact_match
cell_line	12T	12T	1.000	1	exact_match
cell_line	MiaPaCa-2	MiaPaCa-2	1.000	1	exact_match
cell_line	ASPC1	AsPC-1	1.000	1	exact_match
cell_line	AsPC1	AsPC-1	1.000	1	exact_match
cell_line	BxPC3	BxPC-3	1.000	1	exact_match
cell_line	CFPAC1	CFPAC-1	1.000	1	exact_match
cell_line	Calu-3	Calu-3	1.000	1	exact_match
cell_line	BxPC-3	BxPC-3	1.000	1	exact_match
cell_line	MiaPaCa2	MiaPaCa-2	1.000	1	exact_match
cell_line	ASPC-1	AsPC-1	1.000	1	exact_match
cell_line	SKMEL-28	SK-MEL-28	1.000	1	exact_match
cell_line	Hct-116	HCT-116	1.000	1	exact_match
cell_line	Sk-mel-28	SK-MEL-28	1.000	1	exact_match
cell_line	Mda-mb-468	MDA-MB-468	1.000	1	exact_match
cell_line	1321-n1	1321-N1	1.000	1	exact_match
cell_line	Hep-G2	HepG2	1.000	1	exact_match
cell_line	Hek293	HEK293	1.000	1	exact_match
cell_line	Huh7	HuH-7	1.000	1	exact_match
cell_line	U87-MG	U-87MG	1.000	1	exact_match
cell_line	Hek293T	HEK293T	1.000	1	exact_match
cell_line	OVCAR-3	OVCAR3	1.000	1	exact_match
cell_line	Sh-Sy5y	SH-SY5Y	1.000	1	exact_match
cell_line	BXPC3	BxPC-3	1.000	1	exact_match
cell_line	SKMEL28	SK-MEL-28	1.000	1	exact_match
cell_line	SW-480	SW-480	1.000	1	exact_match
cell_line	SiHa	SiHa	1.000	1	exact_match
cell_line	Panc1	PANC-1	1.000	1	exact_match
cell_line	Hek-293t	HEK293T	1.000	1	exact_match
cell_line	HCT 116	HCT-116	1.000	1	exact_match
cell_line	SK-MEL-28	SK-MEL-28	1.000	1	exact_match
cell_line	Permanent cell line		0.000	14	unmapped
cell_line	HEK		0.000	12	unmapped
cell_line	SGBS		0.000	11	unmapped
cell_line	JVM-13		0.000	8	unmapped
cell_line	H9		0.000	8	unmapped
cell_line	MHCC97H		0.000	7	unmapped
cell_line	Hela cell		0.000	6	unmapped
cell_line	hSAECs		0.000	6	unmapped
cell_line	HAP1		0.000	6	unmapped
cell_line	H1299		0.000	6	unmapped
cell_line	Caco-2		0.000	6	unmapped
cell_line	U87		0.000	5	unmapped
cell_line	MV4-11		0.000	5	unmapped
cell_line	H9 hESC		0.000	5	unmapped
cell_line	Kelly		0.000	5	unmapped
cell_line	SK-N-DZ		0.000	5	unmapped
cell_line	MM1s		0.000	5	unmapped
cell_line	293T		0.000	5	unmapped
cell_line	Flp-In 293 T-REx		0.000	5	unmapped
cell_line	Permanent cell line cell		0.000	4	unmapped
cell_line	H1975		0.000	4	unmapped
cell_line	H292		0.000	4	unmapped
cell_line	RPE1		0.000	4	unmapped
cell_line	Kasumi-1		0.000	4	unmapped
cell_line	HCC1428		0.000	4	unmapped
cell_line	NB1		0.000	4	unmapped
cell_line	HAP-1		0.000	4	unmapped
cell_line	MDAMB436		0.000	4	unmapped
cell_line	Cancer Cell Line Encyclopedia cell lines		0.000	4	unmapped
cell_line	CD34+ cells		0.000	4	unmapped
cell_line	U937		0.000	4	unmapped
cell_line	3T3-L1		0.000	4	unmapped
cell_line	DiFi		0.000	4	unmapped
cell_line	DU145		0.000	4	unmapped
cell_line	MV-4-11		0.000	4	unmapped
cell_line	hTERT-RPE1		0.000	4	unmapped
cell_line	NIH3T3		0.000	4	unmapped
cell_line	RAW 264.7		0.000	4	unmapped
cell_line	NALM-6		0.000	4	unmapped
cell_line	SY5609		0.000	4	unmapped
cell_line	H3255		0.000	3	unmapped
cell_line	BT549		0.000	3	unmapped
cell_line	MDA-MB-436		0.000	3	unmapped
cell_line	RKO		0.000	3	unmapped
cell_line	OKF6/TERT1		0.000	3	unmapped
cell_line	JHU-O28		0.000	3	unmapped
cell_line	H358		0.000	3	unmapped
cell_line	Normal human dermal fibroblasts		0.000	3	unmapped
cell_line	MEFs		0.000	3	unmapped
cell_line	RT4		0.000	3	unmapped
cell_line	H650		0.000	3	unmapped
cell_line	MOLM-13		0.000	3	unmapped
cell_line	Calu-1		0.000	3	unmapped
cell_line	U251		0.000	3	unmapped
cell_line	JY		0.000	3	unmapped
cell_line	HFF		0.000	3	unmapped
cell_line	AC16		0.000	3	unmapped
cell_line	WM164		0.000	3	unmapped
cell_line	N2a		0.000	3	unmapped
cell_line	C2C12		0.000	3	unmapped
cell_line	HepaRG		0.000	3	unmapped
cell_line	OVCAR-8		0.000	3	unmapped
cell_line	LX-2		0.000	3	unmapped
cell_line	HEK 293 Jump In T-REx		0.000	3	unmapped
cell_line	RPE-1		0.000	3	unmapped
cell_line	HEK293 Flp-In		0.000	3	unmapped
cell_line	prostate cancer cell lines		0.000	3	unmapped
cell_line	Caki-1		0.000	3	unmapped
cell_line	Caco2		0.000	2	unmapped
cell_line	HCEC		0.000	2	unmapped
cell_line	MKN28		0.000	2	unmapped
cell_line	HDF		0.000	2	unmapped
cell_line	Ex9-KI		0.000	2	unmapped
cell_line	Ex20-KI		0.000	2	unmapped
cell_line	Kit225		0.000	2	unmapped
cell_line	A2780-DR		0.000	2	unmapped
cell_line	HCC1395		0.000	2	unmapped
cell_line	SUM159		0.000	2	unmapped
cell_line	HCC1599		0.000	2	unmapped
cell_line	BT20		0.000	2	unmapped
cell_line	WM239A		0.000	2	unmapped
cell_line	JHU-O11		0.000	2	unmapped
cell_line	JHU-O22		0.000	2	unmapped
cell_line	JHU-O29		0.000	2	unmapped
cell_line	RCMH		0.000	2	unmapped
cell_line	SKBR3		0.000	2	unmapped
cell_line	FaDu		0.000	2	unmapped
cell_line	HCCLM6		0.000	2	unmapped
cell_line	MHCC97L		0.000	2	unmapped
cell_line	EA.hy926		0.000	2	unmapped
cell_line	LCL		0.000	2	unmapped
cell_line	H441		0.000	2	unmapped
cell_line	HEK293 Flp-In T-REx		0.000	2	unmapped
cell_line	MCF-7 Flp-In		0.000	2	unmapped
cell_line	M14		0.000	2	unmapped
cell_line	NCI-H460		0.000	2	unmapped
cell_line	Flp-In T-REx 293		0.000	2	unmapped
cell_line	MRC5		0.000	2	unmapped
cell_line	MM.1S		0.000	2	unmapped
cell_line	BEAS-2B		0.000	2	unmapped
cell_line	OE21		0.000	2	unmapped
cell_line	KG-1a		0.000	2	unmapped
cell_line	MM6		0.000	2	unmapped
cell_line	KG-1		0.000	2	unmapped
cell_line	NB-4		0.000	2	unmapped
cell_line	Kasumi-3		0.000	2	unmapped
cell_line	TbSTT3A-HA3		0.000	2	unmapped
cell_line	TbSTT3B-Myc3		0.000	2	unmapped
cell_line	MEF		0.000	2	unmapped
cell_line	K052		0.000	2	unmapped
cell_line	MOLT-4		0.000	2	unmapped
cell_line	HLF		0.000	2	unmapped
cell_line	AMO-1		0.000	2	unmapped
cell_line	H1155		0.000	2	unmapped
cell_line	VCaP		0.000	2	unmapped
cell_line	C4–2		0.000	2	unmapped
cell_line	22Rv1		0.000	2	unmapped
cell_line	DU-145		0.000	2	unmapped
cell_line	NCI-H660		0.000	2	unmapped
cell_line	cMyc/myrAKT		0.000	2	unmapped
cell_line	PARCB-1		0.000	2	unmapped
cell_line	PARCB-2		0.000	2	unmapped
cell_line	PARCB-3		0.000	2	unmapped
cell_line	PARCB-5		0.000	2	unmapped
cell_line	EF1		0.000	2	unmapped
cell_line	LASCPC-01		0.000	2	unmapped
cell_line	ACHN		0.000	2	unmapped
cell_line	HK-2		0.000	2	unmapped
cell_line	HT1197		0.000	2	unmapped
cell_line	HFF-1		0.000	2	unmapped
cell_line	Embryonic kidney cell line		0.000	2	unmapped
cell_line	OVCAR8		0.000	2	unmapped
cell_line	HEK293 FlpIn TRex		0.000	2	unmapped
cell_line	NGP		0.000	2	unmapped
cell_line	SKNAS		0.000	2	unmapped
cell_line	Ishikawa		0.000	2	unmapped
cell_line	JJN3		0.000	2	unmapped
cell_line	SAOS-2		0.000	2	unmapped
cell_line	Immortalized mouse macrophages		0.000	2	unmapped
cell_line	721.221		0.000	2	unmapped
cell_line	Cell line cell		0.000	2	unmapped
cell_line	human induced pluripotent stem cells		0.000	2	unmapped
cell_line	K8484		0.000	2	unmapped
cell_line	K18905		0.000	2	unmapped
cell_line	Flp-In HeLa T-REx		0.000	2	unmapped
cell_line	BJ		0.000	2	unmapped
cell_line	iBMDMs		0.000	2	unmapped
cell_line	WTC11		0.000	2	unmapped
cell_line	iPSC-derived human dopaminergic neurons		0.000	2	unmapped
cell_line	hiPSC-derived cardiomyocytes		0.000	2	unmapped
cell_line	RS4-11		0.000	2	unmapped
cell_line	C1R.A*02:01		0.000	2	unmapped
cell_line	95D		0.000	2	unmapped
cell_line	KM12C		0.000	2	unmapped
cell_line	Saos-2		0.000	2	unmapped
cell_line	HEK293DAX		0.000	2	unmapped
cell_line	769-P		0.000	2	unmapped
cell_line	CX1		0.000	1	unmapped
cell_line	CCD18		0.000	1	unmapped
cell_line	04.01		0.000	1	unmapped
cell_line	HCCLM3		0.000	1	unmapped
cell_line	GSC lines		0.000	1	unmapped
cell_line	HeLa S3		0.000	1	unmapped
cell_line	Pancreatic metastatic cell lines		0.000	1	unmapped
cell_line	PC9/gef		0.000	1	unmapped
cell_line	OVAS		0.000	1	unmapped
cell_line	TOV-21		0.000	1	unmapped
cell_line	KOC-7C		0.000	1	unmapped
cell_line	HCC1569		0.000	1	unmapped
cell_line	MCF12A		0.000	1	unmapped
cell_line	SUM225		0.000	1	unmapped
cell_line	HCC1187		0.000	1	unmapped
cell_line	HCC70		0.000	1	unmapped
cell_line	SUM190		0.000	1	unmapped
cell_line	SUM1315		0.000	1	unmapped
cell_line	SUM149		0.000	1	unmapped
cell_line	HBL100		0.000	1	unmapped
cell_line	HCC1954		0.000	1	unmapped
cell_line	E14TG2a		0.000	1	unmapped
cell_line	L6		0.000	1	unmapped
cell_line	CaCo2		0.000	1	unmapped
cell_line	SW1398		0.000	1	unmapped
cell_line	HT-1080		0.000	1	unmapped
cell_line	Fadu		0.000	1	unmapped
cell_line	Glioma-derived stem-like cells		0.000	1	unmapped
cell_line	LM-MEL-28		0.000	1	unmapped
cell_line	LM-MEL-28R1		0.000	1	unmapped
cell_line	M019i		0.000	1	unmapped
cell_line	M019iCis		0.000	1	unmapped
cell_line	143B.TK-		0.000	1	unmapped
cell_line	ASP14		0.000	1	unmapped
cell_line	LAN5		0.000	1	unmapped
cell_line	ATCC Cohort cell lines		0.000	1	unmapped
cell_line	TKCC Cohort cell lines		0.000	1	unmapped
cell_line	A2780-DR/H19si		0.000	1	unmapped
cell_line	A2780-DR/control		0.000	1	unmapped
cell_line	82T		0.000	1	unmapped
cell_line	HepG2/C3A		0.000	1	unmapped
cell_line	L929		0.000	1	unmapped
cell_line	A20.2J		0.000	1	unmapped
cell_line	Glioblastoma cell lines		0.000	1	unmapped
cell_line	SW48		0.000	1	unmapped
cell_line	induced pluripotent stem cell		0.000	1	unmapped
cell_line	embryonic stem cell		0.000	1	unmapped
cell_line	NHDF		0.000	1	unmapped
cell_line	U1810		0.000	1	unmapped
cell_line	DG75		0.000	1	unmapped
cell_line	SK-ChA-1		0.000	1	unmapped
cell_line	11-18		0.000	1	unmapped
cell_line	HES3 NKX2-5eGFP/w		0.000	1	unmapped
cell_line	HES3 MIXLeGFP/w		0.000	1	unmapped
cell_line	hCBiPS2		0.000	1	unmapped
cell_line	HSC_F1285_T-iPS2		0.000	1	unmapped
cell_line	hHSC_F1488_SeV-iPS2		0.000	1	unmapped
cell_line	hHSC_Iso4_ADCF_SeV-iPS2		0.000	1	unmapped
cell_line	HMC-1		0.000	1	unmapped
cell_line	TF-1		0.000	1	unmapped
cell_line	PC9/GR		0.000	1	unmapped
cell_line	RAS-NHA		0.000	1	unmapped
cell_line	IDH1mut-NHA		0.000	1	unmapped
cell_line	established cell line model of lapatinib resistance		0.000	1	unmapped
cell_line	BeWo		0.000	1	unmapped
cell_line	HTR8/SVneo		0.000	1	unmapped
cell_line	293FT		0.000	1	unmapped
cell_line	CRC65 cell lines		0.000	1	unmapped
cell_line	MCF7-LTED		0.000	1	unmapped
cell_line	MCF7PalboR		0.000	1	unmapped
cell_line	MCF7 LTEDPalboR		0.000	1	unmapped
cell_line	T47D LTED		0.000	1	unmapped
cell_line	T47DPalboR		0.000	1	unmapped
cell_line	T47D LTEDPalboR		0.000	1	unmapped
cell_line	HCC1428 LTED		0.000	1	unmapped
cell_line	HCC1428 LTEDPalboR		0.000	1	unmapped
cell_line	SUM44		0.000	1	unmapped
cell_line	SUM44 LTED		0.000	1	unmapped
cell_line	STHdh		0.000	1	unmapped
cell_line	CCRFCEM		0.000	1	unmapped
cell_line	RXF 393		0.000	1	unmapped
cell_line	U-251 MG		0.000	1	unmapped
cell_line	normal bronchial epithelial cell line		0.000	1	unmapped
cell_line	NCI-H1993		0.000	1	unmapped
cell_line	H1975-HGF		0.000	1	unmapped
cell_line	HCC827-ER1		0.000	1	unmapped
cell_line	HMEC-1		0.000	1	unmapped
cell_line	Larynx squamous cell carcinoma cell line		0.000	1	unmapped
cell_line	Arpe-19		0.000	1	unmapped
cell_line	Huh7.5		0.000	1	unmapped
cell_line	LAPC4		0.000	1	unmapped
cell_line	HCC827-ER3		0.000	1	unmapped
cell_line	H2228		0.000	1	unmapped
cell_line	EBV-B cells		0.000	1	unmapped
cell_line	NHEK-Ad		0.000	1	unmapped
cell_line	immortalized human podocytes		0.000	1	unmapped
cell_line	human podocytes		0.000	1	unmapped
cell_line	H23		0.000	1	unmapped
cell_line	H3122		0.000	1	unmapped
cell_line	Cancer-associated Myofibroblasts		0.000	1	unmapped
cell_line	EOL-1		0.000	1	unmapped
cell_line	ME-1		0.000	1	unmapped
cell_line	HEL		0.000	1	unmapped
cell_line	Kasumi-6		0.000	1	unmapped
cell_line	ML-2		0.000	1	unmapped
cell_line	OCI-AML3		0.000	1	unmapped
cell_line	HAP1 CRISPR/Cas9 SIKE knockout		0.000	1	unmapped
cell_line	H1		0.000	1	unmapped
cell_line	HUES6		0.000	1	unmapped
cell_line	HUES9		0.000	1	unmapped
cell_line	hFIB2-iPS4		0.000	1	unmapped
cell_line	82		0.000	1	unmapped
cell_line	335		0.000	1	unmapped
cell_line	KIS		0.000	1	unmapped
cell_line	KOR		0.000	1	unmapped
cell_line	G		0.000	1	unmapped
cell_line	P		0.000	1	unmapped
cell_line	SI		0.000	1	unmapped
cell_line	ME		0.000	1	unmapped
cell_line	PF		0.000	1	unmapped
cell_line	CCD-1079Sk		0.000	1	unmapped
cell_line	WiDr		0.000	1	unmapped
cell_line	HMC-1.1		0.000	1	unmapped
cell_line	HRT18		0.000	1	unmapped
cell_line	HepG2.2.15		0.000	1	unmapped
cell_line	EBV-transformed B-lymphoblastoid cells		0.000	1	unmapped
cell_line	T98G		0.000	1	unmapped
cell_line	Mesenchymal stem cell of wharton's jelly		0.000	1	unmapped
cell_line	HITB5		0.000	1	unmapped
cell_line	A10		0.000	1	unmapped
cell_line	COS-7		0.000	1	unmapped
cell_line	hiPSC-CM		0.000	1	unmapped
cell_line	DU4475		0.000	1	unmapped
cell_line	MDAMB453		0.000	1	unmapped
cell_line	MFM223		0.000	1	unmapped
cell_line	SW527		0.000	1	unmapped
cell_line	TumorA		0.000	1	unmapped
cell_line	TumorB		0.000	1	unmapped
cell_line	TumorC		0.000	1	unmapped
cell_line	TumorD		0.000	1	unmapped
cell_line	U2OS T-REx		0.000	1	unmapped
cell_line	glioma cell lines		0.000	1	unmapped
cell_line	NCI-N87		0.000	1	unmapped
cell_line	HEK293FT		0.000	1	unmapped
cell_line	CS3BE		0.000	1	unmapped
cell_line	NCI H226		0.000	1	unmapped
cell_line	NCI H23		0.000	1	unmapped
cell_line	CCRF-CEM		0.000	1	unmapped
cell_line	HEK293T/17		0.000	1	unmapped
cell_line	PBMC-originated iPSC-derived CECs		0.000	1	unmapped
cell_line	MV 4-11		0.000	1	unmapped
cell_line	hCMEC/D3		0.000	1	unmapped
cell_line	Human primary astrocytes		0.000	1	unmapped
cell_line	HT		0.000	1	unmapped
cell_line	TMD8		0.000	1	unmapped
cell_line	triple negative breast cancer cells		0.000	1	unmapped
cell_line	CEM		0.000	1	unmapped
cell_line	MCF-12A		0.000	1	unmapped
cell_line	hNPC		0.000	1	unmapped
cell_line	HCT15		0.000	1	unmapped
cell_line	CAMs		0.000	1	unmapped
cell_line	22rv1		0.000	1	unmapped
cell_line	WPMY-1		0.000	1	unmapped
cell_line	Immortalized human fetal astrocytes		0.000	1	unmapped
cell_line	Human Mesenchymal Stem Cell lines		0.000	1	unmapped
cell_line	H1650		0.000	1	unmapped
cell_line	T-REx-293		0.000	1	unmapped
cell_line	Huh-7.5		0.000	1	unmapped
cell_line	HLF-T		0.000	1	unmapped
cell_line	HLF-TS		0.000	1	unmapped
cell_line	HLF-TSR		0.000	1	unmapped
cell_line	PANC1R		0.000	1	unmapped
cell_line	SW13		0.000	1	unmapped
cell_line	Drosophila S2		0.000	1	unmapped
cell_line	FLEH		0.000	1	unmapped
cell_line	glioblastoma		0.000	1	unmapped
cell_line	HeLa Kyoto		0.000	1	unmapped
cell_line	H4		0.000	1	unmapped
cell_line	E14		0.000	1	unmapped
cell_line	LF1		0.000	1	unmapped
cell_line	Phoenix ampho		0.000	1	unmapped
cell_line	NCI-H226		0.000	1	unmapped
cell_line	NCI-H28		0.000	1	unmapped
cell_line	S2		0.000	1	unmapped
cell_line	Src-transformed mammary epithelial cells		0.000	1	unmapped
cell_line	CLB-BAR		0.000	1	unmapped
cell_line	CLB-GE		0.000	1	unmapped
cell_line	SK-N-AS		0.000	1	unmapped
cell_line	LX2		0.000	1	unmapped
cell_line	HCA2-hTert		0.000	1	unmapped
cell_line	TCam-2		0.000	1	unmapped
cell_line	Caki-2		0.000	1	unmapped
cell_line	LN-308		0.000	1	unmapped
cell_line	NCI60		0.000	1	unmapped
cell_line	CRC65		0.000	1	unmapped
cell_line	0D5P		0.000	1	unmapped
cell_line	0MM745		0.000	1	unmapped
cell_line	0NVC		0.000	1	unmapped
cell_line	T1185B		0.000	1	unmapped
cell_line	T1015A		0.000	1	unmapped
cell_line	Me290		0.000	1	unmapped
cell_line	Me275		0.000	1	unmapped
cell_line	TNBC cells		0.000	1	unmapped
cell_line	Cardiomyocyte cell line		0.000	1	unmapped
cell_line	HEK293SF-3F6		0.000	1	unmapped
cell_line	MZ-54		0.000	1	unmapped
cell_line	TIGK		0.000	1	unmapped
cell_line	BHK-21		0.000	1	unmapped
cell_line	Vero		0.000	1	unmapped
cell_line	HKE3		0.000	1	unmapped
cell_line	T24		0.000	1	unmapped
cell_line	J82		0.000	1	unmapped
cell_line	253J-BV		0.000	1	unmapped
cell_line	253J		0.000	1	unmapped
cell_line	5637		0.000	1	unmapped
cell_line	HT1376		0.000	1	unmapped
cell_line	OCMI		0.000	1	unmapped
cell_line	Mel202		0.000	1	unmapped
cell_line	LNCaP Bicalut. Res.		0.000	1	unmapped
cell_line	LNCaP Enzalut. Res.		0.000	1	unmapped
cell_line	LNCaP Apalut. Res.		0.000	1	unmapped
