pxd	run	coverage	scoring_mode	tissue_assigned	label_source	k	hamlet_terms	pred_tissue	confidence	chosen_conf	chosen_rank	mlmarker_agrees	in_training	native	material_type	disease_state
PXD000561	PXD000561-Sample 19	0.484	predict_proba	Heart	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Heart	0.4991	0.4991	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 2	0.2636	predict_proba	Adrenal gland	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Adrenal gland	0.3071	0.3071	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 20	0.4964	predict_proba	Heart	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Heart	0.5109	0.5109	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 21	0.3666	predict_proba	Heart	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Heart	0.425	0.425	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 22	0.4822	predict_proba	Liver	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Liver	0.3469	0.3469	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 23	0.4598	predict_proba	Liver	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Liver	0.3245	0.3245	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 24	0.3395	predict_proba	Liver	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Liver	0.2404	0.2404	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 25	0.4979	predict_proba	Testis	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Testis	0.2429	0.2429	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 26	0.4862	predict_proba	Testis	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Testis	0.0987	0.0987	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 27	0.3894	predict_proba	Testis	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.0983	0.0951	2.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 28	0.4569	predict_proba	Kidney	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Bone marrow	0.1854	0.0507	4.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 29	0.3358	predict_proba	Kidney	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Bone marrow	0.1914	0.0735	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 3	0.2447	predict_proba	Esophagus	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Esophagus	0.3721	0.3721	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 30	0.3317	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Bone marrow	0.1491	0.0754	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 31	0.3148	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.3352	0.0493	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 32	0.237	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.2171	0.0613	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 33	0.4563	predict_proba	Kidney	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.4229	0.0537	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 34	0.3529	predict_proba	Testis	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.2731	0.04	4.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 35	0.2532	predict_proba	Placenta	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Spleen	0.2156	0.0394	5.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 36	0.2656	predict_proba	Kidney	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Spleen	0.1858	0.0562	4.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 37	0.2056	predict_proba	Esophagus	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Esophagus	0.4711	0.4711	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 38	0.3414	predict_proba	Brain	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Brain	0.7587	0.7587	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 39	0.2064	predict_proba	Heart	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Heart	0.5842	0.5842	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 4	0.2681	predict_proba	Esophagus	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Esophagus	0.4006	0.4006	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 40	0.1907	predict_proba	Urinary bladder	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Smooth muscle	0.0969	0.088	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 41	0.3178	predict_proba	Testis	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Testis	0.1338	0.1338	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 42	0.1688	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Bone marrow	0.2831	0.0637	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 43	0.204	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Bone marrow	0.1888	0.073	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 44	0.5738	predict_proba	Testis	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.2104	0.074	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 45	0.2238	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.2104	0.068	3.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 46	0.1785	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.234	0.0539	4.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 47	0.1231	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Monocytes	0.2239	0.0638	4.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 48	0.3865	predict_proba	Testis	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Spleen	0.2221	0.0647	4.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 49	0.5118	predict_proba	Adrenal gland	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Adrenal gland	0.6498	0.6498	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 5	0.2758	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Lung	0.0921	0.0921	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 50	0.482	predict_proba	Colon	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Colon	0.4372	0.4372	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 51	0.3593	predict_proba	Colon	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Colon	0.3852	0.3852	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 52	0.2902	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Smooth muscle	0.0838	0.08	2.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 53	0.4531	predict_proba	Kidney	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Endometrium	0.0921	0.088	2.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 54	0.3638	predict_proba	Heart	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Heart	0.7101	0.7101	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 55	0.4116	predict_proba	Kidney	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Kidney	0.3496	0.3496	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 56	0.4188	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Lung	0.2828	0.2828	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 57	0.5394	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Endometrium	0.1362	0.0925	2.0	False	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 58	0.5631	predict_proba	Testis	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Testis	0.7629	0.7629	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 59	0.5926	predict_proba	Colon	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Colon	0.0944	0.0944	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 6	0.2444	predict_proba	Heart	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Heart	0.5683	0.5683	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 60	0.3322	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Lung	0.0895	0.0895	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 61	0.5486	predict_proba	Prostate	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Prostate	0.4024	0.4024	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 62	0.4631	predict_proba	Prostate	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Prostate	0.4766	0.4766	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 63	0.417	predict_proba	Colon	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Colon	0.4493	0.4493	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 64	0.5822	predict_proba	Brain	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Brain	0.089	0.089	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 65	0.4941	predict_proba	Lung	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Lung	0.0808	0.0808	1.0	True	True	True	tissue; primary cells	healthy
PXD000561	PXD000561-Sample 66	0.4608	predict_proba	Brain	HAMLET list + MLMarker choice	14	['heart', 'ovary', 'urinary bladder', 'frontal lobe', 'lung', 'placenta', 'gallbladder', 'rectum', 'spinal cord', 'colon', 'prostate gland', 'retina', 'pancreas', 'liver', 'adrenal gland', 'Gut', 'kidney', 'brain', 'esophagus', 'testis']	Brain	0.6023	0.6023	1.0	True	True	True	tissue; primary cells	healthy
