pxd,cohort,old_fields,new_fields,shared_fields,earlier_only_fields,expanded_only_fields,old_values,new_values,field_jaccard,field_delta,value_delta,equivalent_pairs,hierarchical_inclusive_pairs,semantic_inclusive_pairs,equivalent_pairs_jaccard,hierarchical_inclusive_pairs_jaccard,semantic_inclusive_pairs_jaccard
PXD049339,abstract_only,5,20,3,2,17,6,33,0.13636363636363635,15,27,3,3,4,0.08333333333333333,0.08333333333333333,0.11428571428571428
PXD049793,abstract_only,2,13,2,0,11,2,13,0.15384615384615385,11,11,2,2,2,0.15384615384615385,0.15384615384615385,0.15384615384615385
PXD050085,with_methods,16,16,13,3,3,17,17,0.6842105263157895,0,0,10,10,12,0.4166666666666667,0.4166666666666667,0.5454545454545454
PXD050260,abstract_only,10,25,10,0,15,12,34,0.4,15,22,8,9,11,0.21052631578947367,0.24324324324324326,0.3142857142857143
PXD050402,abstract_only,7,21,7,0,14,7,34,0.3333333333333333,14,27,4,4,5,0.10810810810810811,0.10810810810810811,0.1388888888888889
PXD050548,abstract_only,2,16,2,0,14,2,25,0.125,14,23,2,2,2,0.08,0.08,0.08
PXD050625,abstract_only,6,25,5,1,20,7,34,0.19230769230769232,19,27,4,4,4,0.10810810810810811,0.10810810810810811,0.10810810810810811
PXD050844,abstract_only,9,23,9,0,14,11,26,0.391304347826087,14,15,6,6,6,0.1935483870967742,0.1935483870967742,0.1935483870967742
PXD050935,abstract_only,1,17,1,0,16,1,18,0.058823529411764705,16,17,0,0,0,0.0,0.0,0.0
PXD051016,abstract_only,9,21,9,0,12,9,25,0.42857142857142855,12,16,8,8,9,0.3076923076923077,0.3076923076923077,0.36
PXD051174,abstract_only,6,16,6,0,10,7,21,0.375,10,14,7,7,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
PXD051393,abstract_only,5,17,5,0,12,5,18,0.29411764705882354,12,13,4,4,4,0.21052631578947367,0.21052631578947367,0.21052631578947367
PXD051592,abstract_only,2,21,2,0,19,2,29,0.09523809523809523,19,27,1,1,2,0.03333333333333333,0.03333333333333333,0.06896551724137931
PXD051706,abstract_only,8,19,7,1,12,9,24,0.35,11,15,2,2,5,0.06451612903225806,0.06451612903225806,0.17857142857142858
PXD051803,abstract_only,9,22,9,0,13,9,32,0.4090909090909091,13,23,8,8,9,0.24242424242424243,0.24242424242424243,0.28125
PXD051962,abstract_only,2,21,2,0,19,2,25,0.09523809523809523,19,23,1,1,1,0.038461538461538464,0.038461538461538464,0.038461538461538464
PXD052083,with_methods,24,25,22,2,3,29,32,0.8148148148148148,1,3,20,20,20,0.4878048780487805,0.4878048780487805,0.4878048780487805
PXD052305,with_methods,27,28,27,0,1,34,61,0.9642857142857143,1,27,30,30,33,0.46153846153846156,0.46153846153846156,0.532258064516129
PXD052666,with_methods,21,31,21,0,10,28,42,0.6774193548387096,10,14,19,20,25,0.37254901960784315,0.4,0.5555555555555556
PXD052809,with_methods,21,23,21,0,2,21,26,0.9130434782608695,2,5,15,15,16,0.46875,0.46875,0.5161290322580645
PXD053039,abstract_only,4,21,3,1,18,4,24,0.13636363636363635,17,20,1,1,2,0.037037037037037035,0.037037037037037035,0.07692307692307693
PXD053228,with_methods,29,30,29,0,1,37,46,0.9666666666666667,1,9,27,27,28,0.48214285714285715,0.48214285714285715,0.509090909090909
PXD053362,abstract_only,12,27,12,0,15,18,37,0.4444444444444444,15,19,12,12,13,0.27906976744186046,0.27906976744186046,0.30952380952380953
PXD053579,with_methods,20,18,17,3,1,21,29,0.8095238095238095,-2,8,11,11,12,0.28205128205128205,0.28205128205128205,0.3157894736842105
PXD053865,abstract_only,2,15,2,0,13,2,15,0.13333333333333333,13,13,0,0,1,0.0,0.0,0.0625
PXD054002,abstract_only,11,18,8,3,10,11,22,0.38095238095238093,7,11,6,6,7,0.2222222222222222,0.2222222222222222,0.2692307692307692
PXD054119,abstract_only,8,22,7,1,15,12,33,0.30434782608695654,14,21,4,4,5,0.0975609756097561,0.0975609756097561,0.125
PXD054298,abstract_only,11,27,10,1,17,12,38,0.35714285714285715,16,26,6,6,6,0.13636363636363635,0.13636363636363635,0.13636363636363635
PXD054388,abstract_only,7,21,6,1,15,8,26,0.2727272727272727,14,18,4,4,6,0.13333333333333333,0.13333333333333333,0.21428571428571427
PXD054667,abstract_only,1,23,1,0,22,2,31,0.043478260869565216,22,29,0,0,0,0.0,0.0,0.0
PXD054722,abstract_only,18,18,17,1,1,18,18,0.8947368421052632,0,0,14,14,16,0.6363636363636364,0.6363636363636364,0.8
PXD055168,abstract_only,2,18,2,0,16,2,21,0.1111111111111111,16,19,2,2,2,0.09523809523809523,0.09523809523809523,0.09523809523809523
PXD055375,abstract_only,7,13,6,1,7,10,16,0.42857142857142855,6,6,4,5,5,0.18181818181818182,0.23809523809523808,0.23809523809523808
PXD055631,abstract_only,0,20,0,0,20,0,26,0.0,20,26,0,0,0,0.0,0.0,0.0
PXD055898,abstract_only,5,19,5,0,14,5,22,0.2631578947368421,14,17,3,3,4,0.125,0.125,0.17391304347826086
PXD055984,abstract_only,8,23,8,0,15,8,27,0.34782608695652173,15,19,6,6,7,0.20689655172413793,0.20689655172413793,0.25
PXD056079,with_methods,11,13,9,2,4,11,14,0.6,2,3,5,5,5,0.25,0.25,0.25
PXD056153,with_methods,9,26,9,0,17,9,29,0.34615384615384615,17,20,8,8,9,0.26666666666666666,0.26666666666666666,0.3103448275862069
PXD056183,abstract_only,1,19,1,0,18,1,36,0.05263157894736842,18,35,0,0,0,0.0,0.0,0.0
PXD056206,with_methods,24,25,23,1,2,41,29,0.8846153846153846,1,-12,21,21,22,0.42857142857142855,0.42857142857142855,0.4583333333333333
PXD056300,with_methods,26,25,25,1,0,35,37,0.9615384615384616,-1,2,21,23,26,0.4117647058823529,0.46938775510204084,0.5652173913043478
PXD056432,abstract_only,9,28,8,1,20,9,31,0.27586206896551724,19,22,4,5,7,0.1111111111111111,0.14285714285714285,0.21212121212121213
PXD056514,with_methods,28,28,27,1,1,37,55,0.9310344827586207,0,18,28,29,33,0.4375,0.4603174603174603,0.559322033898305
PXD056690,with_methods,16,17,16,0,1,27,26,0.9411764705882353,1,-1,16,16,18,0.43243243243243246,0.43243243243243246,0.5142857142857142
PXD056788,abstract_only,6,21,5,1,16,7,28,0.22727272727272727,15,21,4,4,4,0.12903225806451613,0.12903225806451613,0.12903225806451613
PXD056940,abstract_only,5,17,5,0,12,6,24,0.29411764705882354,12,18,5,5,5,0.2,0.2,0.2
PXD057024,abstract_only,2,21,2,0,19,2,23,0.09523809523809523,19,21,1,1,2,0.041666666666666664,0.041666666666666664,0.08695652173913043
PXD057177,abstract_only,3,17,3,0,14,3,26,0.17647058823529413,14,23,3,3,3,0.11538461538461539,0.11538461538461539,0.11538461538461539
PXD057319,abstract_only,11,22,11,0,11,14,28,0.5,11,14,7,7,8,0.2,0.2,0.23529411764705882
PXD057426,abstract_only,6,17,5,1,12,6,17,0.2777777777777778,11,11,4,4,4,0.21052631578947367,0.21052631578947367,0.21052631578947367
PXD057527,abstract_only,13,22,12,1,10,13,27,0.5217391304347826,9,14,10,10,10,0.3333333333333333,0.3333333333333333,0.3333333333333333
PXD057672,with_methods,15,16,13,2,3,16,19,0.7222222222222222,1,3,9,9,13,0.34615384615384615,0.34615384615384615,0.5909090909090909
PXD057760,abstract_only,9,23,7,2,16,9,31,0.28,14,22,5,5,6,0.14285714285714285,0.14285714285714285,0.17647058823529413
PXD057848,with_methods,29,30,29,0,1,33,34,0.9666666666666667,1,1,18,18,23,0.3673469387755102,0.3673469387755102,0.5227272727272727
PXD058014,abstract_only,11,16,11,0,5,13,18,0.6875,5,5,3,4,7,0.10714285714285714,0.14814814814814814,0.2916666666666667
PXD058156,with_methods,12,18,10,2,8,16,20,0.5,6,4,8,8,9,0.2857142857142857,0.2857142857142857,0.3333333333333333
PXD058292,abstract_only,12,20,12,0,8,13,27,0.6,8,14,12,12,12,0.42857142857142855,0.42857142857142855,0.42857142857142855
PXD058373,with_methods,18,22,16,2,6,21,28,0.6666666666666666,4,7,15,15,16,0.4411764705882353,0.4411764705882353,0.48484848484848486
PXD058471,abstract_only,4,19,4,0,15,4,28,0.21052631578947367,15,24,3,3,3,0.10344827586206896,0.10344827586206896,0.10344827586206896
PXD058544,with_methods,7,14,5,2,9,9,17,0.3125,7,8,5,5,5,0.23809523809523808,0.23809523809523808,0.23809523809523808
PXD058618,with_methods,21,25,21,0,4,25,30,0.84,4,5,21,21,22,0.6176470588235294,0.6176470588235294,0.6666666666666666
PXD058709,abstract_only,9,24,9,0,15,9,29,0.375,15,20,4,4,7,0.11764705882352941,0.11764705882352941,0.22580645161290322
PXD058785,with_methods,9,18,8,1,10,10,22,0.42105263157894735,9,12,6,6,7,0.23076923076923078,0.23076923076923078,0.28
PXD058882,with_methods,23,22,21,2,1,29,29,0.875,-1,0,20,20,22,0.5263157894736842,0.5263157894736842,0.6111111111111112
PXD059003,abstract_only,0,25,0,0,25,0,40,0.0,25,40,0,0,0,0.0,0.0,0.0
PXD059236,abstract_only,2,19,2,0,17,2,22,0.10526315789473684,17,20,1,1,1,0.043478260869565216,0.043478260869565216,0.043478260869565216
PXD059419,with_methods,28,27,26,2,1,61,53,0.896551724137931,-1,-8,27,27,33,0.3103448275862069,0.3103448275862069,0.4074074074074074
PXD059552,abstract_only,4,20,4,0,16,4,22,0.2,16,18,1,1,2,0.04,0.04,0.08333333333333333
PXD059661,abstract_only,9,28,8,1,20,9,36,0.27586206896551724,19,27,5,5,7,0.125,0.125,0.18421052631578946
PXD059828,abstract_only,8,16,5,3,11,8,18,0.2631578947368421,8,10,2,2,3,0.08333333333333333,0.08333333333333333,0.13043478260869565
PXD059964,with_methods,22,25,22,0,3,23,28,0.88,3,5,18,18,19,0.5454545454545454,0.5454545454545454,0.59375
PXD060034,with_methods,29,28,28,1,0,31,37,0.9655172413793104,-1,6,22,22,26,0.4782608695652174,0.4782608695652174,0.6190476190476191
PXD060126,with_methods,15,23,15,0,8,17,27,0.6521739130434783,8,10,13,13,15,0.41935483870967744,0.41935483870967744,0.5172413793103449
PXD060307,with_methods,26,24,22,4,2,34,33,0.7857142857142857,-2,-1,14,14,18,0.2641509433962264,0.2641509433962264,0.3673469387755102
PXD060429,abstract_only,1,16,1,0,15,1,19,0.0625,15,18,0,0,0,0.0,0.0,0.0
PXD060653,abstract_only,13,21,11,2,10,15,26,0.4782608695652174,8,11,7,7,8,0.20588235294117646,0.20588235294117646,0.24242424242424243
PXD060786,with_methods,24,24,23,1,1,36,32,0.92,0,-4,28,28,29,0.7,0.7,0.7435897435897436
PXD060844,abstract_only,7,24,7,0,17,7,25,0.2916666666666667,17,18,3,3,4,0.10344827586206896,0.10344827586206896,0.14285714285714285
PXD060898,with_methods,24,23,23,1,0,27,29,0.9583333333333334,-1,2,17,17,24,0.4358974358974359,0.4358974358974359,0.75
PXD060976,abstract_only,8,19,8,0,11,8,21,0.42105263157894735,11,13,6,6,6,0.2608695652173913,0.2608695652173913,0.2608695652173913
PXD061059,abstract_only,7,19,7,0,12,7,21,0.3684210526315789,12,14,5,5,6,0.21739130434782608,0.21739130434782608,0.2727272727272727
PXD061161,abstract_only,14,24,12,2,12,21,27,0.46153846153846156,10,6,8,8,10,0.2,0.2,0.2631578947368421
PXD061276,with_methods,26,29,25,1,4,37,38,0.8333333333333334,3,1,25,25,28,0.5,0.5,0.5957446808510638
PXD061404,with_methods,28,27,27,1,0,46,46,0.9642857142857143,-1,0,31,31,32,0.5081967213114754,0.5081967213114754,0.5333333333333333
PXD061565,abstract_only,12,12,8,4,4,12,20,0.5,0,8,4,4,6,0.14285714285714285,0.14285714285714285,0.23076923076923078
PXD061609,abstract_only,8,20,5,3,15,17,24,0.21739130434782608,12,7,4,4,5,0.10810810810810811,0.10810810810810811,0.1388888888888889
PXD061694,abstract_only,12,22,11,1,11,14,33,0.4782608695652174,10,19,4,4,7,0.09302325581395349,0.09302325581395349,0.175
PXD061797,abstract_only,13,24,12,1,12,13,30,0.48,11,17,9,9,9,0.2647058823529412,0.2647058823529412,0.2647058823529412
PXD061865,abstract_only,9,21,8,1,13,12,29,0.36363636363636365,12,17,5,5,6,0.1388888888888889,0.1388888888888889,0.17142857142857143
PXD061981,abstract_only,10,24,9,1,15,12,34,0.36,14,22,7,7,8,0.1794871794871795,0.1794871794871795,0.21052631578947367
PXD062211,abstract_only,7,15,7,0,8,7,20,0.4666666666666667,8,13,3,3,3,0.125,0.125,0.125
PXD062343,abstract_only,5,15,5,0,10,5,15,0.3333333333333333,10,10,1,1,3,0.05263157894736842,0.05263157894736842,0.17647058823529413
PXD062441,abstract_only,3,21,3,0,18,3,22,0.14285714285714285,18,19,1,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664
PXD062628,abstract_only,8,11,4,4,7,14,22,0.26666666666666666,3,8,1,1,3,0.02857142857142857,0.02857142857142857,0.09090909090909091
PXD062777,abstract_only,0,18,0,0,18,0,25,0.0,18,25,0,0,0,0.0,0.0,0.0
PXD062870,abstract_only,8,22,8,0,14,8,32,0.36363636363636365,14,24,4,4,6,0.1111111111111111,0.1111111111111111,0.17647058823529413
PXD063024,abstract_only,7,24,7,0,17,7,31,0.2916666666666667,17,24,4,4,4,0.11764705882352941,0.11764705882352941,0.11764705882352941
PXD063283,abstract_only,8,21,8,0,13,8,31,0.38095238095238093,13,23,6,6,7,0.18181818181818182,0.18181818181818182,0.21875
PXD063466,abstract_only,2,17,2,0,15,2,20,0.11764705882352941,15,18,1,1,1,0.047619047619047616,0.047619047619047616,0.047619047619047616
PXD063553,abstract_only,7,28,7,0,21,7,36,0.25,21,29,3,3,4,0.075,0.075,0.10256410256410256
PXD063819,abstract_only,0,21,0,0,21,0,27,0.0,21,27,0,0,0,0.0,0.0,0.0
PXD063955,with_methods,20,19,16,4,3,40,32,0.6956521739130435,-1,-8,16,18,22,0.2857142857142857,0.3333333333333333,0.44
PXD064007,abstract_only,13,21,11,2,10,13,30,0.4782608695652174,8,17,10,10,10,0.30303030303030304,0.30303030303030304,0.30303030303030304
PXD064125,with_methods,14,19,14,0,5,14,24,0.7368421052631579,5,10,13,13,14,0.52,0.52,0.5833333333333334
PXD064265,abstract_only,9,14,9,0,5,9,18,0.6428571428571429,5,9,5,5,7,0.22727272727272727,0.22727272727272727,0.35
PXD064523,with_methods,25,25,25,0,0,34,35,1.0,0,1,23,23,25,0.5,0.5,0.5681818181818182
PXD064671,with_methods,22,23,21,1,2,32,34,0.875,1,2,23,23,26,0.5348837209302325,0.5348837209302325,0.65
PXD064844,abstract_only,11,24,11,0,13,18,25,0.4583333333333333,13,7,7,7,9,0.19444444444444445,0.19444444444444445,0.2647058823529412
PXD065024,abstract_only,13,21,10,3,11,14,33,0.4166666666666667,8,19,4,4,7,0.09302325581395349,0.09302325581395349,0.175
PXD065424,abstract_only,7,29,7,0,22,7,30,0.2413793103448276,22,23,3,3,4,0.08823529411764706,0.08823529411764706,0.12121212121212122
