field,value,ontology_id
acquisition_method,data-dependent top speed mode,
acquisition_method,data-dependent top-20,
acquisition_method,data-independent,
acquisition_method,data-independent acquisition,MS:1003215
acquisition_method,data-independent acquisition (dia),
acquisition_method,data-independent acquisition mass spectrometry,
acquisition_method,data-independent acquisition mode,
acquisition_method,data-independent mode,
acquisition_method,data‐independent acquisition (dia),
acquisition_method,data–dependent acquisition (dda),
acquisition_method,dda,MS:1003221
acquisition_method,dda (data dependent acquisition) mode,
acquisition_method,dda acquisition modality,
acquisition_method,dda discovery runs,
acquisition_method,dda runs,
acquisition_method,ddapasef,
acquisition_method,dia,MS:1003215
acquisition_method,dia-based biomarker screening,
acquisition_method,dia-gpf,
acquisition_method,"dia-mass spectrometry (ms) raw data (swath 2.0, ±20 ppm) were matched to a dda spectral library and quantified.",
acquisition_method,dia-ms,
acquisition_method,dia-nn,MS:1003253
acquisition_method,etd,MS:1000598
acquisition_method,etd/hcd,
acquisition_method,ethcd,MS:1002631
acquisition_method,faims,
acquisition_method,gel-based experiment,
acquisition_method,hcd,MS:1000422
acquisition_method,"inferred: label-free quantification was applied for proteome profiling, while an in-house established data-dependent analysis method based on high-resolution mass spectrometry was applied for eicosadomics.",
acquisition_method,is-prm,
acquisition_method,itraq,
acquisition_method,label free,
acquisition_method,label free proteomics workflow,
acquisition_method,label-free,
acquisition_method,label-free data-independent acquisition (dia),
acquisition_method,label-free liquid chromatography coupled to tandem ms (lc-ms/ms),
acquisition_method,label-free quantification,
acquisition_method,lc-ms/ms,
acquisition_method,lc-ms/ms dia,
acquisition_method,lcms/ms,
acquisition_method,lc–ms/ms,
acquisition_method,mrm,
acquisition_method,mrm-ms,
acquisition_method,ms/ms,
acquisition_method,ms3,
acquisition_method,mudpit,
acquisition_method,multiple reaction monitoring,
acquisition_method,multiplex-dia,
acquisition_method,ndia,
acquisition_method,nth order double play,
acquisition_method,nth order double play mode,
acquisition_method,parallel reaction monitoring,MS:1003907
acquisition_method,parallel reaction monitoring (prm),
acquisition_method,pasef,
acquisition_method,prm,MS:1003907
acquisition_method,pseudoms3,
acquisition_method,selected-reaction monitoring ms,
acquisition_method,shotgun,
acquisition_method,shotgun data acquisition,
acquisition_method,shotgun proteomics,
acquisition_method,sim/ddms2,
acquisition_method,sps ms3,
acquisition_method,sps-ms3,
acquisition_method,srm,MS:1000206
acquisition_method,srm/mrm,
acquisition_method,surequant,
acquisition_method,swath dia,
acquisition_method,swath ms,
acquisition_method,synchronous precursor selection ms3 (sps ms3),
acquisition_method,tandem mass tagging (tmt),
acquisition_method,target-decoy,
acquisition_method,targeted,
acquisition_method,targeted mass spectrometry,
acquisition_method,targeted proteomics,
acquisition_method,targeted sim/ddms2,
acquisition_method,tmt,
acquisition_method,tmt 10plex,
acquisition_method,tmt-dda,
acquisition_method,tmt-lc/lc-ms/ms,
acquisition_method,tmt-ms/ms,
acquisition_method,tomahto,
acquisition_method,top 15,
acquisition_method,top 30 data-dependent mode,
acquisition_method,top-15,
acquisition_method,top-down proteomics,MS:1003351
acquisition_method,top-five method,
acquisition_method,top20 data-dependent mode,
acquisition_method,untargeted,
acquisition_method,wwa,
alkylation_reagent,10 mm chloroacetamide,
alkylation_reagent,2-chloroacetamide,CHEBI:234507
alkylation_reagent,2-chloroacetamide (caa),
alkylation_reagent,2-iodoacetamide,
alkylation_reagent,2‐chloroacetamide,
alkylation_reagent,acrylamide,CHEBI:28619
alkylation_reagent,alkylation,
alkylation_reagent,ca,
alkylation_reagent,caa,
alkylation_reagent,caa (chloroacetamide),
alkylation_reagent,carbamidomethyl,
alkylation_reagent,carbamidomethylated cysteine,
alkylation_reagent,carbamidomethylation,
alkylation_reagent,carbamidomethylation of cysteine,
alkylation_reagent,chloro-acetamide,
alkylation_reagent,chloroacetamide,
alkylation_reagent,chloroacetamide (caa),
alkylation_reagent,d0-nem,
alkylation_reagent,d5-nem,
alkylation_reagent,heavy iaa,
alkylation_reagent,iaa,
alkylation_reagent,iaa (iodoacetamide),
alkylation_reagent,iam,
alkylation_reagent,"iam (iodoacetamide, sigma, i6125)",
alkylation_reagent,indole-3-acetic acid,CHEBI:16411
alkylation_reagent,indole-3-acetic acid [iaa],
alkylation_reagent,iodacetamid,
alkylation_reagent,iodacetamid (iaa,
alkylation_reagent,iodacetamid (iaa),
alkylation_reagent,iodacetamide,
alkylation_reagent,iodioacetamide,
alkylation_reagent,iodioacetamide (iaa),
alkylation_reagent,iodoaceamide,
alkylation_reagent,iodoacetamide,
alkylation_reagent,iodoacetamide (iaa),
alkylation_reagent,"iodoacetamide (iaa, sigma)",
alkylation_reagent,iodoacetamide (iam,
alkylation_reagent,iodoacetamide (iam),
alkylation_reagent,iodoacetamide derivatized residue,
alkylation_reagent,iodoacetimide,
alkylation_reagent,ist-lyse buffer,
alkylation_reagent,"merck, germany)",
alkylation_reagent,methyl methanethiosulfonate,
alkylation_reagent,methyl methanethiosulfonate (mmts),
alkylation_reagent,mmts,
alkylation_reagent,n-ethylmaleimide,CHEBI:44485
alkylation_reagent,nem,
alkylation_reagent,propionamide at cysteine,
alkylation_reagent,s-methyl methanethiosulfonate,CHEBI:74357
alkylation_reagent,s-methyl methanethiosulfonate (mmts),
cell_line,02.3 2lambda,
cell_line,108t,
cell_line,11,
cell_line,1205-lu,
cell_line,12t,
cell_line,1321n1,
cell_line,143 b,
cell_line,143b,
cell_line,22rv1,
cell_line,2838c3,
cell_line,293 ampho,
cell_line,293-t,
cell_line,293ft,
cell_line,293t,
cell_line,293t-x,
cell_line,3t3,
cell_line,3t3-f442a,
cell_line,3t3-l1,
cell_line,3t3-l1a,
cell_line,4662-g12c,
cell_line,4662-g12d,
cell_line,4t1,
cell_line,59m,
cell_line,6419c5,
cell_line,721.174,
cell_line,721.221,
cell_line,769-p,
cell_line,786-o,
cell_line,82t,
cell_line,95c,
cell_line,95d,
cell_line,a10,
cell_line,a2058,
cell_line,a2780,
cell_line,a2780-dr,
cell_line,a2780-dr/control,
cell_line,a2780-dr/h19si,
cell_line,a2780-vim-kn,
cell_line,a375,
cell_line,a375dr1,
cell_line,a427,
cell_line,a549,
cell_line,a549/ddp,
cell_line,ac16,
cell_line,achn,
cell_line,ad293,
cell_line,ags,
cell_line,ags‐ebv,
cell_line,ags‐ebv (eags),
cell_line,aspc-1,
cell_line,az521,
cell_line,b.end5,
cell_line,b104,
cell_line,b104 neuroblastoma,
cell_line,b16,
cell_line,b16-f10,
cell_line,b16f10,
cell_line,balb-5023,
cell_line,balb/c,
cell_line,beas-2b,
cell_line,bel-7404,
cell_line,bewo,
cell_line,bicr22,
cell_line,bj,
cell_line,bj cells,
cell_line,bl21(de3),
cell_line,bl21(de3)plys,
cell_line,bmdm,
cell_line,bmdms,
cell_line,bnl cl.2,
cell_line,bppnm,
cell_line,bt-20,
cell_line,bt-474,
cell_line,bt483,
cell_line,bt549,
cell_line,burkholderia thailandensis,
cell_line,bxpc-3,
cell_line,bzr,
cell_line,c2c12,
cell_line,c3a,
cell_line,c4-2b,
cell_line,c57bl/6n,
cell_line,c666,
cell_line,c99,
cell_line,caco-2,
cell_line,caco-2/tc-7,
cell_line,caco2,
cell_line,cad,
cell_line,caf b500 nid2 krab,
cell_line,caf c500 nid2 krab,
cell_line,caf gfp-1 krab,
cell_line,caki-1,
cell_line,caki-2,
cell_line,cal 27,
cell_line,cal27,
cell_line,cal33,
cell_line,calu-1,
cell_line,calu-3,
cell_line,calu-6,
cell_line,calu1,
cell_line,cam,
cell_line,caov3,
cell_line,capan-1,
cell_line,car-1,
cell_line,cc-cr,
cell_line,ccd18,
cell_line,ccrf-cem,
cell_line,cell lines,
cell_line,cem,
cell_line,cem t cells,
cell_line,cfbe,
cell_line,cgr8,
cell_line,cho,
cell_line,cho-k1,
cell_line,cl68,
cell_line,cmk,
cell_line,cne2-m81,
cell_line,colo-205,
cell_line,colo205,
cell_line,colo320dm,
cell_line,colo678,
cell_line,control,
cell_line,cos-7,
cell_line,cov318,
cell_line,cs3be,
cell_line,cs3be-htert,
cell_line,cs3be-sv40,
cell_line,ct26,
cell_line,cx1,
cell_line,detroit562,
cell_line,difi,
cell_line,dkfz-bt317,
cell_line,dkfz-bt66,
cell_line,dld1,
cell_line,dld‐1,
cell_line,dov13,
cell_line,drosophila s2,
cell_line,dthp-1,
cell_line,du145,
cell_line,e. coli bl21,
cell_line,e. coli dh5α,
cell_line,e14,
cell_line,e14 mesc line was maintained in the naive state,
cell_line,ea.hy926,
cell_line,eahy 926,
cell_line,efm-19,
cell_line,eph4,
cell_line,es2,
cell_line,escherichia coli bl21 (de3),
cell_line,estdab102,
cell_line,estdab37,
cell_line,ex20-ki,
cell_line,ex9-ki,
cell_line,expi293,
cell_line,expi293f,
cell_line,fadu,
cell_line,fleh,
cell_line,flp-in 293,
cell_line,flp-in t-rex 293,
cell_line,flp-in t-rex 293 cells,
cell_line,flp-intm t-rextm 293,
cell_line,gamg,
cell_line,gbm39,
cell_line,gbm59,
cell_line,gbm6,
cell_line,gcb-dlbcl,
cell_line,gcb-dlbcl cell lines,
cell_line,gesicle-producer 293t,
cell_line,gist,
cell_line,gl261,
cell_line,glioblastoma,
cell_line,gm00038,
cell_line,gm0038,
cell_line,gm05381,
cell_line,gm05399,
cell_line,gm08680,
cell_line,gr,
cell_line,h1,
cell_line,h1 (wa01),
cell_line,h1155,
cell_line,h1299,
cell_line,h1395,
cell_line,h1437,
cell_line,h157,
cell_line,h1573,
cell_line,h1975,
cell_line,h1975-hgf,
cell_line,h1993,
cell_line,h2052/484,
cell_line,h2122,
cell_line,h2170,
cell_line,h226,
cell_line,h23,
cell_line,h2342,
cell_line,h292,
cell_line,h3122,
cell_line,h322,
cell_line,h3255,
cell_line,h358,
cell_line,h441,
cell_line,h460,
cell_line,h650,
cell_line,h661,
cell_line,h9,
cell_line,h9 (wa09),
cell_line,h9 (wa09) and h1 (wa01) hesc lines were obtained from wicell research institute,
cell_line,hacat,
cell_line,hacats,
cell_line,haec,
cell_line,hap-1,
cell_line,hap1,
cell_line,hcc-1428,
cell_line,hcc-44,
cell_line,hcc1143,
cell_line,hcc1428,
cell_line,hcc15,
cell_line,hcc1806,
cell_line,hcc1937,
cell_line,hcc2935,
cell_line,hcc38,
cell_line,hcc4006,
cell_line,hcc44,
cell_line,hcc827,
cell_line,hcc827-er1,
cell_line,hcclm3,
cell_line,hcec,
cell_line,hci-10,
cell_line,hcmec/d3,
cell_line,hcmecd3,
cell_line,hct 116,
cell_line,hct-116,
cell_line,hct116,
cell_line,hct116dko,
cell_line,hdc111,
cell_line,hdf,
cell_line,he293t,
cell_line,hek,
cell_line,hek 293,
cell_line,hek 293 jump in t-rex,
cell_line,hek 293et,
cell_line,hek 293t,
cell_line,hek 293t/17,
cell_line,hek cells,
cell_line,hek flp-intm t-rextm 293,
cell_line,hek wt,
cell_line,hek-293,
cell_line,hek-293ft,
cell_line,hek-293t,
cell_line,hek293,CLO:0001230
cell_line,hek293 6e,
cell_line,hek293 flip-in t-rex,
cell_line,hek293 flp-in,
cell_line,hek293 flp-in t-rex,
cell_line,hek293 fv2e-perk,
cell_line,hek293-ft,
cell_line,hek293-l10a,
cell_line,hek293-loxp-gfp-rfp,
cell_line,hek293dax,
cell_line,hek293f,
cell_line,hek293t,
cell_line,hek293tt,
cell_line,hekblue,
cell_line,hekindt11,
cell_line,hekindt2,
cell_line,hel,
cell_line,hela,
cell_line,hela cells,
cell_line,hela s3,
cell_line,hela sko,
cell_line,hela wt,
cell_line,hela-ko parp1,
cell_line,hep 3b,
cell_line,hep293tt,
cell_line,hep3b,
cell_line,hep3b-axl,
cell_line,hep3b-gfp,
cell_line,hepa1-6,
cell_line,heparg,
cell_line,hepg2,
cell_line,hepg2 simplecells,
cell_line,hepg2/c3a,
cell_line,"hescs, h9",
cell_line,heya8,
cell_line,hfib2-ips4,
cell_line,hhstec,
cell_line,hipscs,
cell_line,hitb5,
cell_line,hk cells,
cell_line,hk-2,
cell_line,hk1-akata,
cell_line,hl-60,
cell_line,hl60,
cell_line,hlf,
cell_line,hlf-t,
cell_line,hlf-ts,
cell_line,hlf-tsr,
cell_line,hmc3,
cell_line,hnscc cell lines,
cell_line,hop62,
cell_line,hs5,
cell_line,hs578t,
cell_line,ht-1080,
cell_line,ht-29,
cell_line,ht-55,
cell_line,ht1080,
cell_line,ht1197,
cell_line,ht29,
cell_line,htb94,
cell_line,htert-rpe1,
cell_line,htr8/svneo,
cell_line,hues6,
cell_line,hues6 and hues9 hesc lines were obtained from harvard stem cell institute,
cell_line,hues9,
cell_line,huh 7,
cell_line,huh-7,
cell_line,huh7,
cell_line,huh7.5,
cell_line,huh7:hla-c*01:02,
cell_line,human embryonic kidney-293t,
cell_line,hutu 80,
cell_line,huvec,
cell_line,huvecs,
cell_line,icas9-bfp,
cell_line,igrov1,
cell_line,ihcf,
cell_line,imr-32,
cell_line,imr-90,
cell_line,imr90,
cell_line,ishikawa,
cell_line,ishikawa cells,
cell_line,jf-305,
cell_line,jhoc5,
cell_line,jhu-o11,
cell_line,jhu-o22,
cell_line,jhu-o28,
cell_line,jhu-o29,
cell_line,jl1,
cell_line,jurkat,
cell_line,jy,
cell_line,k18905,
cell_line,k562,
cell_line,k8484,
cell_line,kasumi-1,
cell_line,katoiii,
cell_line,kbm7,
cell_line,kbm7 icas9,
cell_line,kg-1,
cell_line,khyg-1,
cell_line,km12c,
cell_line,km12sm,
cell_line,kpc,
cell_line,kpcy 6499c4,
cell_line,kuramochi,
cell_line,l0-2,
cell_line,l929,
cell_line,lapc4,
cell_line,lcls,
cell_line,leh,
cell_line,ll-97a,
cell_line,ll24,
cell_line,lm2,
cell_line,ln229,
cell_line,lncap,
cell_line,ls180,
cell_line,luca62,
cell_line,lung cancer cell lines,
cell_line,m026,
cell_line,m026.x1.cl,
cell_line,m026r.x1.cl,
cell_line,m029.x1.cl,
cell_line,m029r.x1.cl,
cell_line,m14,
cell_line,mach1-t1 cells,
cell_line,mc3t3-e1,
cell_line,mcf-10a,
cell_line,mcf-12a,
cell_line,mcf-7,
cell_line,mcf-7 flp-in,
cell_line,mcf-7 rb1-knockout,
cell_line,mcf10a,
cell_line,mcf7,
cell_line,mda mb 468,
cell_line,mda-mb-157,
cell_line,mda-mb-231,
cell_line,mda-mb-415,
cell_line,mda-mb-468,
cell_line,mda-mb231,
cell_line,mdamb436,
cell_line,mdst-8,
cell_line,mef,
cell_line,mel-st,
cell_line,mel15 lcl,
cell_line,mel624,
cell_line,melanoma cell lines,
cell_line,mesc e14,
cell_line,met5a,
cell_line,mfm223,
cell_line,mhcc97h,
cell_line,mia paca-2,
cell_line,mia-pa-ca-2,
cell_line,mino,
cell_line,mkn28,
cell_line,mm.1s,
cell_line,mnt-1,
cell_line,mnt-1-dr100,
cell_line,mnt1,
cell_line,mo3.13,
cell_line,mo3.13/galc-ko,
cell_line,molm-13,
cell_line,molm-14,
cell_line,motn-1,
cell_line,mouse embryonic stem cells,
cell_line,mouse escs,
cell_line,mrc-5,
cell_line,mrc-9,
cell_line,mrc5,
cell_line,mt-caf,
cell_line,mv-4-11,
cell_line,mv4,
cell_line,mv4-11,
cell_line,n2a,
cell_line,n87,
cell_line,naa80 knockout cells,
cell_line,naa80 wt and ko cells,
cell_line,nalm-6,
cell_line,nb-4,
cell_line,nb1,
cell_line,ncc24,
cell_line,ncc24 (snu‐ncc‐24),
cell_line,nci h226,
cell_line,nci h23,
cell_line,nci-h1299,
cell_line,nci-h1339,
cell_line,nci-h1993,
cell_line,nci-h2228,
cell_line,nci-h23,
cell_line,nci-h292,
cell_line,nci-h460,
cell_line,nci-h929,
cell_line,nd7/23,
cell_line,neuroblastoma cell lines,
cell_line,nf2 ko,
cell_line,nih/3t3 rd12,
cell_line,nih3t3,
cell_line,nihovcar3,
cell_line,nk-92,
cell_line,nkl,
cell_line,nkl-kir2dl2,
cell_line,nkl-kir2ds2,
cell_line,normal oral cell line,
cell_line,nuli-1,
cell_line,ocum1,
cell_line,oe21,
cell_line,okf6/tert1,
cell_line,osca78,
cell_line,osca8,
cell_line,osrc-2,
cell_line,ovcar-8,
cell_line,ovcar3,
cell_line,ovcar5,
cell_line,ovkate,
cell_line,ovsaho,
cell_line,p31/fuj,
cell_line,pa01c,
cell_line,pa14c,
cell_line,pa16c,
cell_line,panc-1,
cell_line,panc1,
cell_line,pbmc,
cell_line,pc-3,
cell_line,pc3,
cell_line,pc9,
cell_line,pdac cell lines,
cell_line,peo4,
cell_line,phoenix ecotropic (e) packaging cells,
cell_line,phoenix‐a,
cell_line,pkm2 ko,
cell_line,ppnm,
cell_line,ppp2r5d e420k knock-in,
cell_line,ppp2r5d knockout hek293,
cell_line,prkg1-depleted rms cells,
cell_line,pymt,
cell_line,raji,
cell_line,raji-dcsignr,
cell_line,ramos,
cell_line,raw 264.7,
cell_line,raw264.7,
cell_line,rcc4,
cell_line,rcm-1,
cell_line,rencell vm,
cell_line,rko,
cell_line,rko icas9-gfp,
cell_line,rms cell lines,
cell_line,rosetta2 plyss,
cell_line,rpe-1,
cell_line,rpe/u2os-fgfr4,
cell_line,rpe1,
cell_line,rpe1-htert,
cell_line,rpmi 8226,
cell_line,rs4,
cell_line,rt4,
cell_line,s2,
cell_line,saos2,
cell_line,sc,
cell_line,scc-25,
cell_line,scc15,
cell_line,scc7,
cell_line,scc7-m,
cell_line,scvi-273,
cell_line,sem,
cell_line,sf9,
cell_line,sgbs,
cell_line,sh-sy5y,
cell_line,sh-sy5y neuroblastoma cell line,
cell_line,shsy5y,
cell_line,sike-cr,
cell_line,six human cell lines,
cell_line,sk mel 28,
cell_line,sk-br-3,
cell_line,sk-mel 24,
cell_line,sk-mel 28,
cell_line,sk-mel-147,
cell_line,sk-mel-28,
cell_line,sk-mel-94,
cell_line,sk-n-be(2),
cell_line,sk-ov-3,
cell_line,skbr3,
cell_line,skbr3-azdrc,
cell_line,skmel2,
cell_line,skmel28,
cell_line,skmel5,
cell_line,skn-sh,
cell_line,skov-3,
cell_line,skov3,
cell_line,skov3ip1,
cell_line,sn12-pm6,
cell_line,snu119,
cell_line,snu1750,
cell_line,snu182,
cell_line,snu449,
cell_line,snu601,
cell_line,snu719,
cell_line,stc-1,
cell_line,sum159,
cell_line,sv40-transformed human fibroblasts xp2os,
cell_line,sw-1116,
cell_line,sw-480,
cell_line,sw1222,
cell_line,sw13,
cell_line,sw480,
cell_line,sw620,
cell_line,sw837,
cell_line,t-47d,
cell_line,t47d,
cell_line,t47d.shmdm2,
cell_line,tamoxifen-resistant mcf-7,
cell_line,tb32043,
cell_line,thle-2,
cell_line,thp-1,
cell_line,thp1,
cell_line,thp1blue,
cell_line,tiger hek 293t,
cell_line,tmk1,
cell_line,tp53rk-deficient,
cell_line,trapγ-deficient cells (cdg359),
cell_line,trapδ-deficient cells (cdg406),
cell_line,tyknu,
cell_line,u-118,
cell_line,u-2 os,
cell_line,u-2 os diva-flag-gfp-smc1,
cell_line,u118,
cell_line,u251,
cell_line,u2os,
cell_line,u2os flp-in t-rex,
cell_line,u2os t-rex,
cell_line,u2os-xpa ko,
cell_line,u2os-xpf ko,
cell_line,u2osscaf1-aid,
cell_line,u3017mg,
cell_line,u3034mg,
cell_line,u3047mg,
cell_line,u343,
cell_line,u698m,
cell_line,u87,
cell_line,u87-mg,
cell_line,u87mg,
cell_line,u937,
cell_line,uacc-62,
cell_line,ub replacement cell line panel,
cell_line,um-scc-6,
cell_line,vaco5,
cell_line,vh10-htert,
cell_line,wi-38,
cell_line,wm88,
cell_line,wtc11,
cell_line,xp2os-2-18,
cell_line,xtc,
cell_line,yamato,
cell_line,ycc3,
cell_line,yccel1,
cell_line,zl34,
cell_line,zr-75-1,
cell_line,zr-75-30,
cell_type,acute lymphoblastic leukemia cell type,
cell_type,acute myeloid leukemia cells,
cell_type,adipocyte,CL:0000136
cell_type,adipocytes,
cell_type,adipose fibroblasts,
cell_type,adipose-derived mesenchymal stem cells,
cell_type,adipose-derived msc,
cell_type,adipose-derived stromal cell,
cell_type,alveolar cells,
cell_type,alveolar epithelial cell,CL:0000322
cell_type,alveolar epithelial cell line,
cell_type,alveolar macrophages,
cell_type,"alveolar, type-2",
cell_type,aml blast,
cell_type,aml blast cells,
cell_type,aml cells,
cell_type,aml primary cells,
cell_type,articular chondrocytes,
cell_type,astrocyte,CL:0000127
cell_type,astrocytes,
cell_type,b cell,CL:0000236
cell_type,b cells,
cell_type,b-all pdx cells,
cell_type,b-cell acute lymphoblastic leukemia cell,
cell_type,b-cell precursor acute lymphoblastic leukemia cells,
cell_type,b-cll cells,
cell_type,b-lymphocyte,CL:0000236
cell_type,bacteria,
cell_type,bacterial cell,
cell_type,bacterium,
cell_type,banded neutrophils,
cell_type,bergmann glia,
cell_type,beta cell,
cell_type,biliary epithelial cell,
cell_type,biliary epithelial cells,
cell_type,bladder cancer cell,
cell_type,blood,
cell_type,blood cell,CL:0000081
cell_type,blood mononuclear cells,
cell_type,blood platelet,CL:0000233
cell_type,bmdms,
cell_type,bone marrow cells,
cell_type,bone marrow stromal cell,CL:0010001
cell_type,bone marrow stromal cells,
cell_type,bone marrow-derived cells,
cell_type,bone marrow-derived macrophage,
cell_type,bone marrow-derived macrophages,
cell_type,bone marrow-derived mesenchymal stem cells,
cell_type,bone marrow-derived msc,
cell_type,bone-marrow-derived macrophage,
cell_type,brain cells,
cell_type,brain endothelial cells,
cell_type,brain microvascular endothelial cell,CL:2000044
cell_type,brain microvascular endothelial cells,
cell_type,brain microvessels,
cell_type,brain tumor cells,
cell_type,brain tumor-initiating cells,
cell_type,brain vessels,
cell_type,breast cancer cell,
cell_type,breast cancer cells,
cell_type,breast cancer tissue,
cell_type,breast carcinoma cells,
cell_type,breast epithelial cell,CL:0002327
cell_type,breast epithelial cells,
cell_type,breast tissue,
cell_type,breast tumor samples,
cell_type,bronchial epithelial cell,CL:0002328
cell_type,bronchial epithelial cells,
cell_type,brown adipocyte,CL:0000449
cell_type,brown adipocytes,
cell_type,brown fat cell,CL:0000449
cell_type,brown fat cell differentiation,
cell_type,brown progenitors,
cell_type,btics,
cell_type,buccal cells,
cell_type,calvarial osteoblast,CL:2000058
cell_type,cancer associated fibroblasts,
cell_type,cancer cell,
cell_type,cancer cell line,
cell_type,cancer cells,
cell_type,cancer stem cells,
cell_type,cancer-associated fibroblast,
cell_type,cancer-associated fibroblasts,
cell_type,cancer-associated myofibroblasts,
cell_type,cardiac cells,
cell_type,cardiac fibroblast,CL:0002548
cell_type,cardiac fibroblasts,
cell_type,cardiac muscle cell,CL:0000746
cell_type,cardiac organoid,
cell_type,cardiocyte,CL:0002494
cell_type,cardiomyocyte,CL:0000746
cell_type,cardiomyocytes,
cell_type,cd14+cd163+ tumor-induced dc3s,
cell_type,cd19+ b lymphocytes,
cell_type,cd34+ bone marrow cells,
cell_type,cd4 t cells,
cell_type,cd4+ follicular helper t cells (tfh),
cell_type,cd4+ memory cells,
cell_type,cd4+ memory t cells,
cell_type,cd4+ t cell,
cell_type,cd4+ t cells,
cell_type,cd4+ t lymphocyte,
cell_type,cd4+ t-cells,
cell_type,cd8 t cell,
cell_type,cd8 t cells,
cell_type,cd8 t-cells,
cell_type,cd8+ t cell,
cell_type,cd8+ t cells,
cell_type,cd8+ t lymphocytes,
cell_type,cd8+ t-cells,
cell_type,cdc2s,
cell_type,cell,CL:0000000
cell_type,cell culture,
cell_type,cell cultures,
cell_type,cell line,
cell_type,cell line cell,
cell_type,cell lines,
cell_type,cells lining the urinary tract,
cell_type,cerebellar purkinje cells,
cell_type,cervical adenocarcinoma cell,
cell_type,cervical cancer cell,
cell_type,cervical carcinoma cell,
cell_type,cervical cell,
cell_type,cervical epithelial cell,
cell_type,chemoresistant cells,
cell_type,chondrocyte,CL:0000138
cell_type,chondrocytes,
cell_type,choroidal melanocyte,CL:4030000
cell_type,classical monocytes (cmonocytes),
cell_type,club cell,CL:0000158
cell_type,colon cancer cell,
cell_type,colon carcinoma cell,
cell_type,colon carcinoma cells,
cell_type,colon endothelium,
cell_type,colon epithelial cell,CL:0011108
cell_type,colon epithelial cells,
cell_type,colon tissue cells,
cell_type,colorectal adenocarcinoma cell,
cell_type,colorectal cancer cell,
cell_type,colorectal cancer cells,
cell_type,colorectal epithelial cell,
cell_type,conventional cd4+ t (tconv) cells,
cell_type,conventional t cell,
cell_type,corneal endothelial cell,CL:0000132
cell_type,cortical neurons,
cell_type,cortical-like ineurons,
cell_type,cytotoxic t-lymphocyte,CL:0000910
cell_type,dendritic cell,CL:0000451
cell_type,dendritic cells,
cell_type,dental calculus,
cell_type,dental plaque,
cell_type,dental pulp stem cells,
cell_type,dermal fibroblast,
cell_type,dermal fibroblasts,
cell_type,dermal microvascular endothelial cells,
cell_type,diploid cell,CL:0000415
cell_type,dopamine neuron,
cell_type,dopaminergic neuron,CL:0000700
cell_type,dopaminergic neurons,
cell_type,ductal carcinoma,
cell_type,ductal epithelial cell,
cell_type,duodenal epithelium,
cell_type,e. coli,
cell_type,e. coli cells,
cell_type,e. coli k-12 mg1655,
cell_type,early embryonic cell,
cell_type,ectoderm cell,CL:0000221
cell_type,ectomesenchymal progenitors,
cell_type,ectomesenchyme,
cell_type,electrically active cell,CL:0000211
cell_type,elongating spermatid,
cell_type,elongating spermatids,
cell_type,embryo,
cell_type,embryoid body cell,
cell_type,embryonal kidney cell,
cell_type,embryonic fibroblast,CL:2000042
cell_type,embryonic fibroblasts,
cell_type,embryonic kidney,
cell_type,embryonic kidney cell,
