accession,pubmed_id,pmcid,doi,is_open_access,license,text_mining_permissive,note
PXD007975,29270132,PMC5724358,10.3389/fphys.2017.01009,Y,cc by,True,
PXD009737,30280576,,10.1021/acs.jproteome.8b00397,N,,False,closed access (no license applies)
PXD009310,29932309,,10.1002/pmic.201800219,N,,False,closed access (no license applies)
PXD006576,29196338,PMC5795392,10.1074/mcp.ra117.000425,N,cc by,True,
PXD006570,29196338,PMC5795392,10.1074/mcp.ra117.000425,N,cc by,True,
PXD007123,29980616,PMC6166677,10.1074/mcp.ra118.000882,N,cc by,True,
PXD009893,29974749,,10.1021/acs.jproteome.8b00384,N,,False,closed access (no license applies)
PXD011214,30334612,,10.1002/prca.201800111,N,,False,closed access (no license applies)
PXD009870,30132266,PMC6105266,10.1007/s00395-018-0699-5,Y,cc by,True,
PXD006578,29196338,PMC5795392,10.1074/mcp.ra117.000425,N,cc by,True,
PXD008311,30006486,PMC6166673,10.1074/mcp.ra118.000644,N,cc by,True,
PXD002990,27080861,PMC4832251,10.1038/srep24491,Y,cc by,True,
PXD000529,24328083,,10.1021/pr400902u,N,,False,closed access (no license applies)
PXD005436,28130869,,10.1002/pmic.201600333,N,,False,closed access (no license applies)
PXD009813,30064219,,10.1021/acs.jproteome.8b00444,N,,False,closed access (no license applies)
PXD007959,30030445,PMC6054643,10.1038/s41467-018-05357-4,Y,cc by,True,
PXD002212,26092402,,10.1007/s00216-015-8817-9,N,,False,closed access (no license applies)
PXD001326,25238572,,10.1021/pr500727h,N,,False,closed access (no license applies)
PXD006589,29196338,PMC5795392,10.1074/mcp.ra117.000425,N,cc by,True,
PXD009196,30093357,PMC6158101,10.1016/j.molmet.2018.07.001,Y,cc by-nc-nd,False,
PXD011492,27807068,PMC5219919,10.21873/cgp.20008,N,,False,closed access (no license applies)
PXD009061,29938851,,10.1111/aji.12994,N,,False,closed access (no license applies)
PXD008992,29684362,,10.1016/j.ajpath.2018.03.017,N,,False,closed access (no license applies)
PXD007744,29752063,,10.1016/j.immuni.2018.04.008,N,,False,closed access (no license applies)
PXD000004,22942359,PMC3518127,10.1074/mcp.m112.021766,N,cc by,True,
PXD010690,30207155,,10.1021/acs.jproteome.8b00308,N,,False,closed access (no license applies)
PXD011309,30340394,PMC6313917,10.3390/proteomes6040043,Y,cc by,True,
PXD009784,30071318,,10.1016/j.jprot.2018.07.008,N,cc by,True,
PXD000561,24870542,PMC4403737,10.1038/nature13302,Y,,False,open access but no license string recorded
PXD015239,,,,,,,no linked publication in PRIDE record
PXD006847,29491378,PMC5830451,10.1038/s41467-018-03367-w,Y,cc by,True,
PXD003215,27677936,PMC5584578,10.1016/j.ab.2016.09.021,N,,False,closed access (no license applies)
PXD003075,26948580,PMC4780148,10.1186/s13195-016-0178-x,Y,cc by,True,
PXD008252,30228939,PMC6140582,10.1080/2162402x.2018.1470730,Y,cc by-nc-nd,False,
PXD003533,28811505,PMC5557946,10.1038/s41598-017-08288-0,Y,cc by,True,
PXD015523,32686675,PMC7371716,10.1038/s41467-020-17451-7,Y,cc by,True,
PXD010093,30277781,,10.1021/acs.jproteome.8b00398,N,,False,closed access (no license applies)
PXD005733,28195392,PMC5606153,10.1002/pmic.201600300,N,,False,closed access (no license applies)
PXD009021,31852895,PMC6920408,10.1038/s41597-019-0336-7,Y,cc by,True,
PXD002014,28827734,PMC5566454,10.1038/s41598-017-09335-6,Y,cc by,True,
PXD008130,29510447,,10.1002/pmic.201700419,N,,False,closed access (no license applies)
PXD017213,32453760,PMC7250451,10.1371/journal.pone.0233639,Y,cc by,True,
PXD000228,24776597,,10.1093/cvr/cvu113,N,,False,closed access (no license applies)
PXD008440,29681787,PMC5898006,10.1186/s12014-018-9192-2,Y,cc by,True,
PXD010150,30210768,PMC6124911,10.1039/c8sc02680g,Y,cc by,True,
PXD000440,24298013,PMC3950894,10.4049/jimmunol.1302291,N,,False,closed access (no license applies)
PXD009880,30391543,,10.1016/j.bbadis.2018.10.035,N,,False,closed access (no license applies)
PXD004928,29332228,,10.1007/s10792-017-0791-0,N,,False,closed access (no license applies)
PXD002620,26442468,PMC4737284,10.1002/pmic.201500214,Y,cc by-nc-nd,False,
PXD010271,30300549,,10.1021/acs.jproteome.8b00580,N,,False,closed access (no license applies)
PXD006571,29196338,PMC5795392,10.1074/mcp.ra117.000425,N,cc by,True,
PXD009709,29988836,PMC6032024,10.1080/20013078.2018.1490143,Y,cc by-nc,False,
PXD006607,30205043,,10.1016/j.ccell.2018.08.002,N,,False,closed access (no license applies)
PXD012971,32461304,PMC7415621,10.1158/1541-7786.mcr-19-1245,N,,False,closed access (no license applies)
PXD007592,29541007,PMC5844114,10.1186/s12014-018-9189-x,Y,cc by,True,
PXD005477,29752063,,10.1016/j.immuni.2018.04.008,N,,False,closed access (no license applies)
PXD010708,30207155,,10.1021/acs.jproteome.8b00308,N,,False,closed access (no license applies)
PXD008443,,,,,,,no linked publication in PRIDE record
PXD011000,30247810,,10.1002/prca.201800084,N,,False,closed access (no license applies)
PXD012970,32461304,PMC7415621,10.1158/1541-7786.mcr-19-1245,N,,False,closed access (no license applies)
PXD005755,29079528,PMC5739305,10.1016/j.freeradbiomed.2017.10.373,N,,False,closed access (no license applies)
PXD001524,25505010,,10.1093/humrep/deu330,N,,False,closed access (no license applies)
PXD004355,,,,,,,no linked publication in PRIDE record
PXD010284,,,,,,,no linked publication in PRIDE record
PXD011175,30532160,PMC6287822,10.1371/journal.pone.0208562,Y,cc by,True,
PXD011178,32388983,,10.1021/acs.jproteome.9b00562,N,,False,closed access (no license applies)
PXD011204,30240925,,10.1016/j.jprot.2018.09.007,N,,False,closed access (no license applies)
PXD009343,29922247,PMC5996093,10.3389/fmicb.2018.01067,Y,cc by,True,
PXD005055,27806300,PMC5123842,10.1016/j.celrep.2016.10.020,N,cc by-nc-nd,False,
PXD010260,30419021,PMC6231613,10.1371/journal.pone.0206475,Y,cc by,True,
PXD007740,29970458,PMC6166676,10.1074/mcp.ra117.000486,N,cc by,True,
PXD012960,32528904,PMC7266879,10.3389/fcimb.2020.00251,Y,cc by,True,
PXD004683,28195392,PMC5606153,10.1002/pmic.201600300,N,,False,closed access (no license applies)
PXD007846,29451788,,10.1021/acs.jproteome.7b00788,N,,False,closed access (no license applies)
PXD004540,27728768,,10.1021/acs.jproteome.6b00659,N,,False,closed access (no license applies)
PXD007080,30038331,PMC6056427,10.1038/s41598-018-29240-w,Y,cc by,True,
PXD001425,26086942,PMC4573827,10.1097/ccm.0000000000001134,N,,False,closed access (no license applies)
PXD017261,,,,,,,no linked publication in PRIDE record
PXD003045,24568099,PMC3944950,10.1186/1559-0275-11-7,Y,cc by,True,
PXD006176,29880488,PMC6039413,10.1161/atvbaha.117.310701,Y,,False,open access but no license string recorded
PXD007258,29360139,PMC6033667,10.1002/hep.29803,N,,False,closed access (no license applies)
PXD005323,28676664,PMC5496916,10.1038/s41598-017-04417-x,Y,cc by,True,
PXD007081,30038331,PMC6056427,10.1038/s41598-018-29240-w,Y,cc by,True,
PXD016865,,,,,,,no linked publication in PRIDE record
PXD005220,28666451,PMC5493128,10.1186/s13075-017-1336-7,Y,cc by,True,
PXD009645,29946125,PMC6018659,10.1038/s41467-018-04873-7,Y,cc by,True,
PXD008465,29857350,PMC6099210,10.1002/rcm.8183,Y,cc by,True,
PXD009144,30411850,,10.1002/prca.201700173,N,,False,closed access (no license applies)
PXD005709,29535834,PMC5828218,10.18632/oncotarget.24366,Y,cc by,True,
PXD010508,31738831,PMC6880908,10.1182/bloodadvances.2019031609,N,,False,closed access (no license applies)
PXD006522,29530281,,10.1016/j.kint.2017.12.012,N,,False,closed access (no license applies)
PXD006465,28959888,,10.1021/acs.jproteome.7b00340,N,,False,closed access (no license applies)
PXD002883,27535140,PMC5054341,10.1074/mcp.m116.060368,Y,cc by,True,
PXD009781,,,,,,,PRIDE record has no PubMed ID
PXD004443,29599912,PMC5871083,10.18632/oncotarget.23206,Y,cc by,True,
PXD016261,31877049,,10.1021/acs.jproteome.9b00770,N,,False,closed access (no license applies)
PXD009029,30205969,PMC6181582,10.1016/j.tube.2018.07.005,Y,cc by-nc-nd,False,
PXD008832,30087585,PMC6074037,10.1186/s12014-018-9202-4,Y,cc by,True,
PXD009754,30518613,,10.1126/scitranslmed.aau5516,N,,False,closed access (no license applies)
PXD009440,30086402,,10.1016/j.jprot.2018.07.019,N,,False,closed access (no license applies)
PXD010469,31896675,PMC7050111,10.1074/mcp.ra119.001873,N,cc by,True,
PXD005970,29350075,,10.1080/17435390.2018.1425500,N,,False,closed access (no license applies)
PXD006268,28604699,PMC5472780,10.1038/ncomms15861,Y,cc by,True,
PXD001324,25238572,,10.1021/pr500727h,N,,False,closed access (no license applies)
PXD008795,,,,,,,no linked publication in PRIDE record
PXD006911,28860555,PMC5579191,10.1038/s41598-017-10590-w,Y,cc by,True,
PXD006743,29857962,,10.1016/j.jdermsci.2018.05.003,N,cc by-nc-nd,False,
PXD017268,32360370,,10.1016/j.jprot.2020.103797,N,,False,closed access (no license applies)
PXD009996,30183078,,10.1002/ijc.31845,N,,False,closed access (no license applies)
PXD008723,29719595,PMC5915062,10.18632/oncotarget.24773,Y,cc by,True,
PXD006572,29196338,PMC5795392,10.1074/mcp.ra117.000425,N,cc by,True,
PXD009254,30172883,PMC6121830,10.1016/j.tranon.2018.08.001,Y,cc by-nc-nd,False,
PXD011609,29665991,,10.1016/j.jdermsci.2018.04.006,N,,False,closed access (no license applies)
PXD018678,32487995,PMC7266817,10.1038/s41467-020-16584-z,Y,cc by,True,
PXD000605,25333471,PMC4198105,10.1371/journal.pone.0109279,Y,cc by,True,
PXD011183,30366120,,10.1016/j.jprot.2018.10.010,N,,False,closed access (no license applies)
PXD008934,29892068,PMC6195768,10.1038/s41591-018-0046-2,Y,,False,open access but no license string recorded
PXD009056,29687552,,10.1111/1462-2920.14235,N,,False,closed access (no license applies)
PXD008354,30025106,,10.1167/iovs.18-24122,N,cc by-nc-nd,False,
PXD017976,,,,,,,no linked publication in PRIDE record
PXD006897,29530281,,10.1016/j.kint.2017.12.012,N,,False,closed access (no license applies)
PXD008996,30054545,PMC6063857,10.1038/s41598-018-29728-5,Y,cc by,True,
PXD009755,30518613,,10.1126/scitranslmed.aau5516,N,,False,closed access (no license applies)
PXD007122,29980616,PMC6166677,10.1074/mcp.ra118.000882,N,cc by,True,
PXD009300,30087584,PMC6074034,10.1186/s12014-018-9200-6,Y,cc by,True,
PXD016437,32326232,PMC7225967,10.3390/cancers12041018,Y,cc by,True,
PXD009624,30207155,,10.1021/acs.jproteome.8b00308,N,,False,closed access (no license applies)
PXD009350,30451909,PMC6242904,10.1038/s41598-018-35321-7,Y,cc by,True,
PXD009646,30124047,,10.1021/acs.jproteome.8b00300,N,,False,closed access (no license applies)
PXD011241,30498210,PMC6265295,10.1038/s41467-018-07339-y,Y,cc by,True,
PXD009716,30252445,,10.1021/acs.analchem.8b02087,N,,False,closed access (no license applies)
PXD016555,32312959,PMC7171168,10.1038/s41419-020-2438-8,Y,cc by,True,
PXD004625,27879288,PMC5217785,10.1074/mcp.m116.063313,N,cc by,True,
PXD007624,29901396,,10.1021/acs.jproteome.8b00244,N,,False,closed access (no license applies)
PXD010698,30207155,,10.1021/acs.jproteome.8b00308,N,,False,closed access (no license applies)
PXD007705,30097507,PMC6127892,10.15252/emmm.201708428,Y,cc by,True,
PXD007873,30559480,,10.1038/s41593-018-0294-y,N,,False,closed access (no license applies)
PXD017804,32328356,PMC7164430,10.7717/peerj.9009,Y,cc by,True,
PXD009752,30518613,,10.1126/scitranslmed.aau5516,N,,False,closed access (no license applies)
PXD006265,28538182,PMC5599215,10.1016/j.celrep.2017.04.039,N,cc by-nc-nd,False,
PXD010294,30520266,,10.1002/prca.201800128,N,,False,closed access (no license applies)
PXD007894,30112540,,10.1039/c8an01081a,N,,False,closed access (no license applies)
PXD005693,29535834,PMC5828218,10.18632/oncotarget.24366,Y,cc by,True,
PXD018682,,,,,,,no linked publication in PRIDE record
PXD004624,27879288,PMC5217785,10.1074/mcp.m116.063313,N,cc by,True,
PXD008029,29695160,,10.1021/acs.jproteome.8b00110,N,,False,closed access (no license applies)
PXD008682,29908990,,10.1016/s1470-2045(18)30294-8,N,,False,closed access (no license applies)
PXD002133,27346722,PMC4921819,10.1038/srep28107,Y,cc by,True,
PXD007231,29915148,PMC6126392,10.1074/mcp.tir117.000516,Y,cc by,True,
PXD013649,32157095,PMC7064602,10.1038/s41467-020-14968-9,Y,cc by,True,
