accession,title,pubmed_id,doi,pride_license,submission_date,publication_date,organisms,organism_parts,diseases,instruments,experiment_types,quantification_methods,identified_ptms
PXD001325,Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - tumor-distant tissue sections,25238572,10.6019/PXD001325,EBI terms of use,2014-09-16,2014-09-23,Homo sapiens (human),Breast,,Q Exactive,Shotgun proteomics,,Carbamidomethyl; Oxidation; Acetyl
PXD002211,Quantification of cytokines secreted by primary human cells using MRM: evaluation of analytical parameters – shotgun secretome data of inflammatory stimulated HUVECs,26092402,10.6019/PXD002211,EBI terms of use,2015-05-20,2015-06-29,Homo sapiens (human),Umbilical vein; Endothelial cell of umbilical vein,,Q Exactive,Shotgun proteomics,,Carbamidomethyl; Oxidation; Acetyl
PXD009438,Defining the cellular proteolytic landscape in systemic lupus erythematosus – nonspecific digest,30346940,,EBI terms of use,2018-04-09,2018-10-11,Homo sapiens (human),Blood serum,Systemic lupus erythematosus,Q Exactive,Shotgun proteomics,Label free,monohydroxylated residue; mono N-acetylated residue
PXD010821,"Splicing factor PRPF31 retinitis pigmentosa (RP11) is caused by disrupted alternative splicing programmes for genes implicated in pre-mRNA splicing, cellular adhesion and ciliogenesis",30315276,,Creative Commons Public Domain (CC0),2018-08-20,2018-08-20,Homo sapiens (human),Retina,,Q Exactive HF-X; Orbitrap Fusion,Shotgun proteomics,TMT,monohydroxylated residue; iodoacetamide derivatized residue
PXD009917,A549 CD38 phosphoproteomics analysis,29980616,,EBI terms of use,2018-05-25,2018-07-11,Homo sapiens (human),Lung,,LTQ Orbitrap,Shotgun proteomics,SILAC,phosphorylated residue
PXD004682,Comparison of Lung Cancer Proteome Profiles 1: Label Free Quantification,28195392,10.6019/PXD004682,EBI terms of use,2016-07-29,2017-02-16,Homo sapiens (human),Epithelial cell; Lung,Non-small cell lung carcinoma,Q Exactive,Shotgun proteomics,TIC,No PTMs are included in the dataset
PXD004626,Multi-omics analysis of serum samples demonstrates reprogramming of organ functions via systemic calcium mobilization and platelet activation in metastatic melanoma patients - proteins from serum samples of healthy donors,27879288,10.6019/PXD004626,EBI terms of use,2016-07-21,2016-12-22,Homo sapiens (human),Blood serum,,Q Exactive,Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD000533,"CHPP chr 1,8,20 proteome dataset using the HCC cell lines of Hep3B and MHCC97H, instrument is Q Exactive, part 2 of 3",24328083,10.6019/PXD000533,EBI terms of use,2013-10-21,2013-12-16,Homo sapiens (human),Permanent cell line cell; Liver,,Q Exactive,Bottom-up proteomics,,monohydroxylated residue; iodoacetamide derivatized residue
PXD007745,Quantitative Proteomics Reveals Specialized Wiring of Signaling Pathways that Protects Human Regulatory T Cell Identity - 2 populations in vitro,29752063,,EBI terms of use,2017-09-15,2018-05-18,Homo sapiens (human),Blood; T cell,,Orbitrap Fusion ETD,Shotgun proteomics,MS1 intensity based label-free quantification method,acetylated residue; iodoacetamide derivatized residue
PXD009112,Defining the cellular proteolytic landscape in systemic lupus erythematosus,30346940,,EBI terms of use,2018-03-05,2018-10-11,Homo sapiens (human),Blood serum,Systemic lupus erythematosus,Q Exactive,Shotgun proteomics,Label free,monohydroxylated residue; mono N-acetylated residue; iodoacetamide derivatized residue
PXD009916,A549 CD38 secretomic analysis -  Decreased NAD Activates STAT3 and Integrin Pathways to Drive Epithelial-Mesenchymal Transition,29980616,,EBI terms of use,2018-05-25,2018-07-11,Homo sapiens (human),Lung,,Q Exactive,Shotgun proteomics,TMT,TMT6plex-126 reporter+balance reagent acylated residue
PXD007975,Quantitative Proteomic Analysis of Plasma Samples from Chronic Hepatitis B and Chronic Liver Failure Patients for Biomarker Discovery,29270132,,EBI terms of use,2017-10-16,2018-10-23,Homo sapiens (human),Blood plasma,Liver disease,LTQ Orbitrap Elite,Shotgun proteomics,iTRAQ,No PTMs are included in the dataset
PXD009737,Human testis off-line LC-MS/MS,30280576,10.6019/PXD009737,EBI terms of use,2018-05-14,2018-10-04,Homo sapiens (human),Testis,,Q Exactive HF-X,Shotgun proteomics,,Carbamidomethyl; Oxidation
PXD009310,The platelet releasate in healthy population and pregancy,29932309,,EBI terms of use,2018-03-23,2018-06-25,Homo sapiens (human),Platelet; Blood platelet,,Q Exactive,Shotgun proteomics,Label free,No PTMs are included in the dataset
PXD006576,Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of young B cells,29196338,10.6019/PXD006576,EBI terms of use,2017-05-24,2017-12-05,Homo sapiens (human),Blood; B cell,,Q Exactive,Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD006570,Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of elderly B cells,29196338,10.6019/PXD006570,EBI terms of use,2017-05-23,2017-12-05,Homo sapiens (human),Blood; B cell,,Q Exactive,Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD007123,"Human A549 CD38, part 2 -  Decreased NAD Activates STAT3 and Integrin Pathways to Drive Epithelial-Mesenchymal Transition",29980616,,EBI terms of use,2017-07-25,2018-07-11,Homo sapiens (human),Lung,,Q Exactive,Shotgun proteomics,,6x(13)C labeled residue
PXD009893,Proteomic profiling of human mesenchymal stem cells derived from umbilical cord or adipose tissue,29974749,,EBI terms of use,2018-05-25,2018-07-11,Homo sapiens (human),Mesenchymal cell; Adipose tissue; Umbilical cord,,TripleTOF 5600; Q Exactive HF,Shotgun proteomics,,No PTMs are included in the dataset
PXD011214,Urinary glycopeptide analysis for the investigation of novel biomarkers,30334612,,Creative Commons Public Domain (CC0),2018-09-28,2018-11-29,Homo sapiens (human),Urine,Pancreatic cancer; Urinary bladder cancer; Cholangiocarcinoma; Renal cell carcinoma; Prostate cancer,LTQ Orbitrap Velos,Top-down proteomics,Variable modification; Identified by peptide fragmentation; Peptide search engine output parameter; Peptide selection; Peptide mass tolerance setting,monohydroxylated residue; Hex1HexNAc2 N4-glycosylated asparagine; O-(N-acetylamino)glucosyl-L-threonine; N-acetylneuraminylated residue; O-(N-acetylamino)glucosyl-L-serine; Hex1HexNAc1NeuAc1 glycosylated residue; O-hexosylated threonine
PXD009870,Proteomics of JHS samples identifies proteins associated with heart failure,30132266,,EBI terms of use,2018-05-23,2018-08-30,Homo sapiens (human),Blood plasma,,Q Exactive,Top-down proteomics; Shotgun proteomics,TIC,monohydroxylated residue; iodoacetic acid derivatized residue; deamidated residue
PXD006578,Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of CLL cells,29196338,10.6019/PXD006578,EBI terms of use,2017-05-24,2017-12-06,Homo sapiens (human),Blood; B cell,Lymphoma,Q Exactive,Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD008311,The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles (exosomes) released from glioblastoma cells,30006486,10.6019/PXD008311,EBI terms of use,2017-12-08,2018-07-30,Homo sapiens (human),Brain; Astrocyte,Brain glioblastoma multiforme; Brain cancer,Orbitrap Fusion,Shotgun proteomics,TIC,Carboxymethyl; Deamidated; Oxidation
PXD002990,Complementary Phosphoproteomic Approaches Link IL-23R Downstream Signaling with Metabolic Adaptation in Lymphocytes,27080861,10.6019/PXD002990,EBI terms of use,2015-09-30,2016-04-21,Homo sapiens (human),Leukocyte; Lymph node,Crohn's disease,Q Exactive,Shotgun proteomics,Label free; SILAC,Dimethyl:2H(4); Dimethyl; Phospho; Carbamidomethyl; Oxidation
PXD000529,"CHPP chr 1,8,20 proteome dataset using the HCC cell lines of MHCC97H and HCCLM3, instrument is Q Exactive, part 1 of 3",24328083,10.6019/PXD000529,EBI terms of use,2013-10-18,2013-12-13,Homo sapiens (human),Permanent cell line cell; Liver,,Q Exactive,Bottom-up proteomics,,monohydroxylated residue; iodoacetamide derivatized residue
PXD005436,Proteomic analysis of human follicular fluid in poor ovarian responders during in vitro fertilization,28130869,,EBI terms of use,2016-11-24,2018-07-04,Homo sapiens (human),Follicular fluid,,Q Exactive,Shotgun proteomics,TMT,TMT6plex-126 reporter+balance reagent acylated residue; iodoacetamide derivatized residue
PXD009813,Human salivary basic proline-rich proteins,30064219,,EBI terms of use,2018-05-17,2018-08-08,Homo sapiens (human),Saliva,,LTQ Orbitrap Elite,Top-down proteomics,,phosphorylated residue
PXD007959,Extracellular vesicles isolated from the descending colon of pediatric patients with inflammatory bowel disease and control patients,30030445,,EBI terms of use,2017-10-13,2018-09-11,Homo sapiens (human),Colon,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; iodoacetamide derivatized residue
PXD002212,Quantification of cytokines secreted by primary human cells using MRM: evaluation of analytical parameters – shotgun secretome data of untreated HUVECs,26092402,10.6019/PXD002212,EBI terms of use,2015-05-20,2015-06-29,Homo sapiens (human),Umbilical vein; Endothelial cell of umbilical vein,,Q Exactive,Shotgun proteomics,,Carbamidomethyl; Oxidation; Acetyl
PXD001326,Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - bulk tumor tissue,25238572,10.6019/PXD001326,EBI terms of use,2014-09-16,2014-09-23,Homo sapiens (human),Breast,,Q Exactive,Shotgun proteomics,,Carbamidomethyl; Oxidation; Acetyl
PXD006589,Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of CLL cells,29196338,10.6019/PXD006589,EBI terms of use,2017-05-25,2017-12-06,Homo sapiens (human),Blood; B cell,Lymphoma,Q Exactive,Shotgun proteomics,,L-histidine residue; residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD009196,Exercise-induced molecular mechanisms for glycogen supercompensation in human skeletal muscle,30093357,,EBI terms of use,2018-03-13,2018-08-30,Homo sapiens (human),Skeletal muscle,,Q Exactive HF,SWATH MS,,monohydroxylated residue; iodoacetamide derivatized residue
PXD011492,In Silico Analysis Validates Proteomic Findings of Formalin-fixed Paraffin Embedded Cutaneous Squamous Cell Carcinoma Tissue,27807068,,Creative Commons Public Domain (CC0),2018-10-29,2018-11-07,Homo sapiens (human),Skin; Keratinocyte,Skin cancer; Squamous cell carcinoma,LTQ Orbitrap,Shotgun proteomics,Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue
PXD009061,Comparison of proteomic sample preparation and data analysis methods by means of human follicular fluids,29938851,,EBI terms of use,2018-02-28,2018-12-04,Homo sapiens (human),Oocyte; Oocyte,,Orbitrap Fusion ETD,Shotgun proteomics,Peptide counting,monohydroxylated residue; iodoacetamide derivatized residue; deamidated residue
PXD008992,Characterization of the small intestinal lesion in celiac disease by label-free quantitative mass spectrometry,29684362,,EBI terms of use,2018-02-20,2018-11-21,Homo sapiens (human),Small intestine,Celiac disease,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; 2-pyrrolidone-5-carboxylic acid (Gln); 2-pyrrolidone-5-carboxylic acid (Glu); deamidated residue
PXD007744,Quantitative Proteomics Reveals Specialized Wiring of Signaling Pathways that Protects Human Regulatory T Cell Identity - 6 populations ex vivo,29752063,,EBI terms of use,2017-09-15,2018-05-18,Homo sapiens (human),Blood; T cell,,Orbitrap Fusion ETD,Shotgun proteomics,MS1 intensity based label-free quantification method,acetylated residue; iodoacetamide derivatized residue
PXD000004,Identification and quantification of human postmortem frontal cortex proteome with a SILAM mouse brain standard,22942359,10.6019/PXD000004,EBI terms of use,2012-06-25,2012-12-10,Homo sapiens (human),Brain,,Q Exactive,Bottom-up proteomics,,monohydroxylated residue; 6x(13)C labeled residue; iodoacetamide derivatized residue
PXD010690,Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry,30207155,10.6019/PXD010690,Creative Commons Public Domain (CC0),2018-08-06,2018-09-17,Homo sapiens (human),Brain,,Q Exactive,Shotgun proteomics; Gel-based experiment,,Carbamidomethyl; Oxidation
PXD011309,Identification of potential plasma biomarkers for abdominal aortic aneurysm using tandem mass tag quantitative proteomics,30340394,,Creative Commons Public Domain (CC0),2018-10-09,2018-10-22,Homo sapiens (human),Blood plasma,Aortic aneurysm,Q Exactive,Shotgun proteomics,TMT,TMT6plex-126 reporter+balance reagent acylated residue
PXD009784,Changes in the urinary extracellular vesicle proteome are associated with nephronophthisis-related ciliopathies,30071318,,EBI terms of use,2018-05-15,2018-08-06,Homo sapiens (human),Urine,Nephronophthisis,Q Exactive,Shotgun proteomics,Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue
PXD000561,A draft map of the human proteome,24870542,,EBI terms of use,2014-02-25,2014-04-24,Homo sapiens (human),Heart; Blood platelet; Ovary; Monocyte; Urinary bladder; Frontal lobe; Lung; Placenta; Gall bladder; B-lymphocyte; Rectum; Cytotoxic t-lymphocyte; Spinal cord; Colon; Helper t-lymphocyte; Prostate gland; Retina; Pancreas; Liver; Adrenal gland; Gut; Kidney; Brain; Esophagus; Testis; Natural killer cell,,LTQ Orbitrap Elite; LTQ Orbitrap Velos,Bottom-up proteomics,,acetylated residue; L-methionine sulfoxide; iodoacetamide derivatized residue
PXD015239,"Epigenetic contributions to hemisphere asymmetry in healthy brain, aging, and Parkinson’s disease",,,Creative Commons Public Domain (CC0),2020-03-26,2020-03-26,Homo sapiens (human),Brain,Parkinson's disease,Q Exactive,Shotgun proteomics,,Oxidation; Acetyl
PXD006847,"Nanodroplet processing platform for deep, quantitative proteome profiling of 10-100 mammalian cells",29491378,10.6019/PXD006847,EBI terms of use,2017-10-05,2018-01-24,Homo sapiens (human),Pancreatic islet,,Orbitrap Fusion Lumos,Shotgun proteomics,,Carbamidomethyl; Oxidation
PXD003215,A Novel Method for Isolating Whole Protein from Human Cranial Bone,27677936,10.6019/PXD003215,EBI terms of use,2015-11-19,2016-10-05,Homo sapiens (human),Osteocyte; Cranium; Osteoblast,Bone disease,Q Exactive,Gel-based experiment,Spectrum counting,monohydroxylated residue; phosphorylated residue; formylated residue; iodoacetamide derivatized residue; ubiquitination signature dipeptidyl lysine
PXD003075,Human CSF peptidomics of gamma secretase inhibition,26948580,10.6019/PXD003075,EBI terms of use,2015-10-19,2016-03-14,Homo sapiens (human),Cerebrospinal fluid,,Q Exactive,Shotgun proteomics,TMT,monohydroxylated residue; TMT6plex-126 reporter+balance reagent acylated residue; 6x(13)C labeled residue; iodoacetamide derivatized residue
PXD008252,Nidogen-1 is a novel extracellular ligand for the NKp44 activating receptor,30228939,,EBI terms of use,2017-11-21,2018-10-22,Homo sapiens (human),Blood; Mature natural killer cell,,Orbitrap Fusion,Shotgun proteomics,Label free,No PTMs are included in the dataset
PXD003533,"Human plasma peptidomics -  Identification and quantification of plasma free salusin-β, an endogenous parasympathomimetic peptide",28811505,,EBI terms of use,2016-01-27,2018-10-26,Homo sapiens (human),Blood plasma,,Q Exactive,Shotgun proteomics; Top-down proteomics,,No PTMs are included in the dataset
PXD015523,PDZD8 interacts with Protrudin and Rab7 to form an ER-late endosome membrane contact site that recruits mitochondria,32686675,,Creative Commons Public Domain (CC0),2019-09-20,2020-06-02,Homo sapiens (human),Epithelial cell; Colon,Colon cancer,Q Exactive Plus,Shotgun proteomics,Label free,No PTMs are included in the dataset
PXD010093,"2018CHPP -  Digging for Missing Proteins Using Low-Molecular-Weight Protein Enrichment and a ""Mirror Protease"" Strategy",30277781,10.6019/PXD010093,EBI terms of use,2018-06-11,2018-10-04,Homo sapiens (human),Diploid cell; Testis,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD005733,Comparison of Lung Cancer Proteome Profiles 4: DDA,28195392,10.6019/PXD005733,EBI terms of use,2017-01-17,2017-02-16,Homo sapiens (human),Lung,Lung cancer,Q Exactive,Shotgun proteomics,TIC,Carbamidomethyl; Oxidation
PXD009021,Proteomic Analysis of Human Liver Reference Material,31852895,10.6019/PXD009021,EBI terms of use,2018-02-23,2018-04-23,Homo sapiens (human),Liver,,Orbitrap Fusion Lumos,Shotgun proteomics,,Gln->pyro-Glu; Deamidated; Oxidation; Acetyl
PXD002014,Integrated molecular phenotyping in chondrocytes identifies genes and pathways disrupted in osteoarthritis,28827734,,EBI terms of use,2015-04-17,2018-10-24,Homo sapiens (human),Knee; Chondrocyte,Osteoarthritis,Orbitrap Fusion; LTQ Orbitrap Velos,Shotgun proteomics,TMT; Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue; deamidated residue
PXD008130,Human platelet β-catenin interaction proteome,29510447,,EBI terms of use,2017-11-03,2018-07-05,Homo sapiens (human),Platelet; Blood platelet,,Q Exactive,Shotgun proteomics,Relative quantification unit,No PTMs are included in the dataset
PXD017213,Urinary proteomics in youths with and without type 1 diabetes,32453760,,Creative Commons Public Domain (CC0),2020-01-27,2020-06-01,Homo sapiens (human),Kidney,,Q Exactive,Shotgun proteomics,,iodoacetamide derivatized residue
PXD000228,"Stimulated Human Platelet Lysate: control, PAR1 and PAR4 stimulated",24776597,10.6019/PXD000228,EBI terms of use,2013-07-11,2016-05-11,Homo sapiens (human),Blood; Platelet,,LTQ Orbitrap Velos,Bottom-up proteomics,,"monohydroxylated residue; formylated residue; dihydroxylated residue; iodoacetamide derivatized residue; 2x(13)C,6x(2)H labeled dimethylated L-arginine"
PXD008440,The response to neoadjuvant chemoradiotherapy to 5-fluorouracil in locally advanced colorectal cancer patients: a predictive proteomic signature.,29681787,,EBI terms of use,2017-12-13,2018-06-25,Homo sapiens (human),Colon; Colon,Colon cancer,Q Exactive,Gel-based experiment,APEX - Absolute Protein Expression,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD010150,Nanowell-Mediated Two-Dimensional Liquid Chromatography Proteome Profiling of Mammalian Cells,30210768,10.6019/PXD010150,EBI terms of use,2018-06-18,2018-10-18,Homo sapiens (human),Pancreas,Type 1 diabetes mellitus,Orbitrap Fusion Lumos,Shotgun proteomics,,Carbamidomethyl; Oxidation
PXD000440,Qualitatively Different T Cell Phenotypic Responses to IL-2 versus IL-15 are Unified by Identical Dependences on Receptor Signal Strength and Duration,24298013,10.6019/PXD000440,EBI terms of use,2013-09-02,2013-11-07,Homo sapiens (human),Blood; T cell,,LTQ Orbitrap Elite,Bottom-up proteomics,,monohydroxylated residue; phosphorylated residue; iTRAQ8plex-116 reporter+balance reagent acylated residue; L-cysteine glutathione disulfide; iodoacetamide derivatized residue
PXD009880,LC-MS/MS proteomics of ETHE1 deficient patient fibroblasts_Study-1,30391543,,EBI terms of use,2018-05-24,2018-11-07,Homo sapiens (human),Skin; Fibroblast,Inherited metabolic disorder,Q Exactive,Shotgun proteomics,TMT,iodoacetamide derivatized residue
PXD004928,Comparative evaluation of the aqueous humor proteome of primary angle closure and primary open angle glaucomas and senile cataract eyes,29332228,,EBI terms of use,2016-09-12,2020-05-29,Homo sapiens (human),Anterior chamber of the eye,,LTQ Orbitrap Velos,Shotgun proteomics,,monohydroxylated residue; deamidated residue; iodoacetamide derivatized residue
PXD002620,Human Ureter project -  A proteomic glimpse into human ureter proteome,26442468,10.6019/PXD002620,EBI terms of use,2015-07-29,2015-07-31,Homo sapiens (human),Ureteral cell; Ureter,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; iodoacetamide derivatized residue
PXD010271,Individual variability of protein expression in human tissues,30300549,10.6019/PXD010271,EBI terms of use,2018-06-29,2018-10-22,Homo sapiens (human),Monocyte; Temporal lobe; Pancreas; Liver; Blood serum; Substantia nigra; Cerebrospinal fluid; Blood plasma; Ovary,,LTQ Orbitrap Velos; Q Exactive,Shotgun proteomics,,Carbamidomethyl; Oxidation
PXD006571,Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - nuclear proteins of elderly B cells,29196338,10.6019/PXD006571,EBI terms of use,2017-05-23,2017-12-05,Homo sapiens (human),Blood; B cell,,Q Exactive,Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD009709,Ultrafiltration and size exclusion chromatography combined with asymmetrical-flow field-flow fractionation for the isolation and characterisation of extracellular vesicles from urine,29988836,,EBI terms of use,2018-05-08,2018-07-04,Homo sapiens (human),Urine,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; phosphorylated residue; iodoacetamide derivatized residue
PXD006607,Proteomic analysis of human Medulloblastoma reveals distinct activated pathways between subgroups,30205043,,Creative Commons Public Domain (CC0),2020-07-21,2020-07-22,Homo sapiens (human),Brain,Childhood medulloblastoma,Orbitrap Fusion,Shotgun proteomics,SILAC,phosphorylated residue
