pxd,cohort,agent,field,old_values,new_values
PXD003293,with_methods,BiologicalAgent,developmental_stage,[],[]
PXD003293,with_methods,BiologicalAgent,ethnicity,[],[]
PXD003408,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD003408,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""umbilical vein""]"
PXD003408,abstract_only,BiologicalAgent,cell_type,"[""endothelial cell"", ""fibroblast"", ""peripheral blood mononuclear cell""]","[""endothelial cell"", ""fibroblast""]"
PXD003408,abstract_only,BiologicalAgent,disease_state,"[""inflammation""]","[""normal""]"
PXD003408,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD003408,abstract_only,BiologicalAgent,age,[],[]
PXD003408,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD003408,abstract_only,BiologicalAgent,BMI,[],[]
PXD003408,abstract_only,BiologicalAgent,cell_line,[],[]
PXD003408,abstract_only,BiologicalAgent,sex,[],[]
PXD003408,abstract_only,BiologicalAgent,strain,[],[]
PXD003408,abstract_only,BiologicalAgent,material_type,"[""primary cells""]","[""primary cells""]"
PXD003408,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD003408,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD003416,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD003416,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""skin""]"
PXD003416,abstract_only,BiologicalAgent,cell_type,"[""endothelial cell"", ""fibroblast""]","[""endothelial cell"", ""fibroblast""]"
PXD003416,abstract_only,BiologicalAgent,disease_state,"[""inflammation""]","[""inflammation""]"
PXD003416,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD003416,abstract_only,BiologicalAgent,age,[],[]
PXD003416,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD003416,abstract_only,BiologicalAgent,BMI,[],[]
PXD003416,abstract_only,BiologicalAgent,cell_line,[],[]
PXD003416,abstract_only,BiologicalAgent,sex,[],[]
PXD003416,abstract_only,BiologicalAgent,strain,[],[]
PXD003416,abstract_only,BiologicalAgent,material_type,"[""primary cells""]","[""cell line"", ""primary cells""]"
PXD003416,abstract_only,BiologicalAgent,developmental_stage,[],"[""adult""]"
PXD003416,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD003594,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD003594,with_methods,BiologicalAgent,tissue,"[""breast""]","[""breast""]"
PXD003594,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]"
PXD003594,with_methods,BiologicalAgent,disease_state,"[""breast carcinoma""]","[""breast cancer""]"
PXD003594,with_methods,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD003594,with_methods,BiologicalAgent,age,[],[]
PXD003594,with_methods,BiologicalAgent,anatomic_site_tumor,[],[]
PXD003594,with_methods,BiologicalAgent,BMI,[],[]
PXD003594,with_methods,BiologicalAgent,cell_line,"[""mcf7""]","[""mcf7""]"
PXD003594,with_methods,BiologicalAgent,sex,[],[]
PXD003594,with_methods,BiologicalAgent,strain,[],[]
PXD003594,with_methods,BiologicalAgent,material_type,"[""cell line""]","[""cell line""]"
PXD003594,with_methods,BiologicalAgent,developmental_stage,[],[]
PXD003594,with_methods,BiologicalAgent,ethnicity,[],[]
PXD003971,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD003971,abstract_only,BiologicalAgent,tissue,[],"[""skin""]"
PXD003971,abstract_only,BiologicalAgent,cell_type,"[""fibroblasts"", ""mesenchymal stem cells""]","[""fibroblast"", ""human mesenchymal stem cells""]"
PXD003971,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""chronic inflammation""]"
PXD003971,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD003971,abstract_only,BiologicalAgent,age,[],[]
PXD003971,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD003971,abstract_only,BiologicalAgent,BMI,[],[]
PXD003971,abstract_only,BiologicalAgent,cell_line,[],[]
PXD003971,abstract_only,BiologicalAgent,sex,[],[]
PXD003971,abstract_only,BiologicalAgent,strain,[],[]
PXD003971,abstract_only,BiologicalAgent,material_type,"[""cell line""]","[""cell line""]"
PXD003971,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD003971,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD004334,with_methods,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD004334,with_methods,BiologicalAgent,tissue,"[""eye""]",[]
PXD004334,with_methods,BiologicalAgent,cell_type,"[""retinal pigment epithelial cells""]","[""epithelial cell""]"
PXD004334,with_methods,BiologicalAgent,disease_state,"[""normal""]","[""disease free""]"
PXD004334,with_methods,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD004334,with_methods,BiologicalAgent,age,[],[]
PXD004334,with_methods,BiologicalAgent,anatomic_site_tumor,[],[]
PXD004334,with_methods,BiologicalAgent,BMI,[],[]
PXD004334,with_methods,BiologicalAgent,cell_line,"[""kdm3anull"", ""rpe1wt"", ""rpe1wtcr""]",[]
PXD004334,with_methods,BiologicalAgent,sex,[],[]
PXD004334,with_methods,BiologicalAgent,strain,[],[]
PXD004334,with_methods,BiologicalAgent,material_type,"[""cell line""]","[""cell culture""]"
PXD004334,with_methods,BiologicalAgent,developmental_stage,[],[]
PXD004334,with_methods,BiologicalAgent,ethnicity,[],[]
PXD004626,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD004626,abstract_only,BiologicalAgent,tissue,"[""melanoma""]","[""blood""]"
PXD004626,abstract_only,BiologicalAgent,cell_type,[],[]
PXD004626,abstract_only,BiologicalAgent,disease_state,"[""cachexia"", ""metastatic melanoma""]","[""cachexia"", ""metastatic melanoma""]"
PXD004626,abstract_only,BiologicalAgent,sample_source,"[""patients""]","[""healthy volunteers"", ""melanoma patients""]"
PXD004626,abstract_only,BiologicalAgent,age,[],[]
PXD004626,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD004626,abstract_only,BiologicalAgent,BMI,[],[]
PXD004626,abstract_only,BiologicalAgent,cell_line,[],[]
PXD004626,abstract_only,BiologicalAgent,sex,[],[]
PXD004626,abstract_only,BiologicalAgent,strain,[],[]
PXD004626,abstract_only,BiologicalAgent,material_type,[],"[""biofluid""]"
PXD004626,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD004626,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD005045,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD005045,abstract_only,BiologicalAgent,tissue,"[""placenta""]","[""placenta""]"
PXD005045,abstract_only,BiologicalAgent,cell_type,"[""trophoblast""]","[""extravillous trophoblasts"", ""trophoblastic cell"", ""villous trophoblasts""]"
PXD005045,abstract_only,BiologicalAgent,disease_state,"[""normal""]","[""normal""]"
PXD005045,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD005045,abstract_only,BiologicalAgent,age,[],[]
PXD005045,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD005045,abstract_only,BiologicalAgent,BMI,[],[]
PXD005045,abstract_only,BiologicalAgent,cell_line,"[""bewo"", ""htr8/svneo""]","[""bewo"", ""htr8/svneo""]"
PXD005045,abstract_only,BiologicalAgent,sex,[],[]
PXD005045,abstract_only,BiologicalAgent,strain,[],[]
PXD005045,abstract_only,BiologicalAgent,material_type,"[""cell line""]","[""cell line""]"
PXD005045,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD005045,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD005301,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD005301,abstract_only,BiologicalAgent,tissue,"[""skin""]","[""skin""]"
PXD005301,abstract_only,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epidermoid carcinoma cell"", ""squamous epithelial cell""]"
PXD005301,abstract_only,BiologicalAgent,disease_state,"[""squamous cell carcinoma""]","[""skin squamous cell carcinoma""]"
PXD005301,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD005301,abstract_only,BiologicalAgent,age,[],[]
PXD005301,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD005301,abstract_only,BiologicalAgent,BMI,[],[]
PXD005301,abstract_only,BiologicalAgent,cell_line,"[""a431""]","[""a431""]"
PXD005301,abstract_only,BiologicalAgent,sex,[],[]
PXD005301,abstract_only,BiologicalAgent,strain,[],[]
PXD005301,abstract_only,BiologicalAgent,material_type,"[""cell line""]","[""cell line""]"
PXD005301,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD005301,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD005544,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD005544,abstract_only,BiologicalAgent,tissue,"[""breast""]","[""breast""]"
PXD005544,abstract_only,BiologicalAgent,cell_type,"[""tumor-infiltrating lymphocytes""]",[]
PXD005544,abstract_only,BiologicalAgent,disease_state,"[""triple-negative breast cancer""]","[""breast cancer""]"
PXD005544,abstract_only,BiologicalAgent,sample_source,"[""primary tnbc tumors""]","[""tumor biopsy""]"
PXD005544,abstract_only,BiologicalAgent,age,"[""10 y follow-up""]",[]
PXD005544,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD005544,abstract_only,BiologicalAgent,BMI,[],[]
PXD005544,abstract_only,BiologicalAgent,cell_line,[],[]
PXD005544,abstract_only,BiologicalAgent,sex,[],[]
PXD005544,abstract_only,BiologicalAgent,strain,[],[]
PXD005544,abstract_only,BiologicalAgent,material_type,"[""formalin-fixed paraffin-embedded primary tnbc tumors""]","[""tissue""]"
PXD005544,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD005544,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD005753,with_methods,BiologicalAgent,species,"[""homo sapiens"", ""mus musculus""]","[""homo sapiens"", ""mus musculus""]"
PXD005753,with_methods,BiologicalAgent,tissue,"[""brain""]","[""brain""]"
PXD005753,with_methods,BiologicalAgent,cell_type,"[""neurons""]",[]
PXD005753,with_methods,BiologicalAgent,disease_state,"[""huntington's disease"", ""normal""]","[""huntington disease"", ""huntington's disease (hd)""]"
PXD005753,with_methods,BiologicalAgent,sample_source,"[""human brain"", ""mouse brain""]","[""human superior frontal gyrus"", ""mouse brain""]"
PXD005753,with_methods,BiologicalAgent,age,"[""6 months""]","[""6 months of age""]"
PXD005753,with_methods,BiologicalAgent,anatomic_site_tumor,[],[]
PXD005753,with_methods,BiologicalAgent,BMI,[],[]
PXD005753,with_methods,BiologicalAgent,cell_line,[],[]
PXD005753,with_methods,BiologicalAgent,sex,[],[]
PXD005753,with_methods,BiologicalAgent,strain,"[""ki q175""]","[""ki q175"", ""wt""]"
PXD005753,with_methods,BiologicalAgent,material_type,"[""tissue""]","[""tissue""]"
PXD005753,with_methods,BiologicalAgent,developmental_stage,"[""adult"", ""embryonic""]",[]
PXD005753,with_methods,BiologicalAgent,ethnicity,[],[]
PXD006114,with_methods,BiologicalAgent,species,"[""mus musculus""]","[""homo sapiens""]"
PXD006114,with_methods,BiologicalAgent,tissue,"[""lung""]","[""lung"", ""tumor""]"
PXD006114,with_methods,BiologicalAgent,cell_type,"[""epithelial cell""]","[""epithelial cell""]"
PXD006114,with_methods,BiologicalAgent,disease_state,"[""non-small cell lung cancer""]","[""drug resistance"", ""nsclc""]"
PXD006114,with_methods,BiologicalAgent,sample_source,"[""cell culture"", ""tumor xenograft""]","[""cell culture""]"
PXD006114,with_methods,BiologicalAgent,age,"[""4-6 weeks old and 6-8 weeks old""]",[]
PXD006114,with_methods,BiologicalAgent,anatomic_site_tumor,[],[]
PXD006114,with_methods,BiologicalAgent,BMI,[],[]
PXD006114,with_methods,BiologicalAgent,cell_line,"[""h1975"", ""h1975-hgf"", ""hcc827"", ""hcc827-er1""]","[""h1975"", ""hcc827""]"
PXD006114,with_methods,BiologicalAgent,sex,"[""female""]","[""female""]"
PXD006114,with_methods,BiologicalAgent,strain,"[""balb/c nude"", ""cd1 nu/nu""]","[""balb/c nude"", ""cd1 nu/nu""]"
PXD006114,with_methods,BiologicalAgent,material_type,"[""cell line"", ""tumor tissue""]","[""cell culture""]"
PXD006114,with_methods,BiologicalAgent,developmental_stage,[],[]
PXD006114,with_methods,BiologicalAgent,ethnicity,[],[]
PXD006299,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD006299,abstract_only,BiologicalAgent,tissue,[],"[""blood"", ""cervix""]"
PXD006299,abstract_only,BiologicalAgent,cell_type,"[""cell line""]","[""epithelial cell"", ""t cell""]"
PXD006299,abstract_only,BiologicalAgent,disease_state,[],"[""cervical carcinoma"", ""t-cell lymphoma""]"
PXD006299,abstract_only,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD006299,abstract_only,BiologicalAgent,age,[],[]
PXD006299,abstract_only,BiologicalAgent,anatomic_site_tumor,[],[]
PXD006299,abstract_only,BiologicalAgent,BMI,[],[]
PXD006299,abstract_only,BiologicalAgent,cell_line,[],"[""hep-2"", ""jurkat""]"
PXD006299,abstract_only,BiologicalAgent,sex,[],[]
PXD006299,abstract_only,BiologicalAgent,strain,[],[]
PXD006299,abstract_only,BiologicalAgent,material_type,"[""cell line""]","[""cell line""]"
PXD006299,abstract_only,BiologicalAgent,developmental_stage,[],[]
PXD006299,abstract_only,BiologicalAgent,ethnicity,[],[]
PXD006447,with_methods,BiologicalAgent,species,"[""homo sapiens"", ""saccharomyces cerevisiae""]","[""homo sapiens"", ""saccharomyces cerevisiae""]"
PXD006447,with_methods,BiologicalAgent,tissue,[],[]
PXD006447,with_methods,BiologicalAgent,cell_type,[],"[""yeast""]"
PXD006447,with_methods,BiologicalAgent,disease_state,"[""normal""]",[]
PXD006447,with_methods,BiologicalAgent,sample_source,"[""cell culture""]","[""cell culture""]"
PXD006447,with_methods,BiologicalAgent,age,[],[]
PXD006447,with_methods,BiologicalAgent,anatomic_site_tumor,[],[]
PXD006447,with_methods,BiologicalAgent,BMI,[],[]
PXD006447,with_methods,BiologicalAgent,cell_line,[],[]
PXD006447,with_methods,BiologicalAgent,sex,[],[]
PXD006447,with_methods,BiologicalAgent,strain,"[""edc3""]","[""edc3""]"
PXD006447,with_methods,BiologicalAgent,material_type,"[""cell culture""]","[""cell culture""]"
PXD006447,with_methods,BiologicalAgent,developmental_stage,[],[]
PXD006447,with_methods,BiologicalAgent,ethnicity,[],[]
PXD006571,abstract_only,BiologicalAgent,species,"[""homo sapiens""]","[""homo sapiens""]"
PXD006571,abstract_only,BiologicalAgent,tissue,"[""blood""]","[""blood""]"
PXD006571,abstract_only,BiologicalAgent,cell_type,"[""b cell""]","[""b cell""]"
PXD006571,abstract_only,BiologicalAgent,disease_state,"[""b cell chronic lymphocytic leukemia"", ""normal""]","[""chronic lymphocytic leukemia""]"
PXD006571,abstract_only,BiologicalAgent,sample_source,"[""cell culture"", ""healthy donors"", ""patient b-cll cells""]","[""cell culture"", ""healthy donors""]"
PXD006571,abstract_only,BiologicalAgent,age,"[""elderly"", ""young""]",[]
