source_file	source_shard	age	cell_line	cell_type	developmental_stage	disease_state	material_type	sample_source	sex	species	tissue	biological_confidence_overall	biological_confidence_evidence_score	biological_confidence_completeness	biological_confidence_format_score	biological_replicate	experimental_design	factor_value	number_of_biological_replicates	number_of_fractions	number_of_samples	number_of_technical_replicates	technical_replicate	technology_type	experimental_design_confidence_overall	experimental_design_confidence_evidence_score	experimental_design_confidence_completeness	experimental_design_confidence_format_score	acquisition_method	alkylation_concentration	alkylation_reagent	cleavage_agent	collision_energy	enrichment_method	fractionation_method	fragmentation_method	instrument	ionization_type	labeling	mass_analyzer	ptm	reduction_concentration	reduction_reagent	technical_confidence_overall	technical_confidence_evidence_score	technical_confidence_completeness	technical_confidence_format_score
PXD003293	shard_0	unknown	unknown	['epithelial cell', 'small airway epithelial cells', 'mesenchymal hSAECs', 'normal hSAECs', 'TGFβ induced mesenchymal hSAECs', 'normal hSAECs treated with TNFα for 1 h', 'mesenchymal hSAECs treated with TNFα for 1 h']	unknown	['normal', 'epithelial mesenchymal transition']	['cell line', 'primary cells']	['cell culture', 'primary small airway epithelial cells']	unknown	['Homo sapiens', 'Homo sapiens']	lung	0.892	0.917	0.667	1.0	2	['treated vs control', 'time course']	['TNFα', 'TGFβ']	2	60	8	unknown	unknown	Shotgun proteomics	0.886	0.845	0.818	1.0	DDA	30 mM	iodoacetamine	['Lys-C/Trypsin', 'Trypsin']	30%	IMAC	SCX	higher-energy collisional dissociation	['Q Exactive', 'Q Exactive Orbitrap']	ESI	iTRAQ	Orbitrap	unknown	10 mM	DTT	0.947	0.918	0.941	1.0
PXD003408	shard_0	unknown	unknown	['endothelial cell', 'fibroblast']	unknown	normal	primary cells	cell culture	unknown	Homo sapiens	umbilical vein	0.85	0.913	0.467	1.0	7	treated vs control	interleukin 1-β stimulation	7	3	21	2	2	bottom-up proteomics	0.844	0.689	1.0	1.0	DDA	unknown	IAA	trypsin	30% normalized collision energy	unknown	unknown	HCD	Q Exactive	nanospray ion source	label-free	orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl', 'L-histidine residue', 'residues isobaric at 128.058578 Da', 'L-tyrosine residue']	unknown	DTT	0.94	0.96	0.8	1.0
PXD003416	shard_0	unknown	unknown	['fibroblast', 'endothelial cell', 'fibroblast']	['adult', 'adult']	inflammation	['primary cells', 'cell line']	cell culture	unknown	Homo sapiens	Skin	0.836	0.828	0.611	1.0	3	treated vs control	inflammatory activated	3	3	9	2	2	Shotgun proteomics	0.911	0.822	1.0	1.0	data-dependent	10mg/ml	IAA	trypsin	30%	unknown	unknown	HCD	QExactive	nanospray	label-free	orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl', 'carbamidomethylation', 'oxidation', 'acetylation']	5mg/ml	DTT	0.98	1.0	0.9	1.0
PXD003594	shard_0	unknown	MCF7	epithelial cell	unknown	breast cancer	cell line	cell culture	unknown	Homo sapiens	breast	0.882	0.964	0.5	1.0	4	treated vs control	['drug treatment', 'resistance']	4	unknown	16	2	2	Shotgun proteomics	0.88	0.8	0.9	1.0	unknown	10 mM	Iodoacetamide	trypsin	unknown	TiO2	unknown	unknown	['LTQ Orbitrap', 'Q Exactive', 'LTQ-Orbitrap XL', 'Orbitrap Q Exactive Plus']	unknown	label-free	['Orbitrap', 'Orbitrap']	['monohydroxylated residue', 'phosphorylated residue', 'deaminated residue', 'iodoacetamide derivatized residue', 'Phosphorylation on Ser, Thr, and Tyr', 'PyroGlu on N-terminal Gln', 'oxidation of Met', 'carbamidomethyl Cys']	10 mM	DTT	0.956	0.988	0.808	1.0
PXD003971	shard_0	unknown	unknown	['Fibroblast', 'human mesenchymal stem cells']	unknown	Chronic inflammation	cell line	cell culture	unknown	Homo sapiens	Skin	0.86	0.933	0.467	1.0	3	treated vs control	inflammatory stimulation and dexamethasone treatment	3	unknown	3	2	2	Shotgun proteomics	0.872	0.789	0.889	1.0	['DDA', 'Shotgun proteomics']	10mg/ml	IAA	trypsin	30% normalized collision energy	unknown	unknown	HCD	['Q Exactive', 'QExactive orbitrap mass spectrometer']	nanospray ion source	label-free	Orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl', 'carbamidomethylation', 'methionine oxidation', 'N-terminal protein acetylation']	5mg/ml	DTT	0.961	0.959	0.909	1.0
PXD004334	shard_0	unknown	unknown	epithelial cell	unknown	Disease free	cell culture	cell culture	unknown	Homo sapiens	unknown	0.836	0.929	0.357	1.0	2	treated vs control	KDM3A null vs wild-type	2	unknown	6	2	2	['shotgun proteomics', 'affinity purification coupled with mass spectrometry proteomics']	0.895	0.83	0.9	1.0	Shotgun proteomics	unknown	unknown	trypsin	unknown	['affinity', 'antibody']	unknown	unknown	Q Exactive	unknown	Peptide counting	Orbitrap	['acetylation', 'methylation', 'carbamylation C', 'M oxidation']	unknown	unknown	0.882	0.932	0.579	1.0
PXD004626	shard_0	unknown	unknown	unknown	unknown	['metastatic melanoma', 'cachexia']	biofluid	['healthy volunteers', 'melanoma patients']	unknown	Homo sapiens	blood	0.853	0.931	0.438	1.0	unknown	cross-sectional	metastatic melanoma vs healthy	unknown	unknown	unknown	unknown	unknown	shotgun proteomics	0.811	0.889	0.333	1.0	DDA	54mM	2-iodoacetamide	['Trypsin', 'Lys-C']	unknown	unknown	unknown	unknown	Q Exactive	nanoESI	label-free	Orbitrap	['residues isobaric at 128.058578 Da', 'Carbamidomethyl', 'Oxidation', 'Acetyl']	32mM	dithiothreitol	0.897	0.879	0.789	1.0
PXD005045	shard_0	unknown	['BeWo', 'HTR8/SVneo']	['trophoblastic cell', 'villous trophoblasts', 'extravillous trophoblasts']	unknown	normal	cell line	cell culture	unknown	Homo sapiens	placenta	0.891	0.947	0.588	1.0	3	case vs control	BeWo vs HTR8/SVneo	6	unknown	6	3	3	['Shotgun proteomics', 'label-free quantitative MS']	0.9	0.84	0.9	1.0	Shotgun proteomics	15 mM	iodoacetamide	['Lys-C', 'trypsin']	unknown	unknown	unknown	unknown	Q Exactive	unknown	label-free	Orbitrap	No PTMs are included in the dataset	5 mM	DTT	0.922	0.969	0.688	1.0
PXD005301	shard_0	unknown	A431	['squamous epithelial cell', 'epidermoid carcinoma cell']	unknown	skin squamous cell carcinoma	cell line	cell culture	unknown	Homo sapiens	skin	0.853	0.893	0.533	1.0	unknown	treated vs control	wild type, phosphodead, phosphomimetic mutants	unknown	unknown	6	unknown	unknown	Shotgun proteomics	0.833	0.889	0.444	1.0	Data dependent acquisition	10mM	iodoacetamide	trypsin	32%	unknown	unknown	HCD	['LTQ Orbitrap Elite', 'LTQ Orbitrap Velos', 'Q Exactive', 'Orbitrap Fusion']	unknown	TMT	Orbitrap	['TMT6plex-126 reporter+balance reagent acylated residue', 'phosphorylated residue', 'carbamidomethylation', 'oxidation of methionine', 'phosphorylation at serine, threonine and tyrosine (+79.966 Da)']	5mM	DTT	0.973	1.0	0.864	1.0
PXD005544	shard_0	unknown	unknown	unknown	unknown	Breast cancer	tissue	tumor biopsy	unknown	Homo sapiens	breast	0.832	0.921	0.357	1.0	unknown	case vs control	recurrence vs recurrence-free	unknown	7	34	2	2	shotgun proteomics	0.894	0.878	0.778	1.0	Shotgun proteomics	unknown	iodoacetamide derivatized residue	trypsin	30	unknown	HILIC	normalized collision energy (NCE)	Q Exactive	ESI	TMT	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue', 'deamidated residue']	unknown	unknown	0.935	0.965	0.765	1.0
PXD005753	shard_0	['6 months of age', 'unknown']	['unknown', 'unknown']	['unknown', 'unknown']	['unknown', 'unknown']	"['Huntington disease', ""Huntington's disease (HD)""]"	['tissue', 'unknown']	['mouse brain', 'human superior frontal gyrus']	['unknown', 'unknown']	['Homo sapiens', 'Mus musculus']	brain	0.865	0.967	0.407	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	shotgun proteomics	0.822	1.0	0.111	1.0	['Shotgun proteomics', 'DDA']	unknown	unknown	['trypsin', 'chymotrypsin', 'Lys C']	unknown	titanium dioxide (TiO2)	basic reverse phase (bRP) liquid chromatography	unknown	['Q-Exactive Orbitrap mass spectrometer', 'Q Exactive']	ESI	TMT	Orbitrap	['methionine oxidation', 'asparagine deamidation', 'glutamine deamidation', 'serine phosphorylation', 'threonine phosphorylation', 'tyrosin phosphorylation', 'lysine acetylation', 'cysteine methylthiomethane']	unknown	unknown	0.894	0.881	0.769	1.0
PXD006114	shard_0	unknown	['H1975', 'HCC827']	Epithelial cell	unknown	['NSCLC', 'drug resistance']	cell culture	cell culture	female	Homo sapiens	['lung', 'tumor']	0.931	0.972	0.722	1.0	unknown	unknown	unknown	5	unknown	unknown	unknown	unknown	['Shotgun proteomics', 'TMT6plex-126 reporter+balance reagent acylated residue']	0.86	1.0	0.3	1.0	DDA	50 mM	iodoacetamide	trypsin	['32%', '75%', '35%']	['IMAC', 'antibody']	unknown	['HCD', 'CID']	['Q Exactive', 'LTQ Orbitrap XL']	ESI	['TMT', 'TMT-6-plex', 'TMT-10-plex']	['Orbitrap', 'Ion Trap']	['carbamidomethylation', 'oxidation', 'phosphorylation', 'iodoacetamide derivatized residue', 'phosphorylated residue', 'monohydroxylated residue']	10 mM	DTT	0.939	0.893	0.964	1.0
PXD006299	shard_0	unknown	['Jurkat', 'Hep-2']	['T cell', 'epithelial cell']	unknown	['T-cell lymphoma', 'cervical carcinoma']	cell line	cell culture	unknown	Homo sapiens	['blood', 'cervix']	0.825	0.806	0.611	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.822	1.0	0.111	1.0	Shotgun proteomics	11mM	Chloroacetamide	['LysC', 'trypsin']	unknown	immunoprecipitation	['high pH fractionation(HpH)', 'increasing concentration of acetonitrile into 4 fractions', 'offline high pH (HpH) reversed-phase chromatography']	unknown	Q Exactive HF	unknown	label-free	Orbitrap	['monohydroxylated residue', 'phosphorylated residue', 'acetylated residue', 'ubiquitination signature dipeptidyl lysine', 'Cysteine carbamidomethylation', 'Protein N-terminal acetylation', 'pyroglutamate formation from glutamine', 'ubiquitylation of lysines and N-termini', 'deamidation of asparagine and glutamine', 'oxidation of methionine', 'phosphorylation of serine, threonine and tyrosine residues', 'conjugation of ISG15 (ISGylation)', 'Nedd8 to lysine residues']	2 mM	DTT	0.972	0.983	0.9	1.0
PXD006447	shard_0	unknown	unknown	yeast	unknown	unknown	cell culture	cell culture	unknown	['Saccharomyces cerevisiae', 'Homo sapiens']	unknown	0.843	0.927	0.4	1.0	unknown	['dose response', 'treated vs control']	['UPS1 concentrations', 'concentrations of 0, 0.25, 0.74, 2.2, 3.3, 6.6, and 20 fmol/ul']	1	unknown	84	12	12	Shotgun proteomics	0.891	0.855	0.818	1.0	DDA	7.5 mM	iodoacetamide	trypsin	30	unknown	unknown	HCD	Q Exactive HF	nanoESI	label-free	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue', 'oxidation', 'carbamidomethylation']	5 mM	DTT	0.867	0.778	0.889	1.0
PXD006571	shard_0	unknown	JVM-13	B cell	unknown	chronic lymphocytic leukemia	['tissue', 'cell line']	['cell culture', 'healthy donors']	unknown	Homo sapiens	blood	0.863	0.9	0.562	1.0	['unknown', 'unknown']	['unknown', 'unknown']	['unknown', 'unknown']	['unknown', 'unknown']	['unknown', 'unknown']	['unknown', 'unknown']	['unknown', 'unknown']	['unknown', 'unknown']	['Shotgun proteomics', 'Shotgun proteomics']	0.822	1.0	0.111	1.0	DDA	10mg/ml	IAA	Trypsin/Lys-C Mix	30% normalized collision energy	unknown	unknown	HCD	Q Exactive	nanospray ion source	label-free	Orbitrap	['residues isobaric at 128.058578 Da', 'Carbamidomethyl', 'Oxidation', 'Acetyl']	5mg/ml	DTT	0.939	0.922	0.889	1.0
PXD006607	shard_0	unknown	unknown	brain cell	unknown	Childhood medulloblastoma	tissue	tumor samples	unknown	Homo sapiens	Brain	0.864	0.929	0.5	1.0	unknown	treated vs control	unknown	unknown	57	unknown	unknown	unknown	Shotgun proteomics	0.839	0.944	0.333	1.0	unknown	10 mM	iodoacetamide	Trypsin-LysC	unknown	TiO2	FPLC	unknown	Orbitrap Fusion	unknown	SILAC	Orbitrap	['phosphorylated residue', 'carbamidomethyl cysteine', 'oxidation of methionine', 'N-terminal acetylation']	5mM	dithiothreitol	0.953	0.994	0.778	1.0
PXD006770	shard_0	unknown	unknown	['Epithelial cell', 'epithelial cells']	unknown	['Chronic obstructive pulmonary disease', 'cystic fibrosis']	['biofluid', 'tissue']	['mice BALF', 'mucus plugs', 'epithelial cells', 'human BALF']	unknown	['Homo sapiens', 'Mus musculus']	['Lung', 'airways']	0.877	0.9	0.636	1.0	unknown	case vs control	COPD vs elastase model	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.811	0.889	0.333	1.0	['DDA', 'Shotgun proteomics', 'targeted']	unknown	iodoacetamide	['LysC', 'trypsin']	unknown	unknown	unknown	HCD	Q Exactive	nanoESI	['Label free', 'Stable isotope ratio']	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue', 'Carbamidomethylation of cysteine', 'methionine oxidation', 'protein N-terminal acetylation']	0.1 M	DTT	0.917	0.904	0.826	1.0
PXD006897	shard_0	unknown	unknown	['proximal tubule', 'podocyte', 'glomerular cell']	unknown	['proteinuric kidney disease', 'proteinuric kidney disease']	['tissue', 'tissue']	['mouse tissue', 'patient tissue']	unknown	['Homo sapiens', 'Mus musculus']	['Kidney', 'Kidney', 'kidney']	0.834	0.814	0.636	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.822	1.0	0.111	1.0	unknown	unknown	unknown	trypsin	unknown	unknown	unknown	unknown	Q Exactive	nanoESI	label-free	Orbitrap	unknown	unknown	unknown	0.78	0.827	0.333	1.0
PXD007149	shard_0	unknown	unknown	Epithelial cell	unknown	unknown	cell culture	cell culture	unknown	Homo sapiens	unknown	0.821	0.929	0.286	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.822	1.0	0.111	1.0	unknown	32 mM	iodoacetamide	trypsin	unknown	streptavidin sepharose	SCX	unknown	Q Exactive	unknown	label-free	Orbitrap	['Carbamidomethyl', 'Oxidation', 'Methionine oxidation', 'iodoacetamide alkylation', 'Light Schiff-base adduct', 'Heavy Schiff-base adduct', 'Light ketoamide adduct', 'Heavy ketoamide adduct', 'Light Michael adduct', 'Heavy Michael adduct', 'Light pyrrole adduct', 'Heavy pyrrole adduct']	8 mM	dithiothreitol	0.95	0.962	0.846	1.0
PXD007270	shard_0	unknown	['H9 (WA09)', 'H1 (WA01)', 'HUES6', 'HUES9', 'hFIB2-iPS4']	['embryonic stem cell', 'induced pluripotent stem cell', 'stem cell']	unknown	normal	cell line	cell culture	unknown	Homo sapiens	Embryo	0.885	0.91	0.65	1.0	unknown	treated vs control	CSDE1 KD vs control	unknown	unknown	unknown	unknown	unknown	shotgun proteomics	0.811	0.889	0.333	1.0	DIA	5 mM	iodoacetamide (IAA)	trypsin	normalized collision energy of 25	unknown	unknown	HCD	Q Exactive	nano-spray electroionization source	label-free	Orbitrap	No PTMs are included in the dataset	1 mM	DTT	0.937	0.927	0.867	1.0
PXD007643	shard_0	unknown	unknown	['blood plasma', 'E. coli cells']	unknown	normal	['biofluid', 'cell culture']	['human plasma', 'E. coli cells']	unknown	['Homo sapiens', 'Escherichia coli']	blood	0.819	0.794	0.611	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	shotgun proteomics	0.822	1.0	0.111	1.0	SRM	16 mM of final concentration	iodoacetamide	trypsin	unknown	unknown	reverse-phase liquid chromatography under alkaline conditions	unknown	Q Exactive	nanoESI	stable isotope-labeled standards	Orbitrap	['Carbamidomethyl', 'Gln->pyro-Glu', 'Oxidation']	10 mM dithiothreitol	dithiothreitol	0.935	0.941	0.824	1.0
PXD007738	shard_0	unknown	['H9 (WA09)', 'H1 (WA01)', 'HUES6', 'HUES9', 'hFIB2-iPS4', 'E14']	['embryonic stem cell', 'neuronal progenitor cell', 'neuron']	embryonic	normal	cell line	cell culture	unknown	Homo sapiens	unknown	0.898	0.929	0.667	1.0	unknown	treated vs control	unknown	unknown	unknown	unknown	unknown	unknown	['shotgun proteomics', 'label-free quantitative proteomics', 'tandem mass tag (TMT) proteomics']	0.836	0.927	0.364	1.0	['DDA', 'Shotgun proteomics']	5 mM iodoacetamide (IAA), 45 min	iodoacetamide (IAA)	trypsin	25	unknown	MudPIT	HCD	['Thermo LTQ-Orbitrap Elite', 'quadrupole based QExactive instrument', 'LTQ Orbitrap Elite']	['ESI', 'nanoESI']	['TMT', 'label-free']	['Orbitrap', 'Orbitrap']	No PTMs are included in the dataset	1 mM DTT	DTT	0.902	0.824	0.952	1.0
PXD007842	shard_0	unknown	unknown	unknown	unknown	Trypanosomiasis	biofluid	['patient serum', 'patient cerebrospinal fluid', 'patient urine', 'patient saliva', 'uninfected controls']	unknown	['Homo sapiens', 'Trypanosoma brucei']	unknown	0.787	0.784	0.474	1.0	unknown	treated vs control	disease stage	10	unknown	40	3	3	Shotgun proteomics	0.817	0.722	0.778	1.0	Shotgun proteomics	55 mM	iodoacetamide	['endopeptidase lys-C', 'trypsin']	30%	unknown	unknown	HCD	['Q Exactive', 'Q-Exactive Plus']	easy spray ion source	TIC	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue']	10 mM	dithiothreitol	0.975	0.994	0.889	1.0
PXD007959	shard_0	<18 years old	unknown	mucosal epithelial cells	pediatric	"['inflammatory bowel disease', 'normal', ""Crohn's disease"", 'ulcerative colitis']"	biofluid	colon aspirate	unknown	Homo sapiens	Colon	0.832	0.806	0.647	1.0	unknown	case vs control	IBD diagnosis	unknown	unknown	71	unknown	unknown	Shotgun proteomics	0.789	0.8	0.444	1.0	['data-dependent MS/MS', 'Shotgun proteomics']	20 mM iodoacetamide	iodoacetamide	trypsin	unknown	unknown	unknown	unknown	['Q Exactive', 'Q Exactive']	ESI	label-free	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue']	10 mM dithiothreitol	dithiothreitol	0.894	0.878	0.778	1.0
PXD008076	shard_0	unknown	unknown	unknown	unknown	Fibromyalgia	biofluid	['CSF from FM patients', 'CSF from non-pain controls']	unknown	Homo sapiens	unknown	0.787	0.84	0.333	1.0	unknown	case vs control	FM vs non-pain controls	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.811	0.889	0.333	1.0	['shotgun proteomics', 'DDA']	unknown	unknown	['trypsin', 'Lys-C']	unknown	depleted of the seven most dominant and abundant proteins (albumin, IgG, alpha-1-antitrypsin, IgA, haptoglobin, transferrin, and fibrinogen) using a human Multiple Affinity Removal Spin Cartridge - Hu-7 (Agilent Technologies, Palo Alto, CA, USA)	unknown	unknown	['LTQ FT', '7 T hybrid LTQ FT mass spectrometer (ThermoFisher Scientific, Bremen, Germany)']	nano-electrospray ionization ion source	label-free	Orbitrap	['Deamidated', 'Carbamidomethyl', 'Oxidation']	unknown	unknown	0.892	0.925	0.65	1.0
PXD008178	shard_0	unknown	HeLa	epithelial cell	unknown	cervical adenocarcinoma	cell line	cell culture	unknown	Homo sapiens	cervix	0.836	0.871	0.5	1.0	HeLa cells	treated vs control	['TRAP siRNA vs control', 'SEC61A1 siRNA vs control']	3	unknown	9	3	unknown	['Shotgun proteomics', 'bottom-up proteomics']	0.841	0.755	0.818	1.0	DDA	40 mM	2-chloroacetamide	['endoproteinase lysC', 'trypsin']	unknown	unknown	SDB-RPS StageTips	HCD	Q Exactive	ESI	label-free	Orbitrap	['carbamidomethylation', 'oxidation', 'acetylation']	20 mM	tris(2-carboxyethyl)phosphine (TCEP)	0.925	0.894	0.889	1.0
PXD008333	shard_0	unknown	unknown	spermatozoa	unknown	idiopathic male infertility	biofluid	patient spermatozoa	male	Homo sapiens	testis	0.843	0.886	0.5	1.0	unknown	case vs control	homozygous rs35033974	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.833	0.933	0.333	1.0	unknown	10 mM	iodoacetamide	['Glu-C', 'trypsin']	unknown	unknown	unknown	unknown	Q Exactive	unknown	label-free	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue', 'deamidated residue', 'carbamidomethylation', 'oxidation', 'acetylation']	5 mM	dithiothreitol (DTT)	0.929	0.971	0.714	1.0
