source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 11	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662+10 µM MINCH exposure	run 11	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWMINCH_6_2_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_2_F1.raw
Sample 12	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662+10 µM MINCH exposure	run 12	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWMINCH_6_2_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_2_F2.raw
Sample 13	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662+10 µM MINCH exposure	run 13	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWMINCH_6_3_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_3_F1.raw
Sample 14	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662+10 µM MINCH exposure	run 14	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWMINCH_6_3_F.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_3_F.raw
Sample 15	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662+10 µM MINCH exposure	run 15	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWMINCH_6_4_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_4_F1.raw
Sample 16	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662+10 µM MINCH exposure	run 16	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWMINCH_6_4_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWMINCH_6_4_F2.raw
Sample 17	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662+rosiglitazone exposure	run 17	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWrosi_5_1_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_1_F1.raw
Sample 18	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, GW9662+rosiglitazone exposure	run 18	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWrosi_5_1_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_1_F2.raw
Sample 19	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662+rosiglitazone exposure	run 19	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWrosi_5_2_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_2_F1.raw
Sample 20	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, GW9662+rosiglitazone exposure	run 20	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWrosi_5_2_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_2_F2.raw
Sample 21	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662+rosiglitazone exposure	run 21	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWrosi_5_3_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_3_F1.raw
Sample 22	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, GW9662+rosiglitazone exposure	run 22	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWrosi_5_3_F.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_3_F.raw
Sample 23	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662+rosiglitazone exposure	run 23	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWrosi_5_4_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_4_F1.raw
Sample 24	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, GW9662+rosiglitazone exposure	run 24	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_GWrosi_5_4_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_GWrosi_5_4_F2.raw
Sample 25	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, 10 µM MINCH exposure	run 25	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_MINCH_3_1_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_1_F1.raw
Sample 26	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, 10 µM MINCH exposure	run 26	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_MINCH_3_1_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_1_F2.raw
Sample 27	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, 10 µM MINCH exposure	run 27	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_MINCH_3_2_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_2_F1.raw
Sample 28	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, 10 µM MINCH exposure	run 28	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_MINCH_3_2_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_2_F2.raw
Sample 29	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, 10 µM MINCH exposure	run 29	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_MINCH_3_3_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_3_F1.raw
Sample 30	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, 10 µM MINCH exposure	run 30	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_MINCH_3_3_F.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_3_F.raw
Sample 31	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, 10 µM MINCH exposure	run 31	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_MINCH_3_4_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_4_F1.raw
Sample 32	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, 10 µM MINCH exposure	run 32	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_MINCH_3_4_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_MINCH_3_4_F2.raw
Sample 33	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, preadipocytes	run 33	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_preadipo_1_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_preadipo_1_F1.raw
Sample 34	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, preadipocytes	run 34	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_preadipo_1_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_preadipo_1_F2.raw
