agent,pxd_id,field,golden,llm,match_type,score,replicate,model,model_dir,arm,lin
BiologicalAgent,PXD029997,species,Saccharomyces cerevisiae,S. cerevisiae; Escherichia coli Rosetta cells; Xenopus laevis; Hst28-294-H3K9bz (QTARKbzSTGGK); Taf142-137- H3K9bz (Ac-QTARKbzSTGG); Sas52-139-H3K27bz(KQLASKAARKbzSAPSTGGVKY); Sth11248-1359-H3K14bz(TARKSTGGKbzAPRKQLASY),NO_MATCH,0.97401,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD029997,cell_type,yeast,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD029997,cell_line,Saccharomyces cerevisiae BY4742,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD030403,species,Homo sapiens,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD030403,organ,thyroid,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD030403,cell_type,thyroid epithelial cell,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD030403,cell_line,Nthy-ORI,Nthy-ORI,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD030403,disease,normal,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD034195,species,Desulfuromonas acetexigens,Desulfobacterota; Desulfuromonas acetexigens; D. acetexigens,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD034195,cell_line,Desulfuromonas acetexigens,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD036655,species,Mus musculus,mouse,SEMANTIC,0.7748880386352539,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD036832,species,Mus musculus,Escherichia coli; Luria-Bertani broth; E. coli; mice; mouse,NO_MATCH,0.774888,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD036832,organ,Liver; Lungs; Spleen; Plasma,kidneys; liver; lung; spleen; heart; kidney; skin; plasma; leukocytes,SEMANTIC,0.955791,1,Qwen3.8-27B,qwen3_8_27b,S0,0.9998240589651163
BiologicalAgent,PXD036832,disease,"""naive, sepsis""; sepsis",sepsis,SEMANTIC,0.817585,1,Qwen3.8-27B,qwen3_8_27b,S0,0.6666666666666666
BiologicalAgent,PXD040176,species,Diplonema papillatum,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD040176,organ,Mitochondrial mitoribosomes,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD040176,cell_type,Diplonema papillatum,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD040722,species,Mus musculus,mouse; mice; Mus musculus,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD040722,organ,thoracic aorta; brain (cerebrum); gastrocnemius muscle; heart; kidney; liver; lung; abdominal skin,brain; cerebrum; gastrocnemius muscle; heart; kidney; liver; lung; thoracic aorta; muscle,SEMANTIC,0.921004,1,Qwen3.8-27B,qwen3_8_27b,S0,0.9410428873720382
BiologicalAgent,PXD041681,species,homo sapiens,SARS-CoV-2; Homo sapience,NO_MATCH,0.605784,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD042574,species,Homo sapiens,Healthy control and oral squamous cell carcinoma (OSCC) patients with and without lymph node metastasis; healthy control and oral squamous cell carcinoma (OSCC) patients,NO_MATCH,0.395413,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD042574,disease,oral squamous cell carcinoma (OSCC),Mapping Conformational Changes in the Saliva Proteome Potentially Associated with Oral Cancer Aggressiveness; saliva to quantitatively identify diagnostic and prognostic targets for oral cancer; Diverse proteomics-based strategies have been applied to saliva to quantitatively identify diagnostic and prognostic targets for oral cancer; oral squamous cell carcinoma (OSCC),EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD043392,species,Saccharomyces cerevisiae,budding yeast; S. cerevisiae,NO_MATCH,0.97401,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD060381,species,Homo sapiens,Human; MSC derived; patients,NO_MATCH,0.825339,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD060381,cell_type,mesenchymal stem cells,MSCs; MSC; MSC-EVs; mesenchymal stem cell line; IVD experiments; MSC derived EV; IVD cells,HIERARCHICAL,0.9,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD060381,cell_line,ASC52telo,ASC52telo; transduced cell lines,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD060381,disease,degenerative disc disease,Inflammatory Responses; IVD cells; degenerated; disc herniation; DDD,NO_MATCH,0.73755,1,Qwen3.8-27B,qwen3_8_27b,S0,
TechnicalAgent,PXD001856,cleavage_agent,Lys-C; trypsin,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD001856,label,Lys8/Arg10 (heavy); Lys4/Arg6 (medium); Light (unlabeled),,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD002619,instrument,Q Exactive,Q Exactive mass spectrometer,SEMANTIC,0.7192069888114929,1,Qwen3.8-27B,qwen3_8_27b,S0,0.6719005609989158
TechnicalAgent,PXD002619,label,SILAC,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD005982,cleavage_agent,trypsin,trypsin; Trypsin/P,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD005982,label,label-free,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD006847,cleavage_agent,trypsin; Lys-C,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD006847,label,Label-free,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD012439,cleavage_agent,trypsin,Tryptic,SEMANTIC,0.7483850121498108,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD013543,cleavage_agent,trypsin,trypsin,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD013543,label,label-free,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD013809,cleavage_agent,Lys-C; trypsin,trypsin; LysC,SEMANTIC,0.966385,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD013809,label,SILAC,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD014762,cleavage_agent,trypsin,trypsin,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD015272,label,SILAC (light: Lys/Arg; heavy: Lys/Arg),,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD015289,cleavage_agent,trypsin; Lys-C,Trypsin/Lys-C mix,SEMANTIC,0.891432,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD015289,label,label-free,Label-free quantification (LFQ),NO_MATCH,0.6871764659881592,1,Qwen3.8-27B,qwen3_8_27b,S0,0.000315760080068027
TechnicalAgent,PXD018830,instrument,Q Exactive HF-X,TissueLyser LT; Bioanalyzer 2100; NanoDrop ND-1000 spectrophotometer; Caliper HT RNA LabChip; NextSeq 500,NO_MATCH,0.491894,1,Qwen3.8-27B,qwen3_8_27b,S0,0.000315760080068027
TechnicalAgent,PXD018830,label,label free sample,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD019394,instrument,LTQ Orbitrap,LTQ-Orbitrap mass spectrometer; LTQ-Velos-Orbitrap mass spectrometer,NO_MATCH,0.925704,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD019394,label,label free sample,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD021383,cleavage_agent,trypsin,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD022741,instrument,Orbitrap Fusion Lumos,Orbitrap Fusion Lumos mass spectrometer,SEMANTIC,0.9141921997070312,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD022741,label,TMT126; TMT127N; TMT127C; TMT128N; TMT128C; TMT129N; TMT129C; TMT130N; TMT130C; TMT131N; TMT131C,TMT11,SEMANTIC,0.732702374458313,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD026287,instrument,LTQ Orbitrap Velos,confocal microscopy; Fuji-Screen; Bio-Rad Molecular Imager FX; Diagenode Bioruptor 200; LTQ Orbitrap Velos Pro mass spectrometer; LightCycler® 480; Bio-Rad Mini-PROTEAN® TGX™ Precast Gel; Amersham™ Protran® western blotting membrane; Stereo Dissecting Microscope; Illumina; Trimgalore; STAR; SAMtools; m6aViewer; BEDtools; PANTHER; fastqc; Trimmomatic; Bowtie2; HTSeq; R-studio; DESeq2,NO_MATCH,0.940872,1,Qwen3.8-27B,qwen3_8_27b,S0,0.6892382405219826
TechnicalAgent,PXD026287,label,label free sample,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD028781,cleavage_agent,Trypsin; Lys-C,Trypsin/LysC,SEMANTIC,0.966385,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD028781,label,label-free,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD029966,instrument,TripleTOF 6600,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD029966,label,label free sample,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD029997,cleavage_agent,trypsin,ULP1; 3 C protease; trypsin; Trypsin/P,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD030403,instrument,LTQ-Orbitrap,LTQ-Orbitrap,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD030403,label,label free sample,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD032098,instrument,1; 2; 3; 4,Orbitrap Fusion Tribrid mass spectrometer|||Orbitrap Fusion Tribrid mass spectrometer; Biacore X100|||Biacore X100,NO_MATCH,0.34441,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0003382729301403422
TechnicalAgent,PXD032098,label,run 1; run 2; run 3; run 4; run 5; run 6; run 7; run 8,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD034195,cleavage_agent,trypsin,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD036655,cleavage_agent,trypsin,Liberase; Lys-C; trypsin,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD036655,label,TMT10plex,TMT10 plex; TMT6plex,NO_MATCH,0.919298,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD036832,instrument,Q Exactive HF-X,MagnaLyzer; Abacus vet5; Accuri C6 Plus; FACSVerse flow cytometer; VICTOR3 Multilabel Plate Reader; Leica RM2255; Nikon Eclipse 80i; Q Exactive HF-X mass spectrometer; EASY-nLC 1200 ultra-HPLC system,NO_MATCH,0.75193,1,Qwen3.8-27B,qwen3_8_27b,S0,0.6719005609989158
TechnicalAgent,PXD036832,label,label free sample,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD040176,instrument,Orbitrap Fusion,Zeiss Axioscope; TissueLyserII; AH-650 swinging-bucket rotor,NO_MATCH,0.342082,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD040176,label,Label free,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD040722,cleavage_agent,trypsin,trypsin,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD040722,label,TMT16plex,TMT Isobaric,NO_MATCH,0.6617799401283264,1,Qwen3.8-27B,qwen3_8_27b,S0,0.8037566069090535
TechnicalAgent,PXD041681,instrument,Orbitrap Fusion Lumos Tribrid,Architect C8000; Ulti-Mate™ 3000 RSLCnano; Orbitrap Fusion™ Lumos™ Tribrid™,NORMALIZED,0.95,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
TechnicalAgent,PXD041681,label,label free sample,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD042574,cleavage_agent,proteinase K; trypsin,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD043392,cleavage_agent,trypsin,zymolase; MNase,NO_MATCH,0.544001,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
TechnicalAgent,PXD060381,cleavage_agent,trypsin,trypsin; collagenase NB4; dispase II,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD001856,species,human (Homo sapiens),human,SEMANTIC,0.912011981010437,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD002619,species,Homo sapiens,Homo sapiens,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD002619,organ,breast cancer cell,breast,NO_MATCH,0.5746214389801025,1,Qwen3.8-27B,qwen3_8_27b,S1,0.05434852694957474
BiologicalAgent,PXD002619,disease,breast cancer,breast cancer,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD005982,species,Oryza sativa L.,Oryza sativa L.,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD005982,organ,pistil; seed,pistils and seeds,NO_MATCH,0.783467,1,Qwen3.8-27B,qwen3_8_27b,S1,0.22228416848246144
BiologicalAgent,PXD006847,species,Homo sapiens,human,SEMANTIC,0.8253394365310669,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD006847,organ,pancreas; islet,pancreatic tissue,NO_MATCH,0.76581,1,Qwen3.8-27B,qwen3_8_27b,S1,0.7798958260635935
BiologicalAgent,PXD006847,cell_type,cultured cells,pancreatic islet,NO_MATCH,0.4095499217510223,1,Qwen3.8-27B,qwen3_8_27b,S1,0.35159177940105246
BiologicalAgent,PXD006847,cell_line,HeLa,HeLa,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD006847,disease,Healthy control; Type 1 diabetes,type 1 diabetic,NO_MATCH,0.625337,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD012439,species,Riftia pachyptila,Riftia pachyptila,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,
BiologicalAgent,PXD012439,organ,trophosome; vestimentum; plume,"trophosome, body wall, plume, vestimentum",EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD013543,species,Rattus norvegicus,Rattus norvegicus,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD013543,organ,left ventricle,left ventricle,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD013543,disease,obesity,obesity,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD013809,species,Homo sapiens,Homo sapiens,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD013809,cell_line,HeLa,"HeLa, THP-1",SEMANTIC,0.7953656911849976,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD014762,species,Homo sapiens,human,SEMANTIC,0.8253394365310669,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD014762,organ,alveoli; blood vessels,lung,NO_MATCH,0.491871,1,Qwen3.8-27B,qwen3_8_27b,S1,
BiologicalAgent,PXD014762,disease,Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis,SEMANTIC,0.9312148094177246,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD015272,cell_line,HeLa,HT1080,NO_MATCH,0.4188475310802459,1,Qwen3.8-27B,qwen3_8_27b,S1,0.0
BiologicalAgent,PXD015289,species,Homo sapiens,Homo sapiens,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD015289,organ,prostate,prostate,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD015289,disease,prostate cancer; benign prostatic hyperplasia (BPH); bladder cancer; renal cell carcinoma,prostate cancer,SEMANTIC,0.650106,1,Qwen3.8-27B,qwen3_8_27b,S1,0.7324723904117088
BiologicalAgent,PXD018830,species,Homo sapiens,human,SEMANTIC,0.8253394365310669,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD018830,organ,Breast epithelium,breast,NO_MATCH,0.6563327312469482,1,Qwen3.8-27B,qwen3_8_27b,S1,0.7672979805131644
BiologicalAgent,PXD018830,disease,Breast cancer (BC); Control,breast cancer,NO_MATCH,0.588221,1,Qwen3.8-27B,qwen3_8_27b,S1,0.9880989524001719
BiologicalAgent,PXD019394,species,Mus musculus,mouse,SEMANTIC,0.7748880386352539,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD019394,organ,brain; brown adipose tissue; heart; kidney; liver; lung; pancreas; spleen; testis,"brain, brown fat, heart, liver, lung, kidney, pancreas, spleen, and testis",EXACT,0.977778,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD019394,cell_type,brain; brown adipose tissue; heart; kidney; liver; lung; pancreas; spleen; testis,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S1,0.0
BiologicalAgent,PXD019394,disease,normal,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S1,0.0
BiologicalAgent,PXD021383,species,Dermatophagoides pteronyssinus; Dermatophagoides farinae; Suidasia medanensis; Cicer arietinum; Saccharomyces cerevisiae; Homo sapiens,Dermatophagoides pteronyssinus,SEMANTIC,0.541721,1,Qwen3.8-27B,qwen3_8_27b,S1,0.0
BiologicalAgent,PXD022741,species,Saccharomyces cerevisiae,Saccharomyces cerevisiae,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD026287,species,Arabidopsis thaliana,Arabidopsis thaliana,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD026287,organ,whole seedlings,root,NO_MATCH,0.5540364980697632,1,Qwen3.8-27B,qwen3_8_27b,S1,0.3315126887124648
BiologicalAgent,PXD026287,cell_type,plant cell,nuclei,NO_MATCH,0.4566670656204223,1,Qwen3.8-27B,qwen3_8_27b,S1,0.28385226299176414
BiologicalAgent,PXD028781,species,Toxoplasma gondii,Toxoplasma gondii,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,
BiologicalAgent,PXD028781,cell_line,HFF-1,HFF-1,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S1,1.0
BiologicalAgent,PXD029966,species,Homo sapiens; Mus musculus,mouse,NO_MATCH,0.593789,1,Qwen3.8-27B,qwen3_8_27b,S1,0.5
