pxd	run	acquisition	cell_line	cell_part	disease	enrichment	fractionation	fragmentation	instrument	labeling	organism	tissue
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac14		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac15		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac16		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac17		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac18		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac19		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac20		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac21		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac22		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac23		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac24		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac25		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac26		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac27		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac28		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac29		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac30		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac31		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac32		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac33		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac34		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac35		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac36		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac37		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac38		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac39		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac40		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac41		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac42		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac43		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac44		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac45		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep1_Frac46		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac01		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac02		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac03		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac04		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac05		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac06		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac07		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac08		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac09		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac10		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac11		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac12		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac13		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac14		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac15		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac16		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac17		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac18		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac19		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac20		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac21		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac22		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac23		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac24		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac25		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac26		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac27		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac28		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac29		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac30		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac31		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac32		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac33		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac34		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac35		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac36		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac37		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac38		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac39		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac40		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac41		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac42		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac43		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac44		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac45		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep2_Frac46		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac01		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac02		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac03		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac04		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac05		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac06		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac07		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac08		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac09		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac10		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac11		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac12		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac13		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac14		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac15		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac16		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac17		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac18		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac19		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac20		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac21		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac22		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac23		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac24		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac25		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac26		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac27		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac28		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac29		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac30		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac31		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac32		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac33		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac34		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac35		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac36		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac37		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac38		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac39		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac40		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac41		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac42		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac43		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac44		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac45		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_24_rep3_Frac46		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac01		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac02		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac03		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac04		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac05		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac06		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac07		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac08		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac09		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac10		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac11		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac12		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac13		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac14		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac15		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac16		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac17		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac18		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac19		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac20		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac21		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac22		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac23		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac24		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac25		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac26		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac27		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac28		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac29		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac30		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac31		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac32		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac33		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep1_Frac34		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac01		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac02		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac03		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac04		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac05		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac06		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac07		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac08		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac09		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac10		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac11		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac12		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac13		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac14		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac15		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac16		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac17		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac18		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac19		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac20		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac21		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac22		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac23		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac24		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac25		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac26		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac27		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac28		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac29		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac30		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac31		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac32		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac33		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep2_Frac34		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep3_Frac01		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep3_Frac02		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep3_Frac03		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep3_Frac04		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep3_Frac05		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep3_Frac06		HEK293				True				Homo sapiens	
PXD046372	OLEP07_200ng_CPR_HEK_180SPD_33_rep3_Frac07		HEK293				True				Homo sapiens	
