pxd	run	organism	tissue	disease	cell_line	instrument	fragmentation	collision_energy	enzymes	modifications	labeling	enrichment	fraction_identifier	fractionation
PXD000396	120315QEx2_RS1_20nl-min_10HeLa_5h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120309QEx2_RS1_50nl-min_0k1HeLa_8h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_20nl-min_10HeLa_5h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120327QEx2_RS1_50nl-min_0k1HeLa_1h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_20nl-min_10HeLa_1h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_20nl-min_10HeLa_8h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_20nl-min_10HeLa_1h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120330QEx2_RS1_50nl-min_100ngHeLa_3h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120309QEx2_RS1_20nl-min_0k1HeLa_8h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120323QEx2_RS1_20nl-min_0k1HeLa_1h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_50nl-min_10ngHeLa_8h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120314QEx2_RS1_20nl-min_0k1HeLa_10h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_20nl-min_10HeLa_3h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_50nl-min_10ngHeLa_3h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120314QEx2_RS1_50nl-min_0k1HeLa_10h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120323QEx2_RS1_20nl-min_0k1HeLa_1h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120327QEx2_RS1_50nl-min_0k1HeLa_5h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_50nl-min_10ngHeLa_5h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_50nl-min_10ngHeLa_8h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120323QEx2_RS1_20nl-min_0k1HeLa_14h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120323QEx2_RS1_20nl-min_0k1HeLa_3h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120327QEx2_RS1_50nl-min_0k1HeLa_1h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120323QEx2_RS1_20nl-min_0k1HeLa_5h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_50nl-min_10ngHeLa_3h_02	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120312QEx2_RS1_20nl-min_0k1HeLa_14h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120312QEx2_RS1_20nl-min_0k1HeLa_8h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000396	120315QEx2_RS1_20nl-min_10HeLa_3h_01	Homo sapiens		cervix carcinoma	HeLa	Q Exactive			trypsin	C-carbamidomethylation; M-oxidation; N-deamidation	label-free		1	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f01	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		1	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f02	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f03	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f04	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f05	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f06	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f07	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		7	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f08	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		8	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f09	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f10	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f11	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f12	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f13	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		13	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f14	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		14	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f15	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		15	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f16	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		16	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f17	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		17	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f18	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		18	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f19	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		19	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f20	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		20	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f21	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		21	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f22	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		22	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f23	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		23	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f24	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		24	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f25	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		25	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f26	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		26	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f27	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		27	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f28	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		28	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f29	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		29	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f30	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		30	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f31	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		31	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f32	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		32	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f33	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		33	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f34	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		34	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f35	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		35	True
PXD000561	Adult_Adrenalgland_bRP_Velos_1_f36	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		36	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f01	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		1	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f02	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f03	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f04	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f05	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f06	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f07	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		7	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f08	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		8	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f09	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f10	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f11	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f12	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f13	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		13	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f14	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		14	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f15	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		15	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f16	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		16	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f17	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		17	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f18	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		18	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f19	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		19	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f20	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		20	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f21	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		21	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f22	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		22	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f23	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		23	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f24	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		24	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f25	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		25	True
PXD000561	Adult_Adrenalgland_Gel_Velos_2_f26	Homo sapiens	adrenal gland			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		26	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f01	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		1	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f02	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f03	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f04	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f05	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f06	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f07	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		7	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f08	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		8	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f09	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f10	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f11	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f12	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f13	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		13	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f14	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		14	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f15	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		15	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f16	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		16	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f17	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		17	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f18	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		18	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f19	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		19	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f20	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		20	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f21	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		21	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f22	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		22	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f23	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		23	True
PXD000561	Adult_Esophagus_bRP_Velos_3_f24	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		24	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f01	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		1	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f02	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f03	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f04	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f05	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f06	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f07	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		7	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f08	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		8	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f09	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f10	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f11	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_Esophagus_Gel_Velos_4_f12	Homo sapiens	esophagus			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
