pxd	group_name	organism	organism_score	tissue	tissue_score	disease	disease_score	cell_part	cell_part_score	cell_line	cell_line_score	instrument	instrument_score	fragmentation	fragmentation_score	enzymes	enzymes_score	modifications	modifications_score	collision_energy	collision_energy_score	gradient_time_min	gradient_time_min_score	lc_column	lc_column_score	acquisition	acquisition_score	labeling	labeling_score	ionization	ionization_score	treatment_type	treatment_type_score	treatment_name	treatment_name_score	treatment_class	treatment_class_score	fractionation	enrichment
PXD000412	Ancient and Modern Dental Tissues	Homo sapiens; Bos taurus; Ovis aries	1.0; 1.0; 0.865			periodontitis; healthy	1.0; 1.0					LTQ Orbitrap Velos; Q Exactive; maXis	1.0; 1.0; 1.0	HCD; CID	1.0; 1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD000426	Jurkat T cells	Homo sapiens	1.0							Jurkat	1.0	LTQ Orbitrap Velos	1.0			trypsin	1.0	C-carbamidomethylation	1.0									label-free	1.0	ESI	1.0								
PXD000442	MCF7 cell line analysis	Homo sapiens	1.0			breast cancer	1.0			MCF-7	1.0	TripleTOF 5600; LTQ Orbitrap XL; LTQ Orbitrap Velos	1.0; 0.973; 1.0													DDA	1.0	label-free	1.0									True; 2D-LC	
PXD000443	Jurkat cell line	Homo sapiens	1.0			lymphoma	1.0			Jurkat	1.0	TripleTOF 5600; Q Exactive	1.0; 1.0					C-carbamidomethylation	1.0																			True; 2D-LC	
PXD000445	Tissue Samples	Homo sapiens	1.0	colon	1.0	healthy	1.0					LTQ Orbitrap Velos	1.0					C-carbamidomethylation; N-term acetylation; K-acetylation	1.0; 1.0; 0.807							DDA	1.0	iTRAQ	1.0									True; OFFGEL electrophoresis	
PXD000445	Cell Line Samples	Homo sapiens	1.0			colorectal cancer; healthy	1.0; 1.0			SW-480; SW-620; HT-29	1.0; 1.0; 1.0	LTQ Orbitrap Velos	1.0					C-carbamidomethylation; N-term acetylation; K-acetylation	1.0; 1.0; 0.807							DDA	1.0	iTRAQ	1.0									True; OFFGEL electrophoresis	
PXD000447	Ramos cell line	Homo sapiens	1.0							RAMOS	1.0	LTQ Orbitrap Velos	1.0					C-carbamidomethylation	1.0																				
PXD000448	MKN28 E-cadherin interactome	Homo sapiens	1.0			stomach carcinoma	0.838	cytoplasm; nucleus	1.0; 1.0			LTQ Orbitrap Elite	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	nanoESI	0.712					small molecule; small molecule	1.0; 1.0	True; SDS-PAGE	
PXD000449	CCD18 cell line	Homo sapiens	1.0									TripleTOF 5600; LTQ Orbitrap XL; LTQ Orbitrap Velos; Q Exactive	1.0; 0.973; 1.0; 1.0											reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; 2D-LC	
PXD000474	HeLa Cell Proteomics	Homo sapiens	1.0							HeLa	1.0	LTQ Orbitrap Velos; Q Exactive	1.0; 1.0	ETD; CID; HCD	1.0; 1.0; 1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0							DDA	1.0	label-free	1.0									True; TiO2	phosphorylation; TiO2
PXD000474	Synthetic Phosphopeptide Proteomics	Homo sapiens	1.0									LTQ Orbitrap Velos; Q Exactive	1.0; 1.0	CID; HCD	1.0; 1.0			S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0							DDA	1.0	label-free	1.0										
PXD000496	HaCaT TGF-beta1 treated	Homo sapiens	1.0							HaCaT	1.0	Q Exactive	1.0											reverse phase C18	1.0	DDA	1.0	label-free	1.0							biologics	1.0		phosphorylation
PXD000497	Melanoma BRAF mutant cells treated with PLX4720	Homo sapiens	1.0			melanoma	1.0					LTQ Orbitrap Velos; LTQ Orbitrap Elite; Q Exactive	1.0; 1.0; 1.0	HCD; ETD	1.0; 1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0			ESI	1.0					small molecule	1.0	True; SCX	phosphorylation; Ti4+-IMAC
PXD000523	Human fibroblasts (HDF) with BRAFV600E manipulation	Homo sapiens	1.0									LTQ Orbitrap Velos	1.0	HCD; ETD	1.0; 1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation; R-dimethylation; R-dimethylation	1.0; 0.822; 1.0					reverse phase C18	1.0	DDA	1.0									biologics; biologics	1.0; 1.0	True; SCX	phosphorylation; Ti-IMAC
PXD000529	HCC cell lines	Homo sapiens	1.0									Q Exactive	1.0			LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0			label-free	1.0									True; offline fractionation	
PXD000533	HCC Cell Lines	Homo sapiens	1.0							Hep3B	1.0	Q Exactive	1.0			LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0			label-free	1.0									True; offline fractionation	
PXD000535	HCC Cell Lines	Homo sapiens	1.0							Hep3B	1.0	TripleTOF 5600	1.0			LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0			label-free	1.0									True; offline fractionation	
PXD000561	Human Proteome Map	Homo sapiens	1.0	adrenal gland; B cells; brain; CD4+ T cells; CD8+ T cells; colon; esophagus; frontal cortex; gallbladder; gut; heart; kidney; liver; lung; monocytes; NK cells; ovary; pancreas; placenta; platelets; prostate; rectum; retina; spinal cord; testis; urinary bladder	1.0; 1.0; 1.0; 0.903; 0.933; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0	healthy	1.0					LTQ Orbitrap Elite; LTQ Orbitrap Velos	1.0; 1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; SDS-PAGE; high pH RPLC	
PXD000563	Glioma-derived cancer stem cells	Homo sapiens	1.0			glioblastoma	0.786					LTQ Orbitrap Elite	1.0			trypsin	1.0	C-carbamidomethylation	1.0							DDA	1.0	label-free	1.0							biologics	1.0		
PXD000597	Human primary endothelial cells	Homo sapiens	1.0	epithelial cell	0.701							LTQ Orbitrap Elite	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					biologics	1.0	True; SCX	phosphorylation; TiO2
PXD000599	MCF10A and PIK3CA knockin cells	Homo sapiens	1.0							MCF-10A	1.0	LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					small molecule	1.0	True; SCX	phosphorylation; TiO2
PXD000605	Human Plasma RIPC Study	Homo sapiens	1.0	blood plasma	1.0	healthy	1.0					LTQ Orbitrap Velos	0.984	HCD	1.0	trypsin	1.0							reverse phase C18	1.0	DDA	1.0	iTRAQ	1.0	ESI	1.0					environmental	1.0	True; mixed-mode RP-AX	
PXD000612	HeLa S3 cells	Homo sapiens	1.0									Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	nanoESI	0.712					environmental; biologics; small molecule	1.0; 1.0; 1.0	True; SCX	phosphorylation; TiO2
PXD000674	HeLa lysate	Homo sapiens	1.0							HeLa	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD000680	HEK293 cells	Homo sapiens	1.0					nucleus	1.0	HEK293	1.0	LTQ Orbitrap XL	1.0			trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0							small molecule	1.0	True; nuclei isolation	phosphorylation; titanium dioxide
PXD000680	HeLa cells	Homo sapiens	1.0					nucleus	1.0	HeLa	1.0	LTQ Orbitrap Elite; Q Exactive	1.0; 1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0							small molecule	1.0	True; nuclei isolation	phosphorylation; titanium dioxide
PXD000685	HEK293T Virotrap	Homo sapiens	1.0			healthy	1.0			HEK293T	1.0	Q Exactive	1.0			trypsin	1.0	C-carbamidomethylation	1.0							DDA	1.0	label-free	1.0							small molecule; biologics	1.0; 1.0	True; VLP enrichment	
PXD000750	Metastatic pancreatic cancer cell lines	Homo sapiens	1.0			pancreatic ductal adenocarcinoma	1.0					LTQ Orbitrap Elite; LTQ Orbitrap XL	1.0; 1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0							small molecule	1.0	True; SDS-PAGE	phosphorylation; immunoaffinity purification
PXD000836	Human Lung Tissue (HOPE and Snap Frozen)	Homo sapiens	1.0	lung	1.0							LTQ Orbitrap Velos	0.984	CID; HCD	1.0; 1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; IMAC	phosphorylation; IMAC
PXD000861	PC9 and PC9/gef cell lines	Homo sapiens	1.0			lung cancer	1.0			PC-9	1.0	LTQ Orbitrap Velos	1.0	CID	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation; M-oxidation	1.0; 1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	nanoESI	1.0					small molecule	1.0	True; IMAC	phosphorylation; IMAC
PXD000865	Human Body Map and Cellzome	Homo sapiens	1.0									LTQ Orbitrap Elite; LTQ Orbitrap Velos	1.0; 1.0	CID	1.0									reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; LDS-PAGE	
PXD000901	Ovarian Cancer Cell Lines	Homo sapiens	1.0			ovarian cancer	0.908			ES-2; OVISE	1.0; 1.0	Q Exactive	1.0					C-carbamidomethylation	1.0									SILAC	1.0									True; Tio2	phosphorylation; Tio2
PXD000964	Mad1 phosphopeptide analysis	Homo sapiens	1.0									LTQ Orbitrap Velos	1.0					S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0							DDA; DIA	1.0; 1.0	SILAC	1.0										phosphorylation; pull-down
PXD000966	CPTAC System Suitability (CompRef) Study - Breast Cancer	Homo sapiens; Mus musculus	1.0; 1.0	breast	0.762	breast cancer	1.0					LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	iTRAQ	1.0									True; Peptide basic pH Reversed Phase LC	
PXD001000	CPTAC CompRef Phosphoproteome	Homo sapiens; Mus musculus	1.0; 1.0			breast cancer	1.0					LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	iTRAQ	1.0									True; Peptide basic pH Reversed Phase LC	phosphorylation; Fe3+ NTA-Agarose
PXD001017	MCF7 Breast Cancer Cells	Homo sapiens	1.0			breast cancer	1.0	nucleus	1.0	MCF-7	1.0	LTQ Orbitrap XL	0.973			trypsin	1.0	C-carbamidomethylation	1.0							DDA	1.0	label-free	1.0							small molecule	1.0	True; MudPIT	
PXD001060	A431 phosphoproteomics	Homo sapiens	1.0							A-431	1.0	LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; hSAX	phosphorylation; Fe-IMAC
PXD001068	HDF cells with BRAFV600E and CEBP/B shRNA treatment	Homo sapiens	1.0									LTQ Orbitrap Velos	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation; R-dimethylation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0									biologics; biologics	1.0; 1.0	True; SCX	phosphorylation; Ti4+-IMAC
PXD001101	Lung adenocarcinoma cell lines (H3255 and H1975)	Homo sapiens	1.0			lung adenocarcinoma	1.0					LTQ Orbitrap XL; LTQ Orbitrap Elite	1.0; 1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					small molecule; biologics	1.0; 1.0	True; SCX	phosphorylation; TiO2
PXD001114	MDA-MB 231 cells	Homo sapiens	1.0							MDA-MB-231	1.0	LTQ Orbitrap XL	0.973			trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0			SILAC	1.0							biologics	1.0		phosphorylation; TiO2
PXD001115	SH-SY5Y Neuroblastoma Cells	Homo sapiens	1.0			neuroblastoma	1.0			SH-SY5Y	1.0	Q Exactive	1.0			LysC; trypsin	0.933; 1.0	S-phosphorylation; T-phosphorylation; Y-phosphorylation; C-carbamidomethylation	1.0; 1.0; 1.0; 1.0					SCX	1.0	DDA	1.0	SILAC	1.0							biologics	1.0	True; SCX	phosphorylation; TiO2
PXD001118	HeLa histone extraction	Homo sapiens	1.0					nucleus	1.0	HeLa	1.0	Q Exactive; LTQ Orbitrap Velos	1.0; 0.932	HCD; CID	1.0; 1.0	trypsin	1.0	N-term acetylation	0.787							DDA	1.0	label-free	1.0	ESI	1.0								
PXD001129	Kit225 T cells with SILAC and pY enrichment	Homo sapiens	1.0			acute leukemia	1.0					Q Exactive	1.0			trypsin	1.0	C-carbamidomethylation; Y-phosphorylation	1.0; 1.0					reverse phase C18	1.0			SILAC	1.0							biologics	1.0	True; SDS-PAGE	phosphotyrosine; anti-pY antibodies
PXD001176	Ovarian cancer cell lines (A2780 and A2780-DR)	Homo sapiens	1.0			ovarian cancer	0.908			A2780	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0									True; 1D SDS-PAGE	
PXD001186	HUVEC Matrigel Proteome	Homo sapiens	1.0									LTQ Orbitrap Elite	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD001186	HUVEC Etomoxir Proteome	Homo sapiens	1.0									LTQ Orbitrap Elite	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					small molecule	1.0	True; strong anion exchange chromatography	
PXD001186	HUVEC Phosphoproteome	Homo sapiens	1.0									LTQ Orbitrap Elite	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					small molecule	1.0	True; strong cation exchange chromatography	phosphorylation; TiO2
PXD001222	Triple Negative Breast Cancer Cell Lines	Homo sapiens	1.0			breast cancer	1.0			MDA-MB-231; MCF-10A; HCC38; HCC-1806; MDA-MB-157; HCC1937; HCC1143	1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0	LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; Y-phosphorylation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					biologics; biologics	1.0; 1.0		phosphotyrosine; immunoaffinity purification
PXD001249	Hela cell line	Homo sapiens	1.0							HeLa	1.0	Q Exactive	1.0			trypsin	1.0	M-oxidation	0.706									label-free	1.0							biologics	1.0		
PXD001253	nfHCC and non-tumor liver	Homo sapiens	1.0	liver	1.0	hepatocellular carcinoma; healthy	1.0; 1.0					LTQ Orbitrap XL	0.973	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	iTRAQ	1.0	ESI	1.0							True; TiO2 enrichment	phosphorylation; TiO2
PXD001255	Mib1 Affinity Purification	Homo sapiens	1.0	brain	1.0							LTQ Orbitrap Elite	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0									True; Sequential elution	
PXD001279	E14TG2a mouse ES cells subcellular fractionation	Mus musculus	1.0					cytoplasm; membrane	0.881; 1.0			Orbitrap Fusion	1.0	HCD; CID	1.0; 1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; high pH reversed phase LC	
PXD001305	HeLa Cell Line Proteomics and Phosphoproteomics	Homo sapiens	1.0							HeLa	1.0	Q Exactive; Q Exactive HF	1.0; 1.0	HCD	1.0			C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; high pH reversed-phase	phosphorylation; TiO2
PXD001324	Breast cancer tissue biopsies	Homo sapiens	1.0	breast	1.0	breast cancer	1.0	cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; SDS-PAGE	
PXD001324	Primary human mammary fibroblasts	Homo sapiens	1.0									Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							biologics	1.0	True; SDS-PAGE	
PXD001324	ZR-75-1 mammary carcinoma cells	Homo sapiens	1.0							ZR-75-1	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; SDS-PAGE	
PXD001325	Breast Cancer Tissue	Homo sapiens	1.0	breast	1.0	breast cancer	1.0	cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; SDS-PAGE	
PXD001325	Primary Human Mammary Fibroblasts	Homo sapiens	1.0									Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							biologics	1.0	True; SDS-PAGE	
PXD001325	ZR-75-1 Cell Line	Homo sapiens	1.0							ZR-75-1	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; SDS-PAGE	
PXD001326	Breast Cancer Tissue	Homo sapiens	1.0	breast	1.0	breast cancer	1.0	cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; SDS-PAGE	
PXD001326	Primary Human Mammary Fibroblasts	Homo sapiens	1.0									Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							biologics	1.0	True; SDS-PAGE	
PXD001326	ZR-75-1 Cell Line	Homo sapiens	1.0							ZR-75-1	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; SDS-PAGE	
PXD001327	Breast Cancer Biopsies	Homo sapiens	1.0	breast	1.0	breast cancer	1.0					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD001327	Primary Human Mammary Fibroblasts	Homo sapiens	1.0	fibroblast	0.739							Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; SDS-PAGE	
PXD001327	ZR-75-1 Breast Cancer Cells	Homo sapiens	1.0			breast cancer	1.0	cytoplasm	1.0	ZR-75-1	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; SDS-PAGE	
PXD001333	HeLa Cell Lysate	Homo sapiens	1.0							HeLa	1.0	Q Exactive	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; anion exchange	phosphorylation; anion exchange
PXD001357	Archaeological Dental Calculus	Homo sapiens	1.0	dental plaque	1.0							LTQ Orbitrap Elite; Q Exactive; LTQ Orbitrap Velos	1.0; 1.0; 0.983	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; FASP	
PXD001359	Archaeological Dental Calculus	Homo sapiens	1.0	dental plaque	1.0							Q Exactive; LTQ Orbitrap Velos; LTQ Orbitrap Elite	1.0; 0.983; 0.982	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD001374	HeLa cells treated with siRNA and okadaic acid	Homo sapiens	1.0							HeLa	1.0	Q Exactive	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics; small molecule	1.0; 1.0	True; TiO2 affinity chromatography	phosphorylation; TiO2 affinity chromatography
PXD001381	HeLa cells phosphoproteomics	Homo sapiens	1.0							HeLa	1.0	LTQ Orbitrap Velos	1.0	CID	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18; SCX	1.0; 1.0	DDA	1.0	label-free	1.0									True; ERLIC	phosphorylation; SPE
PXD001415	Primary Human PBMCs (Nuclear Proteins)	Homo sapiens	1.0	PBMCs	0.763	healthy	1.0	nucleus	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							small molecule	1.0	True; subcellular fractionation	
PXD001416	Primary Human PBMCs - Cytoplasmic Proteins	Homo sapiens	1.0	PBMCs	0.763	healthy	1.0	cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							small molecule	1.0	True; SDS-PAGE	
PXD001417	Primary Human PBMCs	Homo sapiens	1.0	PBMCs	0.763	healthy	1.0					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							small molecule	1.0		
