pxd	run	tissue	confidence
PXD003534	DY_HS_Exp7-N2	Monocytes	0.4639
PXD003534	DY_HS_Exp7-N3	Monocytes	0.4732
PXD003534	DY_HS_Exp7-N4	Monocytes	0.4106
PXD003534	DY_HS_Exp7-N5-1	Monocytes	0.4747
PXD003534	DY_HS_Exp7-N6	Monocytes	0.5576
PXD003534	DY_HS_Exp7-N7	Monocytes	0.5662
PXD003534	DY_HS_Exp8_N1_1	Monocytes	0.7015
PXD003534	DY_HS_Exp8_N1_2	Monocytes	0.6466
PXD003534	DY_HS_Exp8_N1_3	Monocytes	0.5461
PXD003534	DY_HS_Exp8_N1_4	Monocytes	0.6022
PXD003534	DY_HS_Exp8_N1_5	Monocytes	0.6542
PXD003534	DY_HS_Exp8_N1_6	Monocytes	0.6853
PXD003534	DY_HS_Exp8_N1_7	Monocytes	0.5135
PXD003534	DY_HS_Exp8_N2D_1	Monocytes	0.5706
PXD003534	DY_HS_Exp8_N2D_2	Monocytes	0.6394
PXD003534	DY_HS_Exp8_N2D_3	Monocytes	0.5299
PXD003534	DY_HS_Exp8_N2D_4	Monocytes	0.5899
PXD003534	DY_HS_Exp8_N2D_5	Monocytes	0.5779
PXD003534	DY_HS_Exp8_N2D_6	Monocytes	0.6486
PXD003534	DY_HS_Exp8_N2D_7	Monocytes	0.5967
PXD003534	DY_HS_IN1	Monocytes	0.5468
PXD003534	DY_HS_IN2_121102163803	Monocytes	0.5278
PXD003534	DY_HS_IN3_121102210504	Monocytes	0.4504
PXD003534	DY_HS_IN4_121103013202	Monocytes	0.4325
PXD003534	DY_HS_IN5_121103055900	Monocytes	0.4536
PXD003534	DY_HS_IN6	Monocytes	0.6095
PXD003534	DY_HS_IN7	Monocytes	0.4555
PXD003534	DY_HS_IN8	Monocytes	0.4928
PXD004355	150729_Long_polyWAX_BrainSol_sol_1uL_0_4ulmin_1200min	Brain	0.7751
PXD004355	150729_Long_polyWAX_BrainSol_sol_1uL_0_4ulmin_600min	Brain	0.9665
PXD004355	150729_Long_polyWAX_Brain_sol_1uL_0_4ulmin_280min	Brain	0.678
PXD004540	20150309_TMT_SPEG_50cm_90min	Brain	0.3242
PXD004540	20150311_CSF_TMT_SPEG_MM_10	Brain	0.3551
PXD004540	20150311_CSF_TMT_SPEG_MM_11	Brain	0.3135
PXD004540	20150311_CSF_TMT_SPEG_MM_11_Rerun	Brain	0.4059
PXD004540	20150311_CSF_TMT_SPEG_MM_12	Brain	0.3619
PXD004540	20150311_CSF_TMT_SPEG_MM_12_Rerun	Brain	0.3568
PXD004540	20150311_CSF_TMT_SPEG_MM_8	Brain	0.3708
PXD004540	20150311_CSF_TMT_SPEG_MM_9	Brain	0.3612
PXD004540	20150311_CSF_TMT_SPEG_MM_9_Rerun	Brain	0.3491
PXD004682	20150912_Haura-Pilot_N0296_bRPLC01-1	Lung	0.3153
PXD004682	20150912_Haura-Pilot_N0296_bRPLC07-1	Lung	0.3095
PXD004682	20150912_Haura-Pilot_N0296_bRPLC08-1	Lung	0.328
PXD004682	20150912_Haura-Pilot_N0296_bRPLC09-1	Lung	0.3478
PXD004682	20150912_Haura-Pilot_N0296_bRPLC09-2	Lung	0.3019
PXD004713	1DLC052815QE_RRAG_025B_rep1	Prostate	0.3017
PXD004713	1DLC121914QE_RRAG_025_rep1	Prostate	0.4281
PXD004713	1DLC121914QE_RRAG_025_rep2	Prostate	0.4176
PXD005693	151112-MClass-15-3409-01-AKZ	Colon	0.3298
PXD005693	151112-MClass-15-3411-01-AKZ	Colon	0.4637
PXD005693	151112-MClass-15-3415-01-AKZ	Colon	0.3841
PXD005709	150130-15_0321-01-AKZ-F01	Liver	0.3928
PXD005709	150130-15_0321-01-AKZ-F02	Liver	0.6978
PXD005709	150130-15_0321-01-AKZ-F03	Liver	0.643
PXD005709	150130-15_0325-01-AKZ-F01_150203130716	Liver	0.3622
PXD005709	150130-15_0325-01-AKZ-F02	Liver	0.6073
PXD005709	150130-15_0325-01-AKZ-F03	Liver	0.7252
PXD005709	150130-15_0329-01-AKZ-F01	Liver	0.3728
PXD005709	150130-15_0329-01-AKZ-F02	Liver	0.5918
PXD005709	150130-15_0329-01-AKZ-F03	Liver	0.7075
PXD005709	150130-15_0330-01-AKZ-F02	Liver	0.4318
PXD005709	150130-15_0330-01-AKZ-F03	Liver	0.4342
PXD005709	150220-15_0327-01-AKZ-F01	Liver	0.4164
PXD005709	150220-15_0327-01-AKZ-F02	Liver	0.5587
PXD005709	150220-15_0327-01-AKZ-F03	Liver	0.7078
PXD005709	150220-15_0331-01-AKZ-F01	Liver	0.4839
PXD005709	150220-15_0331-01-AKZ-F03	Liver	0.8089
PXD005753	120816_RossC_TR_C535A	Brain	0.3263
PXD005753	120816_RossC_TR_C535C	Brain	0.4121
PXD005753	120816_RossC_TR_C535D	Brain	0.4043
PXD005753	120816_RossC_TR_C535E	Brain	0.3193
PXD005753	120816_RossC_TR_HD95B	Brain	0.3132
PXD005753	121017_RossC_RT_C994	Brain	0.3188
PXD005753	121017_RossC_RT_HD61	Brain	0.3984
PXD005753	121017_RossC_RT_HD98	Brain	0.3463
PXD005753	121127_RossC_RT_C702-A-try	Brain	0.3193
PXD005753	121127_RossC_RT_C994-A-try	Brain	0.3723
PXD005753	121127_RossC_RT_HD-125A-try	Brain	0.3193
PXD005753	121127_RossC_RT_HD-61A-try	Brain	0.4288
PXD005753	121127_RossC_RT_HD-61A-try-TiO2	Brain	0.4038
PXD006268	JB_150224_Qexactive_A01	Ovary	0.453
PXD006268	JB_150224_Qexactive_A02	Ovary	0.4282
PXD006268	JB_150224_Qexactive_C01	Ovary	0.3654
PXD006268	JB_150224_Qexactive_C02	Ovary	0.3228
PXD006371	Lanlach2	Ovary	0.3097
PXD006465	170325_HF02_XuPing_CNHPP_A_LysC_1_F1_R2	Testis	0.7063
PXD006465	170325_HF02_XuPing_CNHPP_A_LysC_2_F1_R1	Testis	0.5709
PXD006465	170325_HF02_XuPing_CNHPP_A_LysC_3_F1_R1	Testis	0.8037
PXD006465	170325_HF02_XuPing_CNHPP_A_LysC_4_F1_R1	Testis	0.7801
PXD006465	170325_HF02_XuPing_CNHPP_A_LysC_5_F1_R1	Testis	0.8198
PXD006465	170325_HF02_XuPing_CNHPP_A_LysC_6_F1_R1	Testis	0.7887
PXD006465	170325_HF02_XuPing_CNHPP_A_LysC_7_F1_R1	Testis	0.7204
PXD006465	170325_HF02_XuPing_CNHPP_A_R29_1_F1_R1	Testis	0.3681
PXD006465	170325_HF02_XuPing_CNHPP_A_R29_2_F1_R2	Testis	0.3854
PXD006465	170325_HF02_XuPing_CNHPP_B_LysC_1_F1_R1	Testis	0.67
PXD006465	170325_HF02_XuPing_CNHPP_B_LysC_2_F1_R1	Testis	0.5828
PXD006465	170325_HF02_XuPing_CNHPP_B_LysC_3_F1_R1	Testis	0.8238
PXD006465	170325_HF02_XuPing_CNHPP_B_LysC_5_F1_R1	Testis	0.5916
PXD006465	170325_HF02_XuPing_CNHPP_B_LysC_6_F1_R1	Testis	0.608
PXD006465	170325_HF02_XuPing_CNHPP_B_LysC_7_F1_R1	Testis	0.4014
PXD006465	170325_HF02_XuPing_CNHPP_B_R29_2_F1_R1	Testis	0.3534
PXD006465	170325_HF02_XuPing_CNHPP_B_R29_3_F1_R1	Testis	0.5023
PXD006465	170325_HF02_XuPing_CNHPP_B_R29_6_F1_R1	Testis	0.3113
PXD006465	170325_HF02_XuPing_CNHPP_C_LysC_1_F1_R1	Testis	0.5834
PXD006465	170325_HF02_XuPing_CNHPP_C_LysC_2_F1_R1	Testis	0.6156
PXD006465	170325_HF02_XuPing_CNHPP_C_LysC_3_F1_R1	Testis	0.6746
PXD006465	170325_HF02_XuPing_CNHPP_C_LysC_4_F1_R1	Testis	0.7884
PXD006465	170325_HF02_XuPing_CNHPP_C_LysC_5_F1_R1	Testis	0.64
PXD006465	170325_HF02_XuPing_CNHPP_C_LysC_6_F1_R1	Testis	0.6163
PXD006465	170325_HF02_XuPing_CNHPP_C_LysC_7_F1_R1	Testis	0.4735
PXD006465	170325_HF02_XuPing_CNHPP_C_R29_3_F1_R1	Testis	0.3222
PXD006465	170325_HF02_XuPing_CNHPP_C_R29_5_F1_R1	Testis	0.3518
PXD006476	T9B_30min_Top10_n1000_QE_110615	Ovary	0.3604
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample1	Kidney	0.5823
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample10	Kidney	0.465
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample11	Kidney	0.4925
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample12	Kidney	0.4581
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample13	Kidney	0.4816
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample14	Kidney	0.3973
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample15	Kidney	0.5814
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample16	Kidney	0.4655
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample19	Kidney	0.4242
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample2	Kidney	0.4043
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample20	Kidney	0.4148
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample3	Kidney	0.6806
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample4	Kidney	0.3941
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample5	Kidney	0.391
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample6	Kidney	0.4906
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample7	Kidney	0.565
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample8	Kidney	0.5566
PXD006517	20170331_Q2_UC_ColID_334_ProjID_485_Benzing_Sample9	Kidney	0.4259
PXD006522	20170421_Q1_AWH_ColID_336_ProjID_540_Benzing_sample09	Kidney	0.4873
PXD006522	20170421_Q1_AWH_ColID_336_ProjID_540_Benzing_sample11	Kidney	0.4475
PXD006522	20170421_Q1_AWH_ColID_336_ProjID_540_Benzing_sample12	Kidney	0.3222
PXD006522	20170421_Q1_AWH_ColID_336_ProjID_540_Benzing_sample13	Kidney	0.4197
PXD006522	20170421_Q1_AWH_ColID_336_ProjID_540_Benzing_sample14	Kidney	0.4242
PXD006522	20170421_Q1_AWH_ColID_336_ProjID_540_Benzing_sample15	Kidney	0.4072
PXD006522	20170421_Q1_AWH_ColID_336_ProjID_540_Benzing_sample16	Kidney	0.5387
PXD006571	B_cells_elderly_ne_2b	B-cells	0.3082
PXD006571	B_cells_elderly_ne_3b	B-cells	0.3091
PXD006572	B_cells_young_cyt_3a	B-cells	0.3331
PXD006576	B_cells_young_ne_1a	B-cells	0.4657
PXD006576	B_cells_young_ne_3a	B-cells	0.3263
PXD006770	170215_QEx_LA_MS585_19	Salivary gland	0.3468
PXD006776	control_tissue_1_1	Colon	0.5046
PXD006776	control_tissue_1_2	Colon	0.4745
PXD006776	control_tissue_2_1	Colon	0.5638
PXD006776	control_tissue_2_2	Colon	0.5414
PXD006776	control_tissue_3_1	Colon	0.5343
PXD006776	control_tissue_3_2	Colon	0.5787
PXD006776	control_tissue_5_1	Colon	0.3675
PXD006776	control_tissue_6_1	Colon	0.4839
PXD006776	control_tissue_6_2	Colon	0.4477
PXD006776	tumor_tissue_high_stage_1_1	Colon	0.3116
PXD006776	tumor_tissue_high_stage_1_2	Colon	0.315
PXD006776	tumor_tissue_high_stage_4_1	Colon	0.3128
PXD006776	tumor_tissue_high_stage_5_1	Colon	0.4232
PXD006776	tumor_tissue_high_stage_5_2	Colon	0.449
PXD006776	tumor_tissue_low_stage_3_1	Colon	0.4501
PXD006776	tumor_tissue_low_stage_3_2	Colon	0.4155
PXD006805	20161111_cytology_22595_1	Esophagus	0.3107
PXD006805	20161111_cytology_22601_1	Esophagus	0.3194
PXD006833	kidney_T_1_1	Kidney	0.3557
PXD006833	kidney_T_1_10	Kidney	0.4744
PXD006833	kidney_T_1_11	Kidney	0.316
PXD006833	kidney_T_1_13	Kidney	0.3449
PXD006833	kidney_T_1_15	Kidney	0.3248
PXD006833	kidney_T_1_16	Kidney	0.3334
PXD006833	kidney_T_1_17	Kidney	0.3684
PXD006833	kidney_T_1_18	Kidney	0.4608
PXD006833	kidney_T_1_19	Kidney	0.439
PXD006833	kidney_T_1_20	Kidney	0.3212
PXD006833	kidney_T_1_6	Kidney	0.3335
PXD006833	kidney_T_1_7	Kidney	0.3355
PXD006833	kidney_T_1_8	Kidney	0.372
PXD006833	kidney_T_1_9	Kidney	0.4329
PXD006833	kidney_T_2_10	Kidney	0.3837
PXD006833	kidney_T_2_11	Kidney	0.388
PXD006833	kidney_T_2_12	Kidney	0.3242
PXD006833	kidney_T_2_13	Kidney	0.3196
PXD006833	kidney_T_2_14	Kidney	0.3268
PXD006833	kidney_T_2_15	Kidney	0.352
PXD006833	kidney_T_2_16	Kidney	0.3207
PXD006833	kidney_T_2_17	Kidney	0.3175
PXD006833	kidney_T_2_18	Kidney	0.3385
PXD006833	kidney_T_2_19	Kidney	0.4763
PXD006833	kidney_T_2_20	Kidney	0.3702
PXD006833	kidney_T_2_6	Kidney	0.3383
PXD006833	kidney_T_2_8	Kidney	0.3347
PXD006833	kidney_T_2_9	Kidney	0.301
PXD006833	liver_1_1	Liver	0.6536
PXD006833	liver_1_10	Liver	0.7304
PXD006833	liver_1_11	Liver	0.8184
PXD006833	liver_1_12	Liver	0.8571
PXD006833	liver_1_13	Liver	0.8302
PXD006833	liver_1_14	Liver	0.737
PXD006833	liver_1_15	Liver	0.723
PXD006833	liver_1_16	Liver	0.8468
PXD006833	liver_1_17	Liver	0.778
PXD006833	liver_1_18	Liver	0.8754
PXD006833	liver_1_19	Liver	0.7144
PXD006833	liver_1_2	Liver	0.6785
PXD006833	liver_1_20	Liver	0.773
PXD006833	liver_1_3	Liver	0.7575
PXD006833	liver_1_4	Liver	0.7675
PXD006833	liver_1_5	Liver	0.8034
PXD006833	liver_1_6	Liver	0.8323
PXD006833	liver_1_7	Liver	0.6975
PXD006833	liver_1_8	Liver	0.76
PXD006833	liver_1_9	Liver	0.71
PXD006833	liver_2_1	Liver	0.633
PXD006833	liver_2_10	Liver	0.5657
PXD006833	liver_2_11	Liver	0.8352
PXD006833	liver_2_12	Liver	0.7875
PXD006833	liver_2_13	Liver	0.7561
PXD006833	liver_2_14	Liver	0.6938
PXD006833	liver_2_15	Liver	0.7671
PXD006833	liver_2_16	Liver	0.8658
PXD006833	liver_2_17	Liver	0.7001
PXD006833	liver_2_18	Liver	0.8879
PXD006833	liver_2_19	Liver	0.757
PXD006833	liver_2_2	Liver	0.7633
PXD006833	liver_2_20	Liver	0.7596
PXD006833	liver_2_3	Liver	0.7533
PXD006833	liver_2_4	Liver	0.7825
PXD006833	liver_2_5	Liver	0.8108
PXD006833	liver_2_6	Liver	0.8539
PXD006833	liver_2_7	Liver	0.7256
PXD006833	liver_2_8	Liver	0.729
PXD006833	liver_2_9	Liver	0.7171
PXD006833	liver_3_1	Liver	0.643
PXD006833	liver_3_10	Liver	0.793
PXD006833	liver_3_11	Liver	0.7792
PXD006833	liver_3_12	Liver	0.779
PXD006833	liver_3_13	Liver	0.7501
PXD006833	liver_3_14	Liver	0.7698
PXD006833	liver_3_15	Liver	0.781
PXD006833	liver_3_16	Liver	0.7703
PXD006833	liver_3_17	Liver	0.7623
PXD006833	liver_3_18	Liver	0.8002
PXD006833	liver_3_19	Liver	0.7812
PXD006833	liver_3_2	Liver	0.8556
PXD006833	liver_3_20	Liver	0.7497
PXD006833	liver_3_3	Liver	0.7334
PXD006833	liver_3_4	Liver	0.7377
PXD006833	liver_3_5	Liver	0.6775
PXD006833	liver_3_6	Liver	0.7523
PXD006833	liver_3_7	Liver	0.7153
PXD006833	liver_3_8	Liver	0.7562
PXD006833	liver_3_9	Liver	0.7769
PXD006833	liver_4_1	Liver	0.7099
PXD006833	liver_4_10	Liver	0.6862
PXD006833	liver_4_11	Liver	0.7869
PXD006833	liver_4_12	Liver	0.7469
PXD006833	liver_4_13	Liver	0.7945
PXD006833	liver_4_14	Liver	0.8098
PXD006833	liver_4_15	Liver	0.8154
PXD006833	liver_4_16	Liver	0.7889
PXD006833	liver_4_17	Liver	0.7456
PXD006833	liver_4_18	Liver	0.748
PXD006833	liver_4_19	Liver	0.6663
PXD006833	liver_4_2	Liver	0.7693
PXD006833	liver_4_20	Liver	0.7297
PXD006833	liver_4_3	Liver	0.8381
PXD006833	liver_4_4	Liver	0.7393
PXD006833	liver_4_5	Liver	0.7625
PXD006833	liver_4_6	Liver	0.6433
PXD006833	liver_4_7	Liver	0.7158
PXD006833	liver_4_8	Liver	0.7143
PXD006833	liver_4_9	Liver	0.6888
PXD006863	M529-A04-O290-T113-P7115-1	Prostate	0.3546
PXD006897	20170426_Q2_JK_ColID_340_ProjID_541_Benzing_1	Kidney	0.7324
PXD006897	20170426_Q2_JK_ColID_340_ProjID_541_Benzing_10	Kidney	0.4597
PXD006897	20170426_Q2_JK_ColID_340_ProjID_541_Benzing_16	Kidney	0.5433
PXD006897	20170426_Q2_JK_ColID_340_ProjID_541_Benzing_17	Kidney	0.774
PXD006897	20170426_Q2_JK_ColID_340_ProjID_541_Benzing_18	Kidney	0.7348
PXD006897	20170426_Q2_JK_ColID_340_ProjID_541_Benzing_19	Kidney	0.7524
