HAMLET (Agent),MLMarker,Run Count,Tier,1D Graph Dist,1D Graph Sim,2D Spatial Dist,2D Spatial Sim,Lin Sim (IC),Lin Dist (1-S),WuPalmer Sim (Depth),Jaccard IC Sim,Jaccard Anc Sim,Resnik Norm Sim,MICA Label
rectum,Colon,2,Near-Agreement,0.756,0.5695,0.1013,0.908,0.9709,0.0291,1.0,0.4025,0.4483,0.9434,colon
urine,Esophagus,2,Disagreement,1.6731,0.3741,1.5188,0.397,0.1006,0.8994,0.4545,0.025,0.0798,0.0808,subdivision of tube
T cells,Bone marrow,2,Distant-Agreement,1.6443,0.3782,1.1989,0.4548,0.6627,0.3373,0.5,0.093,0.1647,0.6565,immune system
neutrophil,Monocytes,2,Near-Agreement,1.0284,0.493,0.7543,0.57,0.7227,0.2773,0.8182,0.2113,0.25,0.6005,myeloid leukocyte
occipital lobe,Brain,2,Distant-Agreement,0.8879,0.5297,0.7473,0.5723,0.5512,0.4488,0.4211,0.1162,0.1772,0.3805,brain
parathyroid gland,Thyroid,2,Distant-Agreement,0.7155,0.5829,0.8881,0.5296,0.4526,0.5474,0.6667,0.1533,0.1964,0.4509,endocrine system
temporal lobe,Brain,2,Distant-Agreement,0.8879,0.5297,0.9293,0.5183,0.564,0.436,0.4211,0.1617,0.2059,0.3928,brain
seminal plasma; sperm,Salivary gland,2,Distant-Agreement,0.8986,0.5267,0.4567,0.6865,0.5446,0.4554,0.9231,0.1591,0.3448,0.5006,secretion of exocrine gland
dental plaque,Salivary gland,2,Distant-Agreement,0.9882,0.503,0.5083,0.663,0.408,0.592,0.7,0.3907,0.6613,0.3394,mouth
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Stomach,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,stomach
blood plasma; blood serum; cerebrospinal fluid; liver; monocytes; ovary; pancreas,Ovary,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ovary
blood,Bone marrow,2,Near-Agreement,0.7085,0.5853,0.4373,0.6958,0.7688,0.2312,1.0,0.1117,0.2262,0.7511,hematopoietic system
bone marrow; brain; cerebrospinal fluid; cervicovaginal fluid; colon; heart; kidney; liver; lung; lymph node; placenta; seminal plasma; skin; spleen; sweat; synovial fluid; testis; urine,Brain,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,brain
bone marrow; brain; cerebrospinal fluid; cervicovaginal fluid; colon; heart; kidney; liver; lung; lymph node; placenta; seminal plasma; skin; spleen; sweat; synovial fluid; testis; urine,Testis,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,testis
salivary gland,Salivary gland,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,saliva-secreting gland
adrenal gland,Adrenal gland,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,adrenal gland
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Small intestine,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,small intestine
saliva,Esophagus,2,Disagreement,0.8857,0.5303,0.853,0.5397,0.1351,0.8649,0.5,0.1349,0.3514,0.1334,subdivision of tube
breast,Ovary,2,Disagreement,1.6678,0.3748,1.7159,0.3682,0.1961,0.8039,0.5333,0.0157,0.0471,0.1781,primordium
cerebellum,Brain,2,Distant-Agreement,0.7042,0.5868,0.321,0.757,0.6089,0.3911,0.8,0.2009,0.2979,0.4377,brain
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Placenta,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,placenta
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Pituitary gland,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,pituitary gland
parietal lobe,Brain,2,Distant-Agreement,0.8879,0.5297,0.7588,0.5686,0.5014,0.4986,0.4211,0.16,0.2059,0.3345,brain
stomach,Small intestine,1,Near-Agreement,0.785,0.5602,0.4325,0.6981,0.7717,0.2283,0.8571,0.4927,0.7826,0.7717,alimentary part of gastrointestinal system
tonsil,Tonsil,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,tonsil
salivary gland; tonsil,Salivary gland,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,saliva-secreting gland
peritoneal dialysis fluid,Prostate,1,Disagreement,,0.0,,0.0,0.0,1.0,,,,,N/A
skin,Esophagus,1,Disagreement,1.5647,0.3899,1.1556,0.4639,0.1821,0.8179,0.5333,0.0318,0.0833,0.124,organ component layer
seminal plasma,Salivary gland,1,Distant-Agreement,0.8986,0.5267,0.4567,0.6865,0.5446,0.4554,0.9231,0.1591,0.3448,0.5006,secretion of exocrine gland
B cells,Monocytes,1,Distant-Agreement,1.5003,0.4,0.9227,0.5201,0.6509,0.3491,0.6957,0.1904,0.2404,0.6413,hematopoietic lineage restricted progenitor cell
peritoneal dialysis fluid,Ovary,1,Disagreement,,0.0,,0.0,0.0,1.0,,,,,N/A
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Urinary bladder,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,urinary bladder
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Thyroid,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,thyroid gland
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Testis,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,testis
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Salivary gland,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,saliva-secreting gland
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Prostate,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,prostate gland
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Oviduct,1,Near-Agreement,0.6557,0.604,0.1745,0.8514,0.8921,0.1079,0.6154,0.1809,0.2574,0.8052,oviduct
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Ovary,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ovary
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Lung,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,lung
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Kidney,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,kidney
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Heart,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,heart
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Esophagus,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,esophagus
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Endometrium,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,endometrium
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Brain,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,brain
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Bone marrow,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,bone marrow
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Adrenal gland,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,adrenal gland
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Adipose tissue,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,adipose tissue
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Tonsil,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,tonsil
blood plasma,Brain,1,Disagreement,1.4422,0.4095,0.655,0.6042,0.1343,0.8657,0.5714,0.0079,0.034,0.0964,anatomical system
ovary,Testis,1,Near-Agreement,0.785,0.5602,0.177,0.8496,0.8688,0.1312,1.0,0.4836,0.6923,0.8034,indifferent gonad
blood plasma,Ovary,1,Disagreement,1.7533,0.3632,1.8688,0.3486,0.2327,0.7673,0.5,0.0146,0.0526,0.2182,primordium
lung,Salivary gland,1,Distant-Agreement,1.2757,0.4394,1.4502,0.4081,0.4825,0.5175,0.6957,0.1321,0.367,0.4335,presumptive gut
kidney; liver,Kidney,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,kidney
heart; kidney; liver; lung,Brain,1,Disagreement,1.0668,0.4838,0.5246,0.6559,0.2584,0.7416,0.4444,0.014,0.05,0.2011,electrically responsive cell
epithelial cell,Salivary gland,1,Disagreement,0.9632,0.5094,0.6268,0.6147,0.2162,0.7838,0.7619,0.0485,0.1311,0.1212,basement membrane of epithelium
breast,Heart,1,Distant-Agreement,1.3138,0.4322,0.6131,0.6199,0.4034,0.5966,1.0,0.5654,0.6923,0.2527,cardiovascular system endothelium
brain; gut; heart; kidney; liver; lung; skeletal muscle; spleen; urinary bladder,Brain,1,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,brain
brain,Ovary,1,Disagreement,1.6222,0.3814,1.2524,0.444,0.1222,0.8778,0.8,0.0243,0.125,0.0844,anatomical system
bone marrow,Heart,1,Distant-Agreement,1.4457,0.4089,0.8847,0.5306,0.5108,0.4892,0.8235,0.1335,0.2482,0.3501,hemolymphoid system
blood; saliva; sperm,Prostate,1,Near-Agreement,0.909,0.5238,0.5282,0.6544,0.8594,0.1406,0.64,0.1908,0.3153,0.7958,male reproductive gland
blood; bone marrow,Monocytes,1,Near-Agreement,1.178,0.4591,0.7312,0.5776,0.9402,0.0598,1.0,0.4587,0.701,0.8872,bone marrow cell
blood; PBMCs,Monocytes,1,Near-Agreement,1.0206,0.4949,0.9409,0.5152,0.8311,0.1689,0.8182,0.1882,0.2703,0.802,basophilic cytoplasm
blood plasma; blood serum; cerebrospinal fluid; liver; monocytes; ovary; pancreas,Prostate,1,Distant-Agreement,1.1228,0.4711,0.4497,0.6898,0.5557,0.4443,0.6154,0.0852,0.2434,0.5103,endo-epithelium
blood plasma; blood serum; cerebrospinal fluid; liver; monocytes; ovary; pancreas,Heart,1,Distant-Agreement,1.1004,0.4761,0.5112,0.6617,0.5224,0.4776,1.0,0.5175,0.7826,0.3535,cardiovascular system endothelium
blood plasma; blood serum; cerebrospinal fluid; liver; monocytes; ovary; pancreas,Esophagus,1,Distant-Agreement,0.9566,0.5111,0.3655,0.7323,0.5164,0.4836,0.6364,0.0395,0.0933,0.473,digestive system element
blood plasma,Salivary gland,1,Disagreement,1.6624,0.3756,2.0609,0.3267,0.2448,0.7552,0.6957,0.0759,0.2284,0.2254,anatomical cavity
colon,Small intestine,1,Near-Agreement,0.785,0.5602,0.3835,0.7228,0.814,0.186,0.8571,0.4715,0.7037,0.8029,intestine
